"date","value","deseasonalized_value"
1990-01-01,5.9,5.72753559757236
1990-02-01,5.7,5.84229750233427
1990-03-01,5.4,5.57162173202614
1990-04-01,5.5,5.69466094771242
1990-05-01,5.4,5.4912295751634
1990-06-01,5.3,4.97529820261438
1990-07-01,6.1,5.40324988328665
1990-08-01,6.2,5.74051178804855
1990-09-01,6.3,6.31229750233427
1990-10-01,6.1,6.3233689309057
1990-11-01,6.3,6.65146416900093
1990-12-01,6.4,6.86646416900093
1991-01-01,7.2,7.02753559757236
1991-02-01,7.5,7.64229750233427
1991-03-01,7.5,7.67162173202614
1991-04-01,7.3,7.49466094771242
1991-05-01,7.9,7.9912295751634
1991-06-01,8.3,7.97529820261438
1991-07-01,8.6,7.90324988328665
1991-08-01,8.5,8.04051178804855
1991-09-01,8.5,8.51229750233427
1991-10-01,8.3,8.5233689309057
1991-11-01,8.3,8.65146416900093
1991-12-01,8.3,8.76646416900094
1992-01-01,9.4,9.22753559757236
1992-02-01,9.4,9.54229750233427
1992-03-01,9.2,9.37162173202614
1992-04-01,8.8,8.99466094771242
1992-05-01,9.5,9.5912295751634
1992-06-01,10.3,9.97529820261438
1992-07-01,10.8,10.1032498832866
1992-08-01,10.5,10.0405117880486
1992-09-01,10.5,10.5122975023343
1992-10-01,10,10.2233689309057
1992-11-01,10.2,10.5514641690009
1992-12-01,10,10.4664641690009
1993-01-01,10.8,10.6275355975724
1993-02-01,10.7,10.8422975023343
1993-03-01,10.4,10.5716217320261
1993-04-01,9.9,10.0946609477124
1993-05-01,9.8,9.8912295751634
1993-06-01,10.2,9.87529820261438
1993-07-01,10.5,9.80324988328665
1993-08-01,10,9.54051178804855
1993-09-01,9.9,9.91229750233427
1993-10-01,9.9,10.1233689309057
1993-11-01,9.5,9.85146416900093
1993-12-01,9.2,9.66646416900093
1994-01-01,10.5,10.3275355975724
1994-02-01,10,10.1422975023343
1994-03-01,9.9,10.0716217320261
1994-04-01,9.6,9.79466094771242
1994-05-01,9.2,9.2912295751634
1994-06-01,9.5,9.17529820261438
1994-07-01,9.9,9.20324988328665
1994-08-01,9.6,9.14051178804855
1994-09-01,8.9,8.91229750233427
1994-10-01,8.4,8.6233689309057
1994-11-01,8,8.35146416900093
1994-12-01,7.5,7.96646416900093
1995-01-01,8.4,8.22753559757236
1995-02-01,7.8,7.94229750233427
1995-03-01,7.7,7.87162173202614
1995-04-01,7.7,7.89466094771242
1995-05-01,7.6,7.6912295751634
1995-06-01,8,7.67529820261438
1995-07-01,8.8,8.10324988328665
1995-08-01,8.5,8.04051178804855
1995-09-01,8.3,8.31229750233427
1995-10-01,8.1,8.3233689309057
1995-11-01,8.2,8.55146416900093
1995-12-01,7.9,8.36646416900093
1996-01-01,9.1,8.92753559757236
1996-02-01,8.7,8.84229750233427
1996-03-01,8.6,8.77162173202614
1996-04-01,8.4,8.59466094771242
1996-05-01,8.4,8.4912295751634
1996-06-01,8.2,7.87529820261438
1996-07-01,8.9,8.20324988328665
1996-08-01,8,7.54051178804855
1996-09-01,7.8,7.81229750233427
1996-10-01,7.6,7.8233689309057
1996-11-01,7.6,7.95146416900093
1996-12-01,7.2,7.66646416900093
1997-01-01,8,7.82753559757236
1997-02-01,7.6,7.74229750233427
1997-03-01,7.4,7.57162173202614
1997-04-01,6.9,7.09466094771242
1997-05-01,6.6,6.6912295751634
1997-06-01,7,6.67529820261438
1997-07-01,7.3,6.60324988328665
1997-08-01,7,6.54051178804855
1997-09-01,6.8,6.81229750233427
1997-10-01,6.3,6.5233689309057
1997-11-01,6,6.35146416900093
1997-12-01,6,6.46646416900093
1998-01-01,6.6,6.42753559757236
1998-02-01,6.3,6.44229750233427
1998-03-01,6.7,6.87162173202614
1998-04-01,6.1,6.29466094771242
1998-05-01,6.2,6.2912295751634
1998-06-01,6.7,6.37529820261438
1998-07-01,7.1,6.40324988328665
1998-08-01,7,6.54051178804855
1998-09-01,7,7.01229750233427
1998-10-01,6.9,7.1233689309057
1998-11-01,6.4,6.75146416900093
1998-12-01,6,6.46646416900093
1999-01-01,6.6,6.42753559757236
1999-02-01,6.3,6.44229750233427
1999-03-01,5.9,6.07162173202614
1999-04-01,5.7,5.89466094771242
1999-05-01,5.2,5.2912295751634
1999-06-01,5.9,5.57529820261438
1999-07-01,6.4,5.70324988328665
1999-08-01,6.1,5.64051178804855
1999-09-01,6.1,6.11229750233427
1999-10-01,5.8,6.0233689309057
1999-11-01,5.6,5.95146416900093
1999-12-01,5.3,5.76646416900093
2000-01-01,5.9,5.72753559757236
2000-02-01,5.6,5.74229750233427
2000-03-01,5.5,5.67162173202614
2000-04-01,5.2,5.39466094771242
2000-05-01,5.5,5.5912295751634
2000-06-01,5.5,5.17529820261438
2000-07-01,6,5.30324988328665
2000-08-01,5.9,5.44051178804855
2000-09-01,5.4,5.41229750233427
2000-10-01,5.1,5.3233689309057
2000-11-01,4.8,5.15146416900093
2000-12-01,4.6,5.06646416900093
2001-01-01,5.4,5.22753559757236
2001-02-01,4.8,4.94229750233427
2001-03-01,5.1,5.27162173202614
2001-04-01,5,5.19466094771242
2001-05-01,4.9,4.9912295751634
2001-06-01,5.6,5.27529820261438
2001-07-01,6.1,5.40324988328665
2001-08-01,6.3,5.84051178804855
2001-09-01,6.1,6.11229750233427
2001-10-01,6.4,6.6233689309057
2001-11-01,6.4,6.75146416900093
2001-12-01,6.4,6.86646416900093
2002-01-01,7.2,7.02753559757236
2002-02-01,6.8,6.94229750233427
