"date","value","deseasonalized_value"
2014-12-01,2.2,2.56091435185185
2015-01-01,2.3,2.46299768518519
2015-02-01,2.3,2.51674768518518
2015-03-01,1.9,2.06133101851852
2015-04-01,2.1,2.08216435185185
2015-05-01,2.1,2.1016087962963
2015-06-01,2.4,2.00966435185185
2015-07-01,2.8,2.13758101851852
2015-08-01,2.3,1.79716435185185
2015-09-01,2,2.13924768518519
2015-10-01,2.1,2.33049768518519
2015-11-01,2.1,2.40008101851852
2015-12-01,2,2.36091435185185
2016-01-01,2.1,2.26299768518519
2016-02-01,2,2.21674768518518
2016-03-01,2.3,2.46133101851852
2016-04-01,1.8,1.78216435185185
2016-05-01,1.9,1.9016087962963
2016-06-01,2.3,1.90966435185185
2016-07-01,2.9,2.23758101851852
2016-08-01,2.7,2.19716435185185
2016-09-01,2.3,2.43924768518518
2016-10-01,2,2.23049768518519
2016-11-01,1.7,2.00008101851852
2016-12-01,2,2.36091435185185
2017-01-01,2.1,2.26299768518519
2017-02-01,1.9,2.11674768518519
2017-03-01,1.9,2.06133101851852
2017-04-01,1.6,1.58216435185185
2017-05-01,1.9,1.9016087962963
2017-06-01,2.3,1.90966435185185
2017-07-01,2.5,1.83758101851852
2017-08-01,2.8,2.29716435185185
2017-09-01,1.9,2.03924768518519
2017-10-01,1.7,1.93049768518519
2017-11-01,1.7,2.00008101851852
2017-12-01,1.7,2.06091435185185
2018-01-01,2,2.16299768518519
2018-02-01,2,2.21674768518518
2018-03-01,1.9,2.06133101851852
2018-04-01,1.5,1.48216435185185
2018-05-01,1.6,1.6016087962963
2018-06-01,2.3,1.90966435185185
2018-07-01,2.6,1.93758101851852
2018-08-01,2.7,2.19716435185185
2018-09-01,1.9,2.03924768518519
2018-10-01,1.7,1.93049768518519
2018-11-01,1.7,2.00008101851852
2018-12-01,1.9,2.26091435185185
2019-01-01,2,2.16299768518519
2019-02-01,1.7,1.91674768518519
2019-03-01,1.7,1.86133101851852
2019-04-01,1.5,1.48216435185185
2019-05-01,1.7,1.7016087962963
2019-06-01,2.1,1.70966435185185
2019-07-01,2.5,1.83758101851852
2019-08-01,2.3,1.79716435185185
2019-09-01,1.6,1.73924768518519
2019-10-01,1.8,2.03049768518519
2019-11-01,1.7,2.00008101851852
2019-12-01,1.6,1.96091435185185
2020-01-01,1.7,1.86299768518519
2020-02-01,1.6,1.81674768518519
2020-03-01,2.3,2.46133101851852
2020-04-01,6.2,6.18216435185185
2020-05-01,5.3,5.3016087962963
2020-06-01,5.2,4.80966435185185
2020-07-01,5.4,4.73758101851852
2020-08-01,4.5,3.99716435185185
2020-09-01,3.5,3.63924768518519
2020-10-01,3.2,3.43049768518519
2020-11-01,3.1,3.40008101851852
2020-12-01,3,3.36091435185185
2021-01-01,3.3,3.46299768518519
2021-02-01,3.2,3.41674768518519
2021-03-01,3.2,3.36133101851852
2021-04-01,2.4,2.38216435185185
2021-05-01,2.3,2.3016087962963
2021-06-01,2.8,2.40966435185185
2021-07-01,2.8,2.13758101851852
2021-08-01,2.3,1.79716435185185
2021-09-01,2,2.13924768518519
2021-10-01,1.6,1.83049768518519
2021-11-01,1.4,1.70008101851852
2021-12-01,1,1.36091435185185
2022-01-01,1.2,1.36299768518519
2022-02-01,1.7,1.91674768518519
2022-03-01,1.6,1.76133101851852
2022-04-01,1.5,1.48216435185185
2022-05-01,1.5,1.5016087962963
2022-06-01,2,1.60966435185185
2022-07-01,2.3,1.63758101851852
2022-08-01,2,1.49716435185185
2022-09-01,1.4,1.53924768518519
2022-10-01,1.6,1.83049768518519
2022-11-01,1.7,2.00008101851852
2022-12-01,1.4,1.76091435185185
2023-01-01,1.6,1.76299768518519
2023-02-01,1.6,1.81674768518519
2023-03-01,1.5,1.66133101851852
2023-04-01,1.4,1.38216435185185
2023-05-01,1.7,1.7016087962963
2023-06-01,2,1.60966435185185
2023-07-01,2.2,1.53758101851852
2023-08-01,2.5,1.99716435185185
2023-09-01,1.9,2.03924768518519
2023-10-01,1.9,2.13049768518519
2023-11-01,2,2.30008101851852
2023-12-01,1.8,2.16091435185185
2024-01-01,2,2.16299768518519
2024-02-01,1.7,1.91674768518519
2024-03-01,1.8,1.96133101851852
2024-04-01,1.9,1.88216435185185
2024-05-01,1.7,1.7016087962963
2024-06-01,2.3,1.90966435185185
2024-07-01,2.4,1.73758101851852
2024-08-01,2.7,2.19716435185185
2024-09-01,1.9,2.03924768518519
2024-10-01,1.9,2.13049768518519
2024-11-01,1.7,2.00008101851852
2024-12-01,1.8,2.16091435185185
2025-01-01,2.2,2.36299768518519
2025-02-01,2.3,2.51674768518518
2025-03-01,2.4,2.56133101851852
2025-04-01,1.9,1.88216435185185
2025-05-01,2.2,2.2016087962963
2025-06-01,2.5,2.10966435185185
2025-07-01,3.2,2.53758101851852
2025-08-01,2.8,2.29716435185185
