"date","value","deseasonalized_value"
1990-01-01,7.2,7.46033934407096
1990-02-01,7.1,7.47176791549953
1990-03-01,7.3,7.30888976423903
1990-04-01,7.6,7.57494368580766
1990-05-01,7.4,7.3381789799253
1990-06-01,7.3,7.06562996031746
1990-07-01,7.6,7.2734345821662
1990-08-01,7.7,7.43379172502334
1990-09-01,8,7.86022029645191
1990-10-01,7.7,7.75474410597572
1990-11-01,7.9,8.12045839169001
1990-12-01,8.1,8.23760124883287
1991-01-01,7.7,7.96033934407096
1991-02-01,7.8,8.17176791549953
1991-03-01,8.2,8.20888976423903
1991-04-01,8.1,8.07494368580766
1991-05-01,8.5,8.4381789799253
1991-06-01,8.4,8.16562996031746
1991-07-01,8.6,8.2734345821662
1991-08-01,8.6,8.33379172502334
1991-09-01,8.7,8.56022029645191
1991-10-01,8.6,8.65474410597572
1991-11-01,8.5,8.72045839169001
1991-12-01,9,9.13760124883287
1992-01-01,8.9,9.16033934407096
1992-02-01,9.1,9.47176791549953
1992-03-01,9.3,9.30888976423903
1992-04-01,9,8.97494368580766
1992-05-01,8.9,8.8381789799253
1992-06-01,9.3,9.06562996031746
1992-07-01,9.2,8.8734345821662
1992-08-01,9.1,8.83379172502334
1992-09-01,9.1,8.96022029645191
1992-10-01,8.4,8.45474410597572
1992-11-01,8.4,8.62045839169001
1992-12-01,8.4,8.53760124883287
1993-01-01,8.4,8.66033934407096
1993-02-01,8.3,8.67176791549953
1993-03-01,8.4,8.40888976423903
1993-04-01,8.2,8.17494368580765
1993-05-01,8.2,8.1381789799253
1993-06-01,8.5,8.26562996031746
1993-07-01,8.7,8.3734345821662
1993-08-01,8.5,8.23379172502334
1993-09-01,8.5,8.36022029645191
1993-10-01,8.6,8.65474410597572
1993-11-01,8.2,8.42045839169001
1993-12-01,8.3,8.43760124883287
1994-01-01,8.8,9.06033934407096
1994-02-01,8.5,8.87176791549953
1994-03-01,9,9.00888976423903
1994-04-01,8.9,8.87494368580766
1994-05-01,8.4,8.3381789799253
1994-06-01,8.7,8.46562996031746
1994-07-01,8.7,8.3734345821662
1994-08-01,8.6,8.33379172502334
1994-09-01,8.6,8.46022029645191
1994-10-01,8.2,8.25474410597572
1994-11-01,7.8,8.02045839169001
1994-12-01,7.6,7.73760124883287
1995-01-01,7.7,7.96033934407096
1995-02-01,7,7.37176791549953
1995-03-01,7.4,7.40888976423903
1995-04-01,7.8,7.77494368580766
1995-05-01,7.6,7.5381789799253
1995-06-01,7.7,7.46562996031746
1995-07-01,7.9,7.5734345821662
1995-08-01,7.9,7.63379172502334
1995-09-01,8.1,7.96022029645191
1995-10-01,7.9,7.95474410597572
1995-11-01,7.8,8.02045839169001
1995-12-01,7.8,7.93760124883287
1996-01-01,7.7,7.96033934407096
1996-02-01,7.6,7.97176791549953
1996-03-01,7.9,7.90888976423903
1996-04-01,7.7,7.67494368580766
1996-05-01,7.6,7.5381789799253
1996-06-01,7.3,7.06562996031746
1996-07-01,7.8,7.4734345821662
1996-08-01,7.1,6.83379172502334
1996-09-01,7.3,7.16022029645191
1996-10-01,7.1,7.15474410597572
1996-11-01,6.9,7.12045839169001
1996-12-01,6.9,7.03760124883287
1997-01-01,6.9,7.16033934407096
1997-02-01,6.6,6.97176791549953
1997-03-01,7,7.00888976423903
1997-04-01,6.8,6.77494368580766
1997-05-01,6.6,6.5381789799253
1997-06-01,6.7,6.46562996031746
1997-07-01,6.5,6.1734345821662
1997-08-01,6.4,6.13379172502334
1997-09-01,6.8,6.66022029645191
1997-10-01,6.5,6.55474410597572
1997-11-01,6.3,6.52045839169001
1997-12-01,6.6,6.73760124883287
1998-01-01,6.3,6.56033934407096
1998-02-01,6.1,6.47176791549953
1998-03-01,6.8,6.80888976423903
1998-04-01,6.1,6.07494368580766
1998-05-01,5.9,5.8381789799253
1998-06-01,6,5.76562996031746
1998-07-01,6,5.6734345821662
1998-08-01,5.9,5.63379172502334
1998-09-01,6,5.86022029645191
1998-10-01,5.8,5.85474410597572
1998-11-01,5.4,5.62045839169001
1998-12-01,5.3,5.43760124883287
1999-01-01,5,5.26033934407096
1999-02-01,5,5.37176791549953
1999-03-01,5.3,5.30888976423903
1999-04-01,5.2,5.17494368580766
1999-05-01,4.7,4.6381789799253
1999-06-01,4.7,4.46562996031746
1999-07-01,5.1,4.7734345821662
1999-08-01,5,4.73379172502334
1999-09-01,5,4.86022029645191
1999-10-01,4.7,4.75474410597572
1999-11-01,4.4,4.62045839169001
1999-12-01,4.3,4.43760124883287
2000-01-01,4.2,4.46033934407096
2000-02-01,4.2,4.57176791549953
2000-03-01,4.7,4.70888976423903
2000-04-01,4.3,4.27494368580766
2000-05-01,4.5,4.4381789799253
2000-06-01,4.4,4.16562996031746
2000-07-01,4.5,4.1734345821662
2000-08-01,4.4,4.13379172502334
2000-09-01,4.3,4.16022029645191
2000-10-01,4,4.05474410597572
2000-11-01,3.8,4.02045839169001
