"date","value","deseasonalized_value"
1990-01-01,5.2,5.0814910130719
1990-02-01,5.4,5.39351482259571
1990-03-01,5.1,5.22229633520075
1990-04-01,5.2,5.36384045284781
1990-05-01,5.3,5.23896300186741
1990-06-01,5.8,5.30844829598506
1990-07-01,5.6,5.39839577497666
1990-08-01,5.9,5.64030053688142
1990-09-01,6.2,6.24244339402428
1990-10-01,5.6,5.74422910830999
1990-11-01,5.3,5.6339910130719
1990-12-01,5.3,5.63208625116713
1991-01-01,5.6,5.48149101307189
1991-02-01,5.9,5.89351482259571
1991-03-01,5.8,5.92229633520075
1991-04-01,5.5,5.66384045284781
1991-05-01,5.9,5.83896300186741
1991-06-01,6.3,5.80844829598506
1991-07-01,5.6,5.39839577497666
1991-08-01,5.3,5.04030053688142
1991-09-01,5.3,5.34244339402428
1991-10-01,5.3,5.44422910830999
1991-11-01,4.9,5.2339910130719
1991-12-01,4.9,5.23208625116713
1992-01-01,5.7,5.5814910130719
1992-02-01,8.2,8.1935148225957
1992-03-01,7.6,7.72229633520075
1992-04-01,7.4,7.56384045284781
1992-05-01,7.3,7.23896300186741
1992-06-01,8,7.50844829598506
1992-07-01,7.5,7.29839577497666
1992-08-01,7.2,6.94030053688142
1992-09-01,6.7,6.74244339402428
1992-10-01,6.5,6.64422910830999
1992-11-01,6.5,6.8339910130719
1992-12-01,6.3,6.63208625116713
1993-01-01,6.8,6.68149101307189
1993-02-01,6.6,6.5935148225957
1993-03-01,6.2,6.32229633520075
1993-04-01,5.9,6.06384045284781
1993-05-01,5.9,5.83896300186741
1993-06-01,6.7,6.20844829598506
1993-07-01,6.3,6.09839577497666
1993-08-01,6.4,6.14030053688142
1993-09-01,6.3,6.34244339402428
1993-10-01,6.2,6.34422910830999
1993-11-01,5.9,6.2339910130719
1993-12-01,5.8,6.13208625116713
1994-01-01,6.6,6.48149101307189
1994-02-01,6.2,6.1935148225957
1994-03-01,6,6.12229633520075
1994-04-01,5.6,5.76384045284781
1994-05-01,5.4,5.33896300186741
1994-06-01,6.2,5.70844829598506
1994-07-01,5.2,4.99839577497666
1994-08-01,5.6,5.34030053688142
1994-09-01,5.5,5.54244339402428
1994-10-01,5.2,5.34422910830999
1994-11-01,5,5.3339910130719
1994-12-01,4.8,5.13208625116713
1995-01-01,5.6,5.48149101307189
1995-02-01,5.2,5.1935148225957
1995-03-01,5.1,5.22229633520075
1995-04-01,5.4,5.56384045284781
1995-05-01,5.5,5.43896300186741
1995-06-01,6,5.50844829598506
1995-07-01,5.6,5.39839577497666
1995-08-01,5.7,5.44030053688142
1995-09-01,5.4,5.44244339402428
1995-10-01,4.9,5.04422910830999
1995-11-01,4.8,5.1339910130719
1995-12-01,4.8,5.13208625116713
1996-01-01,5.2,5.0814910130719
1996-02-01,4.9,4.89351482259571
1996-03-01,4.9,5.02229633520075
1996-04-01,4.6,4.76384045284781
1996-05-01,4.8,4.73896300186741
1996-06-01,5.1,4.60844829598506
1996-07-01,4.8,4.59839577497666
1996-08-01,4.8,4.54030053688142
1996-09-01,5.1,5.14244339402428
1996-10-01,5.3,5.44422910830999
1996-11-01,5.1,5.4339910130719
1996-12-01,5.1,5.43208625116713
1997-01-01,5.7,5.5814910130719
1997-02-01,5.1,5.0935148225957
1997-03-01,5,5.12229633520075
1997-04-01,4.4,4.56384045284781
1997-05-01,4.6,4.53896300186741
