"date","value","deseasonalized_value"
1948-01-01,3.4,3.44832435017468
1948-02-01,3.6,3.65579188264221
1948-03-01,3.8,3.85658149872788
1948-04-01,3.8,3.71771088469279
1948-05-01,3.5,3.43152667416648
1948-06-01,3.3,3.24643895486823
1948-07-01,3.4,3.36975292160325
1948-08-01,3.6,3.58079188264221
1948-09-01,3.7,3.71380054065087
1948-10-01,3.6,3.614341666192
1948-11-01,3.7,3.71639794324827
1948-12-01,3.9,3.94854080039113
1949-01-01,4.2,4.24832435017468
1949-02-01,4.6,4.65579188264221
1949-03-01,5.1,5.15658149872788
1949-04-01,5.3,5.21771088469279
1949-05-01,6.1,6.03152667416648
1949-06-01,6.2,6.14643895486823
1949-07-01,6.7,6.66975292160325
1949-08-01,6.8,6.78079188264221
1949-09-01,6.5,6.51380054065087
1949-10-01,8.4,8.414341666192
1949-11-01,6.5,6.51639794324827
1949-12-01,6.5,6.54854080039113
1950-01-01,6.4,6.44832435017468
1950-02-01,6.2,6.25579188264221
1950-03-01,6.1,6.15658149872788
1950-04-01,5.9,5.81771088469279
1950-05-01,5.4,5.33152667416648
1950-06-01,5.1,5.04643895486823
1950-07-01,4.8,4.76975292160325
1950-08-01,4.3,4.28079188264221
1950-09-01,4.2,4.21380054065087
1950-10-01,3.9,3.914341666192
1950-11-01,3.7,3.71639794324827
1950-12-01,3.8,3.84854080039113
1951-01-01,3.3,3.34832435017468
1951-02-01,3,3.05579188264221
1951-03-01,2.7,2.75658149872788
1951-04-01,2.5,2.41771088469279
1951-05-01,2.5,2.43152667416648
1951-06-01,2.8,2.74643895486823
1951-07-01,2.7,2.66975292160325
1951-08-01,2.8,2.78079188264221
1951-09-01,2.8,2.81380054065087
1951-10-01,3.1,3.114341666192
1951-11-01,3.1,3.11639794324827
1951-12-01,2.7,2.74854080039113
1952-01-01,2.8,2.84832435017468
1952-02-01,2.8,2.85579188264221
1952-03-01,2.7,2.75658149872788
1952-04-01,2.7,2.61771088469279
1952-05-01,2.6,2.53152667416648
1952-06-01,2.8,2.74643895486823
1952-07-01,3,2.96975292160325
1952-08-01,3.2,3.18079188264221
1952-09-01,3,3.01380054065087
1952-10-01,2.6,2.614341666192
1952-11-01,2.5,2.51639794324827
1952-12-01,2.5,2.54854080039113
1953-01-01,2.8,2.84832435017468
1953-02-01,2.4,2.45579188264221
1953-03-01,2.3,2.35658149872788
1953-04-01,2.6,2.51771088469279
1953-05-01,2.5,2.43152667416648
1953-06-01,2.4,2.34643895486823
1953-07-01,2.5,2.46975292160325
1953-08-01,2.5,2.48079188264221
1953-09-01,2.7,2.71380054065087
1953-10-01,2.9,2.914341666192
1953-11-01,3.4,3.41639794324827
1953-12-01,4.2,4.24854080039113
1954-01-01,4.4,4.44832435017468
1954-02-01,4.9,4.95579188264221
1954-03-01,5.3,5.35658149872788
1954-04-01,5.6,5.51771088469279
1954-05-01,5.7,5.63152667416648
1954-06-01,5.3,5.24643895486823
1954-07-01,5.6,5.56975292160325
1954-08-01,6,5.98079188264221
1954-09-01,6,6.01380054065087
1954-10-01,5.7,5.714341666192
1954-11-01,5.2,5.21639794324827
1954-12-01,5,5.04854080039113
1955-01-01,4.8,4.84832435017468
1955-02-01,4.5,4.55579188264221
1955-03-01,4.5,4.55658149872788
1955-04-01,4.7,4.61771088469279
1955-05-01,4,3.93152667416648
1955-06-01,3.9,3.84643895486823
1955-07-01,3.8,3.76975292160325
1955-08-01,3.9,3.88079188264221
1955-09-01,3.7,3.71380054065087
1955-10-01,3.9,3.914341666192
1955-11-01,3.9,3.91639794324827
1955-12-01,3.8,3.84854080039113
1956-01-01,3.8,3.84832435017468
1956-02-01,3.8,3.85579188264221
1956-03-01,3.8,3.85658149872788
1956-04-01,3.6,3.51771088469279
1956-05-01,3.9,3.83152667416648
1956-06-01,4,3.94643895486823
1956-07-01,3.8,3.76975292160325
1956-08-01,3.7,3.68079188264221
1956-09-01,3.6,3.61380054065087
1956-10-01,3.5,3.514341666192
1956-11-01,4,4.01639794324827
1956-12-01,3.9,3.94854080039113
1957-01-01,3.9,3.94832435017468
1957-02-01,3.6,3.65579188264221
1957-03-01,3.5,3.55658149872788
1957-04-01,3.8,3.71771088469279
1957-05-01,3.8,3.73152667416648
1957-06-01,4,3.94643895486823
1957-07-01,3.8,3.76975292160325
1957-08-01,3.9,3.88079188264221
1957-09-01,4.3,4.31380054065087
1957-10-01,4.4,4.414341666192
1957-11-01,5.2,5.21639794324827
1957-12-01,5.2,5.24854080039113
1958-01-01,5.7,5.74832435017468
1958-02-01,6.3,6.35579188264221
1958-03-01,6.7,6.75658149872788
1958-04-01,7.3,7.21771088469279
1958-05-01,7.5,7.43152667416648
1958-06-01,7.4,7.34643895486823
1958-07-01,7.6,7.56975292160325
1958-08-01,7.5,7.48079188264221
1958-09-01,7.1,7.11380054065087
1958-10-01,6.7,6.714341666192
1958-11-01,6.3,6.31639794324827
1958-12-01,6.2,6.24854080039113
1959-01-01,5.9,5.94832435017468
1959-02-01,5.8,5.85579188264221
1959-03-01,5.3,5.35658149872788
1959-04-01,4.8,4.71771088469279
1959-05-01,4.8,4.73152667416648
1959-06-01,4.7,4.64643895486823
1959-07-01,4.9,4.86975292160325
1959-08-01,5.1,5.08079188264221
1959-09-01,5.5,5.51380054065087
1959-10-01,5.5,5.51434166619199
1959-11-01,5.9,5.91639794324827
1959-12-01,5,5.04854080039113
1960-01-01,5,5.04832435017468
1960-02-01,4.6,4.65579188264221
1960-03-01,5.3,5.35658149872788
1960-04-01,5,4.91771088469279
1960-05-01,5,4.93152667416648
1960-06-01,5.2,5.14643895486823
1960-07-01,5.3,5.26975292160325
1960-08-01,5.6,5.58079188264221
1960-09-01,5.5,5.51380054065087
1960-10-01,5.9,5.914341666192
1960-11-01,6,6.01639794324827
1960-12-01,6.3,6.34854080039113
1961-01-01,6.5,6.54832435017468
1961-02-01,6.6,6.65579188264221
1961-03-01,6.6,6.65658149872788
1961-04-01,6.8,6.71771088469279
1961-05-01,6.9,6.83152667416648
1961-06-01,6.5,6.44643895486823
1961-07-01,6.6,6.56975292160325
1961-08-01,6.4,6.38079188264221
1961-09-01,6.3,6.31380054065087
1961-10-01,6.1,6.11434166619199
1961-11-01,5.8,5.81639794324827
1961-12-01,5.7,5.74854080039113
1962-01-01,5.4,5.44832435017468
1962-02-01,5.2,5.25579188264221
1962-03-01,5.2,5.25658149872788
1962-04-01,5.2,5.11771088469279
1962-05-01,5.2,5.13152667416648
1962-06-01,5.3,5.24643895486823
1962-07-01,5.1,5.06975292160325
1962-08-01,5.3,5.28079188264221
1962-09-01,5.2,5.21380054065087
1962-10-01,5,5.01434166619199
1962-11-01,5.3,5.31639794324827
1962-12-01,5.1,5.14854080039113
1963-01-01,5.4,5.44832435017468
1963-02-01,5.7,5.75579188264221
1963-03-01,5.4,5.45658149872788
1963-04-01,5.4,5.31771088469279
1963-05-01,5.4,5.33152667416648
1963-06-01,5.1,5.04643895486823
1963-07-01,5.1,5.06975292160325
1963-08-01,4.9,4.88079188264221
1963-09-01,4.9,4.91380054065087
1963-10-01,5,5.01434166619199
1963-11-01,5.3,5.31639794324827
1963-12-01,5,5.04854080039113
1964-01-01,5,5.04832435017468
1964-02-01,4.8,4.85579188264221
1964-03-01,4.8,4.85658149872788
1964-04-01,4.8,4.71771088469279
1964-05-01,4.5,4.43152667416648
1964-06-01,4.7,4.64643895486823
1964-07-01,4.4,4.36975292160325
1964-08-01,4.5,4.48079188264221
1964-09-01,4.6,4.61380054065087
1964-10-01,4.5,4.51434166619199
1964-11-01,4.3,4.31639794324827
1964-12-01,4.3,4.34854080039113
1965-01-01,4.3,4.34832435017468
1965-02-01,4.3,4.35579188264221
1965-03-01,4.1,4.15658149872788
1965-04-01,4.3,4.21771088469279
1965-05-01,4.1,4.03152667416648
1965-06-01,3.9,3.84643895486823
1965-07-01,3.9,3.86975292160325
1965-08-01,3.9,3.88079188264221
1965-09-01,3.7,3.71380054065087
1965-10-01,3.7,3.714341666192
1965-11-01,3.4,3.41639794324827
1965-12-01,3.4,3.44854080039113
1966-01-01,3.4,3.44832435017468
1966-02-01,3.3,3.35579188264221
1966-03-01,3.3,3.35658149872788
1966-04-01,3.1,3.01771088469279
1966-05-01,3.2,3.13152667416648
1966-06-01,3.2,3.14643895486823
1966-07-01,3.2,3.16975292160325
1966-08-01,3.2,3.18079188264221
1966-09-01,3.1,3.11380054065087
1966-10-01,3,3.014341666192
1966-11-01,3.1,3.11639794324827
1966-12-01,3.2,3.24854080039113
1967-01-01,3,3.04832435017468
1967-02-01,3,3.05579188264221
1967-03-01,3,3.05658149872788
1967-04-01,3.1,3.01771088469279
1967-05-01,3.2,3.13152667416648
1967-06-01,3.2,3.14643895486823
1967-07-01,3,2.96975292160325
1967-08-01,3.1,3.08079188264221
1967-09-01,2.9,2.91380054065087
1967-10-01,3.1,3.114341666192
1967-11-01,3.1,3.11639794324827
1967-12-01,3.1,3.14854080039113
1968-01-01,3,3.04832435017468
1968-02-01,3.1,3.15579188264221
1968-03-01,3,3.05658149872788
1968-04-01,2.8,2.71771088469279
1968-05-01,2.7,2.63152667416648
1968-06-01,3,2.94643895486823
1968-07-01,2.9,2.86975292160325
1968-08-01,2.8,2.78079188264221
1968-09-01,2.7,2.71380054065087
1968-10-01,2.7,2.714341666192
1968-11-01,2.7,2.71639794324827
1968-12-01,2.7,2.74854080039113
1969-01-01,2.7,2.74832435017468
1969-02-01,2.6,2.65579188264221
