"date","value","deseasonalized_value"
2000-01-01,3.6,3.31192361111111
2000-02-01,3.4,3.21759027777778
2000-03-01,3.6,3.45886805555556
2000-04-01,3.7,3.3501875
2000-05-01,3.4,3.25435416666667
2000-06-01,3.1,3.14636805555556
2000-07-01,3.6,3.41975694444444
2000-08-01,3.4,3.55542361111111
2000-09-01,3.4,3.56175694444444
2000-10-01,3.6,3.88075694444444
2000-11-01,3.4,3.71692361111111
2000-12-01,3.3,3.62609027777778
2001-01-01,4.6,4.31192361111111
2001-02-01,4.6,4.41759027777778
2001-03-01,4.9,4.75886805555556
2001-04-01,4.4,4.0501875
2001-05-01,4.7,4.55435416666667
2001-06-01,5,5.04636805555556
2001-07-01,5.6,5.41975694444444
2001-08-01,5.5,5.65542361111111
2001-09-01,5.4,5.56175694444445
2001-10-01,5.8,6.08075694444444
2001-11-01,6,6.31692361111111
2001-12-01,6.3,6.62609027777778
2002-01-01,7.4,7.11192361111111
2002-02-01,7,6.81759027777778
2002-03-01,7.3,7.15886805555556
2002-04-01,7.2,6.8501875
2002-05-01,6.6,6.45435416666667
2002-06-01,6.6,6.64636805555556
2002-07-01,6.6,6.41975694444444
2002-08-01,6.2,6.35542361111111
2002-09-01,6.1,6.26175694444444
2002-10-01,5.9,6.18075694444445
2002-11-01,6.3,6.61692361111111
2002-12-01,6.6,6.92609027777778
2003-01-01,7.2,6.91192361111111
2003-02-01,6.7,6.51759027777778
2003-03-01,6.8,6.65886805555556
2003-04-01,6.7,6.3501875
2003-05-01,6.5,6.35435416666667
2003-06-01,7,7.04636805555556
2003-07-01,6.9,6.71975694444444
2003-08-01,6.7,6.85542361111111
2003-09-01,6.8,6.96175694444444
2003-10-01,6,6.28075694444444
2003-11-01,5.9,6.21692361111111
2003-12-01,5.9,6.22609027777778
2004-01-01,6.4,6.11192361111111
2004-02-01,6.3,6.11759027777778
2004-03-01,6.3,6.15886805555556
2004-04-01,5.8,5.4501875
2004-05-01,5.6,5.45435416666667
2004-06-01,5.6,5.64636805555556
2004-07-01,6,5.81975694444444
2004-08-01,4.9,5.05542361111111
2004-09-01,5,5.16175694444444
2004-10-01,5.3,5.58075694444444
2004-11-01,5.4,5.71692361111111
2004-12-01,5.1,5.42609027777778
2005-01-01,5.3,5.01192361111111
2005-02-01,5.3,5.11759027777778
2005-03-01,5.3,5.15886805555556
2005-04-01,4.8,4.4501875
2005-05-01,4.5,4.35435416666667
2005-06-01,4.4,4.44636805555556
2005-07-01,5.3,5.11975694444444
2005-08-01,4.7,4.85542361111111
2005-09-01,4.7,4.86175694444445
2005-10-01,4.8,5.08075694444444
2005-11-01,4.9,5.21692361111111
2005-12-01,4.5,4.82609027777778
2006-01-01,4.6,4.31192361111111
2006-02-01,4.9,4.71759027777778
2006-03-01,4.1,3.95886805555556
2006-04-01,4.5,4.1501875
2006-05-01,4.1,3.95435416666667
2006-06-01,3.8,3.84636805555556
2006-07-01,4.4,4.21975694444444
2006-08-01,4.1,4.25542361111111
2006-09-01,3.8,3.96175694444444
2006-10-01,3.7,3.98075694444444
2006-11-01,4.3,4.61692361111111
2006-12-01,4,4.32609027777778
2007-01-01,4.6,4.31192361111111
2007-02-01,4.7,4.51759027777778
2007-03-01,4.5,4.35886805555556
2007-04-01,4.6,4.2501875
2007-05-01,3.9,3.75435416666667
2007-06-01,4,4.04636805555556
2007-07-01,3.7,3.51975694444444
2007-08-01,3.6,3.75542361111111
2007-09-01,4.1,4.26175694444444
2007-10-01,4.3,4.58075694444444
2007-11-01,4.5,4.81692361111111
2007-12-01,4.6,4.92609027777778
2008-01-01,5.1,4.81192361111111
2008-02-01,5,4.81759027777778
2008-03-01,5,4.85886805555556
2008-04-01,4.8,4.4501875
2008-05-01,5.3,5.15435416666667
2008-06-01,5.2,5.24636805555556
2008-07-01,5.5,5.31975694444444
2008-08-01,5.7,5.85542361111111
2008-09-01,6,6.16175694444444
2008-10-01,6.2,6.48075694444444
2008-11-01,7,7.31692361111111
2008-12-01,8.3,8.62609027777778
2009-01-01,10.9,10.6119236111111
2009-02-01,11.5,11.3175902777778
2009-03-01,12.2,12.0588680555556
2009-04-01,12.4,12.0501875
2009-05-01,12.6,12.4543541666667
2009-06-01,12.6,12.6463680555556
2009-07-01,12.4,12.2197569444444
2009-08-01,11.8,11.9554236111111
2009-09-01,11.9,12.0617569444444
2009-10-01,12.2,12.4807569444444
2009-11-01,12.5,12.8169236111111
2009-12-01,11.9,12.2260902777778
2010-01-01,13,12.7119236111111
2010-02-01,12.1,11.9175902777778
2010-03-01,12.6,12.4588680555556
2010-04-01,11.1,10.7501875
2010-05-01,10.3,10.1543541666667
2010-06-01,9.9,9.94636805555556
2010-07-01,10,9.81975694444444
2010-08-01,9.5,9.65542361111111
2010-09-01,9.6,9.76175694444444
2010-10-01,9.5,9.78075694444444
2010-11-01,9.9,10.2169236111111
2010-12-01,10,10.3260902777778
2011-01-01,9.9,9.61192361111111
2011-02-01,9.9,9.71759027777778
2011-03-01,9.7,9.55886805555556
2011-04-01,9.4,9.0501875
2011-05-01,9.6,9.45435416666667
2011-06-01,9.2,9.24636805555556
2011-07-01,9.2,9.01975694444444
2011-08-01,8.9,9.05542361111111
2011-09-01,8.4,8.56175694444445
2011-10-01,7.7,7.98075694444444
2011-11-01,7.7,8.01692361111111
2011-12-01,7.9,8.22609027777778
2012-01-01,8.4,8.11192361111111
2012-02-01,8.4,8.21759027777778
2012-03-01,7.6,7.45886805555556
2012-04-01,6.9,6.5501875
2012-05-01,7.1,6.95435416666667
2012-06-01,6.9,6.94636805555556
2012-07-01,7.2,7.01975694444444
2012-08-01,7.3,7.45542361111111
2012-09-01,6.7,6.86175694444445
2012-10-01,7,7.28075694444444
2012-11-01,6.4,6.71692361111111
2012-12-01,7.5,7.82609027777778
2013-01-01,7.9,7.61192361111111
2013-02-01,7.2,7.01759027777778
2013-03-01,6.4,6.25886805555556
2013-04-01,6.4,6.0501875
2013-05-01,6.8,6.65435416666667
2013-06-01,6.4,6.44636805555556
2013-07-01,6.9,6.71975694444444
2013-08-01,6.2,6.35542361111111
2013-09-01,6.9,7.06175694444445
2013-10-01,6.2,6.48075694444444
2013-11-01,6.2,6.51692361111111
2013-12-01,5.5,5.82609027777778
2014-01-01,5.6,5.31192361111111
2014-02-01,5.5,5.31759027777778
2014-03-01,5.4,5.25886805555556
2014-04-01,5.2,4.8501875
2014-05-01,5.3,5.15435416666667
2014-06-01,4.4,4.44636805555556
2014-07-01,5.2,5.01975694444444
2014-08-01,5,5.15542361111111
2014-09-01,4.5,4.66175694444444
2014-10-01,4.3,4.58075694444444
2014-11-01,4.2,4.51692361111111
2014-12-01,3.9,4.22609027777778
2015-01-01,5.2,4.91192361111111
2015-02-01,5.2,5.01759027777778
2015-03-01,4.8,4.65886805555556
2015-04-01,4,3.6501875
2015-05-01,4.6,4.45435416666667
2015-06-01,3.9,3.94636805555556
2015-07-01,4.3,4.11975694444444
2015-08-01,4,4.15542361111111
2015-09-01,4.1,4.26175694444444
2015-10-01,4,4.28075694444444
2015-11-01,4,4.31692361111111
2015-12-01,4,4.32609027777778
2016-01-01,4.3,4.01192361111111
2016-02-01,4.7,4.51759027777778
2016-03-01,4.3,4.15886805555556
2016-04-01,4.5,4.1501875
2016-05-01,4.7,4.55435416666667
2016-06-01,3.7,3.74636805555556
2016-07-01,4.3,4.11975694444444
2016-08-01,4.2,4.35542361111111
2016-09-01,4.2,4.36175694444445
2016-10-01,4.3,4.58075694444444
2016-11-01,3.9,4.21692361111111
2016-12-01,4,4.32609027777778
2017-01-01,4.2,3.91192361111111
2017-02-01,4,3.81759027777778
2017-03-01,3.9,3.75886805555556
2017-04-01,3.9,3.5501875
2017-05-01,3.2,3.05435416666667
2017-06-01,3.4,3.44636805555556
2017-07-01,4,3.81975694444444
2017-08-01,3.9,4.05542361111111
