"date","value","deseasonalized_value"
1990-01-01,8.4,6.23807452147526
1990-02-01,8,6.11057452147526
1990-03-01,8,6.11265435340803
1990-04-01,7.3,6.69721317693744
1990-05-01,5.4,6.2403504318394
1990-06-01,5.5,5.9012572945845
1990-07-01,5.2,5.9886697595705
1990-08-01,5,6.05605071195145
1990-09-01,5.2,6.47271737861811
1990-10-01,4.8,6.42295547385621
1990-11-01,5.6,6.67045547385621
1990-12-01,8.4,7.88902690242764
1991-01-01,10.8,8.63807452147526
1991-02-01,10.3,8.41057452147526
1991-03-01,10.3,8.41265435340803
1991-04-01,9.7,9.09721317693744
1991-05-01,8,8.8403504318394
1991-06-01,8.8,9.2012572945845
1991-07-01,7.7,8.4886697595705
1991-08-01,7.8,8.85605071195145
1991-09-01,7.9,9.17271737861811
1991-10-01,7.1,8.72295547385621
1991-11-01,7.9,8.97045547385621
1991-12-01,8.9,8.38902690242764
1992-01-01,11.6,9.43807452147526
1992-02-01,11.3,9.41057452147526
1992-03-01,11.1,9.21265435340803
1992-04-01,9.1,8.49721317693744
1992-05-01,6.9,7.7403504318394
1992-06-01,8.3,8.7012572945845
1992-07-01,7.3,8.08866975957049
1992-08-01,7.3,8.35605071195145
1992-09-01,7.5,8.77271737861811
1992-10-01,6.5,8.12295547385621
1992-11-01,7.3,8.37045547385621
1992-12-01,8.8,8.28902690242764
1993-01-01,12,9.83807452147526
1993-02-01,11,9.11057452147526
1993-03-01,11,9.11265435340803
1993-04-01,9.5,8.89721317693744
1993-05-01,7.1,7.9403504318394
1993-06-01,8.4,8.8012572945845
1993-07-01,6.7,7.4886697595705
1993-08-01,5.9,6.95605071195145
1993-09-01,6.1,7.37271737861811
1993-10-01,5.6,7.22295547385621
1993-11-01,5.8,6.87045547385621
1993-12-01,7.7,7.18902690242764
1994-01-01,10.5,8.33807452147526
1994-02-01,10.1,8.21057452147526
1994-03-01,9.8,7.91265435340803
1994-04-01,7.4,6.79721317693744
1994-05-01,4.7,5.5403504318394
1994-06-01,5.4,5.8012572945845
1994-07-01,5,5.7886697595705
1994-08-01,4.7,5.75605071195145
1994-09-01,4.7,5.97271737861811
1994-10-01,4,5.62295547385621
1994-11-01,4.1,5.17045547385621
1994-12-01,6.7,6.18902690242764
1995-01-01,9.5,7.33807452147526
1995-02-01,8.4,6.51057452147526
1995-03-01,8.2,6.31265435340803
1995-04-01,7.2,6.59721317693744
1995-05-01,4.5,5.3403504318394
1995-06-01,5.2,5.6012572945845
1995-07-01,4.7,5.4886697595705
1995-08-01,4.3,5.35605071195145
1995-09-01,4.4,5.67271737861811
1995-10-01,4,5.62295547385621
1995-11-01,5.1,6.17045547385621
1995-12-01,7.2,6.68902690242764
1996-01-01,9.6,7.43807452147526
1996-02-01,9.4,7.51057452147526
1996-03-01,10,8.11265435340803
1996-04-01,8.1,7.49721317693744
1996-05-01,5.3,6.1403504318394
1996-06-01,5.3,5.7012572945845
1996-07-01,5.6,6.38866975957049
1996-08-01,4.3,5.35605071195145
1996-09-01,4.4,5.67271737861811
1996-10-01,4.1,5.72295547385621
1996-11-01,4.9,5.97045547385621
1996-12-01,7,6.48902690242764
1997-01-01,8.7,6.53807452147526
1997-02-01,7.7,5.81057452147526
1997-03-01,8.1,6.21265435340803
1997-04-01,6.8,6.19721317693744
1997-05-01,4.2,5.0403504318394
1997-06-01,4.8,5.2012572945845
1997-07-01,4,4.7886697595705
1997-08-01,3.8,4.85605071195145
1997-09-01,3.7,4.97271737861811
1997-10-01,3,4.62295547385621
1997-11-01,3.5,4.57045547385621
1997-12-01,5.2,4.68902690242764
1998-01-01,7.8,5.63807452147526
1998-02-01,7.2,5.31057452147526
1998-03-01,8.1,6.21265435340803
1998-04-01,5.5,4.89721317693744
1998-05-01,3.6,4.4403504318394
1998-06-01,4.4,4.8012572945845
1998-07-01,3.5,4.2886697595705
1998-08-01,3.2,4.25605071195145
1998-09-01,3.3,4.57271737861811
1998-10-01,3.5,5.12295547385621
1998-11-01,4.2,5.27045547385621
1998-12-01,6.1,5.58902690242764
1999-01-01,7.9,5.73807452147526
1999-02-01,7.2,5.31057452147526
1999-03-01,7.2,5.31265435340803
1999-04-01,6.5,5.89721317693744
1999-05-01,5,5.8403504318394
1999-06-01,5.2,5.6012572945845
1999-07-01,4.6,5.38866975957049
1999-08-01,3.7,4.75605071195145
1999-09-01,3.6,4.87271737861811
1999-10-01,2.9,4.52295547385621
