"date","value","deseasonalized_value"
1990-01-01,4.4,3.57776056255836
1990-02-01,4.4,3.74990341970121
1990-03-01,3.7,3.10581028244631
1990-04-01,2.8,2.68926616479925
1990-05-01,2.4,2.71022204715219
1990-06-01,2.1,2.11071224323063
1990-07-01,2,2.31847484827264
1990-08-01,2.5,2.89145103874883
1990-09-01,2.7,3.08883199112979
1990-10-01,2.6,3.09621294351074
1990-11-01,3.2,3.6103796101774
1990-12-01,3.2,3.05097484827264
1991-01-01,2.7,1.87776056255836
1991-02-01,2.7,2.04990341970121
1991-03-01,3.2,2.60581028244631
1991-04-01,2.7,2.58926616479925
1991-05-01,2.7,3.01022204715219
1991-06-01,2.1,2.11071224323063
1991-07-01,1.9,2.21847484827264
1991-08-01,1.9,2.29145103874883
1991-09-01,1.8,2.18883199112979
1991-10-01,2.3,2.79621294351074
1991-11-01,2.3,2.7103796101774
1991-12-01,2.9,2.75097484827264
1992-01-01,3.1,2.27776056255836
1992-02-01,3.2,2.54990341970121
1992-03-01,2.7,2.10581028244631
1992-04-01,2.3,2.18926616479925
1992-05-01,1.5,1.81022204715219
1992-06-01,2.8,2.81071224323063
1992-07-01,2.6,2.91847484827264
1992-08-01,2.2,2.59145103874883
1992-09-01,2.4,2.78883199112979
1992-10-01,2.5,2.99621294351074
1992-11-01,2.4,2.8103796101774
1992-12-01,2.2,2.05097484827264
1993-01-01,2.9,2.07776056255836
1993-02-01,3.1,2.44990341970121
1993-03-01,2.6,2.00581028244631
1993-04-01,2,1.88926616479925
1993-05-01,1.3,1.61022204715219
1993-06-01,1.4,1.41071224323063
1993-07-01,1.3,1.61847484827264
1993-08-01,1.4,1.79145103874883
1993-09-01,1,1.38883199112979
1993-10-01,1.2,1.69621294351074
1993-11-01,1,1.4103796101774
1993-12-01,1.4,1.25097484827264
1994-01-01,1.5,0.677760562558357
1994-02-01,1.6,0.949903419701214
1994-03-01,1.9,1.30581028244631
1994-04-01,1.7,1.58926616479925
1994-05-01,1.4,1.71022204715219
1994-06-01,2,2.01071224323063
1994-07-01,1.9,2.21847484827264
1994-08-01,1.9,2.29145103874883
1994-09-01,1.6,1.98883199112979
1994-10-01,1.5,1.99621294351074
1994-11-01,2,2.4103796101774
1994-12-01,2.6,2.45097484827264
1995-01-01,3.4,2.57776056255836
1995-02-01,3.1,2.44990341970121
1995-03-01,2.9,2.30581028244631
1995-04-01,2.8,2.68926616479925
1995-05-01,2.8,3.11022204715219
1995-06-01,2.9,2.91071224323063
1995-07-01,2.4,2.71847484827264
1995-08-01,2.5,2.89145103874883
1995-09-01,2.9,3.28883199112979
1995-10-01,2.9,3.39621294351074
1995-11-01,2.3,2.7103796101774
1995-12-01,2.8,2.65097484827264
1996-01-01,3.9,3.07776056255836
1996-02-01,4,3.34990341970121
1996-03-01,3.8,3.20581028244631
1996-04-01,2.6,2.48926616479925
1996-05-01,1.8,2.11022204715219
1996-06-01,1.8,1.81071224323063
1996-07-01,2,2.31847484827264
1996-08-01,1.9,2.29145103874883
1996-09-01,1.9,2.28883199112979
1996-10-01,2.2,2.69621294351074
1996-11-01,2.1,2.5103796101774
1996-12-01,2.9,2.75097484827264
1997-01-01,4.1,3.27776056255836
1997-02-01,3.7,3.04990341970121
1997-03-01,3.7,3.10581028244631
1997-04-01,3.2,3.08926616479925
1997-05-01,2.2,2.51022204715219
1997-06-01,2.2,2.21071224323063
