"date","value","deseasonalized_value"
1990-01-01,2.1,1.75771825396825
1990-02-01,1.9,1.53462301587302
1990-03-01,1.6,1.08069094304388
1990-04-01,1.4,1.30422035480859
1990-05-01,1,1.07015172735761
1990-06-01,1,0.797357609710551
1990-07-01,0.8,1.07855158730159
1990-08-01,0.9,1.2028373015873
1990-09-01,0.6,0.991051587301587
1990-10-01,0.9,1.44748015873016
1990-11-01,2.4,2.52343253968254
1990-12-01,2.1,1.91188492063492
1991-01-01,3.5,3.15771825396825
1991-02-01,2.6,2.23462301587302
1991-03-01,2.6,2.08069094304388
1991-04-01,2.5,2.40422035480859
1991-05-01,2.5,2.57015172735761
1991-06-01,2.1,1.89735760971055
1991-07-01,2.6,2.87855158730159
1991-08-01,2.6,2.9028373015873
1991-09-01,1.9,2.29105158730159
1991-10-01,1.5,2.04748015873016
1991-11-01,2.4,2.52343253968254
1991-12-01,2.5,2.31188492063492
1992-01-01,3.1,2.75771825396825
1992-02-01,2.9,2.53462301587302
1992-03-01,2.9,2.38069094304388
1992-04-01,2.3,2.20422035480859
1992-05-01,1.9,1.97015172735761
1992-06-01,2.1,1.89735760971055
1992-07-01,1.7,1.97855158730159
1992-08-01,1.9,2.2028373015873
1992-09-01,1.9,2.29105158730159
1992-10-01,1.5,2.04748015873016
1992-11-01,1.8,1.92343253968254
1992-12-01,2.6,2.41188492063492
1993-01-01,2.2,1.85771825396825
1993-02-01,2.7,2.33462301587302
1993-03-01,3.1,2.58069094304388
1993-04-01,2.4,2.30422035480859
1993-05-01,2.1,2.17015172735761
1993-06-01,2.2,1.99735760971055
1993-07-01,1.7,1.97855158730159
1993-08-01,1.3,1.6028373015873
1993-09-01,1.6,1.99105158730159
1993-10-01,2.1,2.64748015873016
1993-11-01,2.8,2.92343253968254
1993-12-01,2.7,2.51188492063492
1994-01-01,2,1.65771825396825
1994-02-01,2.1,1.73462301587302
1994-03-01,2.4,1.88069094304388
1994-04-01,1.8,1.70422035480859
1994-05-01,1.6,1.67015172735761
1994-06-01,2.1,1.89735760971055
1994-07-01,2,2.27855158730159
1994-08-01,1.7,2.0028373015873
1994-09-01,1.8,2.19105158730159
1994-10-01,1.7,2.24748015873016
1994-11-01,2.1,2.22343253968254
1994-12-01,2.2,2.01188492063492
1995-01-01,2.2,1.85771825396825
1995-02-01,1.9,1.53462301587302
1995-03-01,2.1,1.58069094304388
1995-04-01,2.3,2.20422035480859
1995-05-01,1.6,1.67015172735761
1995-06-01,1.4,1.19735760971055
1995-07-01,1,1.27855158730159
1995-08-01,1.2,1.5028373015873
1995-09-01,1.5,1.89105158730159
1995-10-01,1.7,2.24748015873016
1995-11-01,1.6,1.72343253968254
1995-12-01,1.9,1.71188492063492
1996-01-01,1.7,1.35771825396825
1996-02-01,1.8,1.43462301587302
1996-03-01,2.4,1.88069094304388
1996-04-01,1.7,1.60422035480859
1996-05-01,1.8,1.87015172735761
1996-06-01,1.8,1.59735760971055
1996-07-01,1.5,1.77855158730159
1996-08-01,1.6,1.9028373015873
1996-09-01,1.6,1.99105158730159
1996-10-01,1.6,2.14748015873016
1996-11-01,1.5,1.62343253968254
1996-12-01,1.8,1.61188492063492
1997-01-01,1.9,1.55771825396825
1997-02-01,1.8,1.43462301587302
1997-03-01,2.2,1.68069094304388
1997-04-01,2.5,2.40422035480859
1997-05-01,3.7,3.77015172735761
1997-06-01,2.8,2.59735760971055
1997-07-01,2.6,2.87855158730159
1997-08-01,2,2.3028373015873
1997-09-01,1.9,2.29105158730159
1997-10-01,1.7,2.24748015873016
1997-11-01,2.2,2.32343253968254
1997-12-01,2,1.81188492063492
1998-01-01,3,2.65771825396825
1998-02-01,2.8,2.43462301587302
1998-03-01,3,2.48069094304388
1998-04-01,2.1,2.00422035480859
1998-05-01,1.9,1.97015172735761
1998-06-01,2.2,1.99735760971055
1998-07-01,1.7,1.97855158730159
1998-08-01,1.7,2.0028373015873
1998-09-01,1.7,2.09105158730159
1998-10-01,1.9,2.44748015873016
1998-11-01,3.6,3.72343253968254
1998-12-01,3.6,3.41188492063492
1999-01-01,2.8,2.45771825396825
1999-02-01,3.9,3.53462301587302
1999-03-01,4.2,3.68069094304388
1999-04-01,3.1,3.00422035480859
1999-05-01,3.4,3.47015172735761
1999-06-01,3.2,2.99735760971055
1999-07-01,1.9,2.17855158730159
1999-08-01,1.6,1.9028373015873
1999-09-01,1.9,2.29105158730159
1999-10-01,1.5,2.04748015873016
1999-11-01,1.8,1.92343253968254
1999-12-01,1.9,1.71188492063492
2000-01-01,3.3,2.95771825396825
2000-02-01,3.2,2.83462301587302
2000-03-01,2.9,2.38069094304388
2000-04-01,2.8,2.70422035480859
2000-05-01,2.5,2.57015172735761
2000-06-01,3.2,2.99735760971055
2000-07-01,2.5,2.77855158730159
2000-08-01,2.6,2.9028373015873
2000-09-01,2.6,2.99105158730159
2000-10-01,2,2.54748015873016
2000-11-01,2.2,2.32343253968254
2000-12-01,1.9,1.71188492063492
2001-01-01,3,2.65771825396825
2001-02-01,3.3,2.93462301587302
2001-03-01,3.3,2.78069094304388
2001-04-01,2.5,2.40422035480859
2001-05-01,2.3,2.37015172735761
2001-06-01,2.9,2.69735760971055
2001-07-01,1.9,2.17855158730159
2001-08-01,2.2,2.5028373015873
2001-09-01,1.7,2.09105158730159
2001-10-01,2,2.54748015873016
2001-11-01,3,3.12343253968254
2001-12-01,3.3,3.11188492063492
2002-01-01,3.8,3.45771825396825
2002-02-01,3.3,2.93462301587302
2002-03-01,4.4,3.88069094304388
2002-04-01,3.4,3.30422035480859
2002-05-01,2.9,2.97015172735761
2002-06-01,3.9,3.69735760971055
2002-07-01,3,3.27855158730159
2002-08-01,2.7,3.0028373015873
2002-09-01,2.7,3.09105158730159
2002-10-01,2.4,2.94748015873016
2002-11-01,2.9,3.02343253968254
2002-12-01,2.9,2.71188492063492
2003-01-01,3.1,2.75771825396825
2003-02-01,2.9,2.53462301587302
2003-03-01,3.5,2.98069094304388
2003-04-01,2.6,2.50422035480859
2003-05-01,2.4,2.47015172735761
2003-06-01,3.2,2.99735760971055
2003-07-01,2.5,2.77855158730159
2003-08-01,3.1,3.4028373015873
2003-09-01,2.7,3.09105158730159
2003-10-01,2.3,2.84748015873016
2003-11-01,2.8,2.92343253968254
2003-12-01,3,2.81188492063492
2004-01-01,2.9,2.55771825396825
2004-02-01,2.8,2.43462301587302
2004-03-01,3.3,2.78069094304388
2004-04-01,2.7,2.60422035480859
2004-05-01,2.3,2.37015172735761
2004-06-01,2.9,2.69735760971055
2004-07-01,1.9,2.17855158730159
2004-08-01,2.4,2.7028373015873
2004-09-01,2.1,2.49105158730159
2004-10-01,1.8,2.34748015873016
2004-11-01,2.2,2.32343253968254
