"date","value","deseasonalized_value"
1994-01-01,11.7,11.8702658303465
1994-02-01,11.4,11.5533303464755
1994-03-01,11.5,11.6320982676225
1994-04-01,11.3,10.9612649342891
1994-05-01,10.9,10.6408482676225
1994-06-01,11,10.8505704898447
1994-07-01,10.8,10.7316905615293
1994-08-01,10.6,10.5988948626045
1994-09-01,10.4,10.4346475507766
1994-10-01,10.4,10.4831690561529
1994-11-01,10.1,10.2065561529271
1994-12-01,10.1,10.2366636798088
1995-01-01,10.1,10.2702658303465
1995-02-01,9.9,10.0533303464755
1995-03-01,9.9,10.0320982676225
1995-04-01,10.1,9.76126493428913
1995-05-01,10.1,9.84084826762246
1995-06-01,10.1,9.95057048984468
1995-07-01,10.1,10.0316905615293
1995-08-01,10.1,10.0988948626045
1995-09-01,10.2,10.2346475507766
1995-10-01,10,10.0831690561529
1995-11-01,10.1,10.2065561529271
1995-12-01,10,10.1366636798088
1996-01-01,9.8,9.97026583034648
1996-02-01,10,10.1533303464755
1996-03-01,9.9,10.0320982676225
1996-04-01,10,9.66126493428913
1996-05-01,9.8,9.54084826762246
1996-06-01,9.7,9.55057048984468
1996-07-01,9.7,9.63169056152927
1996-08-01,9.4,9.39889486260454
1996-09-01,9.5,9.53464755077658
1996-10-01,9.5,9.58316905615293
1996-11-01,9.4,9.50655615292712
1996-12-01,9.6,9.73666367980884
1997-01-01,9.4,9.57026583034648
1997-02-01,9.3,9.45333034647551
1997-03-01,9.1,9.23209826762246
1997-04-01,9.3,8.96126493428913
1997-05-01,8.9,8.64084826762246
1997-06-01,8.9,8.75057048984468
1997-07-01,8.7,8.63169056152927
1997-08-01,8.7,8.69889486260454
1997-09-01,8.7,8.73464755077658
1997-10-01,8.5,8.58316905615293
1997-11-01,8.4,8.50655615292712
1997-12-01,8.5,8.63666367980884
1998-01-01,8.4,8.57026583034648
1998-02-01,8.3,8.45333034647551
1998-03-01,8.4,8.53209826762246
1998-04-01,8,7.66126493428913
1998-05-01,8,7.74084826762246
1998-06-01,8.1,7.95057048984468
1998-07-01,8.2,8.13169056152927
1998-08-01,7.9,7.89889486260454
1998-09-01,8,8.03464755077658
1998-10-01,7.9,7.98316905615293
1998-11-01,7.7,7.80655615292712
1998-12-01,7.6,7.73666367980884
1999-01-01,7.6,7.77026583034648
1999-02-01,7.7,7.85333034647551
1999-03-01,7.5,7.63209826762246
1999-04-01,7.7,7.36126493428913
1999-05-01,7.4,7.14084826762246
1999-06-01,7.5,7.35057048984468
1999-07-01,7.5,7.43169056152927
1999-08-01,7.3,7.29889486260454
1999-09-01,7.4,7.43464755077658
1999-10-01,7.2,7.28316905615293
1999-11-01,7.2,7.30655615292712
1999-12-01,7.1,7.23666367980884
2000-01-01,7,7.17026583034648
2000-02-01,7.1,7.25333034647551
2000-03-01,7.1,7.23209826762246
2000-04-01,6.9,6.56126493428913
2000-05-01,7.1,6.84084826762246
2000-06-01,7,6.85057048984468
2000-07-01,7,6.93169056152927
2000-08-01,7.1,7.09889486260454
2000-09-01,7,7.03464755077658
2000-10-01,6.8,6.88316905615293
2000-11-01,7.1,7.20655615292712
2000-12-01,6.9,7.03666367980884
2001-01-01,7.3,7.47026583034648
2001-02-01,7.3,7.45333034647551
2001-03-01,7.3,7.43209826762246
2001-04-01,7.4,7.06126493428913
2001-05-01,7.5,7.24084826762246
2001-06-01,7.9,7.75057048984468
2001-07-01,7.9,7.83169056152927
2001-08-01,8.2,8.19889486260454
2001-09-01,8.7,8.73464755077658
2001-10-01,9.3,9.38316905615293
2001-11-01,9.4,9.50655615292712
2001-12-01,9.6,9.73666367980884
2002-01-01,9.4,9.57026583034648
2002-02-01,9.5,9.65333034647551
2002-03-01,9.4,9.53209826762246
2002-04-01,9.7,9.36126493428913
2002-05-01,9.6,9.34084826762246
2002-06-01,9.5,9.35057048984468
2002-07-01,9.6,9.53169056152927
2002-08-01,9.6,9.59889486260454
2002-09-01,9.6,9.63464755077658
2002-10-01,9.6,9.68316905615293
2002-11-01,9.8,9.90655615292712
2002-12-01,9.8,9.93666367980884
2003-01-01,9.9,10.0702658303465
2003-02-01,10.1,10.2533303464755
2003-03-01,10,10.1320982676225
2003-04-01,10.2,9.86126493428913
2003-05-01,10.1,9.84084826762246
2003-06-01,10.3,10.1505704898447
2003-07-01,10.3,10.2316905615293
2003-08-01,10.1,10.0988948626045
2003-09-01,10.4,10.4346475507766
2003-10-01,10.2,10.2831690561529
2003-11-01,10.1,10.2065561529271
2003-12-01,9.8,9.93666367980884
2004-01-01,9.8,9.97026583034648
2004-02-01,9.7,9.85333034647551
