county,date,unemployment_rate,sahm_value
Barbour County,1990-01-01T00:00:00.000Z,7.2,NaN
Barbour County,1990-02-01T00:00:00.000Z,7.1,NaN
Barbour County,1990-03-01T00:00:00.000Z,6.2,NaN
Barbour County,1990-04-01T00:00:00.000Z,7.5,NaN
Barbour County,1990-05-01T00:00:00.000Z,7.7,NaN
Barbour County,1990-06-01T00:00:00.000Z,9,NaN
Barbour County,1990-07-01T00:00:00.000Z,7.9,NaN
Barbour County,1990-08-01T00:00:00.000Z,9.1,NaN
Barbour County,1990-09-01T00:00:00.000Z,9.1,NaN
Barbour County,1990-10-01T00:00:00.000Z,8.3,NaN
Barbour County,1990-11-01T00:00:00.000Z,7.8,NaN
Barbour County,1990-12-01T00:00:00.000Z,7.6,NaN
Barbour County,1991-01-01T00:00:00.000Z,8.5,NaN
Barbour County,1991-02-01T00:00:00.000Z,9.1,NaN
Barbour County,1991-03-01T00:00:00.000Z,9.5,2.2000000000000037
Barbour County,1991-04-01T00:00:00.000Z,7.5,1.7666666666666693
Barbour County,1991-05-01T00:00:00.000Z,8.2,1.2666666666666684
Barbour County,1991-06-01T00:00:00.000Z,9.4,0.4666666666666659
Barbour County,1991-07-01T00:00:00.000Z,7.9,0.5999999999999988
Barbour County,1991-08-01T00:00:00.000Z,9.1,0.8999999999999995
Barbour County,1991-09-01T00:00:00.000Z,8.2,0.4999999999999991
Barbour County,1991-10-01T00:00:00.000Z,8.6,0.7333333333333316
Barbour County,1991-11-01T00:00:00.000Z,9.1,0.7333333333333316
Barbour County,1991-12-01T00:00:00.000Z,8.7,0.8999999999999995
Barbour County,1992-01-01T00:00:00.000Z,10.4,1.433333333333331
Barbour County,1992-02-01T00:00:00.000Z,11.1,1.6999999999999993
Barbour County,1992-03-01T00:00:00.000Z,9.1,1.8333333333333321
Barbour County,1992-04-01T00:00:00.000Z,9.1,1.3999999999999986
Barbour County,1992-05-01T00:00:00.000Z,9.4,0.8333333333333321
Barbour County,1992-06-01T00:00:00.000Z,12.6,1.9999999999999982
Barbour County,1992-07-01T00:00:00.000Z,12.2,2.9999999999999982
Barbour County,1992-08-01T00:00:00.000Z,11.9,3.833333333333332
Barbour County,1992-09-01T00:00:00.000Z,11,3.299999999999999
Barbour County,1992-10-01T00:00:00.000Z,10.5,2.5
Barbour County,1992-11-01T00:00:00.000Z,10.3,1.9666666666666686
Barbour County,1992-12-01T00:00:00.000Z,10.8,1.7333333333333343
Barbour County,1993-01-01T00:00:00.000Z,12.6,2.033333333333335
Barbour County,1993-02-01T00:00:00.000Z,12.2,2.666666666666668
Barbour County,1993-03-01T00:00:00.000Z,10.4,2.533333333333335
Barbour County,1993-04-01T00:00:00.000Z,10.1,1.7000000000000028
Barbour County,1993-05-01T00:00:00.000Z,10,0.9666666666666686
Barbour County,1993-06-01T00:00:00.000Z,10.5,0.033333333333333215
Barbour County,1993-07-01T00:00:00.000Z,13.1,1.0333333333333332
Barbour County,1993-08-01T00:00:00.000Z,9.1,0.7333333333333343
Barbour County,1993-09-01T00:00:00.000Z,8.5,0.06666666666666643
Barbour County,1993-10-01T00:00:00.000Z,8.4,0
Barbour County,1993-11-01T00:00:00.000Z,7.5,0
Barbour County,1993-12-01T00:00:00.000Z,7.4,0
Barbour County,1994-01-01T00:00:00.000Z,8.1,0
Barbour County,1994-02-01T00:00:00.000Z,7.3,0
Barbour County,1994-03-01T00:00:00.000Z,7,0
