county,date,unemployment_rate,sahm_value
Bibb County,1990-01-01T00:00:00.000Z,12.6,NaN
Bibb County,1990-02-01T00:00:00.000Z,9.6,NaN
Bibb County,1990-03-01T00:00:00.000Z,5.3,NaN
Bibb County,1990-04-01T00:00:00.000Z,5.6,NaN
Bibb County,1990-05-01T00:00:00.000Z,4.9,NaN
Bibb County,1990-06-01T00:00:00.000Z,6.2,NaN
Bibb County,1990-07-01T00:00:00.000Z,5.6,NaN
Bibb County,1990-08-01T00:00:00.000Z,15.9,NaN
Bibb County,1990-09-01T00:00:00.000Z,9.2,NaN
Bibb County,1990-10-01T00:00:00.000Z,9.3,NaN
Bibb County,1990-11-01T00:00:00.000Z,12.5,NaN
Bibb County,1990-12-01T00:00:00.000Z,12.8,NaN
Bibb County,1991-01-01T00:00:00.000Z,14.8,NaN
Bibb County,1991-02-01T00:00:00.000Z,16.4,NaN
Bibb County,1991-03-01T00:00:00.000Z,15.7,10.366666666666667
Bibb County,1991-04-01T00:00:00.000Z,11.6,9.300000000000004
Bibb County,1991-05-01T00:00:00.000Z,9.4,6.9666666666666694
Bibb County,1991-06-01T00:00:00.000Z,10.4,4.900000000000004
Bibb County,1991-07-01T00:00:00.000Z,10.1,4.400000000000004
Bibb County,1991-08-01T00:00:00.000Z,9.9,0.9000000000000057
Bibb County,1991-09-01T00:00:00.000Z,9.4,0
Bibb County,1991-10-01T00:00:00.000Z,8.7,0
Bibb County,1991-11-01T00:00:00.000Z,10.6,0.2333333333333325
Bibb County,1991-12-01T00:00:00.000Z,13,1.4333333333333336
Bibb County,1992-01-01T00:00:00.000Z,15.4,3.666666666666668
Bibb County,1992-02-01T00:00:00.000Z,12.2,4.199999999999999
Bibb County,1992-03-01T00:00:00.000Z,9.7,3.0999999999999996
Bibb County,1992-04-01T00:00:00.000Z,9.8,1.2333333333333343
Bibb County,1992-05-01T00:00:00.000Z,9.3,0.2666666666666675
Bibb County,1992-06-01T00:00:00.000Z,10.7,0.6000000000000014
Bibb County,1992-07-01T00:00:00.000Z,9.6,0.533333333333335
Bibb County,1992-08-01T00:00:00.000Z,12.2,1.5
Bibb County,1992-09-01T00:00:00.000Z,8.6,0.8000000000000007
Bibb County,1992-10-01T00:00:00.000Z,9.7,0.8333333333333321
Bibb County,1992-11-01T00:00:00.000Z,12.4,0.6666666666666661
Bibb County,1992-12-01T00:00:00.000Z,12.8,2.0333333333333297
Bibb County,1993-01-01T00:00:00.000Z,15.7,4.03333333333333
Bibb County,1993-02-01T00:00:00.000Z,15.7,5.133333333333329
Bibb County,1993-03-01T00:00:00.000Z,13.7,5.433333333333328
Bibb County,1993-04-01T00:00:00.000Z,12.3,4.299999999999995
Bibb County,1993-05-01T00:00:00.000Z,10.9,2.6999999999999975
Bibb County,1993-06-01T00:00:00.000Z,11.8,1.7999999999999972
Bibb County,1993-07-01T00:00:00.000Z,11,1.3666666666666618
Bibb County,1993-08-01T00:00:00.000Z,10.5,0.9666666666666632
Bibb County,1993-09-01T00:00:00.000Z,10,0.3666666666666636
Bibb County,1993-10-01T00:00:00.000Z,9.1,0
Bibb County,1993-11-01T00:00:00.000Z,8.7,0
Bibb County,1993-12-01T00:00:00.000Z,8.5,0
Bibb County,1994-01-01T00:00:00.000Z,11.1,0.6666666666666679
Bibb County,1994-02-01T00:00:00.000Z,8.2,0.5
Bibb County,1994-03-01T00:00:00.000Z,7.1,0.03333333333333499
Bibb County,1994-04-01T00:00:00.000Z,7.2,0
Bibb County,1994-05-01T00:00:00.000Z,6.8,0
Bibb County,1994-06-01T00:00:00.000Z,8,0.2999999999999998
Bibb County,1994-07-01T00:00:00.000Z,7.1,0.2666666666666657
Bibb County,1994-08-01T00:00:00.000Z,7.7,0.5666666666666655
Bibb County,1994-09-01T00:00:00.000Z,7.3,0.33333333333333215
Bibb County,1994-10-01T00:00:00.000Z,7.2,0.36666666666666625
Bibb County,1994-11-01T00:00:00.000Z,6.8,0.06666666666666643
Bibb County,1994-12-01T00:00:00.000Z,7.8,0.2333333333333334
Bibb County,1995-01-01T00:00:00.000Z,8.8,0.7666666666666675
Bibb County,1995-02-01T00:00:00.000Z,6.7,0.7333333333333334
Bibb County,1995-03-01T00:00:00.000Z,6.6,0.3333333333333339
Bibb County,1995-04-01T00:00:00.000Z,5.8,0
Bibb County,1995-05-01T00:00:00.000Z,5.7,0
Bibb County,1995-06-01T00:00:00.000Z,7.4,0.2666666666666675
Bibb County,1995-07-01T00:00:00.000Z,6.2,0.40000000000000036
Bibb County,1995-08-01T00:00:00.000Z,7.5,1
Bibb County,1995-09-01T00:00:00.000Z,5.7,0.43333333333333357
Bibb County,1995-10-01T00:00:00.000Z,5.5,0.20000000000000107
Bibb County,1995-11-01T00:00:00.000Z,5.8,0
Bibb County,1995-12-01T00:00:00.000Z,6.9,0.39999999999999947
Bibb County,1996-01-01T00:00:00.000Z,9.3,1.666666666666666
Bibb County,1996-02-01T00:00:00.000Z,9.4,2.8666666666666663
Bibb County,1996-03-01T00:00:00.000Z,8.1,3.2666666666666666
Bibb County,1996-04-01T00:00:00.000Z,7,2.499999999999999
Bibb County,1996-05-01T00:00:00.000Z,6.8,1.6333333333333329
Bibb County,1996-06-01T00:00:00.000Z,7.1,1.299999999999999
Bibb County,1996-07-01T00:00:00.000Z,6.3,1.0666666666666664
Bibb County,1996-08-01T00:00:00.000Z,7,1.1333333333333329
Bibb County,1996-09-01T00:00:00.000Z,6.4,0.8999999999999995
Bibb County,1996-10-01T00:00:00.000Z,6.4,0.9333333333333336
Bibb County,1996-11-01T00:00:00.000Z,6,0.5999999999999996
Bibb County,1996-12-01T00:00:00.000Z,5.7,0
Bibb County,1997-01-01T00:00:00.000Z,8.6,0.7333333333333325
Bibb County,1997-02-01T00:00:00.000Z,8,1.3999999999999995
Bibb County,1997-03-01T00:00:00.000Z,7.7,2.0666666666666655
Bibb County,1997-04-01T00:00:00.000Z,6.6,1.3999999999999995
Bibb County,1997-05-01T00:00:00.000Z,6.1,0.7666666666666666
Bibb County,1997-06-01T00:00:00.000Z,7.7,0.7666666666666666
Bibb County,1997-07-01T00:00:00.000Z,9.3,1.6666666666666679
Bibb County,1997-08-01T00:00:00.000Z,8.8,2.5666666666666673
Bibb County,1997-09-01T00:00:00.000Z,7.2,2.4000000000000012
Bibb County,1997-10-01T00:00:00.000Z,6.8,1.5666666666666673
Bibb County,1997-11-01T00:00:00.000Z,6.1,0.6666666666666679
Bibb County,1997-12-01T00:00:00.000Z,6.2,0.3333333333333339
Bibb County,1998-01-01T00:00:00.000Z,8.4,0.5333333333333341
Bibb County,1998-02-01T00:00:00.000Z,8.8,1.4333333333333353
Bibb County,1998-03-01T00:00:00.000Z,7,1.700000000000002
Bibb County,1998-04-01T00:00:00.000Z,7.4,1.366666666666669
Bibb County,1998-05-01T00:00:00.000Z,5.7,0.3333333333333348
Bibb County,1998-06-01T00:00:00.000Z,8.1,0.7000000000000011
Bibb County,1998-07-01T00:00:00.000Z,8.4,1.033333333333334
Bibb County,1998-08-01T00:00:00.000Z,7,1.4666666666666677
Bibb County,1998-09-01T00:00:00.000Z,6.3,0.8666666666666671
Bibb County,1998-10-01T00:00:00.000Z,6.6,0.2666666666666675
Bibb County,1998-11-01T00:00:00.000Z,6.2,0
Bibb County,1998-12-01T00:00:00.000Z,5.7,0
Bibb County,1999-01-01T00:00:00.000Z,7.6,0.33333333333333304
Bibb County,1999-02-01T00:00:00.000Z,8,0.9333333333333336
Bibb County,1999-03-01T00:00:00.000Z,7,1.3666666666666671
Bibb County,1999-04-01T00:00:00.000Z,7.3,1.2666666666666666
Bibb County,1999-05-01T00:00:00.000Z,6.4,0.7333333333333343
Bibb County,1999-06-01T00:00:00.000Z,7.9,1.033333333333334
Bibb County,1999-07-01T00:00:00.000Z,7.2,1
