county,date,unemployment_rate,sahm_value
Bullock County,1990-01-01T00:00:00.000Z,11.6,NaN
Bullock County,1990-02-01T00:00:00.000Z,11,NaN
Bullock County,1990-03-01T00:00:00.000Z,9.3,NaN
Bullock County,1990-04-01T00:00:00.000Z,10.4,NaN
Bullock County,1990-05-01T00:00:00.000Z,9.3,NaN
Bullock County,1990-06-01T00:00:00.000Z,14.1,NaN
Bullock County,1990-07-01T00:00:00.000Z,15.1,NaN
Bullock County,1990-08-01T00:00:00.000Z,14.4,NaN
Bullock County,1990-09-01T00:00:00.000Z,13.7,NaN
Bullock County,1990-10-01T00:00:00.000Z,12.9,NaN
Bullock County,1990-11-01T00:00:00.000Z,14.1,NaN
Bullock County,1990-12-01T00:00:00.000Z,13.7,NaN
Bullock County,1991-01-01T00:00:00.000Z,11.8,NaN
Bullock County,1991-02-01T00:00:00.000Z,18.9,NaN
Bullock County,1991-03-01T00:00:00.000Z,17.2,6.300000000000001
Bullock County,1991-04-01T00:00:00.000Z,15.9,7.666666666666668
Bullock County,1991-05-01T00:00:00.000Z,17.2,7.100000000000001
Bullock County,1991-06-01T00:00:00.000Z,22.1,7.133333333333335
Bullock County,1991-07-01T00:00:00.000Z,22.1,7.633333333333336
Bullock County,1991-08-01T00:00:00.000Z,22.5,9.033333333333335
Bullock County,1991-09-01T00:00:00.000Z,19.4,8.133333333333336
Bullock County,1991-10-01T00:00:00.000Z,19.6,7.300000000000001
Bullock County,1991-11-01T00:00:00.000Z,19.4,6.266666666666669
Bullock County,1991-12-01T00:00:00.000Z,16.9,5.433333333333334
Bullock County,1992-01-01T00:00:00.000Z,15.5,4.066666666666666
Bullock County,1992-02-01T00:00:00.000Z,16.9,1.6333333333333346
Bullock County,1992-03-01T00:00:00.000Z,13.2,0
Bullock County,1992-04-01T00:00:00.000Z,11.7,0
Bullock County,1992-05-01T00:00:00.000Z,11.4,0
Bullock County,1992-06-01T00:00:00.000Z,15.3,0.7000000000000011
Bullock County,1992-07-01T00:00:00.000Z,16.3,2.2333333333333343
Bullock County,1992-08-01T00:00:00.000Z,16.1,3.8000000000000025
Bullock County,1992-09-01T00:00:00.000Z,15.1,3.733333333333338
Bullock County,1992-10-01T00:00:00.000Z,15,3.3000000000000025
Bullock County,1992-11-01T00:00:00.000Z,16.1,3.3000000000000025
Bullock County,1992-12-01T00:00:00.000Z,15.7,3.5
Bullock County,1993-01-01T00:00:00.000Z,13.8,3.0999999999999996
Bullock County,1993-02-01T00:00:00.000Z,12.9,2.0333333333333314
Bullock County,1993-03-01T00:00:00.000Z,12,0.7999999999999972
Bullock County,1993-04-01T00:00:00.000Z,11.6,0.06666666666666288
Bullock County,1993-05-01T00:00:00.000Z,11.5,0
Bullock County,1993-06-01T00:00:00.000Z,15.5,1.166666666666666
Bullock County,1993-07-01T00:00:00.000Z,16.2,2.6999999999999993
Bullock County,1993-08-01T00:00:00.000Z,16.5,4.366666666666665
Bullock County,1993-09-01T00:00:00.000Z,15.3,4.299999999999999
Bullock County,1993-10-01T00:00:00.000Z,17.4,4.700000000000001
Bullock County,1993-11-01T00:00:00.000Z,16.7,4.7666666666666675
Bullock County,1993-12-01T00:00:00.000Z,15.9,4.966666666666667
Bullock County,1994-01-01T00:00:00.000Z,14.6,4.033333333333335
Bullock County,1994-02-01T00:00:00.000Z,13.9,3.100000000000003
Bullock County,1994-03-01T00:00:00.000Z,12.5,1.9666666666666703
Bullock County,1994-04-01T00:00:00.000Z,11,0.7666666666666693
Bullock County,1994-05-01T00:00:00.000Z,9.7,0
Bullock County,1994-06-01T00:00:00.000Z,15.5,1
Bullock County,1994-07-01T00:00:00.000Z,16.4,2.8000000000000007
Bullock County,1994-08-01T00:00:00.000Z,17.2,5.299999999999999
Bullock County,1994-09-01T00:00:00.000Z,15.3,5.233333333333336
Bullock County,1994-10-01T00:00:00.000Z,15.8,5.033333333333337
Bullock County,1994-11-01T00:00:00.000Z,15.2,4.366666666666671
Bullock County,1994-12-01T00:00:00.000Z,13.9,3.900000000000004
Bullock County,1995-01-01T00:00:00.000Z,14.9,3.600000000000005
Bullock County,1995-02-01T00:00:00.000Z,12.6,2.733333333333338
Bullock County,1995-03-01T00:00:00.000Z,18.5,4.266666666666671
Bullock County,1995-04-01T00:00:00.000Z,16.4,4.766666666666671
Bullock County,1995-05-01T00:00:00.000Z,12.4,4.700000000000003
Bullock County,1995-06-01T00:00:00.000Z,17.9,3.5000000000000036
Bullock County,1995-07-01T00:00:00.000Z,16.8,1.8999999999999986
Bullock County,1995-08-01T00:00:00.000Z,18.4,3.899999999999997
Bullock County,1995-09-01T00:00:00.000Z,16.6,3.466666666666667
Bullock County,1995-10-01T00:00:00.000Z,15.6,3.066666666666668
Bullock County,1995-11-01T00:00:00.000Z,18,2.9333333333333353
Bullock County,1995-12-01T00:00:00.000Z,20.7,4.299999999999999
Bullock County,1996-01-01T00:00:00.000Z,15.1,4.133333333333331
Bullock County,1996-02-01T00:00:00.000Z,14,2.799999999999999
Bullock County,1996-03-01T00:00:00.000Z,12.6,0
Bullock County,1996-04-01T00:00:00.000Z,11.2,0
Bullock County,1996-05-01T00:00:00.000Z,11.1,0
Bullock County,1996-06-01T00:00:00.000Z,13.7,0.36666666666666714
Bullock County,1996-07-01T00:00:00.000Z,14,1.3000000000000007
Bullock County,1996-08-01T00:00:00.000Z,13.5,2.0999999999999996
Bullock County,1996-09-01T00:00:00.000Z,12.9,1.833333333333334
Bullock County,1996-10-01T00:00:00.000Z,13.1,1.533333333333335
Bullock County,1996-11-01T00:00:00.000Z,14.1,1.7333333333333343
Bullock County,1996-12-01T00:00:00.000Z,27,6.433333333333335
Bullock County,1997-01-01T00:00:00.000Z,10.5,5.566666666666668
Bullock County,1997-02-01T00:00:00.000Z,9.6,4.066666666666668
Bullock County,1997-03-01T00:00:00.000Z,8.4,0
Bullock County,1997-04-01T00:00:00.000Z,7.2,0
Bullock County,1997-05-01T00:00:00.000Z,7.5,0
Bullock County,1997-06-01T00:00:00.000Z,9.9,0.5
Bullock County,1997-07-01T00:00:00.000Z,11.3,1.8666666666666671
Bullock County,1997-08-01T00:00:00.000Z,12.5,3.533333333333333
Bullock County,1997-09-01T00:00:00.000Z,11.1,3.9333333333333353
Bullock County,1997-10-01T00:00:00.000Z,12.8,4.433333333333335
Bullock County,1997-11-01T00:00:00.000Z,12.2,4.333333333333336
Bullock County,1997-12-01T00:00:00.000Z,10.6,4.16666666666667
Bullock County,1998-01-01T00:00:00.000Z,9.1,2.9333333333333353
Bullock County,1998-02-01T00:00:00.000Z,8.2,1.6000000000000014
Bullock County,1998-03-01T00:00:00.000Z,8.1,0.7666666666666675
Bullock County,1998-04-01T00:00:00.000Z,6.6,0
Bullock County,1998-05-01T00:00:00.000Z,7,0
Bullock County,1998-06-01T00:00:00.000Z,11,0.9666666666666668
Bullock County,1998-07-01T00:00:00.000Z,13.4,3.2333333333333325
Bullock County,1998-08-01T00:00:00.000Z,14.2,5.633333333333335
Bullock County,1998-09-01T00:00:00.000Z,12.6,6.166666666666668
Bullock County,1998-10-01T00:00:00.000Z,12.9,6.000000000000002
Bullock County,1998-11-01T00:00:00.000Z,11.9,5.233333333333336
Bullock County,1998-12-01T00:00:00.000Z,10.6,4.566666666666668
Bullock County,1999-01-01T00:00:00.000Z,10,3.600000000000003
Bullock County,1999-02-01T00:00:00.000Z,9.3,2.733333333333336
Bullock County,1999-03-01T00:00:00.000Z,7.8,1.8000000000000043
Bullock County,1999-04-01T00:00:00.000Z,6.8,0.7333333333333378
Bullock County,1999-05-01T00:00:00.000Z,6.5,0
Bullock County,1999-06-01T00:00:00.000Z,10,0.7333333333333334
Bullock County,1999-07-01T00:00:00.000Z,11.9,2.4333333333333336
Bullock County,1999-08-01T00:00:00.000Z,12.5,4.433333333333334
Bullock County,1999-09-01T00:00:00.000Z,11.2,4.833333333333334
Bullock County,1999-10-01T00:00:00.000Z,11.2,4.6
Bullock County,1999-11-01T00:00:00.000Z,11.4,4.2333333333333325
Bullock County,1999-12-01T00:00:00.000Z,10.5,4.000000000000002
Bullock County,2000-01-01T00:00:00.000Z,8.2,3.0000000000000018
Bullock County,2000-02-01T00:00:00.000Z,7.3,1.6333333333333346
Bullock County,2000-03-01T00:00:00.000Z,6.6,0.3333333333333348
Bullock County,2000-04-01T00:00:00.000Z,5.8,0
Bullock County,2000-05-01T00:00:00.000Z,6,0
Bullock County,2000-06-01T00:00:00.000Z,9,0.8000000000000007
Bullock County,2000-07-01T00:00:00.000Z,9.8,2.1333333333333346
Bullock County,2000-08-01T00:00:00.000Z,10.9,3.7666666666666675
Bullock County,2000-09-01T00:00:00.000Z,9,3.7666666666666675
Bullock County,2000-10-01T00:00:00.000Z,9.6,3.6999999999999993
Bullock County,2000-11-01T00:00:00.000Z,10.2,3.466666666666667
Bullock County,2000-12-01T00:00:00.000Z,10.2,3.8666666666666654
Bullock County,2001-01-01T00:00:00.000Z,9.8,3.933333333333332
Bullock County,2001-02-01T00:00:00.000Z,8.4,3.333333333333332
Bullock County,2001-03-01T00:00:00.000Z,7.9,2.5666666666666664
Bullock County,2001-04-01T00:00:00.000Z,6.7,1.5333333333333323
Bullock County,2001-05-01T00:00:00.000Z,6.7,0.9666666666666659
Bullock County,2001-06-01T00:00:00.000Z,9.7,0.7666666666666657
Bullock County,2001-07-01T00:00:00.000Z,10.8,1.9666666666666677
Bullock County,2001-08-01T00:00:00.000Z,12.5,3.900000000000003
Bullock County,2001-09-01T00:00:00.000Z,10.8,4.26666666666667
Bullock County,2001-10-01T00:00:00.000Z,11.4,4.4666666666666694
Bullock County,2001-11-01T00:00:00.000Z,12.3,4.400000000000003
Bullock County,2001-12-01T00:00:00.000Z,11.8,4.733333333333335
Bullock County,2002-01-01T00:00:00.000Z,11.2,4.666666666666669
Bullock County,2002-02-01T00:00:00.000Z,9.6,3.7666666666666666
Bullock County,2002-03-01T00:00:00.000Z,8.6,2.7
Bullock County,2002-04-01T00:00:00.000Z,7.9,1.6000000000000005
Bullock County,2002-05-01T00:00:00.000Z,8.5,1.2333333333333334
Bullock County,2002-06-01T00:00:00.000Z,10.6,1.299999999999999
Bullock County,2002-07-01T00:00:00.000Z,11,1.700000000000001
Bullock County,2002-08-01T00:00:00.000Z,11.7,2.7666666666666675
Bullock County,2002-09-01T00:00:00.000Z,10.3,2.6666666666666696
Bullock County,2002-10-01T00:00:00.000Z,10.3,2.4333333333333353
Bullock County,2002-11-01T00:00:00.000Z,11,2.200000000000001
Bullock County,2002-12-01T00:00:00.000Z,10.7,2.3333333333333357
Bullock County,2003-01-01T00:00:00.000Z,10.6,2.4333333333333353
Bullock County,2003-02-01T00:00:00.000Z,10.4,2.2333333333333343
Bullock County,2003-03-01T00:00:00.000Z,9.2,1.7333333333333343
Bullock County,2003-04-01T00:00:00.000Z,8.5,1.0333333333333332
Bullock County,2003-05-01T00:00:00.000Z,9.3,0.6666666666666679
Bullock County,2003-06-01T00:00:00.000Z,11.1,0.6333333333333364
Bullock County,2003-07-01T00:00:00.000Z,11.6,1.6666666666666679
Bullock County,2003-08-01T00:00:00.000Z,12.4,2.700000000000001
Bullock County,2003-09-01T00:00:00.000Z,11.3,2.7666666666666675
Bullock County,2003-10-01T00:00:00.000Z,11.7,2.799999999999999
Bullock County,2003-11-01T00:00:00.000Z,12.3,2.7666666666666675
Bullock County,2003-12-01T00:00:00.000Z,11.9,2.966666666666667
Bullock County,2004-01-01T00:00:00.000Z,12.9,3.366666666666669
Bullock County,2004-02-01T00:00:00.000Z,11.4,3.066666666666668
Bullock County,2004-03-01T00:00:00.000Z,10.7,2.666666666666668
Bullock County,2004-04-01T00:00:00.000Z,9.4,1.5000000000000018
Bullock County,2004-05-01T00:00:00.000Z,9.1,0.7333333333333361
Bullock County,2004-06-01T00:00:00.000Z,10.3,0
Bullock County,2004-07-01T00:00:00.000Z,12.3,0.9666666666666668
Bullock County,2004-08-01T00:00:00.000Z,12,1.9333333333333336
Bullock County,2004-09-01T00:00:00.000Z,11.7,2.4000000000000004
Bullock County,2004-10-01T00:00:00.000Z,12,2.299999999999999
Bullock County,2004-11-01T00:00:00.000Z,12.8,2.5666666666666647
Bullock County,2004-12-01T00:00:00.000Z,11.7,2.5666666666666647
Bullock County,2005-01-01T00:00:00.000Z,10.9,2.1999999999999975
Bullock County,2005-02-01T00:00:00.000Z,10.3,1.3666666666666636
Bullock County,2005-03-01T00:00:00.000Z,8.2,0.1999999999999975
Bullock County,2005-04-01T00:00:00.000Z,7.4,0
Bullock County,2005-05-01T00:00:00.000Z,7.5,0
Bullock County,2005-06-01T00:00:00.000Z,9.2,0.33333333333333304
Bullock County,2005-07-01T00:00:00.000Z,10.5,1.3666666666666663
Bullock County,2005-08-01T00:00:00.000Z,10.2,2.2666666666666666
Bullock County,2005-09-01T00:00:00.000Z,9.5,2.3666666666666663
Bullock County,2005-10-01T00:00:00.000Z,9.6,2.0666666666666673
Bullock County,2005-11-01T00:00:00.000Z,10.3,2.1000000000000005
Bullock County,2005-12-01T00:00:00.000Z,9.3,2.033333333333334
Bullock County,2006-01-01T00:00:00.000Z,9.2,1.9000000000000012
Bullock County,2006-02-01T00:00:00.000Z,8.7,1.366666666666668
Bullock County,2006-03-01T00:00:00.000Z,7.3,0.7000000000000002
Bullock County,2006-04-01T00:00:00.000Z,6.7,0
Bullock County,2006-05-01T00:00:00.000Z,6.6,0
Bullock County,2006-06-01T00:00:00.000Z,8.8,0.5
Bullock County,2006-07-01T00:00:00.000Z,10.7,1.833333333333333
Bullock County,2006-08-01T00:00:00.000Z,9.9,2.9333333333333327
Bullock County,2006-09-01T00:00:00.000Z,8.9,2.966666666666666
Bullock County,2006-10-01T00:00:00.000Z,9.4,2.533333333333334
Bullock County,2006-11-01T00:00:00.000Z,10.3,2.6666666666666687
Bullock County,2006-12-01T00:00:00.000Z,9.4,2.833333333333333
Bullock County,2007-01-01T00:00:00.000Z,10.1,3.0666666666666673
Bullock County,2007-02-01T00:00:00.000Z,8.7,2.533333333333334
Bullock County,2007-03-01T00:00:00.000Z,8.3,2.1666666666666687
Bullock County,2007-04-01T00:00:00.000Z,7.5,1.3000000000000016
Bullock County,2007-05-01T00:00:00.000Z,7.3,0.8333333333333357
Bullock County,2007-06-01T00:00:00.000Z,9.4,0.7000000000000037
Bullock County,2007-07-01T00:00:00.000Z,11.4,1.666666666666667
Bullock County,2007-08-01T00:00:00.000Z,11.2,2.966666666666666
Bullock County,2007-09-01T00:00:00.000Z,10.3,3.2666666666666666
Bullock County,2007-10-01T00:00:00.000Z,10.5,2.966666666666666
Bullock County,2007-11-01T00:00:00.000Z,10.7,2.8
Bullock County,2007-12-01T00:00:00.000Z,10.2,2.7666666666666666
Bullock County,2008-01-01T00:00:00.000Z,10.3,2.7
Bullock County,2008-02-01T00:00:00.000Z,8.9,2.0999999999999988
Bullock County,2008-03-01T00:00:00.000Z,8.3,1.466666666666666
Bullock County,2008-04-01T00:00:00.000Z,7,0.36666666666666625
Bullock County,2008-05-01T00:00:00.000Z,7.9,0.033333333333333215
Bullock County,2008-06-01T00:00:00.000Z,10.1,0.6000000000000005
