county,date,unemployment_rate,sahm_value
Butler County,1990-01-01T00:00:00.000Z,13.9,NaN
Butler County,1990-02-01T00:00:00.000Z,13.6,NaN
Butler County,1990-03-01T00:00:00.000Z,12.5,NaN
Butler County,1990-04-01T00:00:00.000Z,13.1,NaN
Butler County,1990-05-01T00:00:00.000Z,11.9,NaN
Butler County,1990-06-01T00:00:00.000Z,12.9,NaN
Butler County,1990-07-01T00:00:00.000Z,12,NaN
Butler County,1990-08-01T00:00:00.000Z,14.6,NaN
Butler County,1990-09-01T00:00:00.000Z,13.7,NaN
Butler County,1990-10-01T00:00:00.000Z,13,NaN
Butler County,1990-11-01T00:00:00.000Z,11.9,NaN
Butler County,1990-12-01T00:00:00.000Z,11.8,NaN
Butler County,1991-01-01T00:00:00.000Z,12.5,NaN
Butler County,1991-02-01T00:00:00.000Z,14,NaN
Butler County,1991-03-01T00:00:00.000Z,12.3,0.8666666666666671
Butler County,1991-04-01T00:00:00.000Z,12.9,1
Butler County,1991-05-01T00:00:00.000Z,10.4,0
Butler County,1991-06-01T00:00:00.000Z,11.8,0
Butler County,1991-07-01T00:00:00.000Z,11.7,0
Butler County,1991-08-01T00:00:00.000Z,12.8,0.8000000000000025
Butler County,1991-09-01T00:00:00.000Z,11.4,0.6666666666666696
Butler County,1991-10-01T00:00:00.000Z,11.4,0.56666666666667
Butler County,1991-11-01T00:00:00.000Z,11.1,1.7763568394002505e-15
Butler County,1991-12-01T00:00:00.000Z,12.2,0.26666666666667105
Butler County,1992-01-01T00:00:00.000Z,12.7,0.7000000000000028
Butler County,1992-02-01T00:00:00.000Z,12.6,1.2000000000000028
Butler County,1992-03-01T00:00:00.000Z,11.9,1.1000000000000032
Butler County,1992-04-01T00:00:00.000Z,11.3,0.6333333333333382
Butler County,1992-05-01T00:00:00.000Z,12,0.4333333333333371
Butler County,1992-06-01T00:00:00.000Z,13.3,0.9000000000000057
Butler County,1992-07-01T00:00:00.000Z,10.9,0.7666666666666728
Butler County,1992-08-01T00:00:00.000Z,12,0.766666666666671
Butler County,1992-09-01T00:00:00.000Z,11.4,0.1333333333333382
Butler County,1992-10-01T00:00:00.000Z,12.5,0.6666666666666714
Butler County,1992-11-01T00:00:00.000Z,12.3,0.7666666666666728
Butler County,1992-12-01T00:00:00.000Z,12.5,1.0000000000000018
Butler County,1993-01-01T00:00:00.000Z,13.3,1.266666666666671
Butler County,1993-02-01T00:00:00.000Z,13.4,1.6333333333333382
Butler County,1993-03-01T00:00:00.000Z,11.9,1.4333333333333371
Butler County,1993-04-01T00:00:00.000Z,11.6,0.8666666666666689
Butler County,1993-05-01T00:00:00.000Z,11.4,0.20000000000000284
Butler County,1993-06-01T00:00:00.000Z,11.8,0.1666666666666714
Butler County,1993-07-01T00:00:00.000Z,10.1,0
Butler County,1993-08-01T00:00:00.000Z,10.1,0
Butler County,1993-09-01T00:00:00.000Z,9.5,0
Butler County,1993-10-01T00:00:00.000Z,9.5,0
Butler County,1993-11-01T00:00:00.000Z,8.2,0
Butler County,1993-12-01T00:00:00.000Z,8.9,0
Butler County,1994-01-01T00:00:00.000Z,9.9,0.13333333333333286
Butler County,1994-02-01T00:00:00.000Z,9.6,0.5999999999999996
Butler County,1994-03-01T00:00:00.000Z,9,0.6333333333333329
Butler County,1994-04-01T00:00:00.000Z,9.5,0.5
Butler County,1994-05-01T00:00:00.000Z,7.9,0
Butler County,1994-06-01T00:00:00.000Z,8.8,0
Butler County,1994-07-01T00:00:00.000Z,9.3,0
Butler County,1994-08-01T00:00:00.000Z,8.9,0.33333333333333215
Butler County,1994-09-01T00:00:00.000Z,8.5,0.2333333333333325
Butler County,1994-10-01T00:00:00.000Z,9.6,0.33333333333333215
Butler County,1994-11-01T00:00:00.000Z,8.8,0.3000000000000007
