county,date,unemployment_rate,sahm_value
Cherokee County,1990-01-01T00:00:00.000Z,8.3,NaN
Cherokee County,1990-02-01T00:00:00.000Z,7.6,NaN
Cherokee County,1990-03-01T00:00:00.000Z,15.4,NaN
Cherokee County,1990-04-01T00:00:00.000Z,6.8,NaN
Cherokee County,1990-05-01T00:00:00.000Z,9,NaN
Cherokee County,1990-06-01T00:00:00.000Z,16.2,NaN
Cherokee County,1990-07-01T00:00:00.000Z,12.8,NaN
Cherokee County,1990-08-01T00:00:00.000Z,10.8,NaN
Cherokee County,1990-09-01T00:00:00.000Z,8.7,NaN
Cherokee County,1990-10-01T00:00:00.000Z,7.6,NaN
Cherokee County,1990-11-01T00:00:00.000Z,7.9,NaN
Cherokee County,1990-12-01T00:00:00.000Z,7.5,NaN
Cherokee County,1991-01-01T00:00:00.000Z,10.1,NaN
Cherokee County,1991-02-01T00:00:00.000Z,7.9,NaN
Cherokee County,1991-03-01T00:00:00.000Z,6.6,0.5333333333333323
Cherokee County,1991-04-01T00:00:00.000Z,7.5,0
Cherokee County,1991-05-01T00:00:00.000Z,6.2,0
Cherokee County,1991-06-01T00:00:00.000Z,7.3,0.2333333333333325
Cherokee County,1991-07-01T00:00:00.000Z,18.1,3.7666666666666666
Cherokee County,1991-08-01T00:00:00.000Z,7.4,4.166666666666667
Cherokee County,1991-09-01T00:00:00.000Z,6.4,3.866666666666668
Cherokee County,1991-10-01T00:00:00.000Z,7.5,0.3333333333333339
Cherokee County,1991-11-01T00:00:00.000Z,8.5,0.7000000000000011
Cherokee County,1991-12-01T00:00:00.000Z,8.2,1.2999999999999998
Cherokee County,1992-01-01T00:00:00.000Z,8.5,1.6333333333333337
Cherokee County,1992-02-01T00:00:00.000Z,7.2,1.2000000000000002
Cherokee County,1992-03-01T00:00:00.000Z,7.5,0.9666666666666668
Cherokee County,1992-04-01T00:00:00.000Z,8,0.8000000000000007
Cherokee County,1992-05-01T00:00:00.000Z,7,0.7333333333333343
Cherokee County,1992-06-01T00:00:00.000Z,7.3,0.43333333333333535
Cherokee County,1992-07-01T00:00:00.000Z,6.9,0
Cherokee County,1992-08-01T00:00:00.000Z,7.3,0.09999999999999964
Cherokee County,1992-09-01T00:00:00.000Z,6.5,0
Cherokee County,1992-10-01T00:00:00.000Z,6.2,0
Cherokee County,1992-11-01T00:00:00.000Z,6.2,0
Cherokee County,1992-12-01T00:00:00.000Z,6.2,0
Cherokee County,1993-01-01T00:00:00.000Z,7.1,0.29999999999999893
Cherokee County,1993-02-01T00:00:00.000Z,9.3,1.333333333333333
Cherokee County,1993-03-01T00:00:00.000Z,6.1,1.299999999999999
Cherokee County,1993-04-01T00:00:00.000Z,5.6,0.7999999999999989
Cherokee County,1993-05-01T00:00:00.000Z,6.1,0
Cherokee County,1993-06-01T00:00:00.000Z,6.6,0.16666666666666696
Cherokee County,1993-07-01T00:00:00.000Z,5,0
Cherokee County,1993-08-01T00:00:00.000Z,5.8,0
Cherokee County,1993-09-01T00:00:00.000Z,4.6,0
Cherokee County,1993-10-01T00:00:00.000Z,4.6,0
Cherokee County,1993-11-01T00:00:00.000Z,7.7,0.6333333333333337
Cherokee County,1993-12-01T00:00:00.000Z,6.4,1.2333333333333343
Cherokee County,1994-01-01T00:00:00.000Z,9.7,2.9333333333333345
Cherokee County,1994-02-01T00:00:00.000Z,8.9,3.333333333333335
Cherokee County,1994-03-01T00:00:00.000Z,7.3,3.6333333333333355
Cherokee County,1994-04-01T00:00:00.000Z,5.6,2.26666666666667
Cherokee County,1994-05-01T00:00:00.000Z,4.6,0.8333333333333366
Cherokee County,1994-06-01T00:00:00.000Z,6.7,0.6333333333333364
Cherokee County,1994-07-01T00:00:00.000Z,6.2,0.8333333333333366
Cherokee County,1994-08-01T00:00:00.000Z,6.1,1.3333333333333366
Cherokee County,1994-09-01T00:00:00.000Z,5,0.7666666666666702
Cherokee County,1994-10-01T00:00:00.000Z,5,0.3666666666666707
Cherokee County,1994-11-01T00:00:00.000Z,4.5,0
Cherokee County,1994-12-01T00:00:00.000Z,5.5,0.16666666666666607
Cherokee County,1995-01-01T00:00:00.000Z,8.6,1.3666666666666663
Cherokee County,1995-02-01T00:00:00.000Z,7.7,2.4333333333333327
Cherokee County,1995-03-01T00:00:00.000Z,5,2.2666666666666657
Cherokee County,1995-04-01T00:00:00.000Z,5,1.0666666666666655
Cherokee County,1995-05-01T00:00:00.000Z,4.6,0.03333333333333233
Cherokee County,1995-06-01T00:00:00.000Z,5.4,0.16666666666666607
Cherokee County,1995-07-01T00:00:00.000Z,13.3,2.9333333333333327
Cherokee County,1995-08-01T00:00:00.000Z,5.4,3.1999999999999984
Cherokee County,1995-09-01T00:00:00.000Z,5.2,3.133333333333332
Cherokee County,1995-10-01T00:00:00.000Z,5.4,0.4999999999999982
Cherokee County,1995-11-01T00:00:00.000Z,5,0.36666666666666536
Cherokee County,1995-12-01T00:00:00.000Z,4.3,0.033333333333333215
Cherokee County,1996-01-01T00:00:00.000Z,4.6,0
Cherokee County,1996-02-01T00:00:00.000Z,4.8,0
Cherokee County,1996-03-01T00:00:00.000Z,4.4,0.033333333333333215
Cherokee County,1996-04-01T00:00:00.000Z,4.9,0.13333333333333286
Cherokee County,1996-05-01T00:00:00.000Z,4,0
Cherokee County,1996-06-01T00:00:00.000Z,5.3,0.29999999999999893
Cherokee County,1996-07-01T00:00:00.000Z,4.6,0.1999999999999993
