county,date,unemployment_rate,sahm_value
Price County,1990-01-01T00:00:00.000Z,6.5,NaN
Price County,1990-02-01T00:00:00.000Z,6.6,NaN
Price County,1990-03-01T00:00:00.000Z,7.3,NaN
Price County,1990-04-01T00:00:00.000Z,6.7,NaN
Price County,1990-05-01T00:00:00.000Z,4.7,NaN
Price County,1990-06-01T00:00:00.000Z,4.1,NaN
Price County,1990-07-01T00:00:00.000Z,3.4,NaN
Price County,1990-08-01T00:00:00.000Z,3.9,NaN
Price County,1990-09-01T00:00:00.000Z,3.6,NaN
Price County,1990-10-01T00:00:00.000Z,4.4,NaN
Price County,1990-11-01T00:00:00.000Z,5.7,NaN
Price County,1990-12-01T00:00:00.000Z,6.9,NaN
Price County,1991-01-01T00:00:00.000Z,9.2,NaN
Price County,1991-02-01T00:00:00.000Z,9.7,NaN
Price County,1991-03-01T00:00:00.000Z,10.7,6.2333333333333325
Price County,1991-04-01T00:00:00.000Z,9.1,6.200000000000001
Price County,1991-05-01T00:00:00.000Z,7.1,5.333333333333334
Price County,1991-06-01T00:00:00.000Z,7.1,4.133333333333333
Price County,1991-07-01T00:00:00.000Z,5.5,2.933333333333333
Price County,1991-08-01T00:00:00.000Z,4.5,2.066666666666666
Price County,1991-09-01T00:00:00.000Z,4.4,1.1666666666666656
Price County,1991-10-01T00:00:00.000Z,6.8,1.2666666666666662
Price County,1991-11-01T00:00:00.000Z,7,1.5
Price County,1991-12-01T00:00:00.000Z,8.4,2.6000000000000005
Price County,1992-01-01T00:00:00.000Z,8.6,3.1999999999999993
Price County,1992-02-01T00:00:00.000Z,8.6,3.7333333333333334
Price County,1992-03-01T00:00:00.000Z,8.5,3.7666666666666666
Price County,1992-04-01T00:00:00.000Z,7.6,3.4333333333333345
Price County,1992-05-01T00:00:00.000Z,5.8,2.5
Price County,1992-06-01T00:00:00.000Z,6.2,1.7333333333333334
Price County,1992-07-01T00:00:00.000Z,5.5,1.0333333333333332
Price County,1992-08-01T00:00:00.000Z,5,0.7666666666666657
Price County,1992-09-01T00:00:00.000Z,4.6,0.2333333333333325
Price County,1992-10-01T00:00:00.000Z,4.4,0
Price County,1992-11-01T00:00:00.000Z,4.7,0
Price County,1992-12-01T00:00:00.000Z,5.3,0.2333333333333334
Price County,1993-01-01T00:00:00.000Z,7.3,1.1999999999999993
Price County,1993-02-01T00:00:00.000Z,7.8,2.2333333333333334
Price County,1993-03-01T00:00:00.000Z,7.1,2.833333333333332
Price County,1993-04-01T00:00:00.000Z,8.1,3.099999999999998
Price County,1993-05-01T00:00:00.000Z,6.5,2.6666666666666643
Price County,1993-06-01T00:00:00.000Z,6,2.299999999999999
Price County,1993-07-01T00:00:00.000Z,4.3,1.0333333333333314
Price County,1993-08-01T00:00:00.000Z,4.4,0.33333333333333215
Price County,1993-09-01T00:00:00.000Z,3.8,0
Price County,1993-10-01T00:00:00.000Z,3.8,0
Price County,1993-11-01T00:00:00.000Z,4.7,0.10000000000000009
Price County,1993-12-01T00:00:00.000Z,6.8,1.1
Price County,1994-01-01T00:00:00.000Z,9.9,3.1333333333333333
Price County,1994-02-01T00:00:00.000Z,9.4,4.700000000000001
Price County,1994-03-01T00:00:00.000Z,9.2,5.5
Price County,1994-04-01T00:00:00.000Z,8.4,5
Price County,1994-05-01T00:00:00.000Z,6.7,4.100000000000001
Price County,1994-06-01T00:00:00.000Z,6.1,3.0666666666666678
Price County,1994-07-01T00:00:00.000Z,5.4,2.0666666666666678
Price County,1994-08-01T00:00:00.000Z,5.8,1.766666666666668
Price County,1994-09-01T00:00:00.000Z,5.4,1.5333333333333354
Price County,1994-10-01T00:00:00.000Z,4.5,1.2333333333333347
Price County,1994-11-01T00:00:00.000Z,5.1,0.9000000000000021
Price County,1994-12-01T00:00:00.000Z,5.5,0.033333333333333215
Price County,1995-01-01T00:00:00.000Z,6.9,0.8333333333333339
Price County,1995-02-01T00:00:00.000Z,6.8,1.4000000000000004
Price County,1995-03-01T00:00:00.000Z,7.7,2.133333333333333
Price County,1995-04-01T00:00:00.000Z,7.9,2.466666666666667
Price County,1995-05-01T00:00:00.000Z,5.8,2.133333333333333
Price County,1995-06-01T00:00:00.000Z,5.3,1.333333333333334
Price County,1995-07-01T00:00:00.000Z,4.3,0.13333333333333286
Price County,1995-08-01T00:00:00.000Z,4,0
Price County,1995-09-01T00:00:00.000Z,3.4,0
Price County,1995-10-01T00:00:00.000Z,3.8,0
Price County,1995-11-01T00:00:00.000Z,4.3,0.09999999999999964
Price County,1995-12-01T00:00:00.000Z,4.5,0.46666666666666634
Price County,1996-01-01T00:00:00.000Z,7.1,1.566666666666666
Price County,1996-02-01T00:00:00.000Z,10.4,3.600000000000001
Price County,1996-03-01T00:00:00.000Z,7.3,4.533333333333333
Price County,1996-04-01T00:00:00.000Z,7.9,4.800000000000001
Price County,1996-05-01T00:00:00.000Z,6.3,3.433333333333334
Price County,1996-06-01T00:00:00.000Z,7.4,3.466666666666668
Price County,1996-07-01T00:00:00.000Z,8.6,3.7000000000000006
Price County,1996-08-01T00:00:00.000Z,5.3,3.3666666666666676
Price County,1996-09-01T00:00:00.000Z,3.6,2.100000000000001
Price County,1996-10-01T00:00:00.000Z,3.1,0.2666666666666675
Price County,1996-11-01T00:00:00.000Z,3.8,0
Price County,1996-12-01T00:00:00.000Z,5,0.4666666666666668
