County,SeriesId
Autauga County,ALAUTA1URN
Baldwin County,ALBALD0URN
Barbour County,ALBARB5URN
Bibb County,ALBIBB7URN
Blount County,ALBLOU9URN
Bullock County,ALBULL1URN
Butler County,ALBUTL3URN
Calhoun County,ALCALH5URN
Chambers County,ALCHAM7URN
Cherokee County,ALCHER9URN
Chilton County,ALCHIL1URN
Choctaw County,ALCHOC3URN
Clarke County,ALCLAR5URN
Clay County,ALCLAY7URN
Cleburne County,ALCLEB9URN
Coffee County,ALCOFF1URN
Colbert County,ALCOLB0URN
Conecuh County,ALCONE5URN
Coosa County,ALCOOS7URN
Covington County,ALCOVI9URN
Crenshaw County,ALCREN1URN
Cullman County,ALCULL0URN
Dale County,ALDALE5URN
Dallas County,ALDALL0URN
DeKalb County,ALDEKA7URN
Elmore County,ALELMO1URN
Escambia County,ALESCA3URN
Etowah County,ALETOW1URN
Fayette County,ALFAYE7URN
Franklin County,ALFRAN9URN
Geneva County,ALGENE1URN
Greene County,ALGREE3URN
Hale County,ALHALE5URN
Henry County,ALHENR7URN
Houston County,ALHOUS5URN
Jackson County,ALJACK7URN
Jefferson County,ALJEFF5URN
Lamar County,ALLAMA5URN
Lauderdale County,ALLAUD0URN
Lawrence County,ALLAWR9URN
Lee County,ALLEEC5URN
Limestone County,ALLIME3URN
Lowndes County,ALLOWN5URN
Macon County,ALMACO7URN
Madison County,ALMADI9URN
Marengo County,ALMARE1URN
Marion County,ALMARI3URN
Marshall County,ALMARS0URN
Mobile County,ALMOBI7URN
Monroe County,ALMONR9URN
Montgomery County,ALMONT1URN
Morgan County,ALMORG5URN
Perry County,ALPERR5URN
Pickens County,ALPICK7URN
Pike County,ALPIKE9URN
Randolph County,ALRAND1URN
Russell County,ALRUSS3URN
Shelby County,ALSHEL0URN
St. Clair County,ALSTCL5URN
Sumter County,ALSUMT9URN
Talladega County,ALTALL0URN
Tallapoosa County,ALTALL3URN
Tuscaloosa County,ALTUSC2URN
Walker County,ALWALK5URN
Washington County,ALWASH9URN
Wilcox County,ALWILC1URN
Winston County,ALWINS3URN
Aleutians East Borough,AKALEU3URN
Aleutians West Census Area,AKALEU0URN
Anchorage Municipality,
Bethel Census Area,AKBETH0URN
Bristol Bay Borough,AKBRIS0URN
Chugach Census Area,AKJUNE0URN
Copper River Census Area,AKKETC0URN
Denali Borough,AKDENA8URN
Dillingham Census Area,AKDILL0URN
Fairbanks North Star Borough,AKFAIR0URN
Haines Borough,AKHAIN0URN
Hoonah-Angoon Census Area,LAUCN021050000000003
Juneau City and Borough,
Kenai Peninsula Borough,AKKENA2URN
Ketchikan Gateway Borough,AKKETC0URN
Kodiak Island Borough,AKKODI0URN
Kusilvak Census Area,
Lake and Peninsula Borough,AKLAKE4URN
Matanuska-Susitna Borough,AKMATA0URN
Nome Census Area,AKNOME0URN
North Slope Borough,AKNORT5URN
Northwest Arctic Borough,AKNORT8URN
Petersburg Borough,
Prince of Wales-Hyder Census Area,LAUCN021980000000003
Sitka City and Borough,
Skagway Municipality,
Southeast Fairbanks Census Area,AKSOUT0URN
Wrangell City and Borough,
Yakutat City and Borough,AKYAKA2URN
Yukon-Koyukuk Census Area,AKYUKO0URN
Eastern District,
Manu'a District,
Rose Island,
Swains Island,
Western District,
Apache County,AZAPAC0URN
Cochise County,AZCOCH0URN
Coconino County,AZCOCO0URN
Gila County,AZGILA7URN
Graham County,AZGRAH9URN
Greenlee County,AZGREE1URN
La Paz County,AZLAPA2URN
