"date","value","deseasonalized_value"
1990-01-01,6.5,6.28235702614379
1990-02-01,6.4,6.1949795751634
1990-03-01,5.6,5.70564133986928
1990-04-01,6.6,6.89473447712418
1990-05-01,6.1,6.43529820261438
1990-06-01,7.2,6.79167075163399
1990-07-01,6,5.82164624183007
1990-08-01,6.8,6.49081290849673
1990-09-01,7.3,7.26189133986928
1990-10-01,7.3,7.38774918300654
1990-11-01,6.3,6.53039624183006
1990-12-01,6.3,6.6028227124183
1991-01-01,6.5,6.28235702614379
1991-02-01,7.3,7.0949795751634
1991-03-01,6.9,7.00564133986928
1991-04-01,6.5,6.79473447712418
1991-05-01,6.4,6.73529820261438
1991-06-01,7.6,7.19167075163399
1991-07-01,6.6,6.42164624183007
1991-08-01,7.2,6.89081290849673
1991-09-01,6.9,6.86189133986928
1991-10-01,6.3,6.38774918300654
1991-11-01,6.1,6.33039624183006
1991-12-01,6.1,6.4028227124183
1992-01-01,6.8,6.58235702614379
1992-02-01,6.8,6.5949795751634
1992-03-01,6.3,6.40564133986928
1992-04-01,5.6,5.89473447712418
1992-05-01,5.9,6.23529820261438
1992-06-01,7.1,6.69167075163399
1992-07-01,6.5,6.32164624183007
1992-08-01,6.8,6.49081290849673
1992-09-01,6.7,6.66189133986928
1992-10-01,6.5,6.58774918300654
1992-11-01,6.8,7.03039624183006
1992-12-01,6.1,6.4028227124183
1993-01-01,6.3,6.08235702614379
1993-02-01,6.4,6.1949795751634
1993-03-01,6.2,6.30564133986928
1993-04-01,6.2,6.49473447712418
1993-05-01,6.4,6.73529820261438
1993-06-01,6.9,6.49167075163399
1993-07-01,6,5.82164624183007
1993-08-01,5.6,5.29081290849673
1993-09-01,5.6,5.56189133986928
1993-10-01,5.6,5.68774918300654
1993-11-01,5.2,5.43039624183007
1993-12-01,4.8,5.1028227124183
1994-01-01,5,4.78235702614379
1994-02-01,5.4,5.1949795751634
1994-03-01,5.3,5.40564133986928
1994-04-01,4.5,4.79473447712418
1994-05-01,4.1,4.43529820261438
1994-06-01,5.6,5.19167075163399
1994-07-01,5.4,5.22164624183007
1994-08-01,5.4,5.09081290849673
1994-09-01,5.1,5.06189133986928
1994-10-01,5.1,5.18774918300654
1994-11-01,5,5.23039624183007
1994-12-01,4.2,4.5028227124183
1995-01-01,5.8,5.58235702614379
1995-02-01,6.2,5.9949795751634
1995-03-01,5.6,5.70564133986928
1995-04-01,6.1,6.39473447712418
1995-05-01,6.1,6.43529820261438
1995-06-01,6.3,5.89167075163399
1995-07-01,6.8,6.62164624183007
1995-08-01,5.5,5.19081290849673
1995-09-01,5.5,5.46189133986928
1995-10-01,4.9,4.98774918300654
1995-11-01,4.6,4.83039624183006
1995-12-01,4.4,4.7028227124183
1996-01-01,4.5,4.28235702614379
1996-02-01,4.7,4.4949795751634
1996-03-01,4.1,4.20564133986928
1996-04-01,3.9,4.19473447712418
1996-05-01,3.7,4.03529820261438
1996-06-01,3.9,3.49167075163399
1996-07-01,3.5,3.32164624183007
1996-08-01,3.8,3.49081290849673
1996-09-01,3.8,3.76189133986928
1996-10-01,3.9,3.98774918300654
1996-11-01,3.5,3.73039624183007
1996-12-01,3.5,3.8028227124183
1997-01-01,4.1,3.88235702614379
1997-02-01,4.4,4.1949795751634
1997-03-01,4.1,4.20564133986928
1997-04-01,3.8,4.09473447712418
1997-05-01,3.8,4.13529820261438
1997-06-01,4.7,4.29167075163399
1997-07-01,4.1,3.92164624183006
1997-08-01,4.4,4.09081290849673
1997-09-01,4,3.96189133986928
1997-10-01,3.5,3.58774918300654
1997-11-01,2.9,3.13039624183007
1997-12-01,2.8,3.1028227124183
1998-01-01,3.2,2.98235702614379
1998-02-01,3.1,2.8949795751634
1998-03-01,2.8,2.90564133986928
1998-04-01,2.3,2.59473447712418
1998-05-01,2.5,2.83529820261438
1998-06-01,3.3,2.89167075163399
1998-07-01,3.2,3.02164624183007
1998-08-01,3.4,3.09081290849673
1998-09-01,3.7,3.66189133986928
1998-10-01,3.6,3.68774918300654
1998-11-01,3.5,3.73039624183007
1998-12-01,3.8,4.1028227124183
1999-01-01,4,3.78235702614379
1999-02-01,3.7,3.4949795751634
1999-03-01,3.5,3.60564133986928
1999-04-01,3.5,3.79473447712418
1999-05-01,3.2,3.53529820261438
1999-06-01,4.1,3.69167075163399
1999-07-01,4.2,4.02164624183007
1999-08-01,4.5,4.19081290849673
1999-09-01,4.2,4.16189133986928
1999-10-01,3.8,3.88774918300654
1999-11-01,3.5,3.73039624183007
1999-12-01,3.4,3.7028227124183
2000-01-01,4.4,4.18235702614379
2000-02-01,4.5,4.2949795751634
2000-03-01,4,4.10564133986928
2000-04-01,3.4,3.69473447712418
2000-05-01,3.7,4.03529820261438
2000-06-01,4.3,3.89167075163399
2000-07-01,4.1,3.92164624183006
2000-08-01,6,5.69081290849673
2000-09-01,3.9,3.86189133986928
2000-10-01,3.7,3.78774918300654
2000-11-01,3.7,3.93039624183007
2000-12-01,3.3,3.6028227124183
2001-01-01,3.8,3.58235702614379
2001-02-01,3.7,3.4949795751634
2001-03-01,3.7,3.80564133986928
2001-04-01,3.3,3.59473447712418
2001-05-01,3.1,3.43529820261438
2001-06-01,4.1,3.69167075163399
2001-07-01,4.2,4.02164624183007
2001-08-01,4.7,4.39081290849673
2001-09-01,4.4,4.36189133986928
2001-10-01,4.4,4.48774918300654
2001-11-01,4.8,5.03039624183006
2001-12-01,4.8,5.1028227124183
2002-01-01,5,4.78235702614379
2002-02-01,5.1,4.8949795751634
2002-03-01,4.6,4.70564133986928
2002-04-01,4,4.29473447712418
2002-05-01,4,4.33529820261438
2002-06-01,4.9,4.49167075163399
2002-07-01,4.6,4.42164624183007
2002-08-01,5.2,4.89081290849673
2002-09-01,4.8,4.76189133986928
2002-10-01,5,5.08774918300654
2002-11-01,5.2,5.43039624183007
2002-12-01,5,5.3028227124183
2003-01-01,5.3,5.08235702614379
2003-02-01,5.1,4.8949795751634
2003-03-01,4.7,4.80564133986928
2003-04-01,4.3,4.59473447712418
2003-05-01,4.5,4.83529820261438
2003-06-01,5.6,5.19167075163399
2003-07-01,5.1,4.92164624183007
2003-08-01,5.4,5.09081290849673
2003-09-01,5.1,5.06189133986928
2003-10-01,5.1,5.18774918300654
2003-11-01,5,5.23039624183007
2003-12-01,4.6,4.9028227124183
2004-01-01,5.1,4.88235702614379
2004-02-01,5,4.7949795751634
2004-03-01,5,5.10564133986928
2004-04-01,4.4,4.69473447712418
2004-05-01,4.3,4.63529820261438
2004-06-01,5.2,4.79167075163399
2004-07-01,4.9,4.72164624183007
2004-08-01,5,4.69081290849673
2004-09-01,4.6,4.56189133986928
2004-10-01,4.5,4.58774918300654
2004-11-01,4.4,4.63039624183007
2004-12-01,4.1,4.4028227124183
2005-01-01,4.6,4.38235702614379
2005-02-01,4.7,4.4949795751634
2005-03-01,4,4.10564133986928
2005-04-01,3.5,3.79473447712418
2005-05-01,3.3,3.63529820261438
2005-06-01,4.1,3.69167075163399
2005-07-01,3.7,3.52164624183007
2005-08-01,3.8,3.49081290849673
2005-09-01,3.4,3.36189133986928
2005-10-01,3.5,3.58774918300654
2005-11-01,3.4,3.63039624183007
2005-12-01,3.4,3.7028227124183
2006-01-01,4,3.78235702614379
2006-02-01,3.8,3.5949795751634
2006-03-01,3.3,3.40564133986928
2006-04-01,2.8,3.09473447712418
2006-05-01,2.7,3.03529820261438
2006-06-01,3.5,3.09167075163399
2006-07-01,3.7,3.52164624183007
2006-08-01,3.5,3.19081290849673
2006-09-01,3.1,3.06189133986928
2006-10-01,3.1,3.18774918300654
2006-11-01,3.1,3.33039624183007
2006-12-01,3,3.3028227124183
2007-01-01,3.6,3.38235702614379
2007-02-01,3.5,3.2949795751634
2007-03-01,3.1,3.20564133986928
2007-04-01,2.7,2.99473447712418
2007-05-01,2.7,3.03529820261438
2007-06-01,3.5,3.09167075163399
2007-07-01,3.4,3.22164624183007
2007-08-01,3.7,3.39081290849673
2007-09-01,3.5,3.46189133986928
2007-10-01,3.3,3.38774918300654
2007-11-01,3.6,3.83039624183007
2007-12-01,3.9,4.2028227124183
2008-01-01,4.5,4.28235702614379
2008-02-01,4.3,4.0949795751634
2008-03-01,4.4,4.50564133986928
2008-04-01,4,4.29473447712418
2008-05-01,4.7,5.03529820261438
2008-06-01,5.6,5.19167075163399
2008-07-01,5.6,5.42164624183007
2008-08-01,6,5.69081290849673
2008-09-01,5.9,5.86189133986928
2008-10-01,6.2,6.28774918300654
2008-11-01,6.3,6.53039624183006
2008-12-01,6.8,7.1028227124183
2009-01-01,7.6,7.38235702614379
2009-02-01,8.2,7.9949795751634
2009-03-01,8,8.10564133986928
2009-04-01,7.5,7.79473447712418
2009-05-01,7.8,8.13529820261438
2009-06-01,8.6,8.19167075163399
2009-07-01,8.8,8.62164624183007
2009-08-01,9.1,8.79081290849673
2009-09-01,9.5,9.46189133986928
2009-10-01,9.2,9.28774918300654
2009-11-01,9.3,9.53039624183007
2009-12-01,9.5,9.8028227124183
2010-01-01,10,9.78235702614379
2010-02-01,9.4,9.1949795751634
2010-03-01,9,9.10564133986928
2010-04-01,8.3,8.59473447712418
2010-05-01,8.1,8.43529820261438
2010-06-01,8.5,8.09167075163399
2010-07-01,8.6,8.42164624183006
2010-08-01,8.9,8.59081290849673
2010-09-01,8.8,8.76189133986928
2010-10-01,8.6,8.68774918300654
2010-11-01,8.7,8.93039624183007
2010-12-01,8.7,9.0028227124183
2011-01-01,9,8.78235702614379
2011-02-01,9,8.7949795751634
2011-03-01,8.6,8.70564133986928
2011-04-01,8.1,8.39473447712418
2011-05-01,8.1,8.43529820261438
2011-06-01,9.1,8.69167075163399
2011-07-01,8.5,8.32164624183006
2011-08-01,8.5,8.19081290849673
2011-09-01,8.3,8.26189133986928
2011-10-01,7.9,7.98774918300654
2011-11-01,7.4,7.63039624183007
2011-12-01,7.4,7.7028227124183
2012-01-01,7.9,7.68235702614379
2012-02-01,7.7,7.4949795751634
2012-03-01,7.3,7.40564133986928
2012-04-01,6.7,6.99473447712418
2012-05-01,6.8,7.13529820261438
2012-06-01,7.7,7.29167075163399
2012-07-01,7.4,7.22164624183007
2012-08-01,7.5,7.19081290849673
2012-09-01,6.8,6.76189133986928
2012-10-01,6.7,6.78774918300654
2012-11-01,6.4,6.63039624183007
2012-12-01,6.5,6.8028227124183
2013-01-01,7.2,6.98235702614379
2013-02-01,6.9,6.6949795751634
2013-03-01,6.3,6.40564133986928
2013-04-01,5.7,5.99473447712418
2013-05-01,5.8,6.13529820261438
2013-06-01,6.7,6.29167075163399
2013-07-01,6.4,6.22164624183007
2013-08-01,6.5,6.19081290849673
2013-09-01,6.3,6.26189133986928
2013-10-01,6.4,6.48774918300654
2013-11-01,5.9,6.13039624183007
2013-12-01,6,6.3028227124183
2014-01-01,6.4,6.18235702614379
2014-02-01,6.5,6.2949795751634
2014-03-01,6.3,6.40564133986928
2014-04-01,5.5,5.79473447712418
2014-05-01,5.5,5.83529820261438
2014-06-01,6,5.59167075163399
2014-07-01,6.3,6.12164624183007
2014-08-01,6.1,5.79081290849673
2014-09-01,5.6,5.56189133986928
2014-10-01,5.4,5.48774918300654
2014-11-01,5.2,5.43039624183007
2014-12-01,4.9,5.2028227124183
2015-01-01,5.7,5.48235702614379
2015-02-01,5.4,5.1949795751634
2015-03-01,5.1,5.20564133986928
2015-04-01,4.7,4.99473447712418
2015-05-01,5.1,5.43529820261438
2015-06-01,5.5,5.09167075163399
2015-07-01,5.7,5.52164624183007
2015-08-01,5.4,5.09081290849673
2015-09-01,5.1,5.06189133986928
2015-10-01,5,5.08774918300654
2015-11-01,5,5.23039624183007
2015-12-01,4.9,5.2028227124183
2016-01-01,5.4,5.18235702614379
2016-02-01,5.3,5.0949795751634
2016-03-01,5.2,5.30564133986928
2016-04-01,4.6,4.89473447712418
2016-05-01,4.5,4.83529820261438
2016-06-01,5.4,4.99167075163399
2016-07-01,5.2,5.02164624183007
2016-08-01,5.3,4.99081290849673
2016-09-01,5.2,5.16189133986928
2016-10-01,5.2,5.28774918300654
2016-11-01,4.6,4.83039624183006
2016-12-01,4.6,4.9028227124183
2017-01-01,5.1,4.88235702614379
2017-02-01,4.9,4.6949795751634
2017-03-01,4.3,4.40564133986928
2017-04-01,3.7,3.99473447712418
2017-05-01,3.6,3.93529820261438
2017-06-01,4.3,3.89167075163399
2017-07-01,4.2,4.02164624183007
2017-08-01,4.1,3.79081290849673
2017-09-01,3.5,3.46189133986928
2017-10-01,3.5,3.58774918300654
