"date","value","deseasonalized_value"
1990-01-01,6.4,5.74336951447246
1990-02-01,6,5.48920284780579
1990-03-01,5.2,5.24300186741363
1990-04-01,4.9,5.13760971055089
1990-05-01,4.3,4.66481559290383
1990-06-01,4.8,4.6643253968254
1990-07-01,4.9,4.95675887021475
1990-08-01,4.9,4.97437441643324
1990-09-01,5.4,5.50010971055089
1990-10-01,4.9,5.04373716153128
1990-11-01,5.4,5.57314892623716
1990-12-01,6,6.10954598506069
1991-01-01,5.9,5.24336951447246
1991-02-01,5.9,5.38920284780579
1991-03-01,5.1,5.14300186741363
1991-04-01,4.9,5.13760971055089
1991-05-01,4.8,5.16481559290383
1991-06-01,5.5,5.3643253968254
1991-07-01,5.8,5.85675887021475
1991-08-01,5.3,5.37437441643324
1991-09-01,5.3,5.40010971055089
1991-10-01,5.2,5.34373716153128
1991-11-01,5.5,5.67314892623716
1991-12-01,6,6.10954598506069
1992-01-01,6.8,6.14336951447246
1992-02-01,6.9,6.38920284780579
1992-03-01,6.4,6.44300186741363
1992-04-01,6,6.23760971055089
1992-05-01,6.3,6.66481559290383
1992-06-01,6.3,6.1643253968254
1992-07-01,6.6,6.65675887021475
1992-08-01,5.9,5.97437441643324
1992-09-01,5.8,5.90010971055089
1992-10-01,5.9,6.04373716153128
1992-11-01,6,6.17314892623716
1992-12-01,6.1,6.20954598506069
1993-01-01,6.5,5.84336951447246
1993-02-01,6.6,6.08920284780579
1993-03-01,5.4,5.44300186741363
1993-04-01,5.1,5.33760971055089
1993-05-01,5.6,5.96481559290383
1993-06-01,6.5,6.3643253968254
1993-07-01,6.1,6.15675887021475
1993-08-01,6.3,6.37437441643324
1993-09-01,6.3,6.40010971055089
1993-10-01,5.9,6.04373716153128
1993-11-01,5.5,5.67314892623716
1993-12-01,5.4,5.50954598506069
1994-01-01,6.2,5.54336951447246
1994-02-01,5.5,4.98920284780579
1994-03-01,4.6,4.64300186741363
1994-04-01,4.2,4.43760971055089
1994-05-01,4,4.36481559290383
1994-06-01,5,4.8643253968254
1994-07-01,4.9,4.95675887021475
1994-08-01,4.6,4.67437441643324
1994-09-01,4.8,4.90010971055089
1994-10-01,4.9,5.04373716153128
1994-11-01,4.9,5.07314892623716
1994-12-01,4.6,4.70954598506069
1995-01-01,5.9,5.24336951447246
1995-02-01,5.4,4.88920284780579
1995-03-01,4.8,4.84300186741363
1995-04-01,4.4,4.63760971055089
1995-05-01,4.3,4.66481559290383
1995-06-01,5.1,4.9643253968254
1995-07-01,4.2,4.25675887021475
1995-08-01,4.8,4.87437441643324
1995-09-01,5,5.10010971055089
1995-10-01,4.5,4.64373716153128
1995-11-01,4.5,4.67314892623716
1995-12-01,4.1,4.20954598506069
1996-01-01,6.1,5.44336951447246
1996-02-01,6,5.48920284780579
1996-03-01,5.4,5.44300186741363
1996-04-01,4.7,4.93760971055089
1996-05-01,4.6,4.96481559290383
1996-06-01,4.9,4.7643253968254
1996-07-01,3.8,3.85675887021475
1996-08-01,3.5,3.57437441643324
1996-09-01,3.7,3.80010971055089
1996-10-01,3.6,3.74373716153128
1996-11-01,3.6,3.77314892623716
1996-12-01,3.5,3.60954598506069
1997-01-01,4.5,3.84336951447246
1997-02-01,4.2,3.68920284780579
1997-03-01,3.6,3.64300186741363
1997-04-01,3.2,3.43760971055089
1997-05-01,3,3.36481559290383
1997-06-01,3.5,3.3643253968254
1997-07-01,3.6,3.65675887021475
1997-08-01,3.4,3.47437441643324
1997-09-01,3.6,3.70010971055089
1997-10-01,3.2,3.34373716153128
1997-11-01,2.9,3.07314892623716
1997-12-01,2.9,3.00954598506069
1998-01-01,3.5,2.84336951447246
1998-02-01,3.3,2.78920284780579
1998-03-01,2.9,2.94300186741363
1998-04-01,2.1,2.33760971055089
1998-05-01,2.3,2.66481559290383
1998-06-01,2.9,2.7643253968254
1998-07-01,2.7,2.75675887021475
1998-08-01,2.6,2.67437441643324
1998-09-01,2.8,2.90010971055089
1998-10-01,3.2,3.34373716153128
1998-11-01,2.9,3.07314892623716
1998-12-01,2.9,3.00954598506069
1999-01-01,4.2,3.54336951447246
1999-02-01,3.9,3.38920284780579
1999-03-01,3.2,3.24300186741363
1999-04-01,3.2,3.43760971055089
1999-05-01,3.1,3.46481559290383
1999-06-01,3.4,3.2643253968254
1999-07-01,3.3,3.35675887021475
1999-08-01,3.1,3.17437441643324
1999-09-01,3.2,3.30010971055089
1999-10-01,3,3.14373716153128
1999-11-01,3.1,3.27314892623716
1999-12-01,3.1,3.20954598506069
2000-01-01,4.4,3.74336951447246
2000-02-01,4.3,3.78920284780579
2000-03-01,3.9,3.94300186741363
2000-04-01,3.3,3.53760971055089
2000-05-01,3.5,3.86481559290383
2000-06-01,4,3.8643253968254
2000-07-01,3.7,3.75675887021475
2000-08-01,3.8,3.87437441643324
2000-09-01,3.6,3.70010971055089
2000-10-01,3.5,3.64373716153128
2000-11-01,3.6,3.77314892623716
2000-12-01,3.4,3.50954598506069
2001-01-01,4.1,3.44336951447246
2001-02-01,4.1,3.58920284780579
2001-03-01,4.3,4.34300186741363
