"date","value","deseasonalized_value"
1990-01-01,12.6,11.7175971638655
1990-02-01,9.6,9.01428834033613
1990-03-01,5.3,5.37090598739496
1990-04-01,5.6,5.76477853641457
1990-05-01,4.9,5.42274422268908
1990-06-01,6.2,5.68818539915966
1990-07-01,5.6,5.49307335434174
1990-08-01,15.9,15.5498275560224
1990-09-01,9.2,9.55963147759104
1990-10-01,9.3,9.83193539915966
1990-11-01,12.5,12.9483569677871
1990-12-01,12.8,13.1386755952381
1991-01-01,14.8,13.9175971638655
1991-02-01,16.4,15.8142883403361
1991-03-01,15.7,15.770905987395
1991-04-01,11.6,11.7647785364146
1991-05-01,9.4,9.92274422268908
1991-06-01,10.4,9.88818539915966
1991-07-01,10.1,9.99307335434174
1991-08-01,9.9,9.54982755602241
1991-09-01,9.4,9.75963147759104
1991-10-01,8.7,9.23193539915966
1991-11-01,10.6,11.0483569677871
1991-12-01,13,13.3386755952381
1992-01-01,15.4,14.5175971638655
1992-02-01,12.2,11.6142883403361
1992-03-01,9.7,9.77090598739496
1992-04-01,9.8,9.96477853641457
1992-05-01,9.3,9.82274422268908
1992-06-01,10.7,10.1881853991597
1992-07-01,9.6,9.49307335434174
1992-08-01,12.2,11.8498275560224
1992-09-01,8.6,8.95963147759104
1992-10-01,9.7,10.2319353991597
1992-11-01,12.4,12.8483569677871
1992-12-01,12.8,13.1386755952381
1993-01-01,15.7,14.8175971638655
1993-02-01,15.7,15.1142883403361
1993-03-01,13.7,13.770905987395
1993-04-01,12.3,12.4647785364146
1993-05-01,10.9,11.4227442226891
1993-06-01,11.8,11.2881853991597
1993-07-01,11,10.8930733543417
1993-08-01,10.5,10.1498275560224
1993-09-01,10,10.359631477591
1993-10-01,9.1,9.63193539915966
1993-11-01,8.7,9.14835696778711
1993-12-01,8.5,8.8386755952381
1994-01-01,11.1,10.2175971638655
1994-02-01,8.2,7.61428834033613
1994-03-01,7.1,7.17090598739496
1994-04-01,7.2,7.36477853641457
