"date","value","deseasonalized_value"
1990-01-01,5.3,4.93974702380952
1990-02-01,5.8,5.44697741596639
1990-03-01,10.7,10.6679332983193
1990-04-01,5.7,5.94170780812325
1990-05-01,5.3,5.53913427871148
1990-06-01,5.8,5.38680584733894
1990-07-01,5.7,5.58141018907563
1990-08-01,6.6,6.45543329831933
1990-09-01,6.3,6.39183035714286
1990-10-01,6.3,6.52736957282913
1990-11-01,6.3,6.61609506302521
1990-12-01,6.2,6.50555584733894
1991-01-01,6.8,6.43974702380952
1991-02-01,6.2,5.84697741596639
1991-03-01,5.7,5.66793329831933
1991-04-01,5.3,5.54170780812325
1991-05-01,6,6.23913427871148
1991-06-01,6.6,6.18680584733894
1991-07-01,5.4,5.28141018907563
1991-08-01,5.7,5.55543329831933
1991-09-01,5.2,5.29183035714286
1991-10-01,5.3,5.52736957282913
1991-11-01,5.3,5.61609506302521
1991-12-01,5.2,5.50555584733894
1992-01-01,6.3,5.93974702380952
1992-02-01,6.8,6.44697741596639
1992-03-01,6.5,6.46793329831933
1992-04-01,6.2,6.44170780812325
1992-05-01,6.2,6.43913427871149
1992-06-01,7.1,6.68680584733894
1992-07-01,6.7,6.58141018907563
1992-08-01,6.4,6.25543329831933
1992-09-01,6.2,6.29183035714286
1992-10-01,5.1,5.32736957282913
1992-11-01,5.2,5.51609506302521
1992-12-01,5.4,5.70555584733894
1993-01-01,6.2,5.83974702380952
1993-02-01,6.1,5.74697741596639
1993-03-01,5.9,5.86793329831933
1993-04-01,5,5.24170780812325
1993-05-01,5.4,5.63913427871148
1993-06-01,5.9,5.48680584733894
1993-07-01,5.2,5.08141018907563
1993-08-01,5,4.85543329831933
1993-09-01,4.9,4.99183035714286
1993-10-01,4.8,5.02736957282913
1993-11-01,4.5,4.81609506302521
1993-12-01,4.1,4.40555584733894
1994-01-01,4.6,4.23974702380952
1994-02-01,4.5,4.14697741596639
1994-03-01,4,3.96793329831933
1994-04-01,3.8,4.04170780812325
1994-05-01,3.7,3.93913427871148
1994-06-01,4.7,4.28680584733894
1994-07-01,4.4,4.28141018907563
1994-08-01,4.6,4.45543329831933
1994-09-01,4,4.09183035714286
1994-10-01,3.8,4.02736957282913
1994-11-01,3.9,4.21609506302521
1994-12-01,4.2,4.50555584733894
1995-01-01,5.3,4.93974702380952
1995-02-01,5.5,5.14697741596639
1995-03-01,4.4,4.36793329831933
1995-04-01,4.4,4.64170780812325
1995-05-01,4,4.23913427871148
1995-06-01,5.1,4.68680584733894
1995-07-01,4.1,3.98141018907563
1995-08-01,4.6,4.45543329831933
1995-09-01,4.1,4.19183035714286
1995-10-01,3.7,3.92736957282913
1995-11-01,3.8,4.11609506302521
1995-12-01,3.8,4.10555584733894
1996-01-01,4.2,3.83974702380952
1996-02-01,4.1,3.74697741596639
1996-03-01,3.8,3.76793329831933
1996-04-01,3.2,3.44170780812325
1996-05-01,3.2,3.43913427871148
1996-06-01,3.4,2.98680584733894
1996-07-01,3.1,2.98141018907563
1996-08-01,3.1,2.95543329831933
1996-09-01,2.7,2.79183035714286
1996-10-01,2.5,2.72736957282913
1996-11-01,3,3.31609506302521
1996-12-01,2.9,3.20555584733894
1997-01-01,3.5,3.13974702380952
1997-02-01,3,2.64697741596639
1997-03-01,2.8,2.76793329831933
