"date","value","deseasonalized_value"
1990-01-01,11.6,11.610826914099
1990-02-01,11,11.5321504435107
1990-03-01,9.3,10.551758286648
1990-04-01,10.4,12.3285965219421
1990-05-01,9.3,11.296121031746
1990-06-01,14.1,14.0006553454715
1990-07-01,15.1,14.1532078664799
1990-08-01,14.4,12.9618073062558
1990-09-01,13.7,13.1619298552754
1990-10-01,12.9,12.1230818160598
1990-11-01,14.1,13.0959984827264
1990-12-01,13.7,12.7838661297852
1991-01-01,11.8,11.810826914099
1991-02-01,18.9,19.4321504435107
1991-03-01,17.2,18.451758286648
1991-04-01,15.9,17.8285965219421
1991-05-01,17.2,19.196121031746
1991-06-01,22.1,22.0006553454715
1991-07-01,22.1,21.1532078664799
1991-08-01,22.5,21.0618073062558
1991-09-01,19.4,18.8619298552754
1991-10-01,19.6,18.8230818160598
1991-11-01,19.4,18.3959984827264
1991-12-01,16.9,15.9838661297852
1992-01-01,15.5,15.510826914099
1992-02-01,16.9,17.4321504435107
1992-03-01,13.2,14.451758286648
1992-04-01,11.7,13.6285965219421
1992-05-01,11.4,13.396121031746
1992-06-01,15.3,15.2006553454715
1992-07-01,16.3,15.3532078664799
1992-08-01,16.1,14.6618073062558
1992-09-01,15.1,14.5619298552754
1992-10-01,15,14.2230818160598
1992-11-01,16.1,15.0959984827264
1992-12-01,15.7,14.7838661297852
1993-01-01,13.8,13.810826914099
1993-02-01,12.9,13.4321504435107
1993-03-01,12,13.251758286648
1993-04-01,11.6,13.5285965219421
1993-05-01,11.5,13.496121031746
1993-06-01,15.5,15.4006553454715
1993-07-01,16.2,15.2532078664799
1993-08-01,16.5,15.0618073062558
1993-09-01,15.3,14.7619298552754
1993-10-01,17.4,16.6230818160598
1993-11-01,16.7,15.6959984827264
1993-12-01,15.9,14.9838661297852
1994-01-01,14.6,14.610826914099
1994-02-01,13.9,14.4321504435107
1994-03-01,12.5,13.751758286648
1994-04-01,11,12.9285965219421
1994-05-01,9.7,11.696121031746
1994-06-01,15.5,15.4006553454715
1994-07-01,16.4,15.4532078664799
1994-08-01,17.2,15.7618073062558
1994-09-01,15.3,14.7619298552754
1994-10-01,15.8,15.0230818160598
1994-11-01,15.2,14.1959984827264
1994-12-01,13.9,12.9838661297852
1995-01-01,14.9,14.910826914099
1995-02-01,12.6,13.1321504435107
1995-03-01,18.5,19.751758286648
1995-04-01,16.4,18.3285965219421
1995-05-01,12.4,14.396121031746
1995-06-01,17.9,17.8006553454715
1995-07-01,16.8,15.8532078664799
1995-08-01,18.4,16.9618073062558
1995-09-01,16.6,16.0619298552754
1995-10-01,15.6,14.8230818160598
1995-11-01,18,16.9959984827264
1995-12-01,20.7,19.7838661297852
1996-01-01,15.1,15.110826914099
1996-02-01,14,14.5321504435107
1996-03-01,12.6,13.851758286648
1996-04-01,11.2,13.1285965219421
1996-05-01,11.1,13.096121031746
1996-06-01,13.7,13.6006553454715
1996-07-01,14,13.0532078664799
1996-08-01,13.5,12.0618073062558
1996-09-01,12.9,12.3619298552754
1996-10-01,13.1,12.3230818160598
1996-11-01,14.1,13.0959984827264
1996-12-01,27,26.0838661297852
1997-01-01,10.5,10.510826914099
1997-02-01,9.6,10.1321504435107
1997-03-01,8.4,9.65175828664799
1997-04-01,7.2,9.12859652194211
1997-05-01,7.5,9.49612103174603
1997-06-01,9.9,9.80065534547152
1997-07-01,11.3,10.3532078664799
1997-08-01,12.5,11.0618073062558
1997-09-01,11.1,10.5619298552754
1997-10-01,12.8,12.0230818160598
1997-11-01,12.2,11.1959984827264
1997-12-01,10.6,9.68386612978525
1998-01-01,9.1,9.11082691409897
1998-02-01,8.2,8.73215044351074
1998-03-01,8.1,9.35175828664799
1998-04-01,6.6,8.52859652194211
1998-05-01,7,8.99612103174603
1998-06-01,11,10.9006553454715
1998-07-01,13.4,12.4532078664799
1998-08-01,14.2,12.7618073062558
1998-09-01,12.6,12.0619298552754
1998-10-01,12.9,12.1230818160598
1998-11-01,11.9,10.8959984827264
1998-12-01,10.6,9.68386612978525
1999-01-01,10,10.010826914099
1999-02-01,9.3,9.83215044351074
1999-03-01,7.8,9.05175828664799
1999-04-01,6.8,8.72859652194211
1999-05-01,6.5,8.49612103174603
1999-06-01,10,9.90065534547152
1999-07-01,11.9,10.9532078664799
1999-08-01,12.5,11.0618073062558
1999-09-01,11.2,10.6619298552754
1999-10-01,11.2,10.4230818160598
1999-11-01,11.4,10.3959984827264
1999-12-01,10.5,9.58386612978525
2000-01-01,8.2,8.21082691409897
2000-02-01,7.3,7.83215044351074
2000-03-01,6.6,7.85175828664799
2000-04-01,5.8,7.72859652194211
2000-05-01,6,7.99612103174603
2000-06-01,9,8.90065534547152
2000-07-01,9.8,8.85320786647993
2000-08-01,10.9,9.46180730625584
2000-09-01,9,8.46192985527544
2000-10-01,9.6,8.82308181605976
2000-11-01,10.2,9.19599848272642
2000-12-01,10.2,9.28386612978525
2001-01-01,9.8,9.81082691409897
2001-02-01,8.4,8.93215044351074
2001-03-01,7.9,9.15175828664799
2001-04-01,6.7,8.62859652194211
2001-05-01,6.7,8.69612103174603
2001-06-01,9.7,9.60065534547152
2001-07-01,10.8,9.85320786647993
2001-08-01,12.5,11.0618073062558
2001-09-01,10.8,10.2619298552754
2001-10-01,11.4,10.6230818160598
2001-11-01,12.3,11.2959984827264
2001-12-01,11.8,10.8838661297852
2002-01-01,11.2,11.210826914099
2002-02-01,9.6,10.1321504435107
2002-03-01,8.6,9.85175828664799
2002-04-01,7.9,9.82859652194211
2002-05-01,8.5,10.496121031746
2002-06-01,10.6,10.5006553454715
2002-07-01,11,10.0532078664799
2002-08-01,11.7,10.2618073062558
2002-09-01,10.3,9.76192985527544
2002-10-01,10.3,9.52308181605976
2002-11-01,11,9.99599848272642
2002-12-01,10.7,9.78386612978525
2003-01-01,10.6,10.610826914099
2003-02-01,10.4,10.9321504435107
2003-03-01,9.2,10.451758286648
2003-04-01,8.5,10.4285965219421
2003-05-01,9.3,11.296121031746
2003-06-01,11.1,11.0006553454715
2003-07-01,11.6,10.6532078664799
2003-08-01,12.4,10.9618073062558
2003-09-01,11.3,10.7619298552754
2003-10-01,11.7,10.9230818160598
2003-11-01,12.3,11.2959984827264
2003-12-01,11.9,10.9838661297852
2004-01-01,12.9,12.910826914099
2004-02-01,11.4,11.9321504435107
2004-03-01,10.7,11.951758286648
2004-04-01,9.4,11.3285965219421
2004-05-01,9.1,11.096121031746
2004-06-01,10.3,10.2006553454715
2004-07-01,12.3,11.3532078664799
2004-08-01,12,10.5618073062558
2004-09-01,11.7,11.1619298552754
2004-10-01,12,11.2230818160598
2004-11-01,12.8,11.7959984827264
2004-12-01,11.7,10.7838661297852
2005-01-01,10.9,10.910826914099
2005-02-01,10.3,10.8321504435107
2005-03-01,8.2,9.45175828664799
2005-04-01,7.4,9.32859652194211
2005-05-01,7.5,9.49612103174603
2005-06-01,9.2,9.10065534547152
2005-07-01,10.5,9.55320786647992
2005-08-01,10.2,8.76180730625584
2005-09-01,9.5,8.96192985527544
2005-10-01,9.6,8.82308181605976
2005-11-01,10.3,9.29599848272643
2005-12-01,9.3,8.38386612978525
2006-01-01,9.2,9.21082691409897
2006-02-01,8.7,9.23215044351074
2006-03-01,7.3,8.55175828664799
2006-04-01,6.7,8.62859652194211
2006-05-01,6.6,8.59612103174603
2006-06-01,8.8,8.70065534547152
2006-07-01,10.7,9.75320786647992
2006-08-01,9.9,8.46180730625584
2006-09-01,8.9,8.36192985527544
2006-10-01,9.4,8.62308181605976
2006-11-01,10.3,9.29599848272643
2006-12-01,9.4,8.48386612978525
2007-01-01,10.1,10.110826914099
2007-02-01,8.7,9.23215044351074
2007-03-01,8.3,9.55175828664799
2007-04-01,7.5,9.42859652194211
2007-05-01,7.3,9.29612103174603
2007-06-01,9.4,9.30065534547152
2007-07-01,11.4,10.4532078664799
2007-08-01,11.2,9.76180730625584
2007-09-01,10.3,9.76192985527544
2007-10-01,10.5,9.72308181605976
2007-11-01,10.7,9.69599848272642
2007-12-01,10.2,9.28386612978525
2008-01-01,10.3,10.310826914099
2008-02-01,8.9,9.43215044351074
2008-03-01,8.3,9.55175828664799
2008-04-01,7,8.92859652194211
2008-05-01,7.9,9.89612103174603
2008-06-01,10.1,10.0006553454715
2008-07-01,11.5,10.5532078664799
2008-08-01,13.9,12.4618073062558
2008-09-01,13.1,12.5619298552754
2008-10-01,14,13.2230818160598
2008-11-01,13.2,12.1959984827264
2008-12-01,12.9,11.9838661297852
2009-01-01,12.6,12.610826914099
2009-02-01,12.6,13.1321504435107
2009-03-01,11.3,12.551758286648
2009-04-01,10.1,12.0285965219421
2009-05-01,11.2,13.196121031746
2009-06-01,12.4,12.3006553454715
2009-07-01,15,14.0532078664799
2009-08-01,15.6,14.1618073062558
2009-09-01,15.6,15.0619298552754
2009-10-01,17.1,16.3230818160598
2009-11-01,16.9,15.8959984827264
2009-12-01,16.3,15.3838661297852
2010-01-01,12.4,12.410826914099
2010-02-01,11.4,11.9321504435107
2010-03-01,10.8,12.051758286648
2010-04-01,9.9,11.8285965219421
2010-05-01,9.6,11.596121031746
2010-06-01,10.7,10.6006553454715
2010-07-01,11.6,10.6532078664799
2010-08-01,12.4,10.9618073062558
2010-09-01,12.5,11.9619298552754
2010-10-01,12.7,11.9230818160598
2010-11-01,13.4,12.3959984827264
2010-12-01,11.9,10.9838661297852
2011-01-01,11.9,11.910826914099
2011-02-01,11.9,12.4321504435107
2011-03-01,10.6,11.851758286648
2011-04-01,10.2,12.1285965219421
2011-05-01,10.3,12.296121031746
2011-06-01,11.5,11.4006553454715
2011-07-01,12,11.0532078664799
2011-08-01,12.8,11.3618073062558
2011-09-01,12.2,11.6619298552754
2011-10-01,11.9,11.1230818160598
2011-11-01,11.6,10.5959984827264
2011-12-01,10.5,9.58386612978525
2012-01-01,10.7,10.710826914099
2012-02-01,10.5,11.0321504435107
2012-03-01,9.5,10.751758286648
2012-04-01,9.4,11.3285965219421
2012-05-01,9.2,11.196121031746
2012-06-01,10.8,10.7006553454715
2012-07-01,11.6,10.6532078664799
2012-08-01,12.6,11.1618073062558
2012-09-01,10.9,10.3619298552754
2012-10-01,10.8,10.0230818160598
2012-11-01,10.9,9.89599848272642
2012-12-01,10.1,9.18386612978525
2013-01-01,10.5,10.510826914099
2013-02-01,9.5,10.0321504435107
2013-03-01,8.6,9.85175828664799
2013-04-01,8.2,10.1285965219421
2013-05-01,8,9.99612103174603
2013-06-01,9.3,9.20065534547152
2013-07-01,9.7,8.75320786647992
2013-08-01,10.7,9.26180730625584
2013-09-01,9.8,9.26192985527544
2013-10-01,9.8,9.02308181605976
2013-11-01,10.1,9.09599848272642
2013-12-01,9.8,8.88386612978525
2014-01-01,9.9,9.91082691409897
2014-02-01,9,9.53215044351074
2014-03-01,8.3,9.55175828664799
2014-04-01,7.6,9.52859652194211
2014-05-01,7.4,9.39612103174603
2014-06-01,8.1,8.00065534547152
2014-07-01,8.5,7.55320786647993
2014-08-01,9.7,8.26180730625584
2014-09-01,9.1,8.56192985527544
2014-10-01,9.1,8.32308181605976
2014-11-01,9.9,8.89599848272642
2014-12-01,8.7,7.78386612978525
2015-01-01,8.8,8.81082691409897
2015-02-01,7.8,8.33215044351074
2015-03-01,6.9,8.15175828664799
2015-04-01,6.4,8.32859652194211
2015-05-01,6.7,8.69612103174603
2015-06-01,7.6,7.50065534547152
2015-07-01,8,7.05320786647993
2015-08-01,8.5,7.06180730625584
2015-09-01,8.5,7.96192985527544
2015-10-01,8.8,8.02308181605976
2015-11-01,8.9,7.89599848272642
2015-12-01,8.2,7.28386612978525
2016-01-01,8.2,8.21082691409897
2016-02-01,6.9,7.43215044351074
2016-03-01,6.1,7.35175828664799
2016-04-01,5.5,7.42859652194211
2016-05-01,5.3,7.29612103174603
2016-06-01,6.2,6.10065534547152
2016-07-01,6.7,5.75320786647993
2016-08-01,7.3,5.86180730625584
2016-09-01,7.3,6.76192985527544
2016-10-01,7.3,6.52308181605976
2016-11-01,7,5.99599848272642
2016-12-01,7.1,6.18386612978525
