"date","value","deseasonalized_value"
1990-01-01,13.9,13.445295576564
1990-02-01,13.6,13.3374524393091
1990-03-01,12.5,12.8119622432306
1990-04-01,13.1,13.505589694211
1990-05-01,11.9,12.5341436157796
1990-06-01,12.9,12.4439475373483
1990-07-01,12,11.4678025793651
1990-08-01,14.6,14.1432122432306
1990-09-01,13.7,13.6847563608777
1990-10-01,13,13.1639230275444
1990-11-01,11.9,12.2462759687208
1990-12-01,11.8,12.1156387138189
1991-01-01,12.5,12.045295576564
1991-02-01,14,13.7374524393091
1991-03-01,12.3,12.6119622432306
1991-04-01,12.9,13.305589694211
1991-05-01,10.4,11.0341436157796
1991-06-01,11.8,11.3439475373483
1991-07-01,11.7,11.1678025793651
1991-08-01,12.8,12.3432122432306
1991-09-01,11.4,11.3847563608777
1991-10-01,11.4,11.5639230275444
1991-11-01,11.1,11.4462759687208
1991-12-01,12.2,12.5156387138189
1992-01-01,12.7,12.245295576564
1992-02-01,12.6,12.3374524393091
1992-03-01,11.9,12.2119622432306
1992-04-01,11.3,11.705589694211
1992-05-01,12,12.6341436157796
1992-06-01,13.3,12.8439475373483
1992-07-01,10.9,10.3678025793651
1992-08-01,12,11.5432122432306
1992-09-01,11.4,11.3847563608777
1992-10-01,12.5,12.6639230275444
1992-11-01,12.3,12.6462759687208
1992-12-01,12.5,12.8156387138189
1993-01-01,13.3,12.845295576564
1993-02-01,13.4,13.1374524393091
1993-03-01,11.9,12.2119622432306
1993-04-01,11.6,12.005589694211
1993-05-01,11.4,12.0341436157796
1993-06-01,11.8,11.3439475373483
1993-07-01,10.1,9.56780257936508
1993-08-01,10.1,9.64321224323063
1993-09-01,9.5,9.48475636087768
1993-10-01,9.5,9.66392302754435
1993-11-01,8.2,8.54627596872082
1993-12-01,8.9,9.21563871381886
1994-01-01,9.9,9.44529557656396
1994-02-01,9.6,9.33745243930906
1994-03-01,9,9.31196224323063
1994-04-01,9.5,9.90558969421102
1994-05-01,7.9,8.53414361577965
1994-06-01,8.8,8.34394753734827
1994-07-01,9.3,8.76780257936508
1994-08-01,8.9,8.44321224323063
1994-09-01,8.5,8.48475636087768
1994-10-01,9.6,9.76392302754435
1994-11-01,8.8,9.14627596872082
1994-12-01,8.1,8.41563871381886
1995-01-01,9.3,8.84529557656396
1995-02-01,8.8,8.53745243930906
1995-03-01,8,8.31196224323063
1995-04-01,7.6,8.00558969421102
1995-05-01,8.8,9.43414361577965
1995-06-01,10.3,9.84394753734827
1995-07-01,8.6,8.06780257936508
1995-08-01,7.9,7.44321224323063
1995-09-01,9,8.98475636087768
1995-10-01,7.3,7.46392302754435
1995-11-01,7.7,8.04627596872082
1995-12-01,6.7,7.01563871381886
1996-01-01,7.2,6.74529557656396
1996-02-01,8.5,8.23745243930906
1996-03-01,7.1,7.41196224323062
1996-04-01,7.1,7.50558969421102
1996-05-01,7.5,8.13414361577965
1996-06-01,8,7.54394753734827
1996-07-01,8.6,8.06780257936508
1996-08-01,10.6,10.1432122432306
1996-09-01,11.8,11.7847563608777
1996-10-01,11.2,11.3639230275444
1996-11-01,11.1,11.4462759687208
1996-12-01,11.5,11.8156387138189
1997-01-01,12.8,12.345295576564
