"date","value","deseasonalized_value"
1990-01-01,6.6,6.21499183006536
1990-02-01,7.1,6.80371732026144
1990-03-01,7.7,7.84955065359477
1990-04-01,7.3,7.50383986928105
1990-05-01,7.4,7.67847222222222
1990-06-01,7.7,7.22896241830065
1990-07-01,7.9,7.51695261437909
1990-08-01,6.9,6.82173202614379
1990-09-01,6.6,6.73239379084967
1990-10-01,6.7,6.85040849673203
1990-11-01,7,7.2828839869281
1990-12-01,7.3,7.71609477124183
1991-01-01,8.8,8.41499183006536
1991-02-01,8.3,8.00371732026144
1991-03-01,7.7,7.84955065359477
1991-04-01,7.1,7.30383986928105
1991-05-01,7,7.27847222222222
1991-06-01,7.9,7.42896241830065
1991-07-01,8.3,7.91695261437909
1991-08-01,7.4,7.32173202614379
1991-09-01,7.2,7.33239379084967
1991-10-01,7.1,7.25040849673203
1991-11-01,7.1,7.3828839869281
1991-12-01,6.9,7.31609477124183
1992-01-01,8.6,8.21499183006536
1992-02-01,8.7,8.40371732026144
1992-03-01,8.6,8.74955065359477
1992-04-01,7.8,8.00383986928105
1992-05-01,8.2,8.47847222222222
1992-06-01,9.9,9.42896241830065
1992-07-01,9,8.61695261437908
1992-08-01,9.2,9.12173202614379
1992-09-01,9,9.13239379084967
1992-10-01,8.9,9.05040849673203
1992-11-01,9.2,9.4828839869281
1992-12-01,9.2,9.61609477124183
1993-01-01,9.8,9.41499183006536
1993-02-01,9.9,9.60371732026144
1993-03-01,9.3,9.44955065359477
1993-04-01,8.9,9.10383986928105
1993-05-01,8.7,8.97847222222222
1993-06-01,9.4,8.92896241830065
1993-07-01,9,8.61695261437908
1993-08-01,8,7.92173202614379
1993-09-01,7.8,7.93239379084967
1993-10-01,8.1,8.25040849673203
1993-11-01,7.4,7.6828839869281
1993-12-01,7.2,7.61609477124183
1994-01-01,9.1,8.71499183006536
1994-02-01,8.9,8.60371732026144
1994-03-01,8.5,8.64955065359477
1994-04-01,7.8,8.00383986928105
1994-05-01,7.4,7.67847222222222
1994-06-01,8.1,7.62896241830065
1994-07-01,8.1,7.71695261437908
1994-08-01,7.4,7.32173202614379
1994-09-01,7.2,7.33239379084967
1994-10-01,7.2,7.35040849673203
1994-11-01,7.2,7.4828839869281
1994-12-01,6.9,7.31609477124183
1995-01-01,8,7.61499183006536
1995-02-01,8.8,8.50371732026144
1995-03-01,6.9,7.04955065359477
1995-04-01,6.8,7.00383986928105
1995-05-01,7.7,7.97847222222222
1995-06-01,8.3,7.82896241830065
1995-07-01,8.6,8.21695261437909
1995-08-01,7.9,7.82173202614379
1995-09-01,8.2,8.33239379084967
1995-10-01,7.6,7.75040849673203
1995-11-01,7.2,7.4828839869281
1995-12-01,7.1,7.51609477124183
1996-01-01,8.6,8.21499183006536
1996-02-01,7.2,6.90371732026144
1996-03-01,6.4,6.54955065359477
1996-04-01,6.2,6.40383986928105
1996-05-01,6,6.27847222222222
1996-06-01,6.2,5.72896241830065
1996-07-01,6.5,6.11695261437908
1996-08-01,5.5,5.42173202614379
1996-09-01,5.6,5.73239379084967
1996-10-01,5.6,5.75040849673203
1996-11-01,5.8,6.0828839869281
