"date","value","deseasonalized_value"
1990-01-01,4.9,4.68347163865546
1990-02-01,6.4,6.30381477591036
1990-03-01,6.5,6.72501575630252
1990-04-01,5.3,5.55418242296919
1990-05-01,7.6,7.95687850140056
1990-06-01,6.4,5.84621673669468
1990-07-01,9.3,8.67360119047619
1990-08-01,7.5,7.11410889355742
1990-09-01,7.9,7.85540791316527
1990-10-01,7.8,7.94119222689076
1990-11-01,8.1,8.50467261904762
1990-12-01,9.1,9.64143732492997
1991-01-01,11.5,11.2834716386555
1991-02-01,10.8,10.7038147759104
1991-03-01,9.4,9.62501575630252
1991-04-01,9.5,9.75418242296919
1991-05-01,9,9.35687850140056
1991-06-01,11.3,10.7462167366947
1991-07-01,10.4,9.77360119047619
1991-08-01,10.5,10.1141088935574
1991-09-01,10.1,10.0554079131653
1991-10-01,9.1,9.24119222689075
1991-11-01,8.5,8.90467261904762
1991-12-01,8.3,8.84143732492997
1992-01-01,8.4,8.18347163865546
1992-02-01,8.6,8.50381477591036
1992-03-01,8,8.22501575630252
1992-04-01,7.5,7.75418242296919
1992-05-01,7.8,8.15687850140056
1992-06-01,9,8.44621673669468
1992-07-01,8.3,7.67360119047619
1992-08-01,8.6,8.21410889355742
1992-09-01,7.3,7.25540791316527
1992-10-01,7.5,7.64119222689076
1992-11-01,7.1,7.50467261904762
1992-12-01,6.9,7.44143732492997
1993-01-01,8,7.78347163865546
1993-02-01,9.2,9.10381477591036
1993-03-01,8.7,8.92501575630252
1993-04-01,8.4,8.65418242296919
1993-05-01,8,8.35687850140056
1993-06-01,8.6,8.04621673669468
1993-07-01,11.9,11.2736011904762
1993-08-01,10.6,10.2141088935574
1993-09-01,11.7,11.6554079131653
1993-10-01,10.8,10.9411922268908
1993-11-01,9.4,9.80467261904762
1993-12-01,8.7,9.24143732492997
1994-01-01,9,8.78347163865546
1994-02-01,9,8.90381477591036
1994-03-01,8.4,8.62501575630252
1994-04-01,7.5,7.75418242296919
1994-05-01,7,7.35687850140056
1994-06-01,9.1,8.54621673669468
1994-07-01,7.9,7.27360119047619
1994-08-01,9,8.61410889355742
1994-09-01,8.5,8.45540791316527
1994-10-01,8.1,8.24119222689075
1994-11-01,7.6,8.00467261904762
1994-12-01,7.2,7.74143732492997
1995-01-01,8,7.78347163865546
1995-02-01,7.3,7.20381477591036
1995-03-01,7.4,7.62501575630252
1995-04-01,7.4,7.65418242296919
1995-05-01,7.5,7.85687850140056
1995-06-01,8.9,8.34621673669468
1995-07-01,7.5,6.87360119047619
1995-08-01,8.1,7.71410889355742
1995-09-01,7.4,7.35540791316527
1995-10-01,6.3,6.44119222689076
1995-11-01,6,6.40467261904762
1995-12-01,5.6,6.14143732492997
1996-01-01,6.3,6.08347163865546
1996-02-01,6,5.90381477591036
1996-03-01,5.1,5.32501575630252
1996-04-01,4.4,4.65418242296919
1996-05-01,4.6,4.95687850140056
1996-06-01,5.6,5.04621673669468
1996-07-01,7,6.37360119047619
1996-08-01,5.6,5.21410889355742
1996-09-01,4.8,4.75540791316527
1996-10-01,4.2,4.34119222689076
1996-11-01,4.2,4.60467261904762
1996-12-01,3.9,4.44143732492997
1997-01-01,4.4,4.18347163865546
1997-02-01,4.4,4.30381477591036
1997-03-01,4.1,4.32501575630252
1997-04-01,4.1,4.35418242296919
1997-05-01,3.8,4.15687850140056
1997-06-01,4.7,4.14621673669468
1997-07-01,5.7,5.07360119047619
1997-08-01,4.8,4.41410889355742
1997-09-01,4.9,4.85540791316527
1997-10-01,5.3,5.44119222689076
1997-11-01,4.5,4.90467261904762
1997-12-01,4.3,4.84143732492997
1998-01-01,4.9,4.68347163865546
1998-02-01,4.3,4.20381477591036
1998-03-01,4,4.22501575630252
1998-04-01,3.6,3.85418242296919
1998-05-01,3.5,3.85687850140056
1998-06-01,4.3,3.74621673669468
