"date","value","deseasonalized_value"
1990-01-01,8.3,7.58547443977591
1990-02-01,7.6,7.06120973389356
1990-03-01,15.4,15.4973616946779
1990-04-01,6.8,7.06059698879552
1990-05-01,9,9.51623424369748
1990-06-01,16.2,15.9101067927171
1990-07-01,12.8,12.1373546918768
1990-08-01,10.8,10.71856267507
1990-09-01,8.7,9.04417542016807
1990-10-01,7.6,8.02579306722689
1990-11-01,7.9,8.18829306722689
1990-12-01,7.5,7.85483718487395
1991-01-01,10.1,9.38547443977591
1991-02-01,7.9,7.36120973389356
1991-03-01,6.6,6.69736169467787
1991-04-01,7.5,7.76059698879552
1991-05-01,6.2,6.71623424369748
1991-06-01,7.3,7.01010679271709
1991-07-01,18.1,17.4373546918768
1991-08-01,7.4,7.31856267507003
1991-09-01,6.4,6.74417542016807
1991-10-01,7.5,7.92579306722689
1991-11-01,8.5,8.78829306722689
1991-12-01,8.2,8.55483718487395
1992-01-01,8.5,7.78547443977591
1992-02-01,7.2,6.66120973389356
1992-03-01,7.5,7.59736169467787
1992-04-01,8,8.26059698879552
1992-05-01,7,7.51623424369748
1992-06-01,7.3,7.01010679271709
1992-07-01,6.9,6.23735469187675
1992-08-01,7.3,7.21856267507003
1992-09-01,6.5,6.84417542016807
1992-10-01,6.2,6.62579306722689
1992-11-01,6.2,6.48829306722689
1992-12-01,6.2,6.55483718487395
1993-01-01,7.1,6.38547443977591
1993-02-01,9.3,8.76120973389356
1993-03-01,6.1,6.19736169467787
1993-04-01,5.6,5.86059698879552
1993-05-01,6.1,6.61623424369748
1993-06-01,6.6,6.31010679271709
1993-07-01,5,4.33735469187675
1993-08-01,5.8,5.71856267507003
1993-09-01,4.6,4.94417542016807
1993-10-01,4.6,5.02579306722689
1993-11-01,7.7,7.98829306722689
1993-12-01,6.4,6.75483718487395
1994-01-01,9.7,8.98547443977591
1994-02-01,8.9,8.36120973389356
1994-03-01,7.3,7.39736169467787
1994-04-01,5.6,5.86059698879552
1994-05-01,4.6,5.11623424369748
1994-06-01,6.7,6.41010679271709
1994-07-01,6.2,5.53735469187675
1994-08-01,6.1,6.01856267507003
1994-09-01,5,5.34417542016807
1994-10-01,5,5.42579306722689
1994-11-01,4.5,4.78829306722689
1994-12-01,5.5,5.85483718487395
1995-01-01,8.6,7.88547443977591
1995-02-01,7.7,7.16120973389356
1995-03-01,5,5.09736169467787
1995-04-01,5,5.26059698879552
1995-05-01,4.6,5.11623424369748
1995-06-01,5.4,5.11010679271709
1995-07-01,13.3,12.6373546918768
1995-08-01,5.4,5.31856267507003
1995-09-01,5.2,5.54417542016807
1995-10-01,5.4,5.82579306722689
1995-11-01,5,5.28829306722689
1995-12-01,4.3,4.65483718487395
1996-01-01,4.6,3.88547443977591
1996-02-01,4.8,4.26120973389356
1996-03-01,4.4,4.49736169467787
1996-04-01,4.9,5.16059698879552
1996-05-01,4,4.51623424369748
1996-06-01,5.3,5.01010679271709
1996-07-01,4.6,3.93735469187675
1996-08-01,4.6,4.51856267507003
1996-09-01,4.1,4.44417542016807
1996-10-01,3.8,4.22579306722689
1996-11-01,3.9,4.18829306722689
1996-12-01,3.7,4.05483718487395
1997-01-01,4.2,3.48547443977591
1997-02-01,4.2,3.66120973389356
1997-03-01,3.9,3.99736169467787
1997-04-01,3.4,3.66059698879552
1997-05-01,3.8,4.31623424369748
1997-06-01,4.6,4.31010679271709
1997-07-01,4.3,3.63735469187675
1997-08-01,4.7,4.61856267507003
1997-09-01,4.3,4.64417542016807
1997-10-01,3.8,4.22579306722689
1997-11-01,3.6,3.88829306722689
1997-12-01,3.9,4.25483718487395
1998-01-01,6.7,5.98547443977591
1998-02-01,3.3,2.76120973389356
1998-03-01,3.5,3.59736169467787
1998-04-01,2.6,2.86059698879552
1998-05-01,3,3.51623424369748
1998-06-01,4.9,4.61010679271709
1998-07-01,4.8,4.13735469187675
1998-08-01,4.8,4.71856267507003
1998-09-01,4.1,4.44417542016807
1998-10-01,4.6,5.02579306722689
1998-11-01,5.6,5.88829306722689
1998-12-01,4.9,5.25483718487395
1999-01-01,5.5,4.78547443977591
1999-02-01,5.7,5.16120973389356
1999-03-01,5,5.09736169467787
1999-04-01,4.8,5.06059698879552
1999-05-01,4.5,5.01623424369748
1999-06-01,5.6,5.31010679271709
1999-07-01,4.6,3.93735469187675
1999-08-01,5.2,5.11856267507003
1999-09-01,4.9,5.24417542016807
1999-10-01,4.5,4.92579306722689
1999-11-01,3.9,4.18829306722689
1999-12-01,4.9,5.25483718487395
2000-01-01,5.2,4.48547443977591
2000-02-01,5,4.46120973389356
2000-03-01,4.5,4.59736169467787
2000-04-01,3.6,3.86059698879552
2000-05-01,3.8,4.31623424369748
2000-06-01,4.6,4.31010679271709
2000-07-01,4.6,3.93735469187675
2000-08-01,5.1,5.01856267507003
2000-09-01,4.5,4.84417542016807
2000-10-01,4.4,4.82579306722689
2000-11-01,4.8,5.08829306722689
2000-12-01,4.5,4.85483718487395
2001-01-01,4.9,4.18547443977591
2001-02-01,4.9,4.36120973389356
2001-03-01,4.6,4.69736169467787
2001-04-01,4.6,4.86059698879552
2001-05-01,3.8,4.31623424369748
2001-06-01,4.9,4.61010679271709
2001-07-01,4,3.33735469187675
2001-08-01,5,4.91856267507003
2001-09-01,4.3,4.64417542016807
2001-10-01,4.5,4.92579306722689
2001-11-01,4.8,5.08829306722689
2001-12-01,4.4,4.75483718487395
2002-01-01,5.3,4.58547443977591
2002-02-01,5.2,4.66120973389356
2002-03-01,4.8,4.89736169467787
2002-04-01,4.2,4.46059698879552
2002-05-01,4,4.51623424369748
2002-06-01,5,4.71010679271709
2002-07-01,4.6,3.93735469187675
2002-08-01,5,4.91856267507003
2002-09-01,4.4,4.74417542016807
2002-10-01,4.5,4.92579306722689
2002-11-01,5.1,5.38829306722689
2002-12-01,4.5,4.85483718487395
2003-01-01,5.4,4.68547443977591
2003-02-01,5.2,4.66120973389356
2003-03-01,4.6,4.69736169467787
2003-04-01,4.3,4.56059698879552
2003-05-01,4.5,5.01623424369748
2003-06-01,5.5,5.21010679271709
2003-07-01,5,4.33735469187675
2003-08-01,4.8,4.71856267507003
2003-09-01,4.7,5.04417542016807
2003-10-01,4.9,5.32579306722689
2003-11-01,4.8,5.08829306722689
2003-12-01,4.6,4.95483718487395
2004-01-01,5.3,4.58547443977591
2004-02-01,5.4,4.86120973389356
2004-03-01,5.1,5.19736169467787
