"date","value","deseasonalized_value"
1990-01-01,10.7,10.1773643207283
1990-02-01,8.6,8.26425157563025
1990-03-01,7.2,7.32822216386555
1990-04-01,8,8.40591824229692
1990-05-01,7.3,7.64047706582633
1990-06-01,8.4,8.05591824229692
1990-07-01,7.8,7.78465423669468
1990-08-01,9.4,9.14452118347339
1990-09-01,9.3,9.38177608543417
1990-10-01,9.7,9.86890843837535
1990-11-01,10.9,11.0289574579832
1990-12-01,10.8,11.019030987395
1991-01-01,11.1,10.5773643207283
1991-02-01,10.7,10.3642515756303
1991-03-01,9.2,9.32822216386555
1991-04-01,8.3,8.70591824229692
1991-05-01,8.9,9.24047706582633
1991-06-01,10,9.65591824229692
1991-07-01,8.9,8.88465423669468
1991-08-01,10.3,10.0445211834734
1991-09-01,10.2,10.2817760854342
1991-10-01,9.5,9.66890843837535
1991-11-01,10.3,10.4289574579832
1991-12-01,10.8,11.019030987395
1992-01-01,11.8,11.2773643207283
1992-02-01,11,10.6642515756303
1992-03-01,9.8,9.92822216386555
1992-04-01,9.2,9.60591824229692
1992-05-01,9,9.34047706582633
1992-06-01,10.3,9.95591824229692
1992-07-01,9.3,9.28465423669468
1992-08-01,9.8,9.54452118347339
1992-09-01,9.4,9.48177608543417
1992-10-01,9.4,9.56890843837535
1992-11-01,10.8,10.9289574579832
1992-12-01,10.8,11.019030987395
1993-01-01,12,11.4773643207283
1993-02-01,11.1,10.7642515756303
1993-03-01,9.1,9.22822216386555
1993-04-01,8.3,8.70591824229692
1993-05-01,8.3,8.64047706582633
1993-06-01,9,8.65591824229692
1993-07-01,7.6,7.58465423669468
1993-08-01,7.9,7.64452118347339
1993-09-01,7.9,7.98177608543417
1993-10-01,8,8.16890843837535
1993-11-01,8.8,8.9289574579832
1993-12-01,8.1,8.31903098739496
1994-01-01,8.9,8.37736432072829
1994-02-01,8.8,8.46425157563025
1994-03-01,8,8.12822216386555
1994-04-01,6.6,7.00591824229692
1994-05-01,6.3,6.64047706582633
1994-06-01,6.6,6.25591824229692
1994-07-01,6,5.98465423669468
1994-08-01,6.6,6.34452118347339
1994-09-01,6.6,6.68177608543417
1994-10-01,6.7,6.86890843837535
1994-11-01,6.2,6.32895745798319
1994-12-01,6.2,6.41903098739496
1995-01-01,7.1,6.57736432072829
1995-02-01,7.1,6.76425157563025
1995-03-01,6.2,6.32822216386555
1995-04-01,5.9,6.30591824229692
1995-05-01,5.7,6.04047706582633
1995-06-01,6.5,6.15591824229692
1995-07-01,5.6,5.58465423669468
1995-08-01,6.8,6.54452118347339
1995-09-01,6.4,6.48177608543417
1995-10-01,6.3,6.46890843837535
1995-11-01,5.7,5.82895745798319
1995-12-01,5.4,5.61903098739496
1996-01-01,5.6,5.07736432072829
1996-02-01,5.9,5.56425157563025
1996-03-01,4.5,4.62822216386555
1996-04-01,4.1,4.50591824229692
1996-05-01,4.3,4.64047706582633
1996-06-01,4.8,4.45591824229692
1996-07-01,5,4.98465423669468
1996-08-01,5.4,5.14452118347339
1996-09-01,5.1,5.18177608543417
1996-10-01,4.8,4.96890843837535
1996-11-01,4.6,4.72895745798319
1996-12-01,4.1,4.31903098739496
1997-01-01,5.3,4.77736432072829
1997-02-01,4.6,4.26425157563025
1997-03-01,4.6,4.72822216386555
1997-04-01,4,4.40591824229692
1997-05-01,4.7,5.04047706582633
1997-06-01,5.3,4.95591824229692
1997-07-01,5.4,5.38465423669468
1997-08-01,5.7,5.44452118347339
1997-09-01,5.6,5.68177608543417
1997-10-01,4.9,5.06890843837535
1997-11-01,4.3,4.42895745798319
1997-12-01,4.1,4.31903098739496
1998-01-01,4.7,4.17736432072829
1998-02-01,4.6,4.26425157563025
1998-03-01,4.6,4.72822216386555
1998-04-01,3.8,4.20591824229692
