"date","value","deseasonalized_value"
1990-01-01,16.8,16.1273366013072
1990-02-01,15.8,15.2823611111111
1990-03-01,15.6,15.5560130718954
1990-04-01,16.4,16.6671650326797
1990-05-01,12.1,12.3784395424837
1990-06-01,11.9,11.1845669934641
1990-07-01,13.8,13.5280964052288
1990-08-01,9.3,9.38603758169935
1990-09-01,10.5,10.8114052287582
1990-10-01,9.6,10.0731699346405
1990-11-01,10.3,10.7414297385621
1990-12-01,8.8,9.16397875816994
1991-01-01,11.2,10.5273366013072
1991-02-01,10,9.48236111111111
1991-03-01,9.2,9.15601307189542
1991-04-01,10.4,10.6671650326797
1991-05-01,11.4,11.6784395424837
1991-06-01,12.1,11.3845669934641
1991-07-01,12,11.7280964052288
1991-08-01,11.1,11.1860375816993
1991-09-01,9.8,10.1114052287582
1991-10-01,9.4,9.87316993464052
1991-11-01,9.4,9.84142973856209
1991-12-01,9.1,9.46397875816993
1992-01-01,11.3,10.6273366013072
1992-02-01,12.4,11.8823611111111
1992-03-01,11.1,11.0560130718954
1992-04-01,10.5,10.7671650326797
1992-05-01,10.8,11.0784395424837
1992-06-01,11.2,10.4845669934641
1992-07-01,11.6,11.3280964052288
1992-08-01,11.4,11.4860375816993
1992-09-01,10.4,10.7114052287582
1992-10-01,10.6,11.0731699346405
1992-11-01,12.4,12.8414297385621
1992-12-01,13.4,13.7639787581699
1993-01-01,15.6,14.9273366013072
1993-02-01,16,15.4823611111111
1993-03-01,14.3,14.2560130718954
1993-04-01,14,14.2671650326797
1993-05-01,13.8,14.0784395424837
1993-06-01,14.4,13.6845669934641
1993-07-01,13,12.7280964052288
1993-08-01,13.1,13.1860375816993
1993-09-01,13.1,13.4114052287582
1993-10-01,13.3,13.7731699346405
1993-11-01,14.2,14.6414297385621
1993-12-01,15,15.3639787581699
1994-01-01,16.4,15.7273366013072
1994-02-01,15.7,15.1823611111111
1994-03-01,13.9,13.8560130718954
1994-04-01,13,13.2671650326797
1994-05-01,10.6,10.8784395424837
1994-06-01,10.4,9.68456699346405
1994-07-01,10.5,10.2280964052288
1994-08-01,9.3,9.38603758169935
1994-09-01,9,9.31140522875817
1994-10-01,10.1,10.5731699346405
1994-11-01,7.9,8.34142973856209
1994-12-01,7.9,8.26397875816994
1995-01-01,8.9,8.22733660130719
1995-02-01,9.7,9.18236111111111
1995-03-01,9.8,9.75601307189543
1995-04-01,9.6,9.86716503267974
1995-05-01,11.2,11.4784395424837
1995-06-01,12.8,12.0845669934641
1995-07-01,10.4,10.1280964052288
1995-08-01,10.2,10.2860375816993
1995-09-01,10.7,11.0114052287582
1995-10-01,9.2,9.67316993464052
1995-11-01,9.8,10.2414297385621
1995-12-01,10.2,10.5639787581699
1996-01-01,10.7,10.0273366013072
1996-02-01,11.3,10.7823611111111
1996-03-01,14.3,14.2560130718954
1996-04-01,15,15.2671650326797
1996-05-01,14.9,15.1784395424837
1996-06-01,15.2,14.484566993464
1996-07-01,14.8,14.5280964052288
1996-08-01,14.3,14.3860375816993
1996-09-01,13.9,14.2114052287582
1996-10-01,14.5,14.9731699346405
1996-11-01,14.8,15.2414297385621
1996-12-01,13.5,13.8639787581699
1997-01-01,15.7,15.0273366013072
1997-02-01,16.3,15.7823611111111
1997-03-01,14.6,14.5560130718954
1997-04-01,13.7,13.9671650326797
1997-05-01,13.5,13.7784395424837
1997-06-01,15.1,14.3845669934641
1997-07-01,13.3,13.0280964052288
1997-08-01,13.8,13.8860375816993
1997-09-01,15.2,15.5114052287582
1997-10-01,14.9,15.3731699346405
1997-11-01,14.1,14.5414297385621
1997-12-01,13,13.3639787581699
1998-01-01,15.1,14.4273366013072
1998-02-01,13.2,12.6823611111111
1998-03-01,13.5,13.4560130718954
1998-04-01,11.4,11.6671650326797
1998-05-01,11.3,11.5784395424837
1998-06-01,12.6,11.8845669934641
1998-07-01,9.6,9.32809640522876
1998-08-01,10.2,10.2860375816993
1998-09-01,10.6,10.9114052287582
1998-10-01,10.2,10.6731699346405
1998-11-01,9.2,9.64142973856209
1998-12-01,9.5,9.86397875816994
1999-01-01,10.8,10.1273366013072
1999-02-01,10.9,10.3823611111111
1999-03-01,9.8,9.75601307189543
1999-04-01,9.7,9.96716503267974
1999-05-01,8.9,9.17843954248366
1999-06-01,9.7,8.98456699346405
1999-07-01,8.2,7.92809640522876
1999-08-01,8.1,8.18603758169935
1999-09-01,8.1,8.41140522875817
1999-10-01,7.9,8.37316993464052
1999-11-01,8.2,8.64142973856209
1999-12-01,9.4,9.76397875816994
2000-01-01,7.6,6.92733660130719
2000-02-01,7.3,6.78236111111111
2000-03-01,6.7,6.65601307189543
2000-04-01,6,6.26716503267974
2000-05-01,6,6.27843954248366
2000-06-01,6.7,5.98456699346405
2000-07-01,6.3,6.02809640522876
2000-08-01,6.7,6.78603758169935
2000-09-01,6.2,6.51140522875817
2000-10-01,6.2,6.67316993464052
2000-11-01,6.8,7.24142973856209
2000-12-01,7.2,7.56397875816994
2001-01-01,7.5,6.82733660130719
2001-02-01,7.3,6.78236111111111
2001-03-01,7.4,7.35601307189543
2001-04-01,6.7,6.96716503267974
2001-05-01,6.4,6.67843954248366
2001-06-01,7.2,6.48456699346405
2001-07-01,6.6,6.32809640522876
2001-08-01,7.3,7.38603758169935
2001-09-01,6.8,7.11140522875817
2001-10-01,6.7,7.17316993464052
2001-11-01,7.8,8.24142973856209
2001-12-01,7.8,8.16397875816993
2002-01-01,8.4,7.72733660130719
2002-02-01,8.8,8.28236111111111
2002-03-01,8.7,8.65601307189542
2002-04-01,8.1,8.36716503267974
2002-05-01,8.1,8.37843954248366
2002-06-01,9,8.28456699346405
2002-07-01,8.7,8.42809640522876
2002-08-01,8.9,8.98603758169935
2002-09-01,9.2,9.51140522875817
2002-10-01,9.2,9.67316993464052
2002-11-01,9.3,9.74142973856209
2002-12-01,9.5,9.86397875816994
2003-01-01,10.3,9.62733660130719
2003-02-01,10.1,9.58236111111111
2003-03-01,11.3,11.2560130718954
2003-04-01,9,9.26716503267974
2003-05-01,9.6,9.87843954248366
2003-06-01,11.1,10.3845669934641
2003-07-01,10.4,10.1280964052288
2003-08-01,10,10.0860375816993
2003-09-01,9.3,9.61140522875817
2003-10-01,9.1,9.57316993464052
2003-11-01,9.2,9.64142973856209
2003-12-01,9.4,9.76397875816994
2004-01-01,10.4,9.72733660130719
2004-02-01,9.2,8.68236111111111
2004-03-01,8.9,8.85601307189543
2004-04-01,8.2,8.46716503267974
2004-05-01,8.2,8.47843954248366
2004-06-01,9.4,8.68456699346405
2004-07-01,8.5,8.22809640522876
2004-08-01,8.4,8.48603758169935
2004-09-01,7.8,8.11140522875817
2004-10-01,7.5,7.97316993464052
2004-11-01,7.9,8.34142973856209
2004-12-01,7.2,7.56397875816994
2005-01-01,8.1,7.42733660130719
2005-02-01,8.1,7.58236111111111
2005-03-01,6.8,6.75601307189542
2005-04-01,6.1,6.36716503267974
2005-05-01,5.9,6.17843954248366
2005-06-01,7.4,6.68456699346405
2005-07-01,6.4,6.12809640522876
2005-08-01,6,6.08603758169935
2005-09-01,6.5,6.81140522875817
2005-10-01,6,6.47316993464052
2005-11-01,5.7,6.14142973856209
2005-12-01,5.5,5.86397875816994
2006-01-01,6.5,5.82733660130719
2006-02-01,6.5,5.98236111111111
2006-03-01,5.7,5.65601307189543
2006-04-01,5.9,6.16716503267974
2006-05-01,5,5.27843954248366
2006-06-01,5.9,5.18456699346405
2006-07-01,5.6,5.32809640522876
2006-08-01,5.3,5.38603758169935
2006-09-01,5.3,5.61140522875817
2006-10-01,4.8,5.27316993464052
2006-11-01,5.2,5.64142973856209
2006-12-01,5.4,5.76397875816994
2007-01-01,5.9,5.22733660130719
2007-02-01,5.6,5.08236111111111
2007-03-01,5.6,5.55601307189542
2007-04-01,4.9,5.16716503267974
2007-05-01,5.1,5.37843954248366
2007-06-01,6.3,5.58456699346405
2007-07-01,6.4,6.12809640522876
2007-08-01,6.1,6.18603758169935
2007-09-01,6.2,6.51140522875817
2007-10-01,6.4,6.87316993464052
2007-11-01,7.1,7.54142973856209
2007-12-01,7.4,7.76397875816994
2008-01-01,8.8,8.12733660130719
2008-02-01,7.7,7.18236111111111
2008-03-01,7.6,7.55601307189542
2008-04-01,7.7,7.96716503267974
2008-05-01,7.8,8.07843954248366
2008-06-01,9.4,8.68456699346405
2008-07-01,9.3,9.02809640522876
2008-08-01,9.7,9.78603758169935
2008-09-01,9.5,9.81140522875817
2008-10-01,9.1,9.57316993464052
2008-11-01,8.6,9.04142973856209
2008-12-01,9.6,9.96397875816993
2009-01-01,10.6,9.92733660130719
2009-02-01,11.5,10.9823611111111
2009-03-01,11,10.9560130718954
2009-04-01,10.8,11.0671650326797
2009-05-01,11.1,11.3784395424837
2009-06-01,12.2,11.4845669934641
2009-07-01,12.5,12.2280964052288
2009-08-01,12.5,12.5860375816993
2009-09-01,12.6,12.9114052287582
2009-10-01,13,13.4731699346405
2009-11-01,12.8,13.2414297385621
2009-12-01,12.8,13.1639787581699
2010-01-01,13.9,13.2273366013072
2010-02-01,13,12.4823611111111
2010-03-01,13.2,13.1560130718954
2010-04-01,12.1,12.3671650326797
2010-05-01,12.4,12.6784395424837
2010-06-01,12.9,12.1845669934641
2010-07-01,13.2,12.9280964052288
2010-08-01,12.9,12.9860375816993
2010-09-01,12.9,13.2114052287582
2010-10-01,13,13.4731699346405
2010-11-01,13.1,13.5414297385621
2010-12-01,13.2,13.5639787581699
2011-01-01,13.7,13.0273366013072
2011-02-01,14,13.4823611111111
2011-03-01,13,12.9560130718954
2011-04-01,13,13.2671650326797
2011-05-01,13.1,13.3784395424837
2011-06-01,14.6,13.8845669934641
2011-07-01,14.4,14.1280964052288
2011-08-01,13.4,13.4860375816993
2011-09-01,12.8,13.1114052287582
2011-10-01,11.9,12.3731699346405
2011-11-01,11,11.4414297385621
2011-12-01,11,11.3639787581699
2012-01-01,12,11.3273366013072
2012-02-01,12.2,11.6823611111111
2012-03-01,10.5,10.4560130718954
2012-04-01,9.9,10.1671650326797
2012-05-01,10,10.2784395424837
2012-06-01,11.7,10.9845669934641
2012-07-01,11.4,11.1280964052288
2012-08-01,11.2,11.2860375816993
2012-09-01,9.7,10.0114052287582
2012-10-01,9.4,9.87316993464052
2012-11-01,9.2,9.64142973856209
2012-12-01,9.5,9.86397875816994
2013-01-01,10.7,10.0273366013072
2013-02-01,10.3,9.78236111111111
2013-03-01,8.8,8.75601307189543
2013-04-01,8.6,8.86716503267974
2013-05-01,8.8,9.07843954248366
2013-06-01,9.8,9.08456699346405
2013-07-01,9.6,9.32809640522876
2013-08-01,9.8,9.88603758169935
2013-09-01,9.2,9.51140522875817
2013-10-01,9.2,9.67316993464052
2013-11-01,8.9,9.34142973856209
2013-12-01,9.1,9.46397875816993
2014-01-01,9.6,8.92733660130719
2014-02-01,10,9.48236111111111
2014-03-01,9.3,9.25601307189543
2014-04-01,8.3,8.56716503267974
2014-05-01,9,9.27843954248366
2014-06-01,10,9.28456699346405
2014-07-01,10,9.72809640522876
2014-08-01,9.4,9.48603758169935
2014-09-01,8.1,8.41140522875817
2014-10-01,8.1,8.57316993464052
2014-11-01,7.8,8.24142973856209
2014-12-01,8,8.36397875816994
2015-01-01,9.1,8.42733660130719
2015-02-01,8.9,8.38236111111111
2015-03-01,8.8,8.75601307189543
2015-04-01,9.1,9.36716503267974
2015-05-01,9.4,9.67843954248366
2015-06-01,10,9.28456699346405
2015-07-01,10.3,10.0280964052288
2015-08-01,9.5,9.58603758169935
2015-09-01,9,9.31140522875817
2015-10-01,8.5,8.97316993464052
2015-11-01,8.4,8.84142973856209
2015-12-01,8.3,8.66397875816994
2016-01-01,9.4,8.72733660130719
2016-02-01,9,8.48236111111111
2016-03-01,8.7,8.65601307189542
2016-04-01,8.2,8.46716503267974
2016-05-01,8.4,8.67843954248366
2016-06-01,8.9,8.18456699346405
2016-07-01,8.7,8.42809640522876
2016-08-01,8,8.08603758169935
2016-09-01,8,8.31140522875817
2016-10-01,8.2,8.67316993464052
2016-11-01,7.8,8.24142973856209
2016-12-01,7.7,8.06397875816993
2017-01-01,8.4,7.72733660130719
2017-02-01,8,7.48236111111111
2017-03-01,6.9,6.85601307189543
2017-04-01,6.2,6.46716503267974
2017-05-01,6,6.27843954248366
2017-06-01,6.7,5.98456699346405
2017-07-01,6.7,6.42809640522876
2017-08-01,6.5,6.58603758169935
2017-09-01,5.6,5.91140522875817
2017-10-01,5.6,6.07316993464052
2017-11-01,5.6,6.04142973856209
2017-12-01,5.4,5.76397875816994
2018-01-01,6.6,5.92733660130719
2018-02-01,6.2,5.68236111111111
2018-03-01,5.7,5.65601307189543
2018-04-01,5,5.26716503267974
2018-05-01,5,5.27843954248366
2018-06-01,6,5.28456699346405
2018-07-01,5.7,5.42809640522876
2018-08-01,5.3,5.38603758169935
2018-09-01,5,5.31140522875817
2018-10-01,5,5.47316993464052
2018-11-01,4.7,5.14142973856209
2018-12-01,5.2,5.56397875816994
2019-01-01,5.9,5.22733660130719
2019-02-01,5.6,5.08236111111111
2019-03-01,4.9,4.85601307189543
2019-04-01,4.2,4.46716503267974
2019-05-01,4,4.27843954248366
2019-06-01,5.3,4.58456699346405
2019-07-01,5.6,5.32809640522876
2019-08-01,5.1,5.18603758169935
2019-09-01,4.8,5.11140522875817
2019-10-01,4.7,5.17316993464052
2019-11-01,4.6,5.04142973856209
2019-12-01,4.8,5.16397875816994
2020-01-01,5.9,5.22733660130719
2020-02-01,5.7,5.18236111111111
2020-03-01,6.1,6.05601307189542
2020-04-01,11.5,11.7671650326797
2020-05-01,10.2,10.4784395424837
2020-06-01,10.5,9.78456699346405
2020-07-01,8.7,8.42809640522876
2020-08-01,6.8,6.88603758169935
2020-09-01,6.6,6.91140522875817
