"date","value","deseasonalized_value"
1990-01-01,8.1,7.40404761904762
1990-02-01,7.9,7.56985644257703
1990-03-01,7,7.43162114845938
1990-04-01,7.8,8.34228291316527
1990-05-01,7,7.6209593837535
1990-06-01,8,7.20747899159664
1990-07-01,8.6,8.01797619047619
1990-08-01,8.6,8.03860644257703
1990-09-01,9.2,9.20184173669468
1990-10-01,9.1,9.54240546218487
1990-11-01,9.1,9.6318662464986
1990-12-01,8,8.39105742296919
1991-01-01,9.1,8.40404761904762
1991-02-01,9.1,8.76985644257703
1991-03-01,8,8.43162114845938
1991-04-01,7.3,7.84228291316527
1991-05-01,8.3,8.9209593837535
1991-06-01,10.4,9.60747899159664
1991-07-01,9.7,9.11797619047619
1991-08-01,10.5,9.93860644257703
1991-09-01,10,10.0018417366947
1991-10-01,9.4,9.84240546218487
1991-11-01,10.1,10.6318662464986
1991-12-01,10.8,11.1910574229692
1992-01-01,13.7,13.0040476190476
1992-02-01,14,13.669856442577
1992-03-01,13.3,13.7316211484594
1992-04-01,12.7,13.2422829131653
1992-05-01,12.2,12.8209593837535
1992-06-01,13.4,12.6074789915966
1992-07-01,12.5,11.9179761904762
1992-08-01,12.8,12.238606442577
1992-09-01,12.7,12.7018417366947
1992-10-01,11.8,12.2424054621849
1992-11-01,12.6,13.1318662464986
1992-12-01,13.7,14.0910574229692
1993-01-01,14.8,14.1040476190476
1993-02-01,14.7,14.369856442577
1993-03-01,12.3,12.7316211484594
1993-04-01,12.2,12.7422829131653
1993-05-01,11.8,12.4209593837535
1993-06-01,12.7,11.9074789915966
1993-07-01,11,10.4179761904762
1993-08-01,11.5,10.938606442577
1993-09-01,10.8,10.8018417366947
1993-10-01,10.5,10.9424054621849
1993-11-01,9.7,10.2318662464986
1993-12-01,9.9,10.2910574229692
1994-01-01,10.9,10.2040476190476
1994-02-01,9.9,9.56985644257703
1994-03-01,9.2,9.63162114845938
1994-04-01,8.9,9.44228291316527
1994-05-01,8.5,9.1209593837535
1994-06-01,9.7,8.90747899159664
1994-07-01,9.4,8.81797619047619
1994-08-01,9.7,9.13860644257703
1994-09-01,8.7,8.70184173669468
1994-10-01,8.3,8.74240546218488
1994-11-01,8,8.5318662464986
1994-12-01,7.6,7.99105742296919
1995-01-01,8.8,8.10404761904762
1995-02-01,8.9,8.56985644257703
1995-03-01,8.1,8.53162114845938
1995-04-01,8.8,9.34228291316527
1995-05-01,8.8,9.4209593837535
1995-06-01,11.2,10.4074789915966
1995-07-01,9.3,8.71797619047619
1995-08-01,10.6,10.038606442577
1995-09-01,13.1,13.1018417366947
1995-10-01,12.2,12.6424054621849
1995-11-01,11.4,11.9318662464986
1995-12-01,11,11.3910574229692
1996-01-01,10.9,10.2040476190476
1996-02-01,10.7,10.369856442577
1996-03-01,8.8,9.23162114845938
1996-04-01,8.5,9.04228291316527
1996-05-01,8.6,9.2209593837535
1996-06-01,10.5,9.70747899159664
1996-07-01,10,9.41797619047619
1996-08-01,9.2,8.63860644257703
1996-09-01,7.8,7.80184173669468
1996-10-01,7.3,7.74240546218487
1996-11-01,7.3,7.8318662464986
1996-12-01,7.1,7.49105742296919
1997-01-01,8.5,7.80404761904762
1997-02-01,8.1,7.76985644257703
1997-03-01,8,8.43162114845938
1997-04-01,9.2,9.74228291316527
1997-05-01,9,9.6209593837535
1997-06-01,10.6,9.80747899159664
1997-07-01,9.6,9.01797619047619
1997-08-01,11.1,10.538606442577
1997-09-01,12.1,12.1018417366947
1997-10-01,11.1,11.5424054621849
1997-11-01,10.2,10.7318662464986
1997-12-01,10.3,10.6910574229692
1998-01-01,11.4,10.7040476190476
1998-02-01,10.3,9.96985644257703
1998-03-01,8.6,9.03162114845938
1998-04-01,8,8.54228291316527
1998-05-01,7.7,8.3209593837535
1998-06-01,10.3,9.50747899159664
1998-07-01,8.9,8.31797619047619
1998-08-01,9.2,8.63860644257703
1998-09-01,8.9,8.90184173669468
1998-10-01,9,9.44240546218487
1998-11-01,8.4,8.9318662464986
1998-12-01,7.3,7.69105742296919
1999-01-01,8.3,7.60404761904762
1999-02-01,8.6,8.26985644257703
1999-03-01,8.4,8.83162114845938
1999-04-01,9.5,10.0422829131653
1999-05-01,8.7,9.3209593837535
1999-06-01,9.9,9.10747899159664
1999-07-01,8.9,8.31797619047619
1999-08-01,8.3,7.73860644257703
1999-09-01,7.9,7.90184173669468
1999-10-01,8.2,8.64240546218487
1999-11-01,8.2,8.7318662464986
1999-12-01,7.9,8.29105742296919
2000-01-01,7.4,6.70404761904762
2000-02-01,6.6,6.26985644257703
2000-03-01,6.5,6.93162114845938
2000-04-01,6.6,7.14228291316527
2000-05-01,7.1,7.7209593837535
2000-06-01,7.8,7.00747899159664
2000-07-01,7.7,7.11797619047619
2000-08-01,7.8,7.23860644257703
2000-09-01,7.1,7.10184173669468
2000-10-01,7.1,7.54240546218487
2000-11-01,8.8,9.3318662464986
2000-12-01,8.6,8.99105742296919
2001-01-01,9.7,9.00404761904762
2001-02-01,9.9,9.56985644257703
2001-03-01,9.7,10.1316211484594
2001-04-01,9.5,10.0422829131653
2001-05-01,8.8,9.4209593837535
2001-06-01,10.2,9.40747899159664
2001-07-01,10,9.41797619047619
2001-08-01,10.1,9.53860644257703
2001-09-01,9.3,9.30184173669468
2001-10-01,10.1,10.5424054621849
2001-11-01,10.2,10.7318662464986
2001-12-01,10,10.3910574229692
2002-01-01,10.9,10.2040476190476
2002-02-01,9.7,9.36985644257703
