"date","value","deseasonalized_value"
1990-01-01,5.3,4.73011175303455
1990-02-01,6.4,5.90400881185808
1990-03-01,8.1,8.10315096872082
1990-04-01,7.5,7.78954802754435
1990-05-01,6.2,6.5293764589169
1990-06-01,5.9,5.484033321662
1990-07-01,5.5,5.26938346171802
1990-08-01,5.5,5.45400881185808
1990-09-01,5.9,6.11969508636788
1990-10-01,6,6.32104312558357
1990-11-01,8.3,8.54763626283847
1990-12-01,8.4,8.74800390989729
1991-01-01,9.3,8.73011175303455
1991-02-01,8.7,8.20400881185808
1991-03-01,8.7,8.70315096872082
1991-04-01,7.3,7.58954802754435
1991-05-01,8,8.3293764589169
1991-06-01,7.8,7.384033321662
1991-07-01,6.5,6.26938346171802
1991-08-01,6.5,6.45400881185808
1991-09-01,6.4,6.61969508636788
1991-10-01,5.8,6.12104312558357
1991-11-01,5.5,5.74763626283847
1991-12-01,5.9,6.24800390989729
1992-01-01,7.1,6.53011175303455
1992-02-01,6.5,6.00400881185808
1992-03-01,5.9,5.90315096872082
1992-04-01,6.4,6.68954802754435
1992-05-01,5.7,6.0293764589169
1992-06-01,7,6.584033321662
1992-07-01,7.1,6.86938346171802
1992-08-01,6.7,6.65400881185808
1992-09-01,5.6,5.81969508636788
1992-10-01,6.7,7.02104312558357
1992-11-01,6.8,7.04763626283847
1992-12-01,6.8,7.14800390989729
1993-01-01,8.9,8.33011175303455
1993-02-01,8.4,7.90400881185808
1993-03-01,7.8,7.80315096872082
1993-04-01,6.5,6.78954802754435
1993-05-01,6.6,6.9293764589169
1993-06-01,7.1,6.684033321662
1993-07-01,9,8.76938346171802
1993-08-01,5.9,5.85400881185808
1993-09-01,5,5.21969508636788
1993-10-01,5.1,5.42104312558357
1993-11-01,4.5,4.74763626283847
1993-12-01,5.1,5.44800390989729
1994-01-01,6.2,5.63011175303455
1994-02-01,6,5.50400881185808
1994-03-01,5.5,5.50315096872082
1994-04-01,3.7,3.98954802754435
1994-05-01,3.8,4.1293764589169
1994-06-01,4.5,4.084033321662
1994-07-01,4.1,3.86938346171802
1994-08-01,4.3,4.25400881185808
1994-09-01,4,4.21969508636788
1994-10-01,3.6,3.92104312558357
1994-11-01,3.3,3.54763626283847
1994-12-01,3.3,3.64800390989729
1995-01-01,4.9,4.33011175303455
1995-02-01,4.5,4.00400881185808
1995-03-01,4.1,4.10315096872082
