"date","value","deseasonalized_value"
1990-01-01,5.3,4.82045722455649
1990-02-01,5.5,5.13712389122316
1990-03-01,8.4,8.15379055788982
1990-04-01,7.6,7.89300624416433
1990-05-01,8.2,8.55979545985061
1990-06-01,5.5,5.22401114612512
1990-07-01,5.3,5.23122052987862
1990-08-01,5,5.02805526377218
1990-09-01,5,5.25709938141923
1990-10-01,5.5,5.77094742063492
1990-11-01,6.8,6.97278565592904
1990-12-01,8,8.05170722455649
1991-01-01,7.7,7.22045722455649
1991-02-01,7.9,7.53712389122316
1991-03-01,6.1,5.85379055788982
1991-04-01,5.5,5.79300624416433
1991-05-01,6.3,6.65979545985061
1991-06-01,6.6,6.32401114612512
1991-07-01,6.3,6.23122052987862
1991-08-01,6,6.02805526377218
1991-09-01,6.3,6.55709938141923
1991-10-01,6.1,6.37094742063492
1991-11-01,6.4,6.57278565592904
1991-12-01,6,6.05170722455649
1992-01-01,6.6,6.12045722455649
1992-02-01,6.5,6.13712389122316
1992-03-01,5.7,5.45379055788982
1992-04-01,4.9,5.19300624416433
1992-05-01,5.6,5.95979545985061
1992-06-01,6.5,6.22401114612512
1992-07-01,5.8,5.73122052987862
1992-08-01,5.9,5.92805526377218
1992-09-01,5.6,5.85709938141923
1992-10-01,5.8,6.07094742063492
1992-11-01,7.1,7.27278565592904
1992-12-01,6,6.05170722455649
1993-01-01,6.3,5.82045722455649
1993-02-01,6.7,6.33712389122316
1993-03-01,6.2,5.95379055788982
1993-04-01,5.6,5.89300624416433
1993-05-01,6,6.35979545985061
1993-06-01,6.5,6.22401114612512
1993-07-01,6.8,6.73122052987862
1993-08-01,5.6,5.62805526377218
1993-09-01,5.6,5.85709938141923
1993-10-01,5.9,6.17094742063492
1993-11-01,5.3,5.47278565592904
1993-12-01,5.8,5.85170722455649
1994-01-01,6.1,5.62045722455649
1994-02-01,5.8,5.43712389122316
1994-03-01,5.4,5.15379055788982
1994-04-01,4.8,5.09300624416433
1994-05-01,4.4,4.75979545985061
1994-06-01,4.7,4.42401114612512
1994-07-01,5.2,5.13122052987862
1994-08-01,4.7,4.72805526377218
1994-09-01,4.5,4.75709938141923
1994-10-01,4.3,4.57094742063492
1994-11-01,4.2,4.37278565592904
1994-12-01,4.5,4.55170722455649
1995-01-01,5.4,4.92045722455649
1995-02-01,4.8,4.43712389122316
1995-03-01,4.6,4.35379055788982
1995-04-01,4.1,4.39300624416433
1995-05-01,3.9,4.25979545985061
1995-06-01,4.3,4.02401114612512
1995-07-01,4,3.93122052987862
1995-08-01,4.5,4.52805526377218
1995-09-01,4.2,4.45709938141923
1995-10-01,3.9,4.17094742063492
1995-11-01,4.1,4.27278565592904
1995-12-01,4.9,4.95170722455649
1996-01-01,4.5,4.02045722455649
1996-02-01,4.2,3.83712389122316
1996-03-01,10.2,9.95379055788982
1996-04-01,6.8,7.09300624416433
1996-05-01,4.4,4.75979545985061
1996-06-01,4.3,4.02401114612512
1996-07-01,4.1,4.03122052987862
1996-08-01,3.9,3.92805526377218
1996-09-01,3.9,4.15709938141923
1996-10-01,4.7,4.97094742063492
1996-11-01,4.3,4.47278565592904
1996-12-01,5.1,5.15170722455649
1997-01-01,4.3,3.82045722455649
1997-02-01,4.2,3.83712389122316
1997-03-01,4.3,4.05379055788982
1997-04-01,3.8,4.09300624416433
1997-05-01,3.4,3.75979545985061
1997-06-01,4.3,4.02401114612512
1997-07-01,3.9,3.83122052987862
1997-08-01,4,4.02805526377218
1997-09-01,3.5,3.75709938141923
1997-10-01,3.4,3.67094742063492
1997-11-01,4.7,4.87278565592904
1997-12-01,3.9,3.95170722455649
1998-01-01,4.2,3.72045722455649
1998-02-01,3.8,3.43712389122316
1998-03-01,7.7,7.45379055788982
1998-04-01,3,3.29300624416433
1998-05-01,3.2,3.55979545985061
1998-06-01,3.8,3.52401114612512
1998-07-01,3.6,3.53122052987862
1998-08-01,3.9,3.92805526377218
1998-09-01,3.8,4.05709938141923
1998-10-01,3.7,3.97094742063492
1998-11-01,4.2,4.37278565592904
1998-12-01,4.4,4.45170722455649
1999-01-01,5,4.52045722455649
1999-02-01,5.5,5.13712389122316
1999-03-01,4.4,4.15379055788982
1999-04-01,4,4.29300624416433
1999-05-01,3.6,3.95979545985061
1999-06-01,4.3,4.02401114612512
1999-07-01,4.3,4.23122052987862
1999-08-01,4.5,4.52805526377218
1999-09-01,4.4,4.65709938141923
1999-10-01,4.4,4.67094742063492
1999-11-01,5.7,5.87278565592904
1999-12-01,6.5,6.55170722455649
2000-01-01,6.8,6.32045722455649
2000-02-01,6.4,6.03712389122316
2000-03-01,5.9,5.65379055788982
2000-04-01,5.2,5.49300624416433
2000-05-01,5.4,5.75979545985061
2000-06-01,5.8,5.52401114612512
2000-07-01,6.3,6.23122052987862
2000-08-01,5.8,5.82805526377218
2000-09-01,5.3,5.55709938141923
2000-10-01,5.4,5.67094742063492
2000-11-01,5.2,5.37278565592904
2000-12-01,7.1,7.15170722455649
2001-01-01,7.8,7.32045722455649
2001-02-01,7.1,6.73712389122316
2001-03-01,7.1,6.85379055788982
2001-04-01,6.5,6.79300624416433
2001-05-01,6,6.35979545985061
2001-06-01,6,5.72401114612512
2001-07-01,5.6,5.53122052987862
2001-08-01,5.9,5.92805526377218
2001-09-01,5.4,5.65709938141923
2001-10-01,5.7,5.97094742063492
2001-11-01,5.8,5.97278565592904
2001-12-01,5.7,5.75170722455649
2002-01-01,5.9,5.42045722455649
2002-02-01,5.6,5.23712389122316
2002-03-01,5.4,5.15379055788982
2002-04-01,5,5.29300624416433
2002-05-01,4.6,4.95979545985061
2002-06-01,5.3,5.02401114612512
2002-07-01,5.3,5.23122052987862
2002-08-01,5.3,5.32805526377218
2002-09-01,5,5.25709938141923
2002-10-01,4.9,5.17094742063492
2002-11-01,4.8,4.97278565592904
2002-12-01,4.7,4.75170722455649
2003-01-01,5.4,4.92045722455649
2003-02-01,5.4,5.03712389122316
2003-03-01,5,4.75379055788982
2003-04-01,4.8,5.09300624416433
2003-05-01,4.8,5.15979545985061
2003-06-01,5.9,5.62401114612512
2003-07-01,5.5,5.43122052987862
2003-08-01,5.4,5.42805526377218
2003-09-01,5.6,5.85709938141923
2003-10-01,6.3,6.57094742063492
2003-11-01,5.7,5.87278565592904
2003-12-01,5.4,5.45170722455649
2004-01-01,6.1,5.62045722455649
2004-02-01,6.1,5.73712389122316
2004-03-01,5.6,5.35379055788982
2004-04-01,5.1,5.39300624416433
2004-05-01,5.1,5.45979545985061
2004-06-01,5.8,5.52401114612512
2004-07-01,5.5,5.43122052987862
2004-08-01,5.5,5.52805526377218
2004-09-01,5,5.25709938141923
2004-10-01,4.6,4.87094742063492
2004-11-01,4.4,4.57278565592904
2004-12-01,4.3,4.35170722455649
2005-01-01,4.8,4.32045722455649
2005-02-01,4.8,4.43712389122316
2005-03-01,4,3.75379055788982
2005-04-01,3.5,3.79300624416433
2005-05-01,3.4,3.75979545985061
2005-06-01,4.1,3.82401114612512
2005-07-01,3.7,3.63122052987862
2005-08-01,3.8,3.82805526377218
2005-09-01,3.7,3.95709938141923
2005-10-01,3.7,3.97094742063492
2005-11-01,3.5,3.67278565592904
2005-12-01,3.4,3.45170722455649
2006-01-01,4.2,3.72045722455649
2006-02-01,4,3.63712389122316
2006-03-01,3.5,3.25379055788982
2006-04-01,3.2,3.49300624416433
2006-05-01,3.2,3.55979545985061
2006-06-01,4,3.72401114612512
2006-07-01,4,3.93122052987862
2006-08-01,3.8,3.82805526377218
2006-09-01,3.5,3.75709938141923
2006-10-01,3.3,3.57094742063492
2006-11-01,3.9,4.07278565592904
2006-12-01,4,4.05170722455649
2007-01-01,4.5,4.02045722455649
2007-02-01,4.4,4.03712389122316
2007-03-01,3.9,3.65379055788982
2007-04-01,3.5,3.79300624416433
2007-05-01,3.4,3.75979545985061
2007-06-01,4.2,3.92401114612512
2007-07-01,4,3.93122052987862
2007-08-01,3.9,3.92805526377218
2007-09-01,3.8,4.05709938141923
2007-10-01,3.5,3.77094742063492
2007-11-01,3.7,3.87278565592904
2007-12-01,4,4.05170722455649
2008-01-01,4.6,4.12045722455649
2008-02-01,4.3,3.93712389122316
2008-03-01,4.2,3.95379055788982
2008-04-01,3.9,4.19300624416433
2008-05-01,4.4,4.75979545985061
2008-06-01,5.4,5.12401114612512
2008-07-01,5.6,5.53122052987862
2008-08-01,5.6,5.62805526377218
2008-09-01,5.4,5.65709938141923
2008-10-01,5.7,5.97094742063492
2008-11-01,5.8,5.97278565592904
2008-12-01,6,6.05170722455649
2009-01-01,6.4,5.92045722455649
2009-02-01,7,6.63712389122316
2009-03-01,6.9,6.65379055788982
2009-04-01,6.1,6.39300624416433
2009-05-01,6.9,7.25979545985061
2009-06-01,7.7,7.42401114612512
2009-07-01,8.2,8.13122052987862
2009-08-01,8.1,8.12805526377218
2009-09-01,8.2,8.45709938141923
2009-10-01,8.2,8.47094742063492
2009-11-01,8,8.17278565592904
2009-12-01,8.1,8.15170722455649
2010-01-01,9.4,8.92045722455649
2010-02-01,9,8.63712389122316
2010-03-01,8.8,8.55379055788982
2010-04-01,8,8.29300624416433
2010-05-01,7.9,8.25979545985061
2010-06-01,8.5,8.22401114612512
2010-07-01,8.5,8.43122052987862
2010-08-01,8.4,8.42805526377218
2010-09-01,8.3,8.55709938141923
2010-10-01,8.2,8.47094742063492
2010-11-01,8.4,8.57278565592904
2010-12-01,8.2,8.25170722455649
2011-01-01,8.7,8.22045722455649
2011-02-01,8.6,8.23712389122316
2011-03-01,8.1,7.85379055788982
2011-04-01,7.8,8.09300624416433
2011-05-01,7.8,8.15979545985061
2011-06-01,9,8.72401114612512
2011-07-01,8.3,8.23122052987862
2011-08-01,8.2,8.22805526377218
2011-09-01,8.1,8.35709938141923
2011-10-01,7.6,7.87094742063492
2011-11-01,7.3,7.47278565592904
2011-12-01,7.3,7.35170722455649
2012-01-01,7.8,7.32045722455649
2012-02-01,7.8,7.43712389122316
2012-03-01,7.3,7.05379055788982
2012-04-01,6.7,6.99300624416433
2012-05-01,7.1,7.45979545985061
2012-06-01,7.8,7.52401114612512
2012-07-01,7.6,7.53122052987862
2012-08-01,7.4,7.42805526377218
2012-09-01,6.8,7.05709938141923
2012-10-01,6.8,7.07094742063492
2012-11-01,6.7,6.87278565592904
2012-12-01,7,7.05170722455649
2013-01-01,7.7,7.22045722455649
2013-02-01,7.7,7.33712389122316
2013-03-01,6.8,6.55379055788982
2013-04-01,6.5,6.79300624416433
2013-05-01,6.6,6.95979545985061
2013-06-01,7.4,7.12401114612512
2013-07-01,7,6.93122052987862
2013-08-01,7,7.02805526377218
2013-09-01,6.9,7.15709938141923
2013-10-01,7,7.27094742063492
2013-11-01,6.8,6.97278565592904
2013-12-01,6.7,6.75170722455649
2014-01-01,7.6,7.12045722455649
2014-02-01,7.8,7.43712389122316
2014-03-01,7.4,7.15379055788982
2014-04-01,6.4,6.69300624416433
2014-05-01,6.3,6.65979545985061
2014-06-01,6.8,6.52401114612512
2014-07-01,6.9,6.83122052987862
2014-08-01,6.8,6.82805526377218
2014-09-01,6.1,6.35709938141923
2014-10-01,5.9,6.17094742063492
2014-11-01,5.8,5.97278565592904
2014-12-01,5.5,5.55170722455649
2015-01-01,6.5,6.02045722455649
2015-02-01,6.3,5.93712389122316
2015-03-01,5.9,5.65379055788982
2015-04-01,5.5,5.79300624416433
2015-05-01,5.8,6.15979545985061
2015-06-01,6.2,5.92401114612512
2015-07-01,6.4,6.33122052987862
2015-08-01,6.2,6.22805526377218
2015-09-01,5.8,6.05709938141923
2015-10-01,5.6,5.87094742063492
2015-11-01,5.7,5.87278565592904
2015-12-01,5.8,5.85170722455649
2016-01-01,6.4,5.92045722455649
2016-02-01,6.5,6.13712389122316
2016-03-01,6.2,5.95379055788982
2016-04-01,5.6,5.89300624416433
2016-05-01,5.4,5.75979545985061
2016-06-01,6.1,5.82401114612512
2016-07-01,5.8,5.73122052987862
2016-08-01,5.9,5.92805526377218
2016-09-01,5.6,5.85709938141923
2016-10-01,5.7,5.97094742063492
2016-11-01,5.1,5.27278565592904
2016-12-01,5.1,5.15170722455649
2017-01-01,5.8,5.32045722455649
2017-02-01,5.7,5.33712389122316
2017-03-01,5,4.75379055788982
2017-04-01,4.4,4.69300624416433
2017-05-01,4.2,4.55979545985061
2017-06-01,4.8,4.52401114612512
2017-07-01,4.5,4.43122052987862
2017-08-01,4.3,4.32805526377218
2017-09-01,3.8,4.05709938141923
2017-10-01,3.8,4.07094742063492
2017-11-01,3.7,3.87278565592904
2017-12-01,3.7,3.75170722455649
2018-01-01,4.4,3.92045722455649
2018-02-01,4.3,3.93712389122316
2018-03-01,3.9,3.65379055788982
2018-04-01,3.5,3.79300624416433
2018-05-01,3.4,3.75979545985061
2018-06-01,4.5,4.22401114612512
2018-07-01,4.1,4.03122052987862
2018-08-01,4.2,4.22805526377218
2018-09-01,3.8,4.05709938141923
2018-10-01,3.8,4.07094742063492
2018-11-01,3.5,3.67278565592904
2018-12-01,3.6,3.65170722455649
2019-01-01,4.4,3.92045722455649
2019-02-01,3.9,3.53712389122316
2019-03-01,3.5,3.25379055788982
2019-04-01,2.8,3.09300624416433
2019-05-01,2.6,2.95979545985061
2019-06-01,3.2,2.92401114612512
2019-07-01,2.9,2.83122052987862
2019-08-01,3,3.02805526377218
2019-09-01,2.7,2.95709938141923
2019-10-01,2.6,2.87094742063492
2019-11-01,2.6,2.77278565592904
2019-12-01,2.7,2.75170722455649
2020-01-01,3.4,2.92045722455649
2020-02-01,3,2.63712389122316
2020-03-01,3.5,3.25379055788982
2020-04-01,9.1,9.39300624416433
2020-05-01,7.5,7.85979545985061
2020-06-01,6.8,6.52401114612512
2020-07-01,5.6,5.53122052987862
2020-08-01,4.5,4.52805526377218
2020-09-01,4.3,4.55709938141923
2020-10-01,3.5,3.77094742063492
2020-11-01,3.4,3.57278565592904
2020-12-01,3.2,3.25170722455649
2021-01-01,3.6,3.12045722455649
2021-02-01,3.3,2.93712389122316
2021-03-01,2.9,2.65379055788982
2021-04-01,2.6,2.89300624416433
2021-05-01,2.6,2.95979545985061
2021-06-01,3.5,3.22401114612512
2021-07-01,3,2.93122052987862
2021-08-01,3.1,3.12805526377218
2021-09-01,2.5,2.75709938141923
2021-10-01,2.3,2.57094742063492
2021-11-01,2.2,2.37278565592904
2021-12-01,2.1,2.15170722455649
2022-01-01,3.1,2.62045722455649
2022-02-01,2.8,2.43712389122316
2022-03-01,2.4,2.15379055788982
2022-04-01,1.9,2.19300624416433
2022-05-01,2.1,2.45979545985061
2022-06-01,3,2.72401114612512
2022-07-01,2.7,2.63122052987862
2022-08-01,2.8,2.82805526377218
2022-09-01,2.4,2.65709938141923
2022-10-01,2.3,2.57094742063492
2022-11-01,2.1,2.27278565592904
2022-12-01,1.9,1.95170722455649
2023-01-01,2.7,2.22045722455649
2023-02-01,2.6,2.23712389122316
2023-03-01,2.1,1.85379055788982
2023-04-01,1.8,2.09300624416433
2023-05-01,2,2.35979545985061
2023-06-01,2.8,2.52401114612512
2023-07-01,2.6,2.53122052987862
2023-08-01,2.7,2.72805526377218
2023-09-01,2.7,2.95709938141923
2023-10-01,2.5,2.77094742063492
2023-11-01,2.6,2.77278565592904
2023-12-01,2.7,2.75170722455649
2024-01-01,3.1,2.62045722455649
2024-02-01,3.3,2.93712389122316
2024-03-01,3.1,2.85379055788982
2024-04-01,2.6,2.89300624416433
2024-05-01,2.7,3.05979545985061
2024-06-01,3.4,3.12401114612512
2024-07-01,3.5,3.43122052987862
2024-08-01,3.6,3.62805526377218
2024-09-01,3.2,3.45709938141923
2024-10-01,3.3,3.57094742063492
2024-11-01,3.5,3.67278565592904
2024-12-01,3.7,3.75170722455649
2025-01-01,3.4,2.92045722455649
