"date","value","deseasonalized_value"
1990-01-01,8.9,8.04411414565826
1990-02-01,8.8,8.14791316526611
1990-03-01,7.3,7.42732492997199
1990-04-01,7.2,7.4571043417367
1990-05-01,6.9,7.21323179271709
1990-06-01,8.2,7.58087885154062
1990-07-01,8.1,7.7990581232493
1990-08-01,8.7,8.63112394957983
1990-09-01,8.3,8.60489845938375
1990-10-01,8,8.56482492997199
1990-11-01,8.6,9.13639355742297
1990-12-01,8.4,8.7931337535014
1991-01-01,10.4,9.54411414565826
1991-02-01,9.9,9.24791316526611
1991-03-01,8.9,9.02732492997199
1991-04-01,8.5,8.75710434173669
1991-05-01,8.2,8.51323179271709
1991-06-01,10,9.38087885154062
1991-07-01,8.9,8.5990581232493
1991-08-01,8.8,8.73112394957983
1991-09-01,8,8.30489845938375
1991-10-01,7.6,8.16482492997199
1991-11-01,8.2,8.73639355742297
1991-12-01,9.1,9.4931337535014
1992-01-01,11.9,11.0441141456583
1992-02-01,11,10.3479131652661
1992-03-01,9.7,9.82732492997199
1992-04-01,8.7,8.95710434173669
1992-05-01,8.6,8.91323179271709
1992-06-01,9.8,9.18087885154062
1992-07-01,8.7,8.3990581232493
1992-08-01,8,7.93112394957983
1992-09-01,7.1,7.40489845938375
1992-10-01,6.7,7.26482492997199
1992-11-01,7.2,7.73639355742297
1992-12-01,7.3,7.6931337535014
1993-01-01,9.1,8.24411414565826
1993-02-01,10,9.34791316526611
1993-03-01,8.8,8.92732492997199
1993-04-01,8.1,8.35710434173669
1993-05-01,8.1,8.41323179271709
1993-06-01,9.5,8.88087885154062
1993-07-01,8,7.6990581232493
1993-08-01,8.1,8.03112394957983
1993-09-01,6.9,7.20489845938375
1993-10-01,7.5,8.06482492997199
1993-11-01,7.5,8.03639355742297
1993-12-01,7.5,7.8931337535014
1994-01-01,10.5,9.64411414565826
1994-02-01,9.5,8.84791316526611
1994-03-01,8.4,8.52732492997199
1994-04-01,7.5,7.7571043417367
1994-05-01,6.7,7.01323179271709
1994-06-01,7.1,6.48087885154062
1994-07-01,7.7,7.3990581232493
1994-08-01,7.6,7.53112394957983
1994-09-01,7.3,7.60489845938375
1994-10-01,6.4,6.96482492997199
1994-11-01,6.2,6.73639355742297
1994-12-01,6.7,7.0931337535014
1995-01-01,8,7.14411414565826
1995-02-01,8.3,7.64791316526611
1995-03-01,6.9,7.02732492997199
1995-04-01,7.3,7.5571043417367
1995-05-01,6.9,7.21323179271709
1995-06-01,7.1,6.48087885154062
1995-07-01,6.3,5.9990581232493
1995-08-01,6.3,6.23112394957983
1995-09-01,6.6,6.90489845938375
1995-10-01,7.7,8.26482492997199
1995-11-01,6.9,7.43639355742297
1995-12-01,6.7,7.0931337535014
1996-01-01,8.3,7.44411414565826
1996-02-01,7.7,7.04791316526611
1996-03-01,6.1,6.22732492997199
1996-04-01,5.5,5.7571043417367
1996-05-01,6.7,7.01323179271709
1996-06-01,8.2,7.58087885154062
1996-07-01,6.9,6.5990581232493
1996-08-01,6.6,6.53112394957983
1996-09-01,6.9,7.20489845938375
1996-10-01,6.3,6.86482492997199
1996-11-01,6.9,7.43639355742297
1996-12-01,6.7,7.0931337535014
1997-01-01,8,7.14411414565826
1997-02-01,7.9,7.24791316526611
1997-03-01,6.7,6.82732492997199
1997-04-01,6.8,7.0571043417367
1997-05-01,7,7.31323179271709
1997-06-01,8.4,7.78087885154062
1997-07-01,7.2,6.8990581232493
1997-08-01,7.3,7.23112394957983
1997-09-01,7.2,7.50489845938375
1997-10-01,6.5,7.06482492997199
1997-11-01,6.3,6.83639355742297
1997-12-01,6.4,6.7931337535014
1998-01-01,8.8,7.94411414565826
1998-02-01,10.1,9.44791316526611
1998-03-01,9,9.12732492997199
1998-04-01,8.4,8.6571043417367
1998-05-01,7.8,8.11323179271709
1998-06-01,9.3,8.68087885154062
1998-07-01,8.7,8.3990581232493
1998-08-01,8.2,8.13112394957983
1998-09-01,7.3,7.60489845938375
1998-10-01,6.9,7.46482492997199
1998-11-01,6.5,7.03639355742297
1998-12-01,6.4,6.7931337535014
1999-01-01,7.8,6.94411414565826
1999-02-01,8,7.34791316526611
1999-03-01,6.7,6.82732492997199
1999-04-01,6,6.2571043417367
1999-05-01,6.3,6.61323179271709
1999-06-01,8.1,7.48087885154062
1999-07-01,7.5,7.1990581232493
1999-08-01,7.5,7.43112394957983
1999-09-01,7.5,7.80489845938375
1999-10-01,7,7.56482492997199
1999-11-01,6.7,7.23639355742297
1999-12-01,6.7,7.0931337535014
2000-01-01,6.5,5.64411414565826
2000-02-01,6.4,5.74791316526611
2000-03-01,5.7,5.82732492997199
2000-04-01,5.1,5.35710434173669
2000-05-01,5,5.31323179271709
2000-06-01,6,5.38087885154062
2000-07-01,5.9,5.5990581232493
2000-08-01,5.8,5.73112394957983
2000-09-01,5.2,5.50489845938375
2000-10-01,5,5.56482492997199
2000-11-01,5.5,6.03639355742297
2000-12-01,5.6,5.9931337535014
2001-01-01,7.3,6.44411414565826
2001-02-01,6.7,6.04791316526611
2001-03-01,6.2,6.32732492997199
2001-04-01,5.9,6.1571043417367
2001-05-01,6.1,6.41323179271709
2001-06-01,7.2,6.58087885154062
2001-07-01,6.5,6.1990581232493
2001-08-01,6.9,6.83112394957983
2001-09-01,6.8,7.10489845938375
2001-10-01,7.4,7.96482492997199
2001-11-01,7.6,8.13639355742297
2001-12-01,7.7,8.0931337535014
2002-01-01,8.9,8.04411414565826
2002-02-01,9.1,8.44791316526611
2002-03-01,8.7,8.82732492997199
2002-04-01,8.3,8.5571043417367
2002-05-01,8,8.31323179271709
2002-06-01,9.2,8.58087885154062
2002-07-01,9.2,8.8990581232493
2002-08-01,8.3,8.23112394957983
2002-09-01,7.6,7.90489845938375
2002-10-01,7.3,7.86482492997199
2002-11-01,7.5,8.03639355742297
2002-12-01,7.4,7.7931337535014
2003-01-01,8.5,7.64411414565826
2003-02-01,8,7.34791316526611
2003-03-01,7.5,7.62732492997199
2003-04-01,7,7.2571043417367
2003-05-01,7.2,7.51323179271709
2003-06-01,8.1,7.48087885154062
2003-07-01,7.5,7.1990581232493
2003-08-01,7.2,7.13112394957983
2003-09-01,6.7,7.00489845938375
2003-10-01,6.8,7.36482492997199
2003-11-01,7.3,7.83639355742297
2003-12-01,7.1,7.4931337535014
2004-01-01,8.6,7.74411414565826
2004-02-01,7.8,7.14791316526611
2004-03-01,7,7.12732492997199
2004-04-01,6.5,6.7571043417367
2004-05-01,7.7,8.01323179271709
2004-06-01,7.4,6.78087885154062
2004-07-01,7,6.6990581232493
2004-08-01,6.9,6.83112394957983
2004-09-01,6.6,6.90489845938375
2004-10-01,6.1,6.66482492997199
2004-11-01,6.1,6.63639355742297
2004-12-01,6.4,6.7931337535014
2005-01-01,7,6.14411414565826
2005-02-01,6.9,6.24791316526611
2005-03-01,6,6.12732492997199
2005-04-01,5.1,5.35710434173669
2005-05-01,5,5.31323179271709
2005-06-01,5.8,5.18087885154062
2005-07-01,5.4,5.0990581232493
2005-08-01,4.9,4.83112394957983
2005-09-01,4.7,5.00489845938375
2005-10-01,4.5,5.06482492997199
2005-11-01,4.6,5.13639355742297
2005-12-01,4.6,4.9931337535014
2006-01-01,5.5,4.64411414565826
2006-02-01,5.6,4.94791316526611
2006-03-01,4.8,4.92732492997199
2006-04-01,4.4,4.6571043417367
2006-05-01,4.3,4.61323179271709
2006-06-01,5.3,4.68087885154062
2006-07-01,5.1,4.7990581232493
2006-08-01,4.7,4.63112394957983
2006-09-01,4.2,4.50489845938375
2006-10-01,3.8,4.36482492997199
2006-11-01,4,4.53639355742297
2006-12-01,4.2,4.5931337535014
