"date","value","deseasonalized_value"
1990-01-01,6.5,5.93428046218487
1990-02-01,6,5.58979516806723
1990-03-01,5.7,5.68538340336135
1990-04-01,5.4,5.71663340336135
1990-05-01,6,6.32447654061625
1990-06-01,6.2,5.84065301120448
1990-07-01,8.5,8.39754726890756
1990-08-01,6.7,6.67190301120448
1990-09-01,6.4,6.72447654061625
1990-10-01,6.3,6.62361869747899
1990-11-01,6.8,6.84800595238095
1990-12-01,7.1,7.24322654061625
1991-01-01,6.6,6.03428046218487
1991-02-01,7.4,6.98979516806723
1991-03-01,7.4,7.38538340336135
1991-04-01,6.2,6.51663340336134
1991-05-01,7.7,8.02447654061625
1991-06-01,6.8,6.44065301120448
1991-07-01,5.5,5.39754726890756
1991-08-01,6.2,6.17190301120448
1991-09-01,5.1,5.42447654061625
1991-10-01,5.8,6.12361869747899
1991-11-01,7.7,7.74800595238095
1991-12-01,7.3,7.44322654061625
1992-01-01,6.2,5.63428046218487
1992-02-01,7.1,6.68979516806723
1992-03-01,6.9,6.88538340336135
1992-04-01,5.4,5.71663340336135
1992-05-01,5,5.32447654061625
1992-06-01,5.5,5.14065301120448
1992-07-01,4.8,4.69754726890756
1992-08-01,6.2,6.17190301120448
1992-09-01,5.7,6.02447654061625
1992-10-01,6.1,6.42361869747899
1992-11-01,5.4,5.44800595238095
1992-12-01,6.1,6.24322654061625
1993-01-01,8.3,7.73428046218487
1993-02-01,7.5,7.08979516806723
1993-03-01,6.5,6.48538340336134
1993-04-01,5.2,5.51663340336134
1993-05-01,5,5.32447654061625
1993-06-01,6.1,5.74065301120448
1993-07-01,5.3,5.19754726890756
1993-08-01,5.6,5.57190301120448
1993-09-01,5.4,5.72447654061625
1993-10-01,6.1,6.42361869747899
1993-11-01,7,7.04800595238095
1993-12-01,5.3,5.44322654061625
1994-01-01,6.4,5.83428046218487
1994-02-01,5.5,5.08979516806723
1994-03-01,5.8,5.78538340336134
1994-04-01,5.2,5.51663340336134
1994-05-01,4.7,5.02447654061625
1994-06-01,6,5.64065301120448
1994-07-01,5,4.89754726890756
1994-08-01,5.2,5.17190301120448
1994-09-01,5.3,5.62447654061625
1994-10-01,5.2,5.52361869747899
1994-11-01,4.5,4.54800595238095
1994-12-01,5.4,5.54322654061625
1995-01-01,4.8,4.23428046218487
1995-02-01,4.8,4.38979516806723
1995-03-01,3.5,3.48538340336134
1995-04-01,4.1,4.41663340336134
1995-05-01,4.8,5.12447654061625
1995-06-01,5.4,5.04065301120448
1995-07-01,4.8,4.69754726890756
1995-08-01,5.6,5.57190301120448
1995-09-01,5.1,5.42447654061625
1995-10-01,4.3,4.62361869747899
1995-11-01,5.8,5.84800595238095
1995-12-01,5,5.14322654061625
1996-01-01,4.7,4.13428046218487
1996-02-01,4.3,3.88979516806723
1996-03-01,3.9,3.88538340336134
1996-04-01,4.2,4.51663340336134
1996-05-01,4.9,5.22447654061625
1996-06-01,5.9,5.54065301120448
1996-07-01,5.5,5.39754726890756
1996-08-01,5.4,5.37190301120448
1996-09-01,4.8,5.12447654061625
1996-10-01,4.5,4.82361869747899
1996-11-01,5,5.04800595238095
1996-12-01,4.7,4.84322654061625
1997-01-01,4.2,3.63428046218487
1997-02-01,3.7,3.28979516806723
1997-03-01,4.3,4.28538340336134
1997-04-01,4.5,4.81663340336134
1997-05-01,4.7,5.02447654061625
1997-06-01,5.4,5.04065301120448
1997-07-01,4.4,4.29754726890756
1997-08-01,5.3,5.27190301120448
1997-09-01,4.2,4.52447654061625
1997-10-01,4,4.32361869747899
1997-11-01,4.1,4.14800595238095
1997-12-01,3.8,3.94322654061625
1998-01-01,4.7,4.13428046218487
1998-02-01,4.1,3.68979516806723
1998-03-01,4.2,4.18538340336135
1998-04-01,2.8,3.11663340336134
1998-05-01,3.1,3.42447654061625
1998-06-01,4.6,4.24065301120448
1998-07-01,4.2,4.09754726890756
1998-08-01,4.1,4.07190301120448
1998-09-01,4.2,4.52447654061625
1998-10-01,3.8,4.12361869747899
1998-11-01,5.1,5.14800595238095
1998-12-01,7.4,7.54322654061625
1999-01-01,6,5.43428046218487
1999-02-01,5.7,5.28979516806723
1999-03-01,5.2,5.18538340336135
1999-04-01,6.4,6.71663340336135
1999-05-01,5.2,5.52447654061625
1999-06-01,6.4,6.04065301120448
1999-07-01,5,4.89754726890756
1999-08-01,5.6,5.57190301120448
1999-09-01,5.5,5.82447654061625
