"date","value","deseasonalized_value"
1990-01-01,5.9,5.71847017973856
1990-02-01,5.7,5.84628880718954
1990-03-01,5.4,5.57006331699346
1990-04-01,5.5,5.69310253267974
1990-05-01,5.4,5.48967116013072
1990-06-01,5.3,4.9737397875817
1990-07-01,6.1,5.40169146825397
1990-08-01,6.2,5.73895337301587
1990-09-01,6.3,6.31073908730159
1990-10-01,6.1,6.32181051587302
1990-11-01,6.3,6.6628329248366
1990-12-01,6.4,6.87263684640523
1991-01-01,7.2,7.01847017973856
1991-02-01,7.5,7.64628880718954
1991-03-01,7.5,7.67006331699346
1991-04-01,7.3,7.49310253267974
1991-05-01,7.9,7.98967116013072
1991-06-01,8.3,7.9737397875817
1991-07-01,8.6,7.90169146825397
1991-08-01,8.5,8.03895337301587
1991-09-01,8.5,8.51073908730159
1991-10-01,8.3,8.52181051587302
1991-11-01,8.3,8.6628329248366
1991-12-01,8.3,8.77263684640523
1992-01-01,9.4,9.21847017973856
1992-02-01,9.4,9.54628880718954
1992-03-01,9.2,9.37006331699346
1992-04-01,8.8,8.99310253267974
1992-05-01,9.5,9.58967116013072
1992-06-01,10.3,9.9737397875817
1992-07-01,10.8,10.101691468254
1992-08-01,10.5,10.0389533730159
1992-09-01,10.5,10.5107390873016
1992-10-01,10,10.221810515873
1992-11-01,10.2,10.5628329248366
1992-12-01,10,10.4726368464052
1993-01-01,10.8,10.6184701797386
1993-02-01,10.7,10.8462888071895
1993-03-01,10.4,10.5700633169935
1993-04-01,9.9,10.0931025326797
1993-05-01,9.8,9.88967116013072
1993-06-01,10.2,9.8737397875817
1993-07-01,10.5,9.80169146825397
1993-08-01,10,9.53895337301587
1993-09-01,9.9,9.91073908730159
1993-10-01,9.9,10.121810515873
1993-11-01,9.5,9.8628329248366
1993-12-01,9.2,9.67263684640523
1994-01-01,10.5,10.3184701797386
1994-02-01,10,10.1462888071895
1994-03-01,9.9,10.0700633169935
1994-04-01,9.6,9.79310253267974
1994-05-01,9.2,9.28967116013072
1994-06-01,9.5,9.1737397875817
1994-07-01,9.9,9.20169146825397
1994-08-01,9.6,9.13895337301587
1994-09-01,8.9,8.91073908730159
1994-10-01,8.4,8.62181051587302
1994-11-01,8,8.3628329248366
1994-12-01,7.5,7.97263684640523
1995-01-01,8.4,8.21847017973856
1995-02-01,7.8,7.94628880718954
1995-03-01,7.7,7.87006331699346
1995-04-01,7.7,7.89310253267974
1995-05-01,7.6,7.68967116013072
1995-06-01,8,7.6737397875817
1995-07-01,8.8,8.10169146825397
1995-08-01,8.5,8.03895337301587
1995-09-01,8.3,8.31073908730159
1995-10-01,8.1,8.32181051587301
1995-11-01,8.2,8.5628329248366
1995-12-01,7.9,8.37263684640523
1996-01-01,9.1,8.91847017973856
1996-02-01,8.7,8.84628880718954
1996-03-01,8.6,8.77006331699346
1996-04-01,8.4,8.59310253267974
1996-05-01,8.4,8.48967116013072
1996-06-01,8.2,7.8737397875817
1996-07-01,8.9,8.20169146825397
1996-08-01,8,7.53895337301587
1996-09-01,7.8,7.81073908730159
1996-10-01,7.6,7.82181051587302
1996-11-01,7.6,7.9628329248366
1996-12-01,7.2,7.67263684640523
1997-01-01,8,7.81847017973856
