"date","value","deseasonalized_value"
1990-01-01,3.7,3.60371527777778
1990-02-01,3.4,3.50371527777778
1990-03-01,3.2,3.28288194444444
1990-04-01,3.4,3.41780841503268
1990-05-01,3.4,3.49734272875817
1990-06-01,3.6,3.23263684640523
1990-07-01,4.4,3.93947508169935
1990-08-01,4.3,3.94626079598506
1990-09-01,4.1,4.09602270074696
1990-10-01,3.9,4.05003880718954
1990-11-01,3.9,4.19133782679739
1990-12-01,3.8,4.33876429738562
1991-01-01,4.9,4.80371527777778
1991-02-01,5.2,5.30371527777778
1991-03-01,5,5.08288194444444
1991-04-01,4.9,4.91780841503268
1991-05-01,5.2,5.29734272875817
1991-06-01,5.7,5.33263684640523
1991-07-01,6.1,5.63947508169935
1991-08-01,6.1,5.74626079598506
1991-09-01,5.9,5.89602270074697
1991-10-01,5.6,5.75003880718954
1991-11-01,5.3,5.59133782679739
1991-12-01,5.1,5.63876429738562
1992-01-01,6.5,6.40371527777778
1992-02-01,6.4,6.50371527777778
1992-03-01,6.5,6.58288194444444
1992-04-01,6.4,6.41780841503268
1992-05-01,6.8,6.89734272875817
1992-06-01,7.3,6.93263684640523
1992-07-01,7.6,7.13947508169935
1992-08-01,7.6,7.24626079598506
1992-09-01,7.4,7.39602270074697
1992-10-01,6.7,6.85003880718954
1992-11-01,6.8,7.09133782679739
1992-12-01,6.3,6.83876429738562
1993-01-01,7,6.90371527777778
1993-02-01,7,7.10371527777778
1993-03-01,7.1,7.18288194444444
1993-04-01,7,7.01780841503268
1993-05-01,6.9,6.99734272875817
1993-06-01,7.5,7.13263684640523
1993-07-01,7.8,7.33947508169935
1993-08-01,7.6,7.24626079598506
1993-09-01,7.2,7.19602270074697
1993-10-01,7,7.15003880718954
1993-11-01,6.6,6.89133782679739
1993-12-01,6.1,6.63876429738562
1994-01-01,7.3,7.20371527777778
1994-02-01,6.9,7.00371527777778
1994-03-01,6.7,6.78288194444445
1994-04-01,6.5,6.51780841503268
1994-05-01,6.2,6.29734272875817
1994-06-01,6.7,6.33263684640523
1994-07-01,7.1,6.63947508169935
1994-08-01,7,6.64626079598506
1994-09-01,6.5,6.49602270074697
1994-10-01,6.1,6.25003880718954
1994-11-01,5.5,5.79133782679739
1994-12-01,5.1,5.63876429738562
1995-01-01,6,5.90371527777778
1995-02-01,5.8,5.90371527777778
1995-03-01,5.8,5.88288194444444
1995-04-01,6.2,6.21780841503268
1995-05-01,6.1,6.19734272875817
1995-06-01,6.5,6.13263684640523
1995-07-01,7,6.53947508169935
1995-08-01,6.7,6.34626079598506
1995-09-01,6.4,6.39602270074697
1995-10-01,5.8,5.95003880718954
1995-11-01,5.4,5.69133782679739
1995-12-01,4.9,5.43876429738562
1996-01-01,5.8,5.70371527777778
1996-02-01,5.2,5.30371527777778
1996-03-01,5,5.08288194444444
1996-04-01,4.9,4.91780841503268
1996-05-01,4.9,4.99734272875817
1996-06-01,5.1,4.73263684640523
1996-07-01,5.6,5.13947508169935
1996-08-01,5,4.64626079598506
1996-09-01,4.7,4.69602270074697
1996-10-01,4.3,4.45003880718954
1996-11-01,4,4.29133782679739
1996-12-01,3.7,4.23876429738562
1997-01-01,4.3,4.20371527777778
1997-02-01,3.9,4.00371527777778
1997-03-01,4,4.08288194444444
1997-04-01,3.9,3.91780841503268
1997-05-01,3.9,3.99734272875817
1997-06-01,4.5,4.13263684640523
1997-07-01,4.7,4.23947508169935
1997-08-01,4.7,4.34626079598506
1997-09-01,4.5,4.49602270074697
1997-10-01,4,4.15003880718954
1997-11-01,3.6,3.89133782679739
1997-12-01,3.4,3.93876429738562
1998-01-01,3.9,3.80371527777778
1998-02-01,3.6,3.70371527777778
1998-03-01,3.9,3.98288194444444
1998-04-01,3.4,3.41780841503268
1998-05-01,3.4,3.49734272875817
1998-06-01,4,3.63263684640523
1998-07-01,4.2,3.73947508169935
1998-08-01,4.2,3.84626079598506
1998-09-01,3.9,3.89602270074697
1998-10-01,3.6,3.75003880718954
1998-11-01,3.2,3.49133782679739
1998-12-01,2.9,3.43876429738562
1999-01-01,3.5,3.40371527777778
1999-02-01,3.3,3.40371527777778
