"date","value","deseasonalized_value"
2014-12-01,2.2,2.55787422839506
2015-01-01,2.3,2.47778163580247
2015-02-01,2.3,2.54444830246914
2015-03-01,1.9,2.05694830246914
2015-04-01,2.1,2.07778163580247
2015-05-01,2.1,2.09722608024691
2015-06-01,2.4,2.00528163580247
2015-07-01,2.8,2.13319830246914
2015-08-01,2.3,1.79278163580247
2015-09-01,2,2.1348649691358
2015-10-01,2.1,2.3261149691358
2015-11-01,2.1,2.39569830246914
2015-12-01,2,2.35787422839506
2016-01-01,2.1,2.27778163580247
2016-02-01,2,2.24444830246914
2016-03-01,2.3,2.45694830246914
2016-04-01,1.8,1.77778163580247
2016-05-01,1.9,1.89722608024691
2016-06-01,2.3,1.90528163580247
2016-07-01,2.9,2.23319830246914
2016-08-01,2.7,2.19278163580247
2016-09-01,2.3,2.4348649691358
2016-10-01,2,2.2261149691358
2016-11-01,1.7,1.99569830246914
2016-12-01,2,2.35787422839506
2017-01-01,2.1,2.27778163580247
2017-02-01,1.9,2.14444830246914
2017-03-01,1.9,2.05694830246914
2017-04-01,1.6,1.57778163580247
2017-05-01,1.9,1.89722608024691
2017-06-01,2.3,1.90528163580247
2017-07-01,2.5,1.83319830246914
2017-08-01,2.8,2.29278163580247
2017-09-01,1.9,2.0348649691358
2017-10-01,1.7,1.9261149691358
2017-11-01,1.7,1.99569830246914
2017-12-01,1.7,2.05787422839506
2018-01-01,2,2.17778163580247
2018-02-01,2,2.24444830246914
2018-03-01,1.9,2.05694830246914
2018-04-01,1.5,1.47778163580247
2018-05-01,1.6,1.59722608024691
2018-06-01,2.3,1.90528163580247
2018-07-01,2.6,1.93319830246914
2018-08-01,2.7,2.19278163580247
2018-09-01,1.9,2.0348649691358
2018-10-01,1.7,1.9261149691358
2018-11-01,1.7,1.99569830246914
2018-12-01,1.9,2.25787422839506
2019-01-01,2,2.17778163580247
2019-02-01,1.7,1.94444830246914
2019-03-01,1.7,1.85694830246914
2019-04-01,1.5,1.47778163580247
2019-05-01,1.7,1.69722608024691
2019-06-01,2.1,1.70528163580247
2019-07-01,2.5,1.83319830246914
2019-08-01,2.3,1.79278163580247
2019-09-01,1.6,1.7348649691358
2019-10-01,1.8,2.0261149691358
2019-11-01,1.7,1.99569830246914
2019-12-01,1.6,1.95787422839506
2020-01-01,1.7,1.87778163580247
2020-02-01,1.6,1.84444830246914
2020-03-01,2.3,2.45694830246914
2020-04-01,6.2,6.17778163580247
2020-05-01,5.3,5.29722608024691
2020-06-01,5.2,4.80528163580247
2020-07-01,5.4,4.73319830246914
2020-08-01,4.5,3.99278163580247
2020-09-01,3.5,3.6348649691358
2020-10-01,3.2,3.4261149691358
2020-11-01,3.1,3.39569830246914
2020-12-01,3,3.35787422839506
2021-01-01,3.3,3.47778163580247
2021-02-01,3.2,3.44444830246914
2021-03-01,3.2,3.35694830246914
2021-04-01,2.4,2.37778163580247
2021-05-01,2.3,2.29722608024691
2021-06-01,2.8,2.40528163580247
2021-07-01,2.8,2.13319830246914
2021-08-01,2.3,1.79278163580247
2021-09-01,2,2.1348649691358
2021-10-01,1.6,1.8261149691358
2021-11-01,1.4,1.69569830246914
2021-12-01,1,1.35787422839506
2022-01-01,1.2,1.37778163580247
2022-02-01,1.7,1.94444830246914
2022-03-01,1.6,1.75694830246914
2022-04-01,1.5,1.47778163580247
2022-05-01,1.5,1.49722608024691
2022-06-01,2,1.60528163580247
2022-07-01,2.3,1.63319830246914
2022-08-01,2,1.49278163580247
2022-09-01,1.4,1.5348649691358
2022-10-01,1.6,1.8261149691358
2022-11-01,1.7,1.99569830246914
2022-12-01,1.4,1.75787422839506
2023-01-01,1.6,1.77778163580247
2023-02-01,1.6,1.84444830246914
2023-03-01,1.5,1.65694830246914
2023-04-01,1.4,1.37778163580247
2023-05-01,1.7,1.69722608024691
2023-06-01,2,1.60528163580247
2023-07-01,2.2,1.53319830246914
2023-08-01,2.5,1.99278163580247
2023-09-01,1.9,2.0348649691358
2023-10-01,1.9,2.1261149691358
2023-11-01,2,2.29569830246914
2023-12-01,1.8,2.15787422839506
2024-01-01,2,2.17778163580247
2024-02-01,1.7,1.94444830246914
2024-03-01,1.8,1.95694830246914
2024-04-01,1.9,1.87778163580247
2024-05-01,1.7,1.69722608024691
2024-06-01,2.3,1.90528163580247
2024-07-01,2.4,1.73319830246914
2024-08-01,2.7,2.19278163580247
2024-09-01,1.9,2.0348649691358
2024-10-01,1.9,2.1261149691358
2024-11-01,1.7,1.99569830246914
2024-12-01,1.8,2.15787422839506
2025-01-01,2.2,2.37778163580247
2025-02-01,2.3,2.54444830246914
2025-03-01,2.4,2.55694830246914
2025-04-01,1.9,1.87778163580247
2025-05-01,2.2,2.19722608024691
