"date","value","deseasonalized_value"
2000-01-01,1.6,1.70316145833333
2000-02-01,1.6,1.77191145833333
2000-03-01,1.7,1.93163368055556
2000-04-01,1.2,1.38666840277778
2000-05-01,1,1.17191145833333
2000-06-01,1.6,1.30784895833333
2000-07-01,2.3,1.62360590277778
2000-08-01,2.2,1.68627256944444
2000-09-01,2.1,2.08736284722222
2000-10-01,1.6,1.76062673611111
2000-11-01,1.4,1.580765625
2000-12-01,1.3,1.58823090277778
2001-01-01,1.4,1.50316145833333
2001-02-01,1.7,1.87191145833333
2001-03-01,1.7,1.93163368055556
2001-04-01,1.5,1.68666840277778
2001-05-01,1.7,1.87191145833333
2001-06-01,2.1,1.80784895833333
2001-07-01,2.7,2.02360590277778
2001-08-01,2.7,2.18627256944444
2001-09-01,2.5,2.48736284722222
2001-10-01,2.5,2.66062673611111
2001-11-01,2.6,2.780765625
2001-12-01,2.2,2.48823090277778
2002-01-01,2.6,2.70316145833333
2002-02-01,2.5,2.67191145833333
2002-03-01,2,2.23163368055556
2002-04-01,2.4,2.58666840277778
2002-05-01,2.6,2.77191145833333
2002-06-01,3.2,2.90784895833333
2002-07-01,3.7,3.02360590277778
2002-08-01,3.8,3.28627256944444
2002-09-01,3.4,3.38736284722222
2002-10-01,2.8,2.96062673611111
2002-11-01,2.7,2.880765625
2002-12-01,2.8,3.08823090277778
2003-01-01,2.7,2.80316145833333
2003-02-01,2.3,2.47191145833333
2003-03-01,2.5,2.73163368055556
2003-04-01,3.1,3.28666840277778
2003-05-01,3,3.17191145833333
2003-06-01,3.6,3.30784895833333
2003-07-01,3.3,2.62360590277778
2003-08-01,3.3,2.78627256944444
2003-09-01,3.2,3.18736284722222
2003-10-01,2.2,2.36062673611111
2003-11-01,2.6,2.780765625
2003-12-01,2.6,2.88823090277778
2004-01-01,2.7,2.80316145833333
2004-02-01,2.9,3.07191145833333
2004-03-01,2.4,2.63163368055556
2004-04-01,2.3,2.48666840277778
2004-05-01,2.7,2.87191145833333
2004-06-01,2.7,2.40784895833333
2004-07-01,2.9,2.22360590277778
2004-08-01,3,2.48627256944444
2004-09-01,2.5,2.48736284722222
2004-10-01,2.1,2.26062673611111
2004-11-01,2.2,2.380765625
2004-12-01,1.9,2.18823090277778
2005-01-01,2.1,2.20316145833333
2005-02-01,2.1,2.27191145833333
2005-03-01,2,2.23163368055556
2005-04-01,2,2.18666840277778
2005-05-01,1.7,1.87191145833333
2005-06-01,2.1,1.80784895833333
2005-07-01,2.8,2.12360590277778
2005-08-01,2.6,2.08627256944444
2005-09-01,2.2,2.18736284722222
2005-10-01,2.1,2.26062673611111
2005-11-01,1.6,1.780765625
2005-12-01,1.7,1.98823090277778
2006-01-01,1.5,1.60316145833333
2006-02-01,1.8,1.97191145833333
2006-03-01,1.6,1.83163368055556
2006-04-01,1.7,1.88666840277778
2006-05-01,1.6,1.77191145833333
2006-06-01,1.6,1.30784895833333
2006-07-01,2.3,1.62360590277778
2006-08-01,2,1.48627256944444
2006-09-01,2.1,2.08736284722222
2006-10-01,1.7,1.86062673611111
2006-11-01,1.6,1.780765625
2006-12-01,1.5,1.78823090277778
2007-01-01,1.7,1.80316145833333
2007-02-01,1.7,1.87191145833333
2007-03-01,1.8,2.03163368055556
2007-04-01,1.3,1.48666840277778
2007-05-01,1.6,1.77191145833333
2007-06-01,2,1.70784895833333
2007-07-01,2.3,1.62360590277778
2007-08-01,2.6,2.08627256944444
2007-09-01,1.9,1.88736284722222
2007-10-01,1.7,1.86062673611111
2007-11-01,1.7,1.880765625
2007-12-01,1.6,1.88823090277778
2008-01-01,1.8,1.90316145833333
2008-02-01,1.7,1.87191145833333
2008-03-01,1.6,1.83163368055556
2008-04-01,1.6,1.78666840277778
2008-05-01,2.2,2.37191145833333
2008-06-01,2.5,2.20784895833333
2008-07-01,2.7,2.02360590277778
2008-08-01,2.7,2.18627256944444
2008-09-01,2.4,2.38736284722222
2008-10-01,2.9,3.06062673611111
2008-11-01,3,3.180765625
2008-12-01,3.4,3.68823090277778
2009-01-01,3.5,3.60316145833333
2009-02-01,3.5,3.67191145833333
2009-03-01,3.6,3.83163368055556
2009-04-01,3.6,3.78666840277778
2009-05-01,3.3,3.47191145833333
2009-06-01,4.1,3.80784895833333
2009-07-01,5,4.32360590277778
2009-08-01,4.5,3.98627256944444
2009-09-01,4.2,4.18736284722222
2009-10-01,3.9,4.06062673611111
2009-11-01,4.2,4.380765625
2009-12-01,3.9,4.18823090277778
2010-01-01,4.4,4.50316145833333
2010-02-01,4.2,4.37191145833333
2010-03-01,3.9,4.13163368055556
2010-04-01,3.5,3.68666840277778
2010-05-01,3.3,3.47191145833333
2010-06-01,4,3.70784895833333
2010-07-01,4.9,4.22360590277778
2010-08-01,4.9,4.38627256944444
2010-09-01,4.4,4.38736284722222
2010-10-01,3.8,3.96062673611111
2010-11-01,3.9,4.080765625
2010-12-01,3.5,3.78823090277778
2011-01-01,3.7,3.80316145833333
2011-02-01,3.4,3.57191145833333
2011-03-01,3.6,3.83163368055556
2011-04-01,3.1,3.28666840277778
2011-05-01,3.8,3.97191145833333
2011-06-01,3.7,3.40784895833333
2011-07-01,3.6,2.92360590277778
2011-08-01,3.9,3.38627256944444
2011-09-01,3.6,3.58736284722222
2011-10-01,3.6,3.76062673611111
2011-11-01,3.8,3.980765625
2011-12-01,3.6,3.88823090277778
2012-01-01,3.9,4.00316145833333
2012-02-01,3.7,3.87191145833333
2012-03-01,3.5,3.73163368055556
2012-04-01,3.2,3.38666840277778
2012-05-01,2.9,3.07191145833333
2012-06-01,3.5,3.20784895833333
2012-07-01,4.3,3.62360590277778
2012-08-01,4.2,3.68627256944444
2012-09-01,3.3,3.28736284722222
2012-10-01,3.3,3.46062673611111
2012-11-01,3.3,3.480765625
2012-12-01,3.4,3.68823090277778
2013-01-01,3.5,3.60316145833333
2013-02-01,3.8,3.97191145833333
2013-03-01,3.2,3.43163368055556
2013-04-01,3,3.18666840277778
2013-05-01,3.4,3.57191145833333
2013-06-01,4.1,3.80784895833333
2013-07-01,4.1,3.42360590277778
2013-08-01,3.3,2.78627256944444
2013-09-01,3.1,3.08736284722222
2013-10-01,3.3,3.46062673611111
2013-11-01,3.1,3.280765625
2013-12-01,2.8,3.08823090277778
2014-01-01,3,3.10316145833333
2014-02-01,2.7,2.87191145833333
2014-03-01,3,3.23163368055556
2014-04-01,2.7,2.88666840277778
2014-05-01,2.7,2.87191145833333
2014-06-01,3,2.70784895833333
2014-07-01,3.2,2.52360590277778
2014-08-01,3.3,2.78627256944444
2014-09-01,2.7,2.68736284722222
2014-10-01,2.7,2.86062673611111
2014-11-01,2.6,2.780765625
2014-12-01,2.5,2.78823090277778
2015-01-01,2.7,2.80316145833333
2015-02-01,2.5,2.67191145833333
2015-03-01,1.9,2.13163368055556
