"date","value","deseasonalized_value"
1990-01-01,7,7.27797831253714
1990-02-01,7.1,7.50469399881165
1990-03-01,7.3,7.32062537136067
1990-04-01,7.5,7.55015968508616
1990-05-01,7.3,7.27466948900772
1990-06-01,7.3,7.06821895424837
1990-07-01,7.7,7.36008615567439
1990-08-01,7.9,7.56118909685086
1990-09-01,8.3,7.94207144979204
1990-10-01,7.9,7.84954693998812
1990-11-01,7.9,8.15432635175282
1990-12-01,7.8,8.13643419489008
1991-01-01,7.7,7.97797831253714
1991-02-01,7.7,8.10469399881165
1991-03-01,8.1,8.12062537136067
1991-04-01,7.9,7.95015968508616
1991-05-01,8.2,8.17466948900772
1991-06-01,8.2,7.96821895424837
1991-07-01,8.3,7.96008615567439
1991-08-01,8.4,8.06118909685086
1991-09-01,8.8,8.44207144979204
1991-10-01,8.6,8.54954693998812
1991-11-01,8.2,8.45432635175282
1991-12-01,8.4,8.73643419489008
1992-01-01,8.4,8.67797831253714
1992-02-01,8.6,9.00469399881165
1992-03-01,8.9,8.92062537136067
1992-04-01,8.6,8.65015968508616
1992-05-01,8.7,8.67466948900772
1992-06-01,9.1,8.86821895424837
1992-07-01,9.2,8.86008615567439
1992-08-01,9.2,8.86118909685086
1992-09-01,9.4,9.04207144979204
1992-10-01,8.9,8.84954693998812
1992-11-01,8.7,8.95432635175282
1992-12-01,8.6,8.93643419489008
1993-01-01,8.7,8.97797831253714
1993-02-01,8.7,9.10469399881165
1993-03-01,8.8,8.82062537136067
1993-04-01,8.5,8.55015968508616
1993-05-01,8.5,8.47466948900772
1993-06-01,8.8,8.56821895424837
1993-07-01,8.9,8.56008615567439
1993-08-01,8.8,8.46118909685086
1993-09-01,8.9,8.54207144979204
1993-10-01,8.8,8.74954693998812
1993-11-01,8.2,8.45432635175282
1993-12-01,8.1,8.43643419489008
1994-01-01,8.7,8.97797831253714
1994-02-01,8.5,8.90469399881165
1994-03-01,8.9,8.92062537136067
1994-04-01,8.7,8.75015968508615
1994-05-01,8.2,8.17466948900772
1994-06-01,8.4,8.16821895424837
1994-07-01,8.5,8.16008615567439
1994-08-01,8.5,8.16118909685086
1994-09-01,8.7,8.34207144979204
1994-10-01,8.3,8.24954693998812
1994-11-01,7.7,7.95432635175282
1994-12-01,7.4,7.73643419489008
1995-01-01,7.7,7.97797831253714
1995-02-01,7.2,7.60469399881165
1995-03-01,7.6,7.62062537136067
1995-04-01,8,8.05015968508616
1995-05-01,7.8,7.77466948900772
1995-06-01,7.8,7.56821895424837
1995-07-01,8.1,7.76008615567439
1995-08-01,8,7.66118909685086
1995-09-01,8.4,8.04207144979204
1995-10-01,8,7.94954693998812
1995-11-01,7.7,7.95432635175282
1995-12-01,7.5,7.83643419489008
1996-01-01,7.4,7.67797831253714
1996-02-01,7.4,7.80469399881165
1996-03-01,7.8,7.82062537136067
1996-04-01,7.5,7.55015968508616
1996-05-01,7.5,7.47466948900772
1996-06-01,7.2,6.96821895424837
1996-07-01,7.7,7.36008615567439
1996-08-01,7.1,6.76118909685086
1996-09-01,7.4,7.04207144979204
1996-10-01,7.1,7.04954693998812
1996-11-01,6.9,7.15432635175282
1996-12-01,6.8,7.13643419489008
1997-01-01,6.9,7.17797831253714
1997-02-01,6.6,7.00469399881165
1997-03-01,7.1,7.12062537136067
1997-04-01,6.8,6.85015968508616
1997-05-01,6.6,6.57466948900772
1997-06-01,6.7,6.46821895424837
1997-07-01,6.6,6.26008615567439
1997-08-01,6.6,6.26118909685086
1997-09-01,7,6.64207144979204
1997-10-01,6.5,6.44954693998812
1997-11-01,6.1,6.35432635175282
1997-12-01,6.1,6.43643419489008
1998-01-01,6.1,6.37797831253714
1998-02-01,5.9,6.30469399881165
1998-03-01,6.6,6.62062537136067
1998-04-01,5.8,5.85015968508616
1998-05-01,5.7,5.67466948900772
1998-06-01,5.9,5.66821895424837
1998-07-01,6,5.66008615567439
1998-08-01,5.8,5.46118909685086
1998-09-01,6.2,5.84207144979204
1998-10-01,5.8,5.74954693998812
1998-11-01,5.3,5.55432635175282
1998-12-01,5,5.33643419489008
1999-01-01,5,5.27797831253714
1999-02-01,5,5.40469399881165
1999-03-01,5.2,5.22062537136067
1999-04-01,5.2,5.25015968508616
1999-05-01,4.8,4.77466948900772
1999-06-01,4.9,4.66821895424837
1999-07-01,5.2,4.86008615567439
1999-08-01,5.1,4.76118909685086
1999-09-01,5.3,4.94207144979204
1999-10-01,4.9,4.84954693998812
1999-11-01,4.4,4.65432635175282
1999-12-01,4.2,4.53643419489008
2000-01-01,4.3,4.57797831253714
2000-02-01,4.3,4.70469399881165
