"date","value","deseasonalized_value"
1990-01-01,5.2,5.12706600316894
1990-02-01,5.4,5.39385521885522
1990-03-01,5.1,5.25353659140424
1990-04-01,5.2,5.32767874826698
1990-05-01,5.3,5.29140423846306
1990-06-01,5.7,5.18205337690632
1990-07-01,5.6,5.30353659140424
1990-08-01,5.9,5.66334051297287
1990-09-01,6.2,6.2263307090513
1990-10-01,5.6,5.72755619924738
1990-11-01,5.3,5.67584051297287
1990-12-01,5.3,5.62780129728659
1991-01-01,5.6,5.52706600316894
1991-02-01,5.9,5.89385521885522
1991-03-01,5.9,6.05353659140424
1991-04-01,5.5,5.62767874826698
1991-05-01,5.9,5.89140423846306
1991-06-01,6.4,5.88205337690632
1991-07-01,5.6,5.30353659140424
1991-08-01,5.3,5.06334051297287
1991-09-01,5.3,5.3263307090513
1991-10-01,5.3,5.42755619924738
1991-11-01,4.8,5.17584051297287
1991-12-01,4.9,5.22780129728659
1992-01-01,5.7,5.62706600316894
1992-02-01,8.1,8.09385521885522
1992-03-01,7.4,7.55353659140424
1992-04-01,7.3,7.42767874826698
1992-05-01,7.2,7.19140423846306
1992-06-01,8,7.48205337690632
1992-07-01,7.5,7.20353659140424
1992-08-01,7.2,6.96334051297287
1992-09-01,6.7,6.7263307090513
1992-10-01,6.6,6.72755619924738
1992-11-01,6.4,6.77584051297287
1992-12-01,6.3,6.62780129728659
1993-01-01,6.7,6.62706600316894
1993-02-01,6.6,6.59385521885522
1993-03-01,6.1,6.25353659140424
1993-04-01,5.9,6.02767874826698
1993-05-01,5.9,5.89140423846306
1993-06-01,6.7,6.18205337690632
1993-07-01,6.4,6.10353659140424
1993-08-01,6.3,6.06334051297287
1993-09-01,6.2,6.2263307090513
1993-10-01,6.2,6.32755619924738
1993-11-01,5.8,6.17584051297287
1993-12-01,5.8,6.12780129728659
1994-01-01,6.6,6.52706600316894
1994-02-01,6.2,6.19385521885522
1994-03-01,6,6.15353659140424
1994-04-01,5.7,5.82767874826698
1994-05-01,5.4,5.39140423846306
1994-06-01,6.2,5.68205337690632
1994-07-01,5.3,5.00353659140424
1994-08-01,5.6,5.36334051297287
1994-09-01,5.5,5.5263307090513
1994-10-01,5.3,5.42755619924738
1994-11-01,4.9,5.27584051297287
1994-12-01,4.8,5.12780129728659
1995-01-01,5.6,5.52706600316894
1995-02-01,5.1,5.09385521885522
1995-03-01,5,5.15353659140424
1995-04-01,5.4,5.52767874826698
1995-05-01,5.4,5.39140423846306
1995-06-01,6,5.48205337690632
1995-07-01,5.6,5.30353659140424
1995-08-01,5.6,5.36334051297287
1995-09-01,5.4,5.4263307090513
1995-10-01,5,5.12755619924738
1995-11-01,4.7,5.07584051297287
1995-12-01,4.8,5.12780129728659
1996-01-01,5,4.92706600316894
1996-02-01,4.9,4.89385521885522
1996-03-01,4.9,5.05353659140424
1996-04-01,4.6,4.72767874826698
1996-05-01,4.8,4.79140423846306
1996-06-01,5.1,4.58205337690632
1996-07-01,4.9,4.60353659140424
1996-08-01,4.7,4.46334051297287
1996-09-01,5,5.0263307090513
1996-10-01,5.3,5.42755619924738
1996-11-01,5.1,5.47584051297287
1996-12-01,5.1,5.42780129728659
1997-01-01,5.6,5.52706600316894
1997-02-01,5.1,5.09385521885522
1997-03-01,4.9,5.05353659140424
1997-04-01,4.4,4.52767874826698
1997-05-01,4.5,4.49140423846306
1997-06-01,5,4.48205337690632
1997-07-01,4.6,4.30353659140424
1997-08-01,4.5,4.26334051297287
1997-09-01,4.5,4.5263307090513
1997-10-01,4.1,4.22755619924738
1997-11-01,3.8,4.17584051297287
1997-12-01,4,4.32780129728659
1998-01-01,4.4,4.32706600316894
1998-02-01,4.2,4.19385521885522
1998-03-01,4.2,4.35353659140424
1998-04-01,3.7,3.82767874826698
1998-05-01,4,3.99140423846306
1998-06-01,4.5,3.98205337690632
1998-07-01,4.4,4.10353659140424
1998-08-01,4.2,3.96334051297287
1998-09-01,4,4.0263307090513
1998-10-01,3.9,4.02755619924738
1998-11-01,3.7,4.07584051297287
1998-12-01,3.6,3.92780129728659
1999-01-01,4,3.92706600316894
1999-02-01,4.1,4.09385521885522
1999-03-01,3.7,3.85353659140424
1999-04-01,3.6,3.72767874826698
1999-05-01,3.4,3.39140423846306
1999-06-01,4,3.48205337690632
1999-07-01,4,3.70353659140424
1999-08-01,3.9,3.66334051297287
1999-09-01,3.7,3.7263307090513
1999-10-01,3.4,3.52755619924738
1999-11-01,3.2,3.57584051297287
1999-12-01,3.2,3.52780129728659
2000-01-01,3.7,3.62706600316894
2000-02-01,3.6,3.59385521885522
2000-03-01,3.4,3.55353659140424
2000-04-01,3.1,3.22767874826698
2000-05-01,3.4,3.39140423846306
2000-06-01,3.9,3.38205337690632
2000-07-01,3.8,3.50353659140424
2000-08-01,3.7,3.46334051297287
2000-09-01,3.4,3.4263307090513
2000-10-01,3.2,3.32755619924738
2000-11-01,2.9,3.27584051297287
2000-12-01,2.9,3.22780129728659
2001-01-01,3.5,3.42706600316894
2001-02-01,3.5,3.49385521885522
2001-03-01,3.5,3.65353659140424
2001-04-01,3.4,3.52767874826698
2001-05-01,3.3,3.29140423846306
2001-06-01,4.1,3.58205337690632
2001-07-01,4.1,3.80353659140424
2001-08-01,4.6,4.36334051297287
2001-09-01,4.5,4.5263307090513
2001-10-01,5,5.12755619924738
2001-11-01,5.1,5.47584051297287
2001-12-01,5.3,5.62780129728659
2002-01-01,6,5.92706600316894
2002-02-01,5.9,5.89385521885522
2002-03-01,6,6.15353659140424
2002-04-01,5.9,6.02767874826698
2002-05-01,5.8,5.79140423846306
2002-06-01,6.4,5.88205337690632
2002-07-01,6.3,6.00353659140424
2002-08-01,6.3,6.06334051297287
2002-09-01,5.8,5.8263307090513
2002-10-01,5.8,5.92755619924738
2002-11-01,5.7,6.07584051297287
2002-12-01,5.7,6.02780129728659
2003-01-01,6.1,6.02706600316894
2003-02-01,5.9,5.89385521885522
2003-03-01,5.7,5.85353659140424
2003-04-01,5.6,5.72767874826698
2003-05-01,5.8,5.79140423846306
2003-06-01,6.6,6.08205337690632
2003-07-01,6.1,5.80353659140424
2003-08-01,6,5.76334051297287
2003-09-01,5.6,5.6263307090513
2003-10-01,5.4,5.52755619924738
2003-11-01,5.1,5.47584051297287
2003-12-01,4.9,5.22780129728659
2004-01-01,5.3,5.22706600316894
2004-02-01,5,4.99385521885522
2004-03-01,5.1,5.25353659140424
2004-04-01,5,5.12767874826698
2004-05-01,5.2,5.19140423846306
2004-06-01,6,5.48205337690632
2004-07-01,6,5.70353659140424
2004-08-01,5.8,5.56334051297287
2004-09-01,5.5,5.5263307090513
2004-10-01,5.7,5.82755619924738
2004-11-01,5.7,6.07584051297287
2004-12-01,5.9,6.22780129728659
2005-01-01,6.3,6.22706600316894
2005-02-01,6.5,6.49385521885522
2005-03-01,6.1,6.25353659140424
2005-04-01,5.9,6.02767874826698
2005-05-01,6.1,6.09140423846306
2005-06-01,6.5,5.98205337690632
2005-07-01,6.3,6.00353659140424
2005-08-01,6.1,5.86334051297287
2005-09-01,6.5,6.5263307090513
2005-10-01,6.2,6.32755619924738
2005-11-01,6.2,6.57584051297287
2005-12-01,5.9,6.22780129728659
2006-01-01,5.9,5.82706600316894
2006-02-01,5.9,5.89385521885522
2006-03-01,5.3,5.45353659140424
2006-04-01,5.3,5.42767874826698
2006-05-01,5.3,5.29140423846306
2006-06-01,5.8,5.28205337690632
2006-07-01,5.8,5.50353659140424
2006-08-01,5.6,5.36334051297287
2006-09-01,5.3,5.3263307090513
2006-10-01,5,5.12755619924738
2006-11-01,4.9,5.27584051297287
2006-12-01,5,5.32780129728659
2007-01-01,5.3,5.22706600316894
2007-02-01,5.1,5.09385521885522
2007-03-01,4.7,4.85353659140424
2007-04-01,4.8,4.92767874826698
2007-05-01,4.9,4.89140423846306
2007-06-01,5.5,4.98205337690632
2007-07-01,5.6,5.30353659140424
2007-08-01,5.4,5.16334051297287
2007-09-01,5.3,5.3263307090513
2007-10-01,5.3,5.42755619924738
2007-11-01,5,5.37584051297287
2007-12-01,5.6,5.92780129728659
2008-01-01,6,5.92706600316894
2008-02-01,5.8,5.79385521885522
2008-03-01,5.7,5.85353659140424
2008-04-01,5.6,5.72767874826698
2008-05-01,6.3,6.29140423846306
2008-06-01,7,6.48205337690632
2008-07-01,7.3,7.00353659140424
2008-08-01,7.6,7.36334051297287
2008-09-01,7.8,7.8263307090513
2008-10-01,8,8.12755619924738
2008-11-01,8,8.37584051297287
2008-12-01,8.6,8.92780129728659
2009-01-01,9.4,9.32706600316894
2009-02-01,9.8,9.79385521885522
2009-03-01,9.8,9.95353659140424
2009-04-01,9.7,9.82767874826698
2009-05-01,10.4,10.3914042384631
2009-06-01,11.4,10.8820533769063
2009-07-01,11.3,11.0035365914042
2009-08-01,11.3,11.0633405129729
2009-09-01,11.2,11.2263307090513
2009-10-01,11.1,11.2275561992474
2009-11-01,10.8,11.1758405129729
2009-12-01,10.9,11.2278012972866
2010-01-01,10.9,10.8270660031689
2010-02-01,10.8,10.7938552188552
2010-03-01,10.4,10.5535365914042
2010-04-01,10.1,10.227678748267
2010-05-01,10.2,10.1914042384631
2010-06-01,10.7,10.1820533769063
2010-07-01,10.8,10.5035365914042
2010-08-01,10.9,10.6633405129729
2010-09-01,10.6,10.6263307090513
2010-10-01,10.5,10.6275561992474
2010-11-01,10.6,10.9758405129729
2010-12-01,10.5,10.8278012972866
2011-01-01,10.6,10.5270660031689
2011-02-01,10.3,10.2938552188552
2011-03-01,10,10.1535365914042
2011-04-01,9.8,9.92767874826698
2011-05-01,10,9.99140423846306
2011-06-01,10.7,10.1820533769063
2011-07-01,10.6,10.3035365914042
2011-08-01,10.5,10.2633405129729
2011-09-01,10.1,10.1263307090513
2011-10-01,9.9,10.0275561992474
2011-11-01,9.3,9.67584051297287
2011-12-01,9.3,9.62780129728659
2012-01-01,9.5,9.42706600316894
2012-02-01,9.4,9.39385521885522
2012-03-01,9.1,9.25353659140424
2012-04-01,8.7,8.82767874826698
2012-05-01,8.9,8.89140423846306
2012-06-01,9.5,8.98205337690632
2012-07-01,9.5,9.20353659140424
2012-08-01,9.2,8.96334051297286
2012-09-01,8.5,8.5263307090513
2012-10-01,8.6,8.72755619924738
2012-11-01,8.2,8.57584051297287
2012-12-01,8.5,8.82780129728659
2013-01-01,8.9,8.82706600316894
2013-02-01,8.5,8.49385521885522
2013-03-01,8.1,8.25353659140424
2013-04-01,7.8,7.92767874826698
2013-05-01,8.1,8.09140423846306
2013-06-01,8.6,8.08205337690632
2013-07-01,8.3,8.00353659140424
2013-08-01,8.1,7.86334051297287
2013-09-01,7.7,7.7263307090513
2013-10-01,7.8,7.92755619924738
2013-11-01,7.2,7.57584051297287
2013-12-01,7.1,7.42780129728659
2014-01-01,7.4,7.32706600316894
2014-02-01,7.5,7.49385521885522
2014-03-01,7.4,7.55353659140424
2014-04-01,6.8,6.92767874826698
2014-05-01,7.2,7.19140423846306
2014-06-01,7.4,6.88205337690632
2014-07-01,7.6,7.30353659140424
2014-08-01,7.4,7.16334051297287
2014-09-01,6.8,6.8263307090513
2014-10-01,6.7,6.82755619924738
2014-11-01,6.4,6.77584051297287
2014-12-01,6.3,6.62780129728659
2015-01-01,6.7,6.62706600316894
2015-02-01,6.5,6.49385521885522
2015-03-01,6.2,6.35353659140424
2015-04-01,5.9,6.02767874826698
2015-05-01,6.2,6.19140423846306
2015-06-01,6.4,5.88205337690632
2015-07-01,6.3,6.00353659140424
2015-08-01,6.1,5.86334051297287
2015-09-01,5.7,5.7263307090513
2015-10-01,5.8,5.92755619924738
2015-11-01,5.5,5.87584051297287
2015-12-01,5.6,5.92780129728659
2016-01-01,5.8,5.72706600316894
2016-02-01,5.7,5.69385521885522
2016-03-01,5.6,5.75353659140424
2016-04-01,5.3,5.42767874826698
2016-05-01,5.2,5.19140423846306
2016-06-01,5.7,5.18205337690632
2016-07-01,5.6,5.30353659140424
2016-08-01,5.6,5.36334051297287
2016-09-01,5.4,5.4263307090513
2016-10-01,5.3,5.42755619924738
2016-11-01,5,5.37584051297287
2016-12-01,5.2,5.52780129728659
2017-01-01,5.5,5.42706600316894
2017-02-01,5.3,5.29385521885522
2017-03-01,5.1,5.25353659140424
2017-04-01,4.8,4.92767874826698
2017-05-01,4.9,4.89140423846306
2017-06-01,5.2,4.68205337690632
