"date","value","deseasonalized_value"
1990-01-01,7.6,7.35299223856209
1990-02-01,7.2,7.10323733660131
1990-03-01,7,7.1077716503268
1990-04-01,7.4,7.20691380718954
1990-05-01,7,6.95642361111111
1990-06-01,7.3,6.6188010620915
1990-07-01,7.4,7.01022263071895
1990-08-01,7.5,7.37468341503268
1990-09-01,7.5,7.71083537581699
1990-10-01,6.9,7.26941380718954
1990-11-01,7,7.52235498366013
1990-12-01,7.1,7.66635008169935
1991-01-01,7.9,7.65299223856209
1991-02-01,7.6,7.50323733660131
1991-03-01,7.8,7.9077716503268
1991-04-01,7.5,7.30691380718954
1991-05-01,7.8,7.75642361111111
1991-06-01,8.5,7.8188010620915
1991-07-01,8.2,7.81022263071895
1991-08-01,8.3,8.17468341503268
1991-09-01,8.3,8.51083537581699
1991-10-01,8.6,8.96941380718954
1991-11-01,9.1,9.62235498366013
1991-12-01,9.4,9.96635008169935
1992-01-01,9.9,9.65299223856209
1992-02-01,9.7,9.60323733660131
1992-03-01,9.3,9.4077716503268
1992-04-01,9.1,8.90691380718954
1992-05-01,9.3,9.25642361111111
1992-06-01,9.9,9.2188010620915
1992-07-01,9.2,8.81022263071895
1992-08-01,8.3,8.17468341503268
1992-09-01,8.1,8.31083537581699
1992-10-01,7.3,7.66941380718954
1992-11-01,7.9,8.42235498366013
1992-12-01,8.1,8.66635008169935
1993-01-01,9,8.75299223856209
1993-02-01,8.9,8.80323733660131
1993-03-01,8.9,9.0077716503268
1993-04-01,8.9,8.70691380718954
1993-05-01,9.2,9.15642361111111
1993-06-01,9.7,9.0188010620915
1993-07-01,8.9,8.51022263071896
1993-08-01,8.5,8.37468341503268
1993-09-01,8.6,8.81083537581699
1993-10-01,8.1,8.46941380718954
1993-11-01,7.4,7.92235498366013
1993-12-01,7.1,7.66635008169935
1994-01-01,8.4,8.15299223856209
1994-02-01,7.8,7.70323733660131
1994-03-01,7.4,7.5077716503268
1994-04-01,7,6.80691380718954
1994-05-01,6.5,6.45642361111111
1994-06-01,6.9,6.2188010620915
1994-07-01,6.7,6.31022263071895
1994-08-01,6.4,6.27468341503268
1994-09-01,5.9,6.11083537581699
1994-10-01,6.1,6.46941380718954
1994-11-01,5.5,6.02235498366013
1994-12-01,5.1,5.66635008169935
1995-01-01,6.5,6.25299223856209
1995-02-01,6.2,6.10323733660131
1995-03-01,6.1,6.2077716503268
1995-04-01,6.7,6.50691380718954
1995-05-01,6.2,6.15642361111111
1995-06-01,6.2,5.5188010620915
1995-07-01,6.2,5.81022263071895
1995-08-01,6.2,6.07468341503268
1995-09-01,5.9,6.11083537581699
1995-10-01,5.5,5.86941380718954
1995-11-01,5.2,5.72235498366013
1995-12-01,5.4,5.96635008169935
1996-01-01,6.5,6.25299223856209
1996-02-01,6.1,6.00323733660131
1996-03-01,6,6.1077716503268
1996-04-01,6.3,6.10691380718954
1996-05-01,6.3,6.25642361111111
1996-06-01,6.5,5.8188010620915
1996-07-01,6.6,6.21022263071895
1996-08-01,6,5.87468341503268
1996-09-01,5.7,5.91083537581699
1996-10-01,5.5,5.86941380718954
1996-11-01,5.4,5.92235498366013
1996-12-01,5.5,6.06635008169935
1997-01-01,6.2,5.95299223856209
1997-02-01,6.2,6.10323733660131
1997-03-01,6.1,6.2077716503268
1997-04-01,5.8,5.60691380718954
1997-05-01,5.4,5.35642361111111
1997-06-01,5.9,5.2188010620915
1997-07-01,5.7,5.31022263071895
1997-08-01,5.5,5.37468341503268
1997-09-01,5.6,5.81083537581699
1997-10-01,5.5,5.86941380718954
1997-11-01,5.5,6.02235498366013
1997-12-01,5.4,5.96635008169935
1998-01-01,6.3,6.05299223856209
1998-02-01,5.7,5.60323733660131
1998-03-01,5.4,5.5077716503268
1998-04-01,4.8,4.60691380718954
1998-05-01,4.8,4.75642361111111
1998-06-01,5.8,5.1188010620915
1998-07-01,5.3,4.91022263071895
1998-08-01,5.3,5.17468341503268
1998-09-01,5.4,5.61083537581699
1998-10-01,5.2,5.56941380718954
1998-11-01,5,5.52235498366013
1998-12-01,4.8,5.36635008169935
1999-01-01,5,4.75299223856209
1999-02-01,5.2,5.10323733660131
1999-03-01,4.7,4.8077716503268
1999-04-01,5.3,5.10691380718954
1999-05-01,5.2,5.15642361111111
1999-06-01,6.1,5.4188010620915
1999-07-01,5.6,5.21022263071895
1999-08-01,5.3,5.17468341503268
1999-09-01,4.9,5.11083537581699
1999-10-01,4.8,5.16941380718954
1999-11-01,4.6,5.12235498366013
1999-12-01,4.5,5.06635008169935
2000-01-01,5.1,4.85299223856209
2000-02-01,5.1,5.00323733660131
2000-03-01,5.2,5.3077716503268
2000-04-01,4.8,4.60691380718954
2000-05-01,4.8,4.75642361111111
2000-06-01,5.3,4.6188010620915
2000-07-01,5.2,4.81022263071895
2000-08-01,4.8,4.67468341503268
2000-09-01,4.6,4.81083537581699
2000-10-01,4.3,4.66941380718954
2000-11-01,4.7,5.22235498366013
2000-12-01,5,5.56635008169935
2001-01-01,5.9,5.65299223856209
2001-02-01,6,5.90323733660131
2001-03-01,6.2,6.3077716503268
2001-04-01,6.2,6.00691380718954
2001-05-01,5.7,5.65642361111111
2001-06-01,6.5,5.8188010620915
2001-07-01,6.1,5.71022263071895
2001-08-01,6.3,6.17468341503268
2001-09-01,6,6.21083537581699
2001-10-01,6.2,6.56941380718954
2001-11-01,6.4,6.92235498366013
2001-12-01,6.6,7.16635008169935
2002-01-01,7.8,7.55299223856209
2002-02-01,7.6,7.50323733660131
2002-03-01,7.7,7.8077716503268
2002-04-01,7.8,7.60691380718954
2002-05-01,7.5,7.45642361111111
2002-06-01,8.3,7.6188010620915
2002-07-01,8.2,7.81022263071895
2002-08-01,7.7,7.57468341503268
2002-09-01,7.2,7.41083537581699
2002-10-01,7.5,7.86941380718954
2002-11-01,7.5,8.02235498366013
2002-12-01,7.3,7.86635008169935
2003-01-01,8,7.75299223856209
2003-02-01,7.7,7.60323733660131
2003-03-01,7.4,7.5077716503268
2003-04-01,7.3,7.10691380718954
2003-05-01,7.3,7.25642361111111
2003-06-01,8.3,7.6188010620915
2003-07-01,7.8,7.41022263071895
2003-08-01,7.8,7.67468341503268
2003-09-01,7.5,7.71083537581699
2003-10-01,7,7.36941380718954
2003-11-01,6.8,7.32235498366013
2003-12-01,6.4,6.96635008169935
2004-01-01,7.3,7.05299223856209
2004-02-01,6.9,6.80323733660131
2004-03-01,7,7.1077716503268
2004-04-01,6.9,6.70691380718954
2004-05-01,6.8,6.75642361111111
2004-06-01,7.2,6.5188010620915
2004-07-01,7,6.61022263071895
2004-08-01,6.8,6.67468341503268
2004-09-01,6.5,6.71083537581699
2004-10-01,6.6,6.96941380718954
2004-11-01,6.5,7.02235498366013
2004-12-01,6.3,6.86635008169935
2005-01-01,6.8,6.55299223856209
2005-02-01,7.2,7.10323733660131
2005-03-01,6.8,6.9077716503268
2005-04-01,7.1,6.90691380718954
2005-05-01,6.8,6.75642361111111
2005-06-01,7.3,6.6188010620915
2005-07-01,6.8,6.41022263071895
2005-08-01,6.3,6.17468341503268
2005-09-01,6.1,6.31083537581699
2005-10-01,5.7,6.06941380718954
2005-11-01,5.6,6.12235498366013
2005-12-01,5.3,5.86635008169935
2006-01-01,5.8,5.55299223856209
2006-02-01,5.7,5.60323733660131
2006-03-01,5.3,5.4077716503268
2006-04-01,5.2,5.00691380718954
2006-05-01,4.6,4.55642361111111
2006-06-01,5.2,4.5188010620915
2006-07-01,5.1,4.71022263071895
2006-08-01,4.9,4.77468341503268
2006-09-01,4.5,4.71083537581699
2006-10-01,4.2,4.56941380718954
2006-11-01,4.3,4.82235498366013
2006-12-01,4.2,4.76635008169935
2007-01-01,5.5,5.25299223856209
2007-02-01,5.3,5.20323733660131
2007-03-01,4.8,4.9077716503268
2007-04-01,5.2,5.00691380718954
2007-05-01,5.2,5.15642361111111
2007-06-01,6,5.3188010620915
2007-07-01,5.9,5.51022263071895
2007-08-01,5.6,5.47468341503268
2007-09-01,5.3,5.51083537581699
2007-10-01,5.2,5.56941380718954
2007-11-01,5.3,5.82235498366013
2007-12-01,5.5,6.06635008169935
2008-01-01,6.2,5.95299223856209
2008-02-01,6,5.90323733660131
2008-03-01,5.7,5.8077716503268
2008-04-01,5.6,5.40691380718954
2008-05-01,6.4,6.35642361111111
2008-06-01,7.3,6.6188010620915
2008-07-01,7.3,6.91022263071895
2008-08-01,7.2,7.07468341503268
2008-09-01,6.8,7.01083537581699
2008-10-01,7.1,7.46941380718954
2008-11-01,7,7.52235498366013
2008-12-01,7.4,7.96635008169935
2009-01-01,8.8,8.55299223856209
2009-02-01,9.6,9.50323733660131
2009-03-01,9.6,9.7077716503268
2009-04-01,9.8,9.60691380718954
2009-05-01,10.2,10.1564236111111
2009-06-01,11,10.3188010620915
