"date","value","deseasonalized_value"
1948-01-01,2.2,2.24045542359687
1948-02-01,2.8,2.8393589323688
1948-03-01,2.6,2.6206637569302
1948-04-01,2.6,2.52313086219336
1948-05-01,2.4,2.34829533587757
1948-06-01,2.4,2.36507165166705
1948-07-01,2.5,2.47911314745196
1948-08-01,2.7,2.69988524815827
1948-09-01,3.2,3.21967691482494
1948-10-01,2.6,2.60679314289512
1948-11-01,2.7,2.73722077447406
1948-12-01,3.2,3.22033480956178
1949-01-01,3.2,3.24045542359687
1949-02-01,3.5,3.5393589323688
1949-03-01,3.5,3.5206637569302
1949-04-01,3.8,3.72313086219336
1949-05-01,4.3,4.24829533587757
1949-06-01,4.2,4.16507165166705
1949-07-01,4.7,4.67911314745196
1949-08-01,4.7,4.69988524815827
1949-09-01,4.5,4.51967691482494
1949-10-01,5.8,5.80679314289512
1949-11-01,4.8,4.83722077447406
1949-12-01,4.9,4.92033480956178
1950-01-01,5.3,5.34045542359687
1950-02-01,5.3,5.3393589323688
1950-03-01,5,5.0206637569302
1950-04-01,4.6,4.52313086219336
1950-05-01,4.1,4.04829533587757
1950-06-01,4.1,4.06507165166705
1950-07-01,4.1,4.07911314745196
1950-08-01,3.5,3.49988524815827
1950-09-01,3.4,3.41967691482494
1950-10-01,3.5,3.50679314289512
1950-11-01,3.3,3.33722077447406
1950-12-01,3.1,3.12033480956178
1951-01-01,2.8,2.84045542359687
1951-02-01,2.6,2.6393589323688
1951-03-01,2.6,2.6206637569302
1951-04-01,2.5,2.42313086219336
1951-05-01,2.7,2.64829533587757
1951-06-01,2.8,2.76507165166705
1951-07-01,2.6,2.57911314745196
1951-08-01,2.8,2.79988524815827
1951-09-01,3.2,3.21967691482494
1951-10-01,2.8,2.80679314289512
1951-11-01,2.6,2.63722077447406
1951-12-01,2.6,2.62033480956178
1952-01-01,2.4,2.44045542359687
1952-02-01,2.3,2.3393589323688
1952-03-01,2.5,2.5206637569302
1952-04-01,2.1,2.02313086219336
1952-05-01,2.3,2.24829533587757
1952-06-01,2.7,2.66507165166705
1952-07-01,2.4,2.37911314745196
1952-08-01,2.5,2.49988524815827
1952-09-01,2.2,2.21967691482494
1952-10-01,2.1,2.10679314289512
1952-11-01,2.1,2.13722077447406
1952-12-01,1.9,1.92033480956178
1953-01-01,2.3,2.34045542359687
1953-02-01,2.1,2.1393589323688
1953-03-01,2,2.0206637569302
1953-04-01,2,1.92313086219336
1953-05-01,2.3,2.24829533587757
1953-06-01,2.1,2.06507165166705
1953-07-01,1.9,1.87911314745196
1953-08-01,1.6,1.59988524815827
1953-09-01,2.6,2.61967691482494
1953-10-01,2.5,2.50679314289512
1953-11-01,2.8,2.83722077447406
1953-12-01,3.4,3.42033480956178
1954-01-01,3.8,3.84045542359687
1954-02-01,4,4.0393589323688
1954-03-01,4.5,4.5206637569302
1954-04-01,4.8,4.72313086219336
1954-05-01,4.7,4.64829533587757
1954-06-01,4.8,4.76507165166705
1954-07-01,4.6,4.57911314745196
1954-08-01,4.5,4.49988524815827
1954-09-01,4.4,4.41967691482494
1954-10-01,4.5,4.50679314289512
1954-11-01,4.2,4.23722077447406
1954-12-01,3.9,3.92033480956178
1955-01-01,3.7,3.74045542359687
1955-02-01,3.4,3.4393589323688
1955-03-01,3.3,3.3206637569302
1955-04-01,3.9,3.82313086219336
1955-05-01,3.1,3.04829533587757
1955-06-01,3.3,3.26507165166705
1955-07-01,3.2,3.17911314745196
1955-08-01,3.3,3.29988524815827
1955-09-01,2.7,2.71967691482494
1955-10-01,3.5,3.50679314289512
1955-11-01,3.4,3.43722077447406
1955-12-01,3.4,3.42033480956178
1956-01-01,2.8,2.84045542359687
1956-02-01,3.6,3.6393589323688
1956-03-01,3.7,3.7206637569302
1956-04-01,3.1,3.02313086219336
1956-05-01,3.2,3.14829533587757
1956-06-01,2.7,2.66507165166705
1956-07-01,3.2,3.17911314745196
1956-08-01,3,2.99988524815827
1956-09-01,3,3.01967691482494
1956-10-01,3,3.00679314289512
1956-11-01,3.4,3.43722077447406
1956-12-01,3.4,3.42033480956178
1957-01-01,3.4,3.44045542359687
1957-02-01,3.1,3.1393589323688
1957-03-01,2.9,2.9206637569302
1957-04-01,2.7,2.62313086219336
1957-05-01,2.9,2.84829533587757
1957-06-01,3.1,3.06507165166705
1957-07-01,3,2.97911314745196
1957-08-01,3.1,3.09988524815827
1957-09-01,3.4,3.41967691482494
1957-10-01,3.6,3.60679314289512
1957-11-01,4,4.03722077447406
1957-12-01,4,4.02033480956178
1958-01-01,4.2,4.24045542359687
1958-02-01,4.8,4.8393589323688
1958-03-01,5,5.0206637569302
1958-04-01,5.7,5.62313086219336
1958-05-01,5.7,5.64829533587757
1958-06-01,6,5.96507165166705
1958-07-01,5.8,5.77911314745196
1958-08-01,6,5.99988524815827
1958-09-01,5.3,5.31967691482494
1958-10-01,5.1,5.10679314289512
1958-11-01,4.3,4.33722077447406
1958-12-01,4.4,4.42033480956178
1959-01-01,4.4,4.44045542359687
1959-02-01,4.4,4.4393589323688
1959-03-01,4.2,4.2206637569302
1959-04-01,4,3.92313086219336
1959-05-01,3.7,3.64829533587757
1959-06-01,3.9,3.86507165166705
1959-07-01,4,3.97911314745196
1959-08-01,4.1,4.09988524815827
1959-09-01,4.1,4.11967691482494
1959-10-01,4.6,4.60679314289512
1959-11-01,4.4,4.43722077447406
1959-12-01,3.9,3.92033480956178
1960-01-01,3.9,3.94045542359687
1960-02-01,3.5,3.5393589323688
1960-03-01,4.1,4.1206637569302
1960-04-01,3.7,3.62313086219336
1960-05-01,3.8,3.74829533587757
1960-06-01,3.8,3.76507165166705
1960-07-01,4,3.97911314745196
1960-08-01,4.2,4.19988524815827
1960-09-01,4.1,4.11967691482494
1960-10-01,4.8,4.80679314289512
1960-11-01,4.6,4.63722077447406
1960-12-01,5.4,5.42033480956178
1961-01-01,5.1,5.14045542359687
1961-02-01,5.4,5.4393589323688
1961-03-01,5.1,5.1206637569302
1961-04-01,5.1,5.02313086219336
1961-05-01,5.4,5.34829533587757
1961-06-01,5.3,5.26507165166705
1961-07-01,5.4,5.37911314745196
1961-08-01,4.6,4.59988524815827
1961-09-01,4.8,4.81967691482494
1961-10-01,4.5,4.50679314289512
1961-11-01,4.5,4.53722077447406
1961-12-01,4.4,4.42033480956178
1962-01-01,4,4.04045542359687
1962-02-01,4.2,4.2393589323688
1962-03-01,4.1,4.1206637569302
1962-04-01,4.2,4.12313086219336
1962-05-01,4.1,4.04829533587757
1962-06-01,4.1,4.06507165166705
1962-07-01,3.8,3.77911314745196
1962-08-01,3.9,3.89988524815827
1962-09-01,4.1,4.11967691482494
1962-10-01,3.3,3.30679314289512
1962-11-01,4,4.03722077447406
1962-12-01,4.3,4.32033480956178
