"date","value","deseasonalized_value"
2007-01-01,4.8,4.14027777777778
2007-02-01,4.8,4.35424836601307
2007-03-01,4.1,3.9608660130719
2007-04-01,4.1,3.9608660130719
2007-05-01,4.1,4.17263071895425
2007-06-01,3.9,3.85400326797386
2007-07-01,4.1,4.0218954248366
2007-08-01,4,4.06209150326797
2007-09-01,4.2,4.58415032679739
2007-10-01,4.1,4.52949346405229
2007-11-01,4.5,4.99787581699346
2007-12-01,4.7,4.76160130718954
2008-01-01,5.5,4.84027777777778
2008-02-01,5.6,5.15424836601307
2008-03-01,6.2,6.0608660130719
2008-04-01,4.8,4.6608660130719
2008-05-01,5.3,5.37263071895425
2008-06-01,5.6,5.55400326797386
2008-07-01,5.5,5.4218954248366
2008-08-01,6,6.06209150326797
2008-09-01,5.5,5.88415032679739
2008-10-01,5.9,6.32949346405229
2008-11-01,6.5,6.99787581699346
2008-12-01,7.6,7.66160130718954
2009-01-01,9.2,8.54027777777778
2009-02-01,10.3,9.85424836601307
2009-03-01,9.6,9.4608660130719
2009-04-01,8.5,8.3608660130719
2009-05-01,9.1,9.17263071895425
2009-06-01,9.7,9.65400326797386
2009-07-01,10,9.9218954248366
2009-08-01,10.1,10.162091503268
2009-09-01,9.6,9.98415032679739
2009-10-01,9.7,10.1294934640523
2009-11-01,9.3,9.79787581699346
2009-12-01,11,11.0616013071895
2010-01-01,11.8,11.1402777777778
2010-02-01,11.5,11.0542483660131
2010-03-01,11,10.8608660130719
2010-04-01,8.8,8.6608660130719
2010-05-01,8.6,8.67263071895425
2010-06-01,8.7,8.65400326797386
2010-07-01,9.5,9.4218954248366
2010-08-01,9,9.06209150326797
2010-09-01,9.2,9.58415032679738
2010-10-01,9.2,9.62949346405229
2010-11-01,9.7,10.1978758169935
2010-12-01,10.6,10.6616013071895
2011-01-01,10.6,9.94027777777778
2011-02-01,9.8,9.35424836601307
2011-03-01,9.6,9.4608660130719
2011-04-01,9.1,8.9608660130719
2011-05-01,8.4,8.47263071895425
2011-06-01,8.4,8.35400326797386
2011-07-01,9.2,9.1218954248366
2011-08-01,8.6,8.66209150326797
2011-09-01,9.1,9.48415032679739
2011-10-01,8.9,9.32949346405229
