"date","value","deseasonalized_value"
1990-01-01,7.6,6.82136262838469
1990-02-01,7.5,6.8105783146592
1990-03-01,7.3,6.71131360877684
1990-04-01,7.9,6.75959792250233
1990-05-01,7.2,6.28226949112979
1990-06-01,6.3,6.22908321661998
1990-07-01,5.9,6.37978349673203
1990-08-01,5.9,6.8609739729225
1990-09-01,5.4,6.52764063958917
1990-10-01,5.8,6.96976949112979
1990-11-01,8,8.38006360877684
1990-12-01,8.5,8.56756360877684
1991-01-01,10.7,9.92136262838469
1991-02-01,11.2,10.5105783146592
1991-03-01,11.7,11.1113136087768
1991-04-01,12,10.8595979225023
1991-05-01,11.2,10.2822694911298
1991-06-01,9.2,9.12908321661998
1991-07-01,8.3,8.77978349673203
1991-08-01,8.7,9.6609739729225
1991-09-01,7.7,8.82764063958917
1991-10-01,7.1,8.26976949112979
1991-11-01,8.8,9.18006360877684
1991-12-01,10,10.0675636087768
1992-01-01,11.3,10.5213626283847
1992-02-01,11.7,11.0105783146592
1992-03-01,11.4,10.8113136087768
1992-04-01,11.7,10.5595979225023
1992-05-01,11.8,10.8822694911298
1992-06-01,10.5,10.42908321662
1992-07-01,9,9.47978349673203
1992-08-01,9.1,10.0609739729225
1992-09-01,8.6,9.72764063958917
1992-10-01,8.5,9.66976949112978
1992-11-01,10.2,10.5800636087768
1992-12-01,10.1,10.1675636087768
1993-01-01,11.3,10.5213626283847
1993-02-01,10.8,10.1105783146592
1993-03-01,10.8,10.2113136087768
1993-04-01,10.9,9.75959792250234
1993-05-01,10.6,9.68226949112979
1993-06-01,9.9,9.82908321661998
1993-07-01,9.2,9.67978349673202
1993-08-01,9.2,10.1609739729225
1993-09-01,9.3,10.4276406395892
1993-10-01,8.9,10.0697694911298
1993-11-01,10.1,10.4800636087768
1993-12-01,10.4,10.4675636087768
1994-01-01,11.4,10.6213626283847
1994-02-01,11.8,11.1105783146592
1994-03-01,11.5,10.9113136087768
1994-04-01,12.5,11.3595979225023
1994-05-01,12.8,11.8822694911298
1994-06-01,11.5,11.42908321662
1994-07-01,10.4,10.879783496732
1994-08-01,10.2,11.1609739729225
1994-09-01,9.6,10.7276406395892
1994-10-01,10.1,11.2697694911298
1994-11-01,11.1,11.4800636087768
1994-12-01,10.9,10.9675636087768
1995-01-01,12.4,11.6213626283847
1995-02-01,11.3,10.6105783146592
1995-03-01,11.3,10.7113136087768
1995-04-01,12.6,11.4595979225023
1995-05-01,11.4,10.4822694911298
1995-06-01,10.4,10.32908321662
1995-07-01,9.5,9.97978349673203
1995-08-01,9.3,10.2609739729225
1995-09-01,8.5,9.62764063958917
1995-10-01,8.1,9.26976949112979
1995-11-01,9.8,10.1800636087768
1995-12-01,10,10.0675636087768
1996-01-01,10.8,10.0213626283847
1996-02-01,10.2,9.5105783146592
1996-03-01,10.3,9.71131360877684
1996-04-01,11,9.85959792250233
1996-05-01,10.4,9.48226949112979
1996-06-01,9.3,9.22908321661998
1996-07-01,8.6,9.07978349673203
1996-08-01,8.1,9.0609739729225
1996-09-01,7.4,8.52764063958917
1996-10-01,7.5,8.66976949112978
1996-11-01,8.8,9.18006360877684
1996-12-01,9.8,9.86756360877684
1997-01-01,11,10.2213626283847
1997-02-01,10.5,9.8105783146592
1997-03-01,10.4,9.81131360877684
1997-04-01,11,9.85959792250233
1997-05-01,10.2,9.28226949112979
1997-06-01,9.3,9.22908321661998
1997-07-01,7.8,8.27978349673203
1997-08-01,7.2,8.1609739729225
1997-09-01,7.2,8.32764063958917
1997-10-01,6.7,7.86976949112979
1997-11-01,8.2,8.58006360877684
1997-12-01,8.4,8.46756360877684
1998-01-01,8.6,7.82136262838469
1998-02-01,8.1,7.4105783146592
1998-03-01,8.5,7.91131360877684
1998-04-01,8.4,7.25959792250233
1998-05-01,8,7.08226949112978
1998-06-01,7.5,7.42908321661998
1998-07-01,6.7,7.17978349673203
1998-08-01,6,6.9609739729225
1998-09-01,6.2,7.32764063958917
1998-10-01,6.4,7.56976949112979
1998-11-01,6.4,6.78006360877684
1998-12-01,4.7,4.76756360877684
1999-01-01,5.6,4.82136262838469
1999-02-01,5.8,5.1105783146592
1999-03-01,5.9,5.31131360877684
1999-04-01,6.7,5.55959792250233
1999-05-01,7,6.08226949112978
1999-06-01,6.6,6.52908321661998
1999-07-01,5.3,5.77978349673203
1999-08-01,4.8,5.7609739729225
1999-09-01,4.3,5.42764063958917
1999-10-01,4.2,5.36976949112979
1999-11-01,4.3,4.68006360877684
1999-12-01,5.3,5.36756360877684
2000-01-01,5.3,4.52136262838469
2000-02-01,4.9,4.2105783146592
2000-03-01,5.1,4.51131360877684
2000-04-01,5,3.85959792250233
2000-05-01,4.6,3.68226949112979
2000-06-01,3.7,3.62908321661998
2000-07-01,3.6,4.07978349673203
2000-08-01,3.4,4.3609739729225
2000-09-01,3.1,4.22764063958917
2000-10-01,3.2,4.36976949112979
2000-11-01,3.9,4.28006360877684
2000-12-01,3.9,3.96756360877684
2001-01-01,4.6,3.82136262838469
2001-02-01,4.6,3.9105783146592
2001-03-01,4.5,3.91131360877684
2001-04-01,5.3,4.15959792250233
2001-05-01,5.1,4.18226949112978
2001-06-01,4.4,4.32908321661998
2001-07-01,4.2,4.67978349673203
2001-08-01,3.7,4.6609739729225
2001-09-01,3.8,4.92764063958917
2001-10-01,3.9,5.06976949112978
2001-11-01,4.4,4.78006360877684
2001-12-01,4.9,4.96756360877684
2002-01-01,5.5,4.72136262838469
2002-02-01,5.2,4.5105783146592
2002-03-01,5.6,5.01131360877684
2002-04-01,6,4.85959792250233
2002-05-01,5.7,4.78226949112979
2002-06-01,5.5,5.42908321661998
2002-07-01,5,5.47978349673203
2002-08-01,4.6,5.5609739729225
2002-09-01,4.4,5.52764063958917
2002-10-01,4.4,5.56976949112979
2002-11-01,5.4,5.78006360877684
2002-12-01,5.6,5.66756360877684
2003-01-01,6.3,5.52136262838469
2003-02-01,6.4,5.7105783146592
2003-03-01,6.3,5.71131360877684
2003-04-01,7.2,6.05959792250233
2003-05-01,7,6.08226949112978
2003-06-01,6.6,6.52908321661998
2003-07-01,6.2,6.67978349673203
2003-08-01,5.5,6.4609739729225
2003-09-01,5.5,6.62764063958917
2003-10-01,5.6,6.76976949112978
2003-11-01,6.2,6.58006360877684
2003-12-01,6.4,6.46756360877684
2004-01-01,6.9,6.12136262838469
2004-02-01,6.8,6.1105783146592
2004-03-01,6.9,6.31131360877684
2004-04-01,6.9,5.75959792250233
2004-05-01,6.7,5.78226949112979
2004-06-01,6,5.92908321661998
2004-07-01,5.9,6.37978349673203
2004-08-01,5.4,6.3609739729225
2004-09-01,5.1,6.22764063958917
2004-10-01,5.3,6.46976949112979
2004-11-01,6.1,6.48006360877684
2004-12-01,6.6,6.66756360877684
2005-01-01,7.2,6.42136262838469
2005-02-01,7.2,6.5105783146592
2005-03-01,6.8,6.21131360877684
2005-04-01,7.6,6.45959792250233
2005-05-01,7.5,6.58226949112978
2005-06-01,6.4,6.32908321661998
2005-07-01,6.4,6.87978349673203
2005-08-01,5.9,6.8609739729225
2005-09-01,6,7.12764063958917
2005-10-01,5.8,6.96976949112979
2005-11-01,6.6,6.98006360877684
2005-12-01,6.7,6.76756360877684
2006-01-01,6.9,6.12136262838469
2006-02-01,6.8,6.1105783146592
2006-03-01,6.5,5.91131360877684
2006-04-01,7.5,6.35959792250233
2006-05-01,7.6,6.68226949112978
2006-06-01,7,6.92908321661998
2006-07-01,6.9,7.37978349673203
2006-08-01,6.3,7.2609739729225
2006-09-01,6,7.12764063958917
2006-10-01,5.6,6.76976949112978
2006-11-01,6.7,7.08006360877684
2006-12-01,6.3,6.36756360877684
2007-01-01,6.9,6.12136262838469
2007-02-01,6.5,5.8105783146592
2007-03-01,6.1,5.51131360877684
2007-04-01,7.4,6.25959792250233
2007-05-01,7.5,6.58226949112978
2007-06-01,6.5,6.42908321661998
2007-07-01,6.1,6.57978349673203
2007-08-01,5.4,6.3609739729225
2007-09-01,5.6,6.72764063958917
2007-10-01,5.3,6.46976949112979
2007-11-01,6,6.38006360877684
2007-12-01,6.6,6.66756360877684
2008-01-01,6.8,6.02136262838469
2008-02-01,6.8,6.1105783146592
2008-03-01,7.1,6.51131360877684
2008-04-01,7.1,5.95959792250233
2008-05-01,7.6,6.68226949112978
2008-06-01,6.9,6.82908321661998
2008-07-01,6.6,7.07978349673203
2008-08-01,6.1,7.0609739729225
2008-09-01,6.3,7.42764063958917
2008-10-01,6,7.16976949112979
2008-11-01,7,7.38006360877684
2008-12-01,7.8,7.86756360877684
2009-01-01,10.4,9.62136262838469
2009-02-01,10.7,10.0105783146592
2009-03-01,10.8,10.2113136087768
2009-04-01,11.3,10.1595979225023
2009-05-01,11,10.0822694911298
2009-06-01,10.4,10.32908321662
2009-07-01,9.4,9.87978349673203
2009-08-01,8.8,9.7609739729225
2009-09-01,8.9,10.0276406395892
2009-10-01,8.9,10.0697694911298
2009-11-01,9.3,9.68006360877684
2009-12-01,9.9,9.96756360877684
2010-01-01,10.9,10.1213626283847
2010-02-01,11.2,10.5105783146592
