"date","value","deseasonalized_value"
1990-01-01,8.5,6.36545138888889
1990-02-01,8,6.10956903594771
1990-03-01,7.9,5.99902982026144
1990-04-01,7.2,6.60429942810458
1990-05-01,5.5,6.35074550653595
1990-06-01,5.5,5.92059844771242
1990-07-01,5.2,6.02746119281046
1990-08-01,4.9,5.97978962418301
1990-09-01,5.1,6.35920138888889
1990-10-01,4.8,6.37611315359477
1990-11-01,5.6,6.62697099673203
1990-12-01,8.3,7.78077001633987
1991-01-01,10.6,8.46545138888889
1991-02-01,10.2,8.30956903594771
1991-03-01,10.4,8.49902982026144
1991-04-01,9.9,9.30429942810458
1991-05-01,7.9,8.75074550653595
1991-06-01,8.7,9.12059844771242
1991-07-01,7.7,8.52746119281046
1991-08-01,7.8,8.87978962418301
1991-09-01,7.9,9.15920138888889
1991-10-01,7.1,8.67611315359477
1991-11-01,8.1,9.12697099673203
1991-12-01,8.9,8.38077001633987
1992-01-01,11.5,9.36545138888889
1992-02-01,11.3,9.40956903594771
1992-03-01,11.1,9.19902982026144
1992-04-01,9,8.40429942810458
1992-05-01,6.9,7.75074550653595
1992-06-01,8.2,8.62059844771242
1992-07-01,7.3,8.12746119281046
1992-08-01,7.3,8.37978962418301
1992-09-01,7.5,8.75920138888889
1992-10-01,6.6,8.17611315359477
1992-11-01,7.3,8.32697099673203
1992-12-01,8.6,8.08077001633987
1993-01-01,11.6,9.46545138888889
1993-02-01,10.7,8.80956903594771
1993-03-01,10.7,8.79902982026144
1993-04-01,9.3,8.70429942810458
1993-05-01,6.9,7.75074550653595
1993-06-01,8.2,8.62059844771242
1993-07-01,6.6,7.42746119281046
1993-08-01,5.9,6.97978962418301
1993-09-01,6,7.25920138888889
1993-10-01,5.5,7.07611315359477
1993-11-01,5.8,6.82697099673203
1993-12-01,7.5,6.98077001633987
1994-01-01,10.4,8.26545138888889
1994-02-01,10.1,8.20956903594771
1994-03-01,9.7,7.79902982026144
1994-04-01,7.3,6.70429942810457
1994-05-01,4.8,5.65074550653595
1994-06-01,5.5,5.92059844771242
1994-07-01,5,5.82746119281046
1994-08-01,4.8,5.87978962418301
1994-09-01,4.7,5.95920138888889
1994-10-01,4.1,5.67611315359477
1994-11-01,4,5.02697099673203
1994-12-01,6.5,5.98077001633987
1995-01-01,9.3,7.16545138888889
1995-02-01,8.4,6.50956903594771
1995-03-01,8.1,6.19902982026144
1995-04-01,7.2,6.60429942810458
1995-05-01,4.5,5.35074550653595
1995-06-01,5.3,5.72059844771242
1995-07-01,4.7,5.52746119281046
1995-08-01,4.5,5.57978962418301
1995-09-01,4.4,5.65920138888889
1995-10-01,4.1,5.67611315359477
1995-11-01,5.2,6.22697099673203
1995-12-01,7.1,6.58077001633987
1996-01-01,9.5,7.36545138888889
1996-02-01,9.2,7.30956903594771
1996-03-01,9.8,7.89902982026144
1996-04-01,8.1,7.50429942810457
1996-05-01,5.2,6.05074550653595
1996-06-01,5.2,5.62059844771242
1996-07-01,5.4,6.22746119281046
1996-08-01,4.3,5.37978962418301
1996-09-01,4.3,5.55920138888889
1996-10-01,4.2,5.77611315359477
1996-11-01,4.9,5.92697099673203
1996-12-01,7,6.48077001633987
1997-01-01,8.5,6.36545138888889
1997-02-01,7.6,5.70956903594771
1997-03-01,8.2,6.29902982026144
1997-04-01,7,6.40429942810457
1997-05-01,4.1,4.95074550653595
1997-06-01,4.7,5.12059844771242
1997-07-01,4,4.82746119281046
1997-08-01,3.8,4.87978962418301
1997-09-01,3.8,5.05920138888889
1997-10-01,3,4.57611315359477
1997-11-01,3.6,4.62697099673203
1997-12-01,5.2,4.68077001633987
1998-01-01,7.7,5.56545138888889
1998-02-01,7.2,5.30956903594771
1998-03-01,8,6.09902982026144
1998-04-01,5.3,4.70429942810457
1998-05-01,3.6,4.45074550653595
1998-06-01,4.4,4.82059844771242
1998-07-01,3.5,4.32746119281046
1998-08-01,3.3,4.37978962418301
1998-09-01,3.7,4.95920138888889
1998-10-01,3.6,5.17611315359477
