"date","value","deseasonalized_value"
1990-01-01,4.4,3.54909051120448
1990-02-01,4.4,3.75215423669468
1990-03-01,3.7,3.10962972689076
1990-04-01,2.8,2.68989933473389
1990-05-01,2.4,2.7166150210084
1990-06-01,2.1,2.1259287464986
1990-07-01,2,2.32189163165266
1990-08-01,2.5,2.89958070728291
1990-09-01,2.7,3.08230129551821
1990-10-01,2.6,3.09823266806723
1990-11-01,3.2,3.60068364845938
1990-12-01,3.2,3.0539924719888
1991-01-01,2.7,1.84909051120448
1991-02-01,2.7,2.05215423669468
1991-03-01,3.2,2.60962972689076
1991-04-01,2.7,2.58989933473389
1991-05-01,2.7,3.0166150210084
1991-06-01,2.1,2.1259287464986
1991-07-01,1.9,2.22189163165266
1991-08-01,1.9,2.29958070728291
1991-09-01,1.8,2.18230129551821
1991-10-01,2.3,2.79823266806723
1991-11-01,2.3,2.70068364845938
1991-12-01,2.9,2.7539924719888
1992-01-01,3.1,2.24909051120448
1992-02-01,3.2,2.55215423669468
1992-03-01,2.7,2.10962972689076
1992-04-01,2.3,2.18989933473389
1992-05-01,1.5,1.8166150210084
1992-06-01,2.8,2.8259287464986
1992-07-01,2.6,2.92189163165266
1992-08-01,2.2,2.59958070728291
1992-09-01,2.4,2.78230129551821
1992-10-01,2.5,2.99823266806723
1992-11-01,2.4,2.80068364845938
1992-12-01,2.2,2.0539924719888
1993-01-01,2.9,2.04909051120448
1993-02-01,3.1,2.45215423669468
1993-03-01,2.6,2.00962972689076
1993-04-01,2,1.88989933473389
1993-05-01,1.3,1.6166150210084
1993-06-01,1.4,1.4259287464986
1993-07-01,1.3,1.62189163165266
1993-08-01,1.4,1.79958070728291
1993-09-01,1,1.38230129551821
1993-10-01,1.2,1.69823266806723
1993-11-01,1,1.40068364845938
1993-12-01,1.4,1.2539924719888
1994-01-01,1.5,0.649090511204482
1994-02-01,1.6,0.952154236694678
1994-03-01,1.9,1.30962972689076
1994-04-01,1.7,1.58989933473389
1994-05-01,1.4,1.7166150210084
1994-06-01,2,2.0259287464986
1994-07-01,1.9,2.22189163165266
1994-08-01,1.9,2.29958070728291
1994-09-01,1.6,1.98230129551821
1994-10-01,1.5,1.99823266806723
1994-11-01,2,2.40068364845938
1994-12-01,2.6,2.4539924719888
1995-01-01,3.4,2.54909051120448
1995-02-01,3.1,2.45215423669468
1995-03-01,2.9,2.30962972689076
1995-04-01,2.8,2.68989933473389
1995-05-01,2.8,3.1166150210084
1995-06-01,2.9,2.9259287464986
1995-07-01,2.4,2.72189163165266
1995-08-01,2.5,2.89958070728291
1995-09-01,2.9,3.28230129551821
1995-10-01,2.9,3.39823266806723
1995-11-01,2.3,2.70068364845938
1995-12-01,2.8,2.6539924719888
1996-01-01,3.9,3.04909051120448
1996-02-01,4,3.35215423669468
1996-03-01,3.8,3.20962972689076
1996-04-01,2.6,2.48989933473389
1996-05-01,1.8,2.1166150210084
1996-06-01,1.8,1.8259287464986
1996-07-01,2,2.32189163165266
1996-08-01,1.9,2.29958070728291
1996-09-01,1.9,2.28230129551821
1996-10-01,2.2,2.69823266806723
1996-11-01,2.1,2.50068364845938
1996-12-01,2.9,2.7539924719888
1997-01-01,4.1,3.24909051120448
1997-02-01,3.7,3.05215423669468
1997-03-01,3.7,3.10962972689076
1997-04-01,3.2,3.08989933473389
1997-05-01,2.2,2.5166150210084
1997-06-01,2.2,2.2259287464986
1997-07-01,2.2,2.52189163165266
1997-08-01,2.3,2.69958070728291
1997-09-01,2.6,2.98230129551821
1997-10-01,2.8,3.29823266806723
1997-11-01,2.7,3.10068364845938
1997-12-01,3.1,2.9539924719888
1998-01-01,4.4,3.54909051120448
1998-02-01,4.9,4.25215423669468
1998-03-01,5.1,4.50962972689076
1998-04-01,4.3,4.18989933473389
1998-05-01,3.8,4.1166150210084
1998-06-01,4.1,4.1259287464986
1998-07-01,4.2,4.52189163165266
1998-08-01,5.3,5.69958070728291
1998-09-01,5.5,5.88230129551821
1998-10-01,4.3,4.79823266806723
1998-11-01,5,5.40068364845938
1998-12-01,5.7,5.5539924719888
1999-01-01,7.1,6.24909051120448
1999-02-01,7.5,6.85215423669468
1999-03-01,6.8,6.20962972689076
1999-04-01,6.3,6.18989933473389
1999-05-01,5.7,6.0166150210084
1999-06-01,6.4,6.4259287464986
1999-07-01,4.7,5.02189163165266
1999-08-01,4.7,5.09958070728291
1999-09-01,5.3,5.68230129551821
1999-10-01,4.3,4.79823266806723
1999-11-01,4.1,4.50068364845938
1999-12-01,5.5,5.3539924719888
2000-01-01,6,5.14909051120448
2000-02-01,6.2,5.55215423669468
2000-03-01,6.2,5.60962972689076
2000-04-01,5.2,5.08989933473389
2000-05-01,4.1,4.4166150210084
2000-06-01,4.5,4.5259287464986
2000-07-01,4.4,4.72189163165266
2000-08-01,3.8,4.19958070728291
2000-09-01,3.6,3.98230129551821
2000-10-01,3.4,3.89823266806723
2000-11-01,3.9,4.30068364845938
2000-12-01,4.2,4.0539924719888
2001-01-01,5.1,4.24909051120448
2001-02-01,5.2,4.55215423669468
2001-03-01,5.4,4.80962972689076
2001-04-01,4.1,3.98989933473389
2001-05-01,3.1,3.4166150210084
2001-06-01,3.8,3.8259287464986
2001-07-01,3.5,3.82189163165266
2001-08-01,3.9,4.29958070728291
2001-09-01,3.4,3.78230129551821
2001-10-01,3.4,3.89823266806723
2001-11-01,3.8,4.20068364845938
2001-12-01,4.9,4.7539924719888
2002-01-01,6.1,5.24909051120448
2002-02-01,5.9,5.25215423669468
2002-03-01,5.8,5.20962972689076
2002-04-01,4.9,4.78989933473389
2002-05-01,3.3,3.6166150210084
2002-06-01,4.2,4.2259287464986
2002-07-01,3.8,4.12189163165266
2002-08-01,3.2,3.59958070728291
2002-09-01,3,3.38230129551821
2002-10-01,3,3.49823266806723
2002-11-01,3,3.40068364845938
2002-12-01,3.8,3.6539924719888
2003-01-01,4.9,4.04909051120448
2003-02-01,4.7,4.05215423669468
2003-03-01,4.8,4.20962972689076
2003-04-01,4.5,4.38989933473389
2003-05-01,3.8,4.1166150210084
2003-06-01,4.5,4.5259287464986
2003-07-01,4.1,4.42189163165266
2003-08-01,3.6,3.99958070728291
2003-09-01,3.6,3.98230129551821
2003-10-01,3.2,3.69823266806723
2003-11-01,4.4,4.80068364845938
2003-12-01,4.9,4.7539924719888
2004-01-01,5.4,4.54909051120448
2004-02-01,5.4,4.75215423669468
2004-03-01,5.6,5.00962972689076
2004-04-01,4.3,4.18989933473389
2004-05-01,3.4,3.7166150210084
2004-06-01,3.8,3.8259287464986
2004-07-01,3,3.32189163165266
2004-08-01,2.8,3.19958070728291
2004-09-01,3,3.38230129551821
2004-10-01,2.8,3.29823266806723
2004-11-01,3,3.40068364845938
2004-12-01,3.9,3.7539924719888
2005-01-01,4.6,3.74909051120448
2005-02-01,4.4,3.75215423669468
2005-03-01,4.3,3.70962972689076
2005-04-01,3.3,3.18989933473389
2005-05-01,3.2,3.5166150210084
2005-06-01,3.5,3.5259287464986
2005-07-01,2.8,3.12189163165266
2005-08-01,3.1,3.49958070728291
2005-09-01,3.3,3.68230129551821
2005-10-01,3.1,3.59823266806723
2005-11-01,3.2,3.60068364845938
2005-12-01,3.4,3.2539924719888
2006-01-01,4,3.14909051120448
2006-02-01,3.9,3.25215423669468
2006-03-01,3.8,3.20962972689076
2006-04-01,3,2.88989933473389
2006-05-01,2.8,3.1166150210084
2006-06-01,2.8,2.8259287464986
2006-07-01,2.6,2.92189163165266
2006-08-01,2.5,2.89958070728291
2006-09-01,2.3,2.68230129551821
2006-10-01,2.3,2.79823266806723
2006-11-01,2.2,2.60068364845938
2006-12-01,2.9,2.7539924719888
2007-01-01,3.5,2.64909051120448
2007-02-01,3.1,2.45215423669468
2007-03-01,2.8,2.20962972689076
2007-04-01,2.4,2.28989933473389
2007-05-01,2.1,2.4166150210084
2007-06-01,2.6,2.6259287464986
2007-07-01,2.4,2.72189163165266
2007-08-01,2.3,2.69958070728291
2007-09-01,2.4,2.78230129551821
2007-10-01,2.3,2.79823266806723
2007-11-01,2.6,3.00068364845938
2007-12-01,2.9,2.7539924719888
2008-01-01,3.2,2.34909051120448
2008-02-01,3.3,2.65215423669468
2008-03-01,2.7,2.10962972689076
2008-04-01,2.5,2.38989933473389
2008-05-01,2.7,3.0166150210084
2008-06-01,3,3.0259287464986
2008-07-01,2.8,3.12189163165266
2008-08-01,2.9,3.29958070728291
2008-09-01,3,3.38230129551821
2008-10-01,2.9,3.39823266806723
2008-11-01,3,3.40068364845938
2008-12-01,3.1,2.9539924719888
2009-01-01,4.2,3.34909051120448
2009-02-01,4.6,3.95215423669468
2009-03-01,5.3,4.70962972689076
2009-04-01,4.5,4.38989933473389
2009-05-01,4.6,4.9166150210084
2009-06-01,4.8,4.8259287464986
2009-07-01,4.6,4.92189163165266
2009-08-01,4.1,4.49958070728291
2009-09-01,4.3,4.68230129551821
