"date","value","deseasonalized_value"
1990-01-01,2.1,1.72843415775401
1990-02-01,1.9,1.49019886363636
1990-03-01,1.6,1.08076258912656
1990-04-01,1.4,1.28027239304813
1990-05-01,1,1.1049047459893
1990-06-01,1,0.777420343137255
1990-07-01,0.8,1.08885082442068
1990-08-01,0.9,1.16568905971479
1990-09-01,0.6,1.00502729500891
1990-10-01,0.9,1.49191454991087
1990-11-01,2.4,2.53848317736185
1990-12-01,2.1,1.94804200089127
1991-01-01,3.5,3.12843415775401
1991-02-01,2.6,2.19019886363636
1991-03-01,2.6,2.08076258912656
1991-04-01,2.5,2.38027239304813
1991-05-01,2.5,2.6049047459893
1991-06-01,2.1,1.87742034313725
1991-07-01,2.6,2.88885082442068
1991-08-01,2.7,2.9656890597148
1991-09-01,1.9,2.30502729500891
1991-10-01,1.5,2.09191454991087
1991-11-01,2.3,2.43848317736185
1991-12-01,2.6,2.44804200089127
1992-01-01,3.1,2.72843415775401
1992-02-01,2.9,2.49019886363636
1992-03-01,2.9,2.38076258912656
1992-04-01,2.3,2.18027239304813
1992-05-01,1.8,1.9049047459893
1992-06-01,2.1,1.87742034313725
1992-07-01,1.7,1.98885082442068
1992-08-01,2,2.2656890597148
1992-09-01,1.9,2.30502729500891
1992-10-01,1.5,2.09191454991087
1992-11-01,1.8,1.93848317736185
1992-12-01,2.6,2.44804200089127
1993-01-01,2.2,1.82843415775401
1993-02-01,2.8,2.39019886363636
1993-03-01,3.1,2.58076258912656
1993-04-01,2.4,2.28027239304813
1993-05-01,2.1,2.2049047459893
1993-06-01,2.2,1.97742034313726
1993-07-01,1.7,1.98885082442068
1993-08-01,1.4,1.6656890597148
1993-09-01,1.7,2.10502729500891
1993-10-01,2,2.59191454991087
1993-11-01,2.8,2.93848317736185
1993-12-01,2.7,2.54804200089127
1994-01-01,2,1.62843415775401
1994-02-01,2.2,1.79019886363636
1994-03-01,2.4,1.88076258912656
1994-04-01,1.9,1.78027239304813
1994-05-01,1.6,1.7049047459893
1994-06-01,2.1,1.87742034313725
1994-07-01,2,2.28885082442068
1994-08-01,1.7,1.9656890597148
1994-09-01,1.8,2.20502729500891
1994-10-01,1.6,2.19191454991087
1994-11-01,2.1,2.23848317736185
