"date","value","deseasonalized_value"
1990-01-01,6.5,6.15527982026144
1990-02-01,6.1,5.91336805555556
1990-03-01,5.5,5.61704452614379
1990-04-01,5.1,5.45724060457516
1990-05-01,5.4,5.41753472222222
1990-06-01,5.2,5.0391033496732
1990-07-01,5.8,5.55834354575163
1990-08-01,5.7,5.62672589869281
1990-09-01,6.3,6.35209354575163
1990-10-01,6.5,6.52243668300654
1990-11-01,6.7,6.85515727124183
1990-12-01,6.7,6.98567197712418
1991-01-01,7.6,7.25527982026144
1991-02-01,7.6,7.41336805555556
1991-03-01,7.5,7.61704452614379
1991-04-01,7.1,7.45724060457516
1991-05-01,7.7,7.71753472222222
1991-06-01,7.7,7.5391033496732
1991-07-01,7.7,7.45834354575163
1991-08-01,7.8,7.72672589869281
1991-09-01,7.6,7.65209354575163
1991-10-01,7.9,7.92243668300654
1991-11-01,8.4,8.55515727124183
1991-12-01,8.5,8.78567197712418
1992-01-01,9.5,9.15527982026144
1992-02-01,9.6,9.41336805555556
1992-03-01,9,9.11704452614379
1992-04-01,8.5,8.85724060457516
1992-05-01,9,9.01753472222222
1992-06-01,9.7,9.5391033496732
1992-07-01,9.8,9.55834354575163
1992-08-01,9.5,9.42672589869281
1992-09-01,9.7,9.75209354575163
1992-10-01,9.5,9.52243668300654
1992-11-01,9.6,9.75515727124183
1992-12-01,9.8,10.0856719771242
1993-01-01,10.7,10.3552798202614
1993-02-01,10.3,10.1133680555556
1993-03-01,9.1,9.21704452614379
1993-04-01,8.3,8.65724060457516
1993-05-01,8.4,8.41753472222222
1993-06-01,8.7,8.5391033496732
1993-07-01,8.8,8.55834354575163
1993-08-01,8.6,8.52672589869281
1993-09-01,8.3,8.35209354575163
1993-10-01,8.9,8.92243668300654
1993-11-01,8.8,8.95515727124183
1993-12-01,8.8,9.08567197712418
1994-01-01,9.3,8.95527982026144
1994-02-01,8.7,8.51336805555555
1994-03-01,8.2,8.31704452614379
1994-04-01,7.7,8.05724060457516
1994-05-01,7.3,7.31753472222222
1994-06-01,7.4,7.2391033496732
1994-07-01,7.7,7.45834354575163
1994-08-01,7.5,7.42672589869281
1994-09-01,7.2,7.25209354575163
1994-10-01,7.2,7.22243668300654
1994-11-01,6.7,6.85515727124183
1994-12-01,6.2,6.48567197712418
1995-01-01,7.2,6.85527982026144
1995-02-01,6.7,6.51336805555556
1995-03-01,6.6,6.71704452614379
1995-04-01,6.8,7.15724060457516
1995-05-01,6.8,6.81753472222222
1995-06-01,7.2,7.0391033496732
1995-07-01,7.3,7.05834354575163
1995-08-01,7.2,7.12672589869281
1995-09-01,7.2,7.25209354575163
1995-10-01,7,7.02243668300654
1995-11-01,6.8,6.95515727124183
1995-12-01,6.8,7.08567197712418
1996-01-01,7.3,6.95527982026144
1996-02-01,7.1,6.91336805555556
1996-03-01,7.3,7.41704452614379
1996-04-01,6.6,6.95724060457516
1996-05-01,7.3,7.31753472222222
1996-06-01,7.3,7.1391033496732
1996-07-01,7.7,7.45834354575163
1996-08-01,7.2,7.12672589869281
1996-09-01,7.4,7.45209354575163
1996-10-01,7.5,7.52243668300654
1996-11-01,7.8,7.95515727124183
1996-12-01,7.8,8.08567197712418
1997-01-01,8.5,8.15527982026144
1997-02-01,8.1,7.91336805555556
1997-03-01,8.1,8.21704452614379
1997-04-01,7.7,8.05724060457516
1997-05-01,7.7,7.71753472222222
1997-06-01,8.2,8.0391033496732
1997-07-01,7.9,7.65834354575163
1997-08-01,7.7,7.62672589869281
1997-09-01,7.9,7.95209354575163
1997-10-01,7.5,7.52243668300654
1997-11-01,7.1,7.25515727124183
1997-12-01,7,7.28567197712418
1998-01-01,7.6,7.25527982026144
1998-02-01,7.4,7.21336805555556
1998-03-01,7.1,7.21704452614379
1998-04-01,5.9,6.25724060457516
1998-05-01,6.5,6.51753472222222
1998-06-01,6.8,6.6391033496732
1998-07-01,6.7,6.45834354575163
1998-08-01,6.4,6.32672589869281
1998-09-01,6.5,6.55209354575163
1998-10-01,6.7,6.72243668300654
1998-11-01,6.5,6.65515727124183
1998-12-01,6.2,6.48567197712418
1999-01-01,6.6,6.25527982026144
1999-02-01,6.6,6.41336805555556
1999-03-01,5.9,6.01704452614379
1999-04-01,5.8,6.15724060457516
1999-05-01,5.7,5.71753472222222
1999-06-01,6.2,6.0391033496732
1999-07-01,6.2,5.95834354575163
1999-08-01,5.7,5.62672589869281
1999-09-01,5.9,5.95209354575163
1999-10-01,5.7,5.72243668300654
1999-11-01,5.4,5.55515727124183
1999-12-01,4.9,5.18567197712418
2000-01-01,5.7,5.35527982026144
2000-02-01,5.4,5.21336805555556
2000-03-01,5.4,5.51704452614379
2000-04-01,4.8,5.15724060457516
2000-05-01,5,5.01753472222222
2000-06-01,4.8,4.6391033496732
2000-07-01,5.1,4.85834354575163
2000-08-01,5.1,5.02672589869281
2000-09-01,4.8,4.85209354575163
2000-10-01,4.9,4.92243668300654
2000-11-01,4.9,5.05515727124183
2000-12-01,4.6,4.88567197712418
2001-01-01,5.2,4.85527982026144
2001-02-01,5.2,5.01336805555556
2001-03-01,5,5.11704452614379
2001-04-01,4.7,5.05724060457516
