"date","value","deseasonalized_value"
1990-01-01,9.8,6.08686507936508
1990-02-01,12,8.20255135387488
1990-03-01,15.6,11.3042670401494
1990-04-01,14,11.3585562558357
1990-05-01,9.8,10.0130905695612
1990-06-01,6.3,7.9513258636788
1990-07-01,5.2,7.81016690009337
1990-08-01,9.1,11.9925478524743
1990-09-01,4.2,7.74052404295051
1990-10-01,4,6.97826213818861
1990-11-01,5,6.27301704014939
1990-12-01,7.3,6.5888258636788
1991-01-01,10.8,7.08686507936508
1991-02-01,14.1,10.3025513538749
1991-03-01,18,13.7042670401494
1991-04-01,14.3,11.6585562558357
1991-05-01,10.8,11.0130905695612
1991-06-01,7,8.6513258636788
1991-07-01,5.1,7.71016690009337
1991-08-01,5,7.89254785247432
1991-09-01,4.7,8.24052404295051
1991-10-01,9,11.9782621381886
1991-11-01,10.7,11.9730170401494
1991-12-01,12.9,12.1888258636788
1992-01-01,15.3,11.5868650793651
1992-02-01,17.5,13.7025513538749
1992-03-01,19.4,15.1042670401494
1992-04-01,15.5,12.8585562558357
1992-05-01,10,10.2130905695612
1992-06-01,7.6,9.2513258636788
1992-07-01,6,8.61016690009337
1992-08-01,8.3,11.1925478524743
1992-09-01,6.2,9.74052404295051
1992-10-01,5.2,8.17826213818861
1992-11-01,7.3,8.57301704014939
1992-12-01,9.3,8.5888258636788
1993-01-01,13.2,9.48686507936508
1993-02-01,16.5,12.7025513538749
1993-03-01,17.9,13.6042670401494
1993-04-01,19,16.3585562558357
1993-05-01,14,14.2130905695612
1993-06-01,10.6,12.2513258636788
1993-07-01,9,11.6101669000934
1993-08-01,6.4,9.29254785247432
1993-09-01,5.7,9.24052404295051
1993-10-01,7.5,10.4782621381886
1993-11-01,8.6,9.87301704014939
1993-12-01,10.7,9.9888258636788
1994-01-01,13.7,9.98686507936508
1994-02-01,14.4,10.6025513538749
1994-03-01,17.4,13.1042670401494
1994-04-01,14.8,12.1585562558357
1994-05-01,9.8,10.0130905695612
1994-06-01,6.6,8.2513258636788
1994-07-01,5.2,7.81016690009337
1994-08-01,5.4,8.29254785247432
1994-09-01,5.2,8.74052404295051
1994-10-01,5,7.97826213818861
1994-11-01,6.8,8.07301704014939
1994-12-01,9.7,8.9888258636788
1995-01-01,13,9.28686507936508
1995-02-01,13.4,9.60255135387488
1995-03-01,15.6,11.3042670401494
1995-04-01,14.7,12.0585562558357
1995-05-01,11.9,12.1130905695612
1995-06-01,9.4,11.0513258636788
1995-07-01,6.1,8.71016690009337
1995-08-01,6,8.89254785247432
1995-09-01,5.7,9.24052404295051
1995-10-01,5.9,8.87826213818861
1995-11-01,8.8,10.0730170401494
1995-12-01,10.5,9.7888258636788
1996-01-01,15.1,11.3868650793651
1996-02-01,16,12.2025513538749
1996-03-01,18.7,14.4042670401494
1996-04-01,16.6,13.9585562558357
1996-05-01,11.3,11.5130905695612
1996-06-01,8.4,10.0513258636788
1996-07-01,7.3,9.91016690009337
