"date","value","deseasonalized_value"
1990-01-01,4.9,4.51804125816994
1990-02-01,4.8,4.44451184640523
1990-03-01,4.4,4.27870302287582
1990-04-01,4.2,4.34671772875817
1990-05-01,4.3,4.24353145424837
1990-06-01,4.2,3.9081147875817
1990-07-01,4.3,3.90583537581699
1990-08-01,4.1,3.82514910130719
1990-09-01,4.3,4.6081147875817
1990-10-01,4.4,4.83201184640523
1990-11-01,4.8,5.24696282679739
1990-12-01,4.1,4.64230596405229
1991-01-01,5.6,5.21804125816993
1991-02-01,6,5.64451184640523
1991-03-01,5.8,5.67870302287582
1991-04-01,5.1,5.24671772875817
1991-05-01,5.3,5.24353145424837
1991-06-01,5.3,5.0081147875817
1991-07-01,5.2,4.80583537581699
1991-08-01,5,4.72514910130719
1991-09-01,4.9,5.2081147875817
1991-10-01,4.9,5.33201184640523
1991-11-01,5.1,5.54696282679738
1991-12-01,5.1,5.64230596405229
1992-01-01,6.3,5.91804125816993
1992-02-01,6.6,6.24451184640523
1992-03-01,6.3,6.17870302287582
1992-04-01,5.6,5.74671772875817
1992-05-01,6,5.94353145424837
1992-06-01,6.3,6.0081147875817
1992-07-01,6.6,6.20583537581699
1992-08-01,6.2,5.92514910130719
1992-09-01,6,6.3081147875817
1992-10-01,5.8,6.23201184640523
1992-11-01,5.8,6.24696282679739
1992-12-01,5.5,6.04230596405229
1993-01-01,6.5,6.11804125816994
1993-02-01,6.5,6.14451184640523
1993-03-01,6.3,6.17870302287582
1993-04-01,6,6.14671772875817
1993-05-01,6.3,6.24353145424837
1993-06-01,6.4,6.1081147875817
1993-07-01,6.4,6.00583537581699
1993-08-01,6.1,5.82514910130719
1993-09-01,6,6.3081147875817
1993-10-01,6,6.43201184640523
1993-11-01,5.7,6.14696282679739
1993-12-01,5.2,5.74230596405229
1994-01-01,6.5,6.11804125816994
1994-02-01,6.3,5.94451184640523
1994-03-01,6.1,5.97870302287582
1994-04-01,5.7,5.84671772875817
1994-05-01,5.8,5.74353145424837
1994-06-01,5.9,5.6081147875817
1994-07-01,6.1,5.70583537581699
1994-08-01,6,5.72514910130719
1994-09-01,5.6,5.9081147875817
1994-10-01,5.4,5.83201184640523
1994-11-01,5.2,5.64696282679739
1994-12-01,4.8,5.34230596405229
1995-01-01,5.9,5.51804125816994
1995-02-01,5.7,5.34451184640523
1995-03-01,5.4,5.27870302287582
1995-04-01,5.4,5.54671772875817
1995-05-01,5.4,5.34353145424837
1995-06-01,5.5,5.2081147875817
1995-07-01,5.6,5.20583537581699
1995-08-01,5.4,5.12514910130719
1995-09-01,5.1,5.4081147875817
1995-10-01,4.7,5.13201184640523
1995-11-01,4.9,5.34696282679739
1995-12-01,4.5,5.04230596405229
1996-01-01,5.4,5.01804125816994
1996-02-01,5.5,5.14451184640523
1996-03-01,5.2,5.07870302287582
1996-04-01,4.7,4.84671772875817
1996-05-01,5,4.94353145424837
1996-06-01,4.9,4.6081147875817
1996-07-01,4.9,4.50583537581699
1996-08-01,4.5,4.22514910130719
1996-09-01,4.3,4.6081147875817
1996-10-01,4.1,4.53201184640523
1996-11-01,4.1,4.54696282679738
1996-12-01,3.8,4.34230596405229
1997-01-01,4.9,4.51804125816994
1997-02-01,4.9,4.54451184640523
1997-03-01,4.7,4.57870302287582
1997-04-01,4.3,4.44671772875817
1997-05-01,4.5,4.44353145424837
1997-06-01,4.6,4.3081147875817
1997-07-01,4.6,4.20583537581699
1997-08-01,4.3,4.02514910130719
1997-09-01,4.2,4.5081147875817
1997-10-01,3.7,4.13201184640523
1997-11-01,3.6,4.04696282679739
1997-12-01,3.6,4.14230596405229
1998-01-01,4.6,4.21804125816993
1998-02-01,4.6,4.24451184640523
1998-03-01,4.8,4.67870302287582
1998-04-01,3.7,3.84671772875817
1998-05-01,4.1,4.04353145424837
1998-06-01,4.2,3.9081147875817
1998-07-01,4.2,3.80583537581699
1998-08-01,4.1,3.82514910130719
1998-09-01,4,4.3081147875817
1998-10-01,3.8,4.23201184640523
1998-11-01,3.8,4.24696282679739
1998-12-01,3.5,4.04230596405229
1999-01-01,4.5,4.11804125816994
1999-02-01,4.4,4.04451184640523
1999-03-01,4.2,4.07870302287582
1999-04-01,3.7,3.84671772875817
1999-05-01,3.8,3.74353145424837
1999-06-01,4.1,3.8081147875817
1999-07-01,4.3,3.90583537581699
1999-08-01,4.1,3.82514910130719
1999-09-01,3.9,4.2081147875817
1999-10-01,3.6,4.03201184640523
1999-11-01,3.6,4.04696282679739
1999-12-01,3.3,3.84230596405229
2000-01-01,4.5,4.11804125816994
2000-02-01,4.6,4.24451184640523
2000-03-01,4.3,4.17870302287582
2000-04-01,3.6,3.74671772875817
2000-05-01,4.1,4.04353145424837
2000-06-01,4.3,4.0081147875817
2000-07-01,4.3,3.90583537581699
2000-08-01,4.4,4.12514910130719
2000-09-01,4,4.3081147875817
2000-10-01,3.8,4.23201184640523
2000-11-01,3.9,4.34696282679739
2000-12-01,3.6,4.14230596405229
2001-01-01,4.6,4.21804125816993
2001-02-01,4.5,4.14451184640523
2001-03-01,4.3,4.17870302287582
2001-04-01,3.8,3.94671772875817
2001-05-01,4.2,4.14353145424837
