"date","value","deseasonalized_value"
1990-01-01,5.1,4.96277356902357
1990-02-01,5.1,5.14083729451376
1990-03-01,4.7,4.85358239255298
1990-04-01,4.8,4.98409709843533
1990-05-01,5,5.04733239255298
1990-06-01,5.3,4.7760348583878
1990-07-01,5.4,4.98728337294514
1990-08-01,5.4,5.1975774905922
1990-09-01,5.5,5.41412160823926
1990-10-01,5,5.25946474549416
1990-11-01,5.3,5.54230788274906
1990-12-01,5.1,5.53458729451377
1991-01-01,5.6,5.46277356902357
1991-02-01,5.5,5.54083729451377
1991-03-01,5.5,5.65358239255298
1991-04-01,5.3,5.48409709843533
1991-05-01,5.6,5.64733239255298
1991-06-01,6.2,5.6760348583878
1991-07-01,6.1,5.68728337294514
1991-08-01,6.1,5.8975774905922
1991-09-01,6.2,6.11412160823926
1991-10-01,6,6.25946474549416
1991-11-01,6.1,6.34230788274906
1991-12-01,6.1,6.53458729451377
1992-01-01,7.2,7.06277356902357
1992-02-01,7.1,7.14083729451376
1992-03-01,7,7.15358239255298
1992-04-01,6.7,6.88409709843533
1992-05-01,7.2,7.24733239255298
1992-06-01,8.2,7.6760348583878
1992-07-01,7.8,7.38728337294514
1992-08-01,7.7,7.4975774905922
1992-09-01,7.7,7.61412160823926
1992-10-01,7.2,7.45946474549416
1992-11-01,7.5,7.74230788274906
1992-12-01,7.2,7.63458729451377
1993-01-01,8,7.86277356902357
1993-02-01,7.9,7.94083729451377
1993-03-01,7.5,7.65358239255298
1993-04-01,7.4,7.58409709843533
1993-05-01,7.4,7.44733239255298
1993-06-01,8.3,7.7760348583878
1993-07-01,8,7.58728337294514
1993-08-01,7.6,7.3975774905922
1993-09-01,7.6,7.51412160823925
1993-10-01,7.5,7.75946474549416
1993-11-01,7.5,7.74230788274906
1993-12-01,6.8,7.23458729451377
1994-01-01,7.6,7.46277356902357
1994-02-01,7.5,7.54083729451377
1994-03-01,7.3,7.45358239255298
1994-04-01,7,7.18409709843533
1994-05-01,6.8,6.84733239255298
1994-06-01,7.5,6.9760348583878
1994-07-01,7.2,6.78728337294514
1994-08-01,7,6.7975774905922
1994-09-01,6.8,6.71412160823925
1994-10-01,6.3,6.55946474549416
1994-11-01,6.1,6.34230788274906
1994-12-01,5.6,6.03458729451377
1995-01-01,6.3,6.16277356902357
1995-02-01,5.8,5.84083729451376
1995-03-01,5.7,5.85358239255298
