"date","value","deseasonalized_value"
1990-01-01,14,13.0751794467787
1990-02-01,15.7,14.8808167016807
1990-03-01,14.8,14.4211353291317
1990-04-01,14.5,14.6825323879552
1990-05-01,12.8,13.0593706232493
1990-06-01,12.2,11.9609637605042
1990-07-01,12.6,12.1007221638655
1990-08-01,10.6,11.1803265056022
1990-09-01,10.5,11.3066745448179
1990-10-01,10.3,11.0577774859944
1990-11-01,14.3,14.5730961134454
1990-12-01,14.8,14.8014049369748
1991-01-01,16.3,15.3751794467787
1991-02-01,17,16.1808167016807
1991-03-01,15.5,15.1211353291317
1991-04-01,14.3,14.4825323879552
1991-05-01,12.6,12.8593706232493
1991-06-01,13,12.7609637605042
1991-07-01,12.2,11.7007221638655
1991-08-01,10.5,11.0803265056022
1991-09-01,10.3,11.1066745448179
1991-10-01,11.1,11.8577774859944
1991-11-01,14.7,14.9730961134454
1991-12-01,16.9,16.9014049369748
1992-01-01,18.1,17.1751794467787
1992-02-01,18.3,17.4808167016807
1992-03-01,17.2,16.8211353291317
1992-04-01,15.3,15.4825323879552
1992-05-01,14.1,14.3593706232493
1992-06-01,15.1,14.8609637605042
1992-07-01,12.7,12.2007221638655
1992-08-01,12,12.5803265056022
1992-09-01,11.6,12.4066745448179
1992-10-01,12.3,13.0577774859944
1992-11-01,13.2,13.4730961134454
1992-12-01,15.7,15.7014049369748
1993-01-01,15.4,14.4751794467787
1993-02-01,15.8,14.9808167016807
1993-03-01,15.1,14.7211353291317
1993-04-01,13.1,13.2825323879552
1993-05-01,11.8,12.0593706232493
1993-06-01,12.5,12.2609637605042
1993-07-01,11.6,11.1007221638655
1993-08-01,9.7,10.2803265056022
1993-09-01,10,10.8066745448179
1993-10-01,11.8,12.5577774859944
1993-11-01,11.5,11.7730961134454
1993-12-01,13.9,13.9014049369748
1994-01-01,14.6,13.6751794467787
1994-02-01,15,14.1808167016807
1994-03-01,14.5,14.1211353291317
1994-04-01,12.8,12.9825323879552
1994-05-01,11.6,11.8593706232493
1994-06-01,12.3,12.0609637605042
1994-07-01,11.9,11.4007221638655
1994-08-01,10.3,10.8803265056022
1994-09-01,9.3,10.1066745448179
1994-10-01,10.5,11.2577774859944
1994-11-01,10,10.2730961134454
1994-12-01,11.9,11.9014049369748
1995-01-01,13.9,12.9751794467787
1995-02-01,12.4,11.5808167016807
1995-03-01,11.6,11.2211353291317
1995-04-01,10.6,10.7825323879552
1995-05-01,9.5,9.7593706232493
1995-06-01,10.4,10.1609637605042
1995-07-01,10.5,10.0007221638655
1995-08-01,10.3,10.8803265056022
1995-09-01,10.2,11.0066745448179
1995-10-01,10.5,11.2577774859944
1995-11-01,12.2,12.4730961134454
1995-12-01,11.6,11.6014049369748
1996-01-01,13.4,12.4751794467787
1996-02-01,12.1,11.2808167016807
1996-03-01,11.6,11.2211353291317
1996-04-01,10.5,10.6825323879552
1996-05-01,12.8,13.0593706232493
1996-06-01,12.8,12.5609637605042
1996-07-01,12.6,12.1007221638655
1996-08-01,12.1,12.6803265056022
1996-09-01,11.4,12.2066745448179
1996-10-01,11,11.7577774859944
1996-11-01,12.8,13.0730961134454
1996-12-01,12.2,12.2014049369748
1997-01-01,14.6,13.6751794467787
1997-02-01,14.6,13.7808167016807
1997-03-01,13.2,12.8211353291317
1997-04-01,11.1,11.2825323879552
1997-05-01,10.7,10.9593706232493
1997-06-01,11.9,11.6609637605042
1997-07-01,11.2,10.7007221638655
1997-08-01,10.1,10.6803265056022
1997-09-01,10.2,11.0066745448179
1997-10-01,10,10.7577774859944
1997-11-01,10.3,10.5730961134454
1997-12-01,9.9,9.90140493697479
1998-01-01,11.6,10.6751794467787
1998-02-01,10.7,9.88081670168067
1998-03-01,10.1,9.72113532913165
1998-04-01,9.1,9.28253238795518
1998-05-01,8.4,8.6593706232493
1998-06-01,9.5,9.2609637605042
1998-07-01,9.2,8.70072216386555
1998-08-01,9.7,10.2803265056022
1998-09-01,9.7,10.5066745448179
1998-10-01,9.6,10.3577774859944
1998-11-01,9.3,9.57309611344538
1998-12-01,8.9,8.90140493697479
1999-01-01,10.1,9.17517944677871
1999-02-01,10,9.18081670168067
1999-03-01,9.1,8.72113532913165
1999-04-01,8.9,9.08253238795518
1999-05-01,8.2,8.4593706232493
1999-06-01,8.8,8.5609637605042
1999-07-01,8.3,7.80072216386555
1999-08-01,7.6,8.18032650560224
1999-09-01,7.9,8.70667454481793
1999-10-01,7.4,8.1577774859944
1999-11-01,7.9,8.17309611344538
1999-12-01,8.1,8.10140493697479
2000-01-01,7.7,6.77517944677871
2000-02-01,7.8,6.98081670168067
2000-03-01,7.3,6.92113532913165
2000-04-01,6.2,6.38253238795518
2000-05-01,6,6.2593706232493
2000-06-01,6.3,6.0609637605042
2000-07-01,6.1,5.60072216386555
2000-08-01,5.9,6.48032650560224
2000-09-01,5.5,6.30667454481793
2000-10-01,5.5,6.2577774859944
2000-11-01,6.1,6.37309611344538
2000-12-01,5.5,5.50140493697479
2001-01-01,6.9,5.97517944677871
2001-02-01,6.5,5.68081670168067
2001-03-01,6.4,6.02113532913165
2001-04-01,6,6.18253238795518
2001-05-01,5.6,5.8593706232493
2001-06-01,6.1,5.8609637605042
2001-07-01,5.9,5.40072216386555
2001-08-01,5.9,6.48032650560224
2001-09-01,5.8,6.60667454481793
2001-10-01,6,6.7577774859944
2001-11-01,6.8,7.07309611344538
2001-12-01,7.1,7.10140493697479
2002-01-01,8.6,7.67517944677871
2002-02-01,8.2,7.38081670168067
2002-03-01,8.1,7.72113532913165
2002-04-01,7.5,7.68253238795518
2002-05-01,6.8,7.0593706232493
2002-06-01,7.5,7.2609637605042
2002-07-01,6.8,6.30072216386555
2002-08-01,6.3,6.88032650560224
2002-09-01,6.1,6.90667454481793
2002-10-01,6.1,6.8577774859944
2002-11-01,6.7,6.97309611344538
2002-12-01,7.2,7.20140493697479
2003-01-01,8.4,7.47517944677871
2003-02-01,8.3,7.48081670168067
2003-03-01,8.1,7.72113532913165
2003-04-01,7.6,7.78253238795518
2003-05-01,7.7,7.9593706232493
2003-06-01,8.3,8.0609637605042
2003-07-01,10.5,10.0007221638655
2003-08-01,7.3,7.88032650560224
2003-09-01,7.1,7.90667454481793
2003-10-01,6.9,7.6577774859944
2003-11-01,7.3,7.57309611344538
2003-12-01,7.4,7.40140493697479
2004-01-01,8.5,7.57517944677871
2004-02-01,8.1,7.28081670168067
2004-03-01,7.8,7.42113532913165
2004-04-01,7,7.18253238795518
2004-05-01,6.9,7.1593706232493
2004-06-01,7.2,6.9609637605042
2004-07-01,7,6.50072216386555
2004-08-01,6.4,6.98032650560224
2004-09-01,6.3,7.10667454481793
2004-10-01,6.7,7.4577774859944
2004-11-01,6.9,7.17309611344538
2004-12-01,7.2,7.20140493697479
2005-01-01,7.6,6.67517944677871
2005-02-01,7.3,6.48081670168067
2005-03-01,6.9,6.52113532913165
2005-04-01,6.2,6.38253238795518
2005-05-01,6.2,6.4593706232493
2005-06-01,6.5,6.2609637605042
2005-07-01,8.8,8.30072216386555
2005-08-01,6,6.58032650560224
2005-09-01,5.8,6.60667454481793
2005-10-01,5.7,6.4577774859944
2005-11-01,6.3,6.57309611344538
2005-12-01,6,6.00140493697479
2006-01-01,6.6,5.67517944677871
