"date","value","deseasonalized_value"
1994-01-01,8,8.11494810334528
1994-02-01,7.9,8.02522588112306
1994-03-01,7.8,7.91564254778972
1994-04-01,7.7,7.45314254778973
1994-05-01,7.3,7.1146703255675
1994-06-01,7.3,7.17661477001195
1994-07-01,7.4,7.32463000298686
1994-08-01,7.3,7.28121602449223
1994-09-01,7.2,7.24156548685783
1994-10-01,7,7.06925365890084
1994-11-01,6.8,6.87828143667861
1994-12-01,6.7,6.80480921445639
1995-01-01,6.7,6.81494810334528
1995-02-01,6.6,6.72522588112306
1995-03-01,6.6,6.71564254778972
1995-04-01,6.8,6.55314254778972
1995-05-01,6.8,6.6146703255675
1995-06-01,6.7,6.57661477001195
1995-07-01,6.8,6.72463000298686
1995-08-01,6.8,6.78121602449223
1995-09-01,6.7,6.74156548685783
1995-10-01,6.7,6.76925365890084
1995-11-01,6.7,6.77828143667861
1995-12-01,6.7,6.80480921445639
1996-01-01,6.8,6.91494810334528
1996-02-01,6.7,6.82522588112306
1996-03-01,6.6,6.71564254778972
1996-04-01,6.7,6.45314254778973
1996-05-01,6.6,6.4146703255675
1996-06-01,6.5,6.37661477001195
1996-07-01,6.5,6.42463000298686
1996-08-01,6.2,6.18121602449223
1996-09-01,6.2,6.24156548685783
1996-10-01,6.2,6.26925365890084
1996-11-01,6.4,6.47828143667862
1996-12-01,6.4,6.50480921445639
1997-01-01,6.3,6.41494810334528
1997-02-01,6.2,6.32522588112306
1997-03-01,6.2,6.31564254778973
1997-04-01,6.1,5.85314254778972
1997-05-01,5.9,5.7146703255675
1997-06-01,6,5.87661477001195
1997-07-01,5.8,5.72463000298686
1997-08-01,5.8,5.78121602449223
1997-09-01,5.8,5.84156548685783
1997-10-01,5.6,5.66925365890084
1997-11-01,5.6,5.67828143667861
1997-12-01,5.7,5.80480921445639
1998-01-01,5.6,5.71494810334528
1998-02-01,5.5,5.62522588112306
1998-03-01,5.6,5.71564254778972
1998-04-01,5.2,4.95314254778973
1998-05-01,5.3,5.1146703255675
1998-06-01,5.4,5.27661477001195
1998-07-01,5.5,5.42463000298686
1998-08-01,5.4,5.38121602449223
1998-09-01,5.5,5.54156548685783
1998-10-01,5.4,5.46925365890084
1998-11-01,5.3,5.37828143667861
1998-12-01,5.2,5.30480921445639
1999-01-01,5.2,5.31494810334528
1999-02-01,5.2,5.32522588112306
1999-03-01,5,5.11564254778972
1999-04-01,5.2,4.95314254778973
1999-05-01,5,4.8146703255675
1999-06-01,5.1,4.97661477001195
1999-07-01,5.1,5.02463000298686
1999-08-01,5,4.98121602449223
1999-09-01,5,5.04156548685783
1999-10-01,5,5.06925365890084
1999-11-01,4.9,4.97828143667862
1999-12-01,4.8,4.90480921445639
2000-01-01,4.8,4.91494810334528
2000-02-01,4.9,5.02522588112306
2000-03-01,4.8,4.91564254778972
2000-04-01,4.7,4.45314254778973
2000-05-01,4.8,4.6146703255675
2000-06-01,4.7,4.57661477001195
2000-07-01,4.8,4.72463000298686
2000-08-01,4.8,4.78121602449223
2000-09-01,4.7,4.74156548685783
2000-10-01,4.6,4.66925365890084
2000-11-01,4.7,4.77828143667861
2000-12-01,4.7,4.80480921445639
2001-01-01,5,5.11494810334528
2001-02-01,5.1,5.22522588112306
2001-03-01,5,5.11564254778972
2001-04-01,5.1,4.85314254778972
2001-05-01,5.1,4.9146703255675
2001-06-01,5.3,5.17661477001195
2001-07-01,5.4,5.32463000298686
2001-08-01,5.8,5.78121602449223
2001-09-01,5.8,5.84156548685783
2001-10-01,6.3,6.36925365890084
2001-11-01,6.4,6.47828143667862
2001-12-01,6.6,6.70480921445639
2002-01-01,6.6,6.71494810334528
2002-02-01,6.5,6.62522588112306
2002-03-01,6.6,6.71564254778972
2002-04-01,6.9,6.65314254778973
2002-05-01,6.8,6.6146703255675
2002-06-01,6.7,6.57661477001195
2002-07-01,6.8,6.72463000298686
2002-08-01,6.7,6.68121602449223
2002-09-01,6.6,6.64156548685783
2002-10-01,6.6,6.66925365890084
2002-11-01,6.8,6.87828143667861
2002-12-01,6.9,7.00480921445639
2003-01-01,6.8,6.91494810334528
2003-02-01,6.9,7.02522588112306
2003-03-01,6.9,7.01564254778973
2003-04-01,7,6.75314254778973
2003-05-01,7.1,6.9146703255675
2003-06-01,7.2,7.07661477001195
2003-07-01,7.1,7.02463000298686
2003-08-01,7.1,7.08121602449223
2003-09-01,7.1,7.14156548685783
2003-10-01,7,7.06925365890084
2003-11-01,6.8,6.87828143667861
2003-12-01,6.6,6.70480921445639
2004-01-01,6.7,6.81494810334528
2004-02-01,6.6,6.72522588112306
2004-03-01,6.8,6.91564254778972
2004-04-01,6.6,6.35314254778972
2004-05-01,6.6,6.4146703255675
2004-06-01,6.6,6.47661477001195
2004-07-01,6.5,6.42463000298686
2004-08-01,6.4,6.38121602449223
2004-09-01,6.4,6.44156548685783
2004-10-01,6.5,6.56925365890084
2004-11-01,6.3,6.37828143667861
