"date","value","deseasonalized_value"
1948-01-01,3.4,3.44254652967646
1948-02-01,3.8,3.85225047704488
1948-03-01,4,4.04073731915015
1948-04-01,3.9,3.80296319634313
1948-05-01,3.5,3.42708600336067
1948-06-01,3.6,3.54051802090453
1948-07-01,3.6,3.56829413733197
1948-08-01,3.9,3.89994998148781
1948-09-01,3.8,3.8261945702324
1948-10-01,3.7,3.72270003844839
1948-11-01,3.8,3.83876363493962
1948-12-01,4,4.03799609107997
1949-01-01,4.3,4.34254652967646
1949-02-01,4.7,4.75225047704489
1949-03-01,5,5.04073731915015
1949-04-01,5.3,5.20296319634313
1949-05-01,6.1,6.02708600336067
1949-06-01,6.2,6.14051802090453
1949-07-01,6.7,6.66829413733197
1949-08-01,6.8,6.79994998148781
1949-09-01,6.6,6.6261945702324
1949-10-01,7.9,7.92270003844839
1949-11-01,6.4,6.43876363493962
1949-12-01,6.6,6.63799609107997
1950-01-01,6.5,6.54254652967646
1950-02-01,6.4,6.45225047704489
1950-03-01,6.3,6.34073731915015
1950-04-01,5.8,5.70296319634313
1950-05-01,5.5,5.42708600336067
1950-06-01,5.4,5.34051802090453
1950-07-01,5,4.96829413733197
1950-08-01,4.5,4.49994998148781
1950-09-01,4.4,4.4261945702324
1950-10-01,4.2,4.22270003844839
1950-11-01,4.2,4.23876363493962
1950-12-01,4.3,4.33799609107997
1951-01-01,3.7,3.74254652967646
1951-02-01,3.4,3.45225047704488
1951-03-01,3.4,3.44073731915015
1951-04-01,3.1,3.00296319634313
1951-05-01,3,2.92708600336067
1951-06-01,3.2,3.14051802090453
1951-07-01,3.1,3.06829413733197
1951-08-01,3.1,3.09994998148781
1951-09-01,3.3,3.3261945702324
1951-10-01,3.5,3.52270003844839
1951-11-01,3.5,3.53876363493962
1951-12-01,3.1,3.13799609107997
1952-01-01,3.2,3.24254652967646
1952-02-01,3.1,3.15225047704488
1952-03-01,2.9,2.94073731915015
1952-04-01,2.9,2.80296319634313
1952-05-01,3,2.92708600336067
1952-06-01,3,2.94051802090453
1952-07-01,3.2,3.16829413733197
1952-08-01,3.4,3.39994998148781
1952-09-01,3.1,3.1261945702324
1952-10-01,3,3.02270003844839
1952-11-01,2.8,2.83876363493962
1952-12-01,2.7,2.73799609107997
1953-01-01,2.9,2.94254652967646
1953-02-01,2.6,2.65225047704488
1953-03-01,2.6,2.64073731915015
1953-04-01,2.7,2.60296319634313
1953-05-01,2.5,2.42708600336067
1953-06-01,2.5,2.44051802090453
1953-07-01,2.6,2.56829413733197
1953-08-01,2.7,2.69994998148781
1953-09-01,2.9,2.9261945702324
1953-10-01,3.1,3.12270003844839
1953-11-01,3.5,3.53876363493962
1953-12-01,4.5,4.53799609107997
1954-01-01,4.9,4.94254652967646
1954-02-01,5.2,5.25225047704489
1954-03-01,5.7,5.74073731915015
1954-04-01,5.9,5.80296319634313
1954-05-01,5.9,5.82708600336067
1954-06-01,5.6,5.54051802090453
1954-07-01,5.8,5.76829413733197
1954-08-01,6,5.99994998148781
1954-09-01,6.1,6.1261945702324
1954-10-01,5.7,5.72270003844839
1954-11-01,5.3,5.33876363493962
1954-12-01,5,5.03799609107997
1955-01-01,4.9,4.94254652967646
1955-02-01,4.7,4.75225047704489
1955-03-01,4.6,4.64073731915015
1955-04-01,4.7,4.60296319634313
1955-05-01,4.3,4.22708600336067
1955-06-01,4.2,4.14051802090453
1955-07-01,4,3.96829413733197
1955-08-01,4.2,4.19994998148781
1955-09-01,4.1,4.1261945702324
1955-10-01,4.3,4.32270003844839
1955-11-01,4.2,4.23876363493962
1955-12-01,4.2,4.23799609107997
1956-01-01,4,4.04254652967646
1956-02-01,3.9,3.95225047704488
1956-03-01,4.2,4.24073731915015
1956-04-01,4,3.90296319634313
1956-05-01,4.3,4.22708600336067
1956-06-01,4.3,4.24051802090453
1956-07-01,4.4,4.36829413733197
1956-08-01,4.1,4.09994998148781
1956-09-01,3.9,3.9261945702324
1956-10-01,3.9,3.92270003844839
1956-11-01,4.3,4.33876363493962
1956-12-01,4.2,4.23799609107997
1957-01-01,4.2,4.24254652967646
1957-02-01,3.9,3.95225047704488
1957-03-01,3.7,3.74073731915015
1957-04-01,3.9,3.80296319634313
1957-05-01,4.1,4.02708600336067
1957-06-01,4.3,4.24051802090453
1957-07-01,4.2,4.16829413733197
1957-08-01,4.1,4.09994998148781
1957-09-01,4.4,4.4261945702324
1957-10-01,4.5,4.52270003844839
1957-11-01,5.1,5.13876363493962
1957-12-01,5.2,5.23799609107997
1958-01-01,5.8,5.84254652967646
1958-02-01,6.4,6.45225047704489
1958-03-01,6.7,6.74073731915015
1958-04-01,7.4,7.30296319634313
1958-05-01,7.4,7.32708600336067
1958-06-01,7.3,7.24051802090453
1958-07-01,7.5,7.46829413733197
1958-08-01,7.4,7.39994998148781
1958-09-01,7.1,7.1261945702324
1958-10-01,6.7,6.72270003844839
1958-11-01,6.2,6.23876363493962
1958-12-01,6.2,6.23799609107997
1959-01-01,6,6.04254652967646
1959-02-01,5.9,5.95225047704489
1959-03-01,5.6,5.64073731915015
1959-04-01,5.2,5.10296319634313
1959-05-01,5.1,5.02708600336067
1959-06-01,5,4.94051802090453
1959-07-01,5.1,5.06829413733197
1959-08-01,5.2,5.19994998148781
1959-09-01,5.5,5.5261945702324
1959-10-01,5.7,5.72270003844839
1959-11-01,5.8,5.83876363493962
1959-12-01,5.3,5.33799609107997
1960-01-01,5.2,5.24254652967646
1960-02-01,4.8,4.85225047704489
1960-03-01,5.4,5.44073731915015
1960-04-01,5.2,5.10296319634313
1960-05-01,5.1,5.02708600336067
1960-06-01,5.4,5.34051802090453
1960-07-01,5.5,5.46829413733197
1960-08-01,5.6,5.59994998148781
1960-09-01,5.5,5.5261945702324
1960-10-01,6.1,6.12270003844839
1960-11-01,6.1,6.13876363493962
1960-12-01,6.6,6.63799609107997
1961-01-01,6.6,6.64254652967646
1961-02-01,6.9,6.95225047704489
1961-03-01,6.9,6.94073731915015
1961-04-01,7,6.90296319634313
1961-05-01,7.1,7.02708600336067
1961-06-01,6.9,6.84051802090453
1961-07-01,7,6.96829413733197
1961-08-01,6.6,6.59994998148781
1961-09-01,6.7,6.7261945702324
1961-10-01,6.5,6.52270003844839
1961-11-01,6.1,6.13876363493962
1961-12-01,6,6.03799609107997
1962-01-01,5.8,5.84254652967646
1962-02-01,5.5,5.55225047704489
1962-03-01,5.6,5.64073731915015
1962-04-01,5.6,5.50296319634313
1962-05-01,5.5,5.42708600336067
1962-06-01,5.5,5.44051802090453
1962-07-01,5.4,5.36829413733197
1962-08-01,5.7,5.69994998148781
1962-09-01,5.6,5.6261945702324
1962-10-01,5.4,5.42270003844839
1962-11-01,5.7,5.73876363493962
1962-12-01,5.5,5.53799609107997
1963-01-01,5.7,5.74254652967646
1963-02-01,5.9,5.95225047704489
1963-03-01,5.7,5.74073731915015
1963-04-01,5.7,5.60296319634313
1963-05-01,5.9,5.82708600336067
1963-06-01,5.6,5.54051802090453
1963-07-01,5.6,5.56829413733197
1963-08-01,5.4,5.39994998148781
1963-09-01,5.5,5.5261945702324
1963-10-01,5.5,5.52270003844839
1963-11-01,5.7,5.73876363493962
1963-12-01,5.5,5.53799609107997
1964-01-01,5.6,5.64254652967646
1964-02-01,5.4,5.45225047704489
1964-03-01,5.4,5.44073731915015
1964-04-01,5.3,5.20296319634313
1964-05-01,5.1,5.02708600336067
1964-06-01,5.2,5.14051802090453
1964-07-01,4.9,4.86829413733197
1964-08-01,5,4.99994998148781
1964-09-01,5.1,5.1261945702324
1964-10-01,5.1,5.12270003844839
1964-11-01,4.8,4.83876363493962
1964-12-01,5,5.03799609107997
1965-01-01,4.9,4.94254652967646
1965-02-01,5.1,5.15225047704488
1965-03-01,4.7,4.74073731915015
1965-04-01,4.8,4.70296319634313
1965-05-01,4.6,4.52708600336067
1965-06-01,4.6,4.54051802090453
1965-07-01,4.4,4.36829413733197
1965-08-01,4.4,4.39994998148781
1965-09-01,4.3,4.3261945702324
1965-10-01,4.2,4.22270003844839
1965-11-01,4.1,4.13876363493962
1965-12-01,4,4.03799609107997
1966-01-01,4,4.04254652967646
1966-02-01,3.8,3.85225047704488
1966-03-01,3.8,3.84073731915015
1966-04-01,3.8,3.70296319634313
1966-05-01,3.9,3.82708600336067
1966-06-01,3.8,3.74051802090453
1966-07-01,3.8,3.76829413733197
1966-08-01,3.8,3.79994998148781
1966-09-01,3.7,3.7261945702324
1966-10-01,3.7,3.72270003844839
1966-11-01,3.6,3.63876363493962
1966-12-01,3.8,3.83799609107997
1967-01-01,3.9,3.94254652967646
1967-02-01,3.8,3.85225047704488
1967-03-01,3.8,3.84073731915015
1967-04-01,3.8,3.70296319634313
1967-05-01,3.8,3.72708600336067
1967-06-01,3.9,3.84051802090453
1967-07-01,3.8,3.76829413733197
1967-08-01,3.8,3.79994998148781
1967-09-01,3.8,3.8261945702324
1967-10-01,4,4.02270003844839
1967-11-01,3.9,3.93876363493962
1967-12-01,3.8,3.83799609107997
1968-01-01,3.7,3.74254652967646
1968-02-01,3.8,3.85225047704488
1968-03-01,3.7,3.74073731915015
1968-04-01,3.5,3.40296319634313
1968-05-01,3.5,3.42708600336067
1968-06-01,3.7,3.64051802090453
1968-07-01,3.7,3.66829413733197
1968-08-01,3.5,3.49994998148781
1968-09-01,3.4,3.4261945702324
1968-10-01,3.4,3.42270003844839
1968-11-01,3.4,3.43876363493962
1968-12-01,3.4,3.43799609107997
1969-01-01,3.4,3.44254652967646
1969-02-01,3.4,3.45225047704488
1969-03-01,3.4,3.44073731915015
1969-04-01,3.4,3.30296319634313
1969-05-01,3.4,3.32708600336067
1969-06-01,3.5,3.44051802090453
1969-07-01,3.5,3.46829413733197
1969-08-01,3.5,3.49994998148781
1969-09-01,3.7,3.7261945702324
1969-10-01,3.7,3.72270003844839
1969-11-01,3.5,3.53876363493962
1969-12-01,3.5,3.53799609107997
1970-01-01,3.9,3.94254652967646
1970-02-01,4.2,4.25225047704489
1970-03-01,4.4,4.44073731915015
1970-04-01,4.6,4.50296319634313
1970-05-01,4.8,4.72708600336067
1970-06-01,4.9,4.84051802090453
1970-07-01,5,4.96829413733197
1970-08-01,5.1,5.09994998148781
1970-09-01,5.4,5.4261945702324
1970-10-01,5.5,5.52270003844839
1970-11-01,5.9,5.93876363493962
1970-12-01,6.1,6.13799609107997
1971-01-01,5.9,5.94254652967646
1971-02-01,5.9,5.95225047704489
1971-03-01,6,6.04073731915015
1971-04-01,5.9,5.80296319634313
1971-05-01,5.9,5.82708600336067
1971-06-01,5.9,5.84051802090453
1971-07-01,6,5.96829413733197
1971-08-01,6.1,6.09994998148781
1971-09-01,6,6.0261945702324
1971-10-01,5.8,5.82270003844839
1971-11-01,6,6.03876363493962
1971-12-01,6,6.03799609107997
1972-01-01,5.8,5.84254652967646
1972-02-01,5.7,5.75225047704489
1972-03-01,5.8,5.84073731915015
1972-04-01,5.7,5.60296319634313
1972-05-01,5.7,5.62708600336067
1972-06-01,5.7,5.64051802090453
1972-07-01,5.6,5.56829413733197
1972-08-01,5.6,5.59994998148781
1972-09-01,5.5,5.5261945702324
1972-10-01,5.6,5.62270003844839
1972-11-01,5.3,5.33876363493962
1972-12-01,5.2,5.23799609107997
1973-01-01,4.9,4.94254652967646
1973-02-01,5,5.05225047704489
1973-03-01,4.9,4.94073731915015
1973-04-01,5,4.90296319634313
1973-05-01,4.9,4.82708600336067
1973-06-01,4.9,4.84051802090453
1973-07-01,4.8,4.76829413733197
1973-08-01,4.8,4.79994998148781
1973-09-01,4.8,4.8261945702324
1973-10-01,4.6,4.62270003844839
1973-11-01,4.8,4.83876363493962
1973-12-01,4.9,4.93799609107997
1974-01-01,5.1,5.14254652967646
1974-02-01,5.2,5.25225047704489
1974-03-01,5.1,5.14073731915015
1974-04-01,5.1,5.00296319634313
1974-05-01,5.1,5.02708600336067
1974-06-01,5.4,5.34051802090453
1974-07-01,5.5,5.46829413733197
1974-08-01,5.5,5.49994998148781
1974-09-01,5.9,5.9261945702324
1974-10-01,6,6.02270003844839
