"date","value","deseasonalized_value"
1990-01-01,9.3,6.99760795985061
1990-02-01,9.9,7.80471580298786
1990-03-01,8.1,7.13363737161531
1990-04-01,7.6,7.69393148926237
1990-05-01,6.7,7.54687266573296
1990-06-01,8.4,8.26206874416433
1990-07-01,9.2,9.46601832399626
1990-08-01,9.3,9.84258345004669
1990-09-01,7.3,9.13645599906629
1990-10-01,6.8,8.62750992063492
1990-11-01,11.1,11.7699118814192
1990-12-01,12.4,11.8186863912232
1991-01-01,14.5,12.1976079598506
1991-02-01,14.4,12.3047158029879
1991-03-01,12.7,11.7336373716153
1991-04-01,11.3,11.3939314892624
1991-05-01,10,10.846872665733
1991-06-01,11,10.8620687441643
1991-07-01,10.3,10.5660183239963
1991-08-01,9.9,10.4425834500467
1991-09-01,7.6,9.43645599906629
1991-10-01,7.7,9.52750992063492
1991-11-01,9.3,9.96991188141923
1991-12-01,10.6,10.0186863912232
1992-01-01,12.3,9.99760795985061
1992-02-01,12.7,10.6047158029879
1992-03-01,11.5,10.5336373716153
1992-04-01,10.1,10.1939314892624
1992-05-01,9.9,10.746872665733
1992-06-01,12.5,12.3620687441643
1992-07-01,10.4,10.6660183239963
1992-08-01,9.9,10.4425834500467
1992-09-01,7.4,9.23645599906629
1992-10-01,7.2,9.02750992063492
1992-11-01,8.7,9.36991188141923
1992-12-01,9.1,8.51868639122316
1993-01-01,10,7.69760795985061
1993-02-01,10,7.90471580298786
1993-03-01,8,7.03363737161531
1993-04-01,7.1,7.19393148926237
1993-05-01,5.9,6.74687266573296
1993-06-01,7.3,7.16206874416433
1993-07-01,6.3,6.56601832399627
1993-08-01,6.8,7.34258345004669
1993-09-01,5.5,7.33645599906629
1993-10-01,5.7,7.52750992063492
1993-11-01,6.7,7.36991188141923
1993-12-01,7,6.41868639122316
1994-01-01,9.9,7.59760795985061
1994-02-01,11.3,9.20471580298786
1994-03-01,10.7,9.73363737161531
1994-04-01,8.9,8.99393148926237
1994-05-01,7.4,8.24687266573296
1994-06-01,8.7,8.56206874416433
1994-07-01,7.9,8.16601832399627
1994-08-01,6.7,7.24258345004669
1994-09-01,5.5,7.33645599906629
1994-10-01,5.7,7.52750992063492
1994-11-01,7.4,8.06991188141923
1994-12-01,8.6,8.01868639122316
1995-01-01,11.3,8.99760795985061
1995-02-01,11.1,9.00471580298786
1995-03-01,10.5,9.53363737161531
1995-04-01,8.5,8.59393148926237
1995-05-01,7.6,8.44687266573296
1995-06-01,9.1,8.96206874416433
1995-07-01,8,8.26601832399627
1995-08-01,8.1,8.64258345004669
1995-09-01,5.3,7.13645599906629
1995-10-01,5.6,7.42750992063492
1995-11-01,7.1,7.76991188141923
1995-12-01,9.2,8.61868639122316
1996-01-01,12.9,10.5976079598506
1996-02-01,12.9,10.8047158029879
1996-03-01,10.9,9.93363737161531
1996-04-01,9.4,9.49393148926237
1996-05-01,8.1,8.94687266573296
1996-06-01,9.4,9.26206874416433
1996-07-01,8,8.26601832399627
1996-08-01,8.4,8.94258345004669
1996-09-01,6.9,8.73645599906629
1996-10-01,7.6,9.42750992063492
1996-11-01,9.3,9.96991188141923
1996-12-01,10.3,9.71868639122316
1997-01-01,13.6,11.2976079598506
1997-02-01,13.6,11.5047158029879
1997-03-01,11.9,10.9336373716153
1997-04-01,9.5,9.59393148926237
1997-05-01,7.7,8.54687266573296
1997-06-01,9.1,8.96206874416433
1997-07-01,7.4,7.66601832399627
1997-08-01,7.5,8.04258345004668
1997-09-01,4.7,6.53645599906629
1997-10-01,5.1,6.92750992063492
1997-11-01,6.3,6.96991188141923
1997-12-01,8.3,7.71868639122316
1998-01-01,11.1,8.7976079598506
1998-02-01,11.3,9.20471580298786
1998-03-01,10.1,9.13363737161531
1998-04-01,7.1,7.19393148926237
1998-05-01,6.2,7.04687266573296
1998-06-01,8.5,8.36206874416433
1998-07-01,7.4,7.66601832399627
1998-08-01,7,7.54258345004669
1998-09-01,5.3,7.13645599906629
1998-10-01,5.2,7.02750992063492
1998-11-01,6.3,6.96991188141923
1998-12-01,8.5,7.91868639122316
1999-01-01,11,8.69760795985061
1999-02-01,10.9,8.80471580298786
1999-03-01,10.1,9.13363737161531
1999-04-01,7.6,7.69393148926237
1999-05-01,6,6.84687266573296
1999-06-01,7.8,7.66206874416433
1999-07-01,7,7.26601832399627
1999-08-01,6.6,7.14258345004669
1999-09-01,5,6.83645599906629
1999-10-01,4.6,6.42750992063492
1999-11-01,5.7,6.36991188141923
1999-12-01,8,7.41868639122316
2000-01-01,9.6,7.29760795985061
2000-02-01,10,7.90471580298786
2000-03-01,9.4,8.43363737161531
2000-04-01,7.7,7.79393148926237
2000-05-01,7.1,7.94687266573296
2000-06-01,7.4,7.26206874416433
2000-07-01,6.9,7.16601832399627
2000-08-01,7.6,8.14258345004669
2000-09-01,6,7.83645599906629
2000-10-01,6.3,8.12750992063492
2000-11-01,8.6,9.26991188141923
2000-12-01,8.9,8.31868639122316
2001-01-01,11.7,9.39760795985061
2001-02-01,11.1,9.00471580298786
2001-03-01,10.7,9.73363737161531
2001-04-01,8.1,8.19393148926237
2001-05-01,7,7.84687266573296
