"date","value","deseasonalized_value"
1990-01-01,19.4,17.5773386437908
1990-02-01,17.6,14.8992749183007
1990-03-01,13.4,11.6664317810458
1990-04-01,14.2,14.1285641339869
1990-05-01,10.9,11.3694955065359
1990-06-01,14.1,14.3642258986928
1990-07-01,12.7,13.2496425653595
1990-08-01,16,16.7343239379085
1990-09-01,13.7,15.1911866830065
1990-10-01,12.1,13.7120200163399
1990-11-01,14.1,15.0660641339869
1990-12-01,14.1,14.3414317810458
1991-01-01,17.7,15.8773386437908
1991-02-01,18.5,15.7992749183007
1991-03-01,17.5,15.7664317810458
1991-04-01,17,16.9285641339869
1991-05-01,13.6,14.0694955065359
1991-06-01,13.1,13.3642258986928
1991-07-01,12,12.5496425653595
1991-08-01,11.3,12.0343239379085
1991-09-01,11.4,12.8911866830065
1991-10-01,10.5,12.1120200163399
1991-11-01,13.3,14.2660641339869
1991-12-01,16.7,16.9414317810458
1992-01-01,16.4,14.5773386437908
1992-02-01,17.2,14.4992749183007
1992-03-01,15.3,13.5664317810458
1992-04-01,13.3,13.2285641339869
1992-05-01,14.8,15.2694955065359
1992-06-01,14.2,14.4642258986928
1992-07-01,11.9,12.4496425653595
1992-08-01,14.2,14.9343239379085
1992-09-01,10.9,12.3911866830065
1992-10-01,12.2,13.8120200163399
1992-11-01,15.2,16.1660641339869
1992-12-01,17.9,18.1414317810457
1993-01-01,18.6,16.7773386437909
1993-02-01,18.2,15.4992749183007
1993-03-01,19,17.2664317810458
1993-04-01,14.2,14.1285641339869
1993-05-01,14.2,14.6694955065359
1993-06-01,13.2,13.4642258986928
1993-07-01,14,14.5496425653595
1993-08-01,12.1,12.8343239379085
1993-09-01,12.6,14.0911866830065
1993-10-01,12.2,13.8120200163399
1993-11-01,19.1,20.0660641339869
1993-12-01,17.8,18.0414317810458
1994-01-01,25.1,23.2773386437909
1994-02-01,23.8,21.0992749183007
1994-03-01,21.2,19.4664317810457
1994-04-01,16.5,16.4285641339869
1994-05-01,14,14.4694955065359
1994-06-01,13.2,13.4642258986928
1994-07-01,11.4,11.9496425653595
1994-08-01,11.6,12.3343239379085
1994-09-01,10.7,12.1911866830065
1994-10-01,10.3,11.9120200163399
1994-11-01,10,10.9660641339869
1994-12-01,13,13.2414317810458
1995-01-01,16.6,14.7773386437909
1995-02-01,16.1,13.3992749183007
1995-03-01,16.6,14.8664317810458
1995-04-01,14.1,14.0285641339869
1995-05-01,14.6,15.0694955065359
1995-06-01,14.5,14.7642258986928
1995-07-01,12.2,12.7496425653595
1995-08-01,11.2,11.9343239379085
1995-09-01,10.5,11.9911866830065
1995-10-01,10.6,12.2120200163399
1995-11-01,12.6,13.5660641339869
1995-12-01,12.7,12.9414317810458
1996-01-01,16.8,14.9773386437908
1996-02-01,16.7,13.9992749183007
1996-03-01,16.4,14.6664317810458
1996-04-01,14.4,14.3285641339869
1996-05-01,15,15.4694955065359
1996-06-01,14.1,14.3642258986928
1996-07-01,16.6,17.1496425653595
1996-08-01,11.8,12.5343239379085
1996-09-01,11.2,12.6911866830065
1996-10-01,11,12.6120200163399
1996-11-01,10.6,11.5660641339869
1996-12-01,12,12.2414317810458
1997-01-01,15.3,13.4773386437908
1997-02-01,17.1,14.3992749183007
1997-03-01,14.4,12.6664317810458
1997-04-01,10.9,10.8285641339869
1997-05-01,8.6,9.06949550653595
1997-06-01,10.2,10.4642258986928
1997-07-01,11.2,11.7496425653595
1997-08-01,8.7,9.4343239379085
1997-09-01,8.9,10.3911866830065
1997-10-01,9.3,10.9120200163399
1997-11-01,10.2,11.1660641339869
1997-12-01,11.9,12.1414317810458
1998-01-01,13.2,11.3773386437908
1998-02-01,16.7,13.9992749183007
1998-03-01,15.5,13.7664317810458
1998-04-01,13.3,13.2285641339869
1998-05-01,11,11.4694955065359
1998-06-01,11.5,11.7642258986928
1998-07-01,11,11.5496425653595
1998-08-01,9.6,10.3343239379085
1998-09-01,9.3,10.7911866830065
1998-10-01,7.7,9.31202001633987
1998-11-01,7.2,8.16606413398693
1998-12-01,8.1,8.34143178104575
1999-01-01,13.1,11.2773386437908
1999-02-01,13,10.2992749183007
1999-03-01,10.7,8.96643178104575
1999-04-01,8.4,8.32856413398693
1999-05-01,7.4,7.86949550653595
1999-06-01,9.8,10.0642258986928
1999-07-01,10,10.5496425653595
1999-08-01,10.2,10.9343239379085
1999-09-01,8.8,10.2911866830065
1999-10-01,8.2,9.81202001633987
1999-11-01,7.8,8.76606413398693
1999-12-01,8,8.24143178104575
2000-01-01,8.2,6.37733864379085
2000-02-01,9.7,6.99927491830065
2000-03-01,7.6,5.86643178104575
2000-04-01,6.3,6.22856413398693
2000-05-01,6.9,7.36949550653595
2000-06-01,6.1,6.36422589869281
2000-07-01,6,6.54964256535948
2000-08-01,5.7,6.4343239379085
2000-09-01,5.2,6.69118668300654
2000-10-01,4.7,6.31202001633987
2000-11-01,5.1,6.06606413398693
2000-12-01,5.4,5.64143178104575
2001-01-01,8.6,6.77733864379085
2001-02-01,8.3,5.59927491830065
2001-03-01,7.5,5.76643178104575
2001-04-01,6.8,6.72856413398693
2001-05-01,6.1,6.56949550653595
2001-06-01,6.7,6.96422589869281
2001-07-01,6.6,7.14964256535948
2001-08-01,6.6,7.3343239379085
2001-09-01,6.9,8.39118668300654
2001-10-01,6.7,8.31202001633987
2001-11-01,6.8,7.76606413398693
2001-12-01,6.8,7.04143178104575
2002-01-01,10,8.17733864379085
2002-02-01,10,7.29927491830065
2002-03-01,8.6,6.86643178104575
2002-04-01,7.6,7.52856413398693
2002-05-01,6.9,7.36949550653595
2002-06-01,7.3,7.56422589869281
2002-07-01,7.1,7.64964256535948
2002-08-01,6.8,7.5343239379085
2002-09-01,6.3,7.79118668300654
2002-10-01,6.5,8.11202001633987
2002-11-01,7.6,8.56606413398693
2002-12-01,8.7,8.94143178104575
2003-01-01,10.6,8.77733864379085
2003-02-01,11.5,8.79927491830065
2003-03-01,10.4,8.66643178104575
2003-04-01,8.9,8.82856413398693
2003-05-01,8.8,9.26949550653595
2003-06-01,9,9.26422589869281
2003-07-01,8.7,9.24964256535948
2003-08-01,7.9,8.6343239379085
2003-09-01,6.4,7.89118668300654
2003-10-01,6.5,8.11202001633987
2003-11-01,6.8,7.76606413398693
2003-12-01,6.7,6.94143178104575
2004-01-01,8.3,6.47733864379085
2004-02-01,9.9,7.19927491830065
2004-03-01,9.4,7.66643178104575
2004-04-01,7.5,7.42856413398693
2004-05-01,7.4,7.86949550653595
2004-06-01,7.7,7.96422589869281
2004-07-01,6.9,7.44964256535948
2004-08-01,6.4,7.1343239379085
2004-09-01,5.1,6.59118668300654
2004-10-01,5.7,7.31202001633987
2004-11-01,5.3,6.26606413398693
2004-12-01,6.2,6.44143178104575
2005-01-01,8.2,6.37733864379085
2005-02-01,8.7,5.99927491830065
2005-03-01,8.5,6.76643178104575
2005-04-01,6.6,6.52856413398693
2005-05-01,5.6,6.06949550653595
2005-06-01,6.1,6.36422589869281
2005-07-01,5.9,6.44964256535948
2005-08-01,5.5,6.2343239379085
2005-09-01,5.1,6.59118668300654
2005-10-01,4.7,6.31202001633987
2005-11-01,5.2,6.16606413398693
2005-12-01,4.9,5.14143178104575
2006-01-01,6.2,4.37733864379085
2006-02-01,6.9,4.19927491830065
2006-03-01,5.6,3.86643178104575
2006-04-01,5.1,5.02856413398693
2006-05-01,4.8,5.26949550653595
2006-06-01,5.4,5.66422589869281
2006-07-01,5.4,5.94964256535948
2006-08-01,5.4,6.1343239379085
2006-09-01,4.6,6.09118668300654
2006-10-01,4.4,6.01202001633987
2006-11-01,4.2,5.16606413398693
2006-12-01,5.3,5.54143178104575
2007-01-01,7.6,5.77733864379085
2007-02-01,8.3,5.59927491830065
2007-03-01,7,5.26643178104575
2007-04-01,5.6,5.52856413398693
2007-05-01,4.7,5.16949550653595
2007-06-01,4.8,5.06422589869281
2007-07-01,4.9,5.44964256535948
2007-08-01,5,5.7343239379085
2007-09-01,4.1,5.59118668300654
2007-10-01,4,5.61202001633987
2007-11-01,4,4.96606413398693
2007-12-01,4.9,5.14143178104575
2008-01-01,7.5,5.67733864379085
2008-02-01,8.5,5.79927491830065
2008-03-01,7.9,6.16643178104575
2008-04-01,6.4,6.32856413398693
2008-05-01,5.4,5.86949550653595
2008-06-01,5.5,5.76422589869281
2008-07-01,4.8,5.34964256535948
2008-08-01,5,5.7343239379085
2008-09-01,4.6,6.09118668300654
2008-10-01,4.3,5.91202001633987
2008-11-01,5,5.96606413398693
2008-12-01,6.2,6.44143178104575
2009-01-01,9.5,7.67733864379085
2009-02-01,13.3,10.5992749183007
2009-03-01,12.4,10.6664317810458
2009-04-01,10.3,10.2285641339869
2009-05-01,9.9,10.3694955065359
2009-06-01,10.2,10.4642258986928
2009-07-01,9.7,10.2496425653595
2009-08-01,9.6,10.3343239379085
2009-09-01,8.9,10.3911866830065
2009-10-01,8.6,10.2120200163399
2009-11-01,8.3,9.26606413398693
