county_id,date,unemployment_rate,sahm_value
51075,1990-01-01,3.3,NaN
51075,1990-02-01,3.6,NaN
51075,1990-03-01,3.2,NaN
51075,1990-04-01,2.7,NaN
51075,1990-05-01,2.7,NaN
51075,1990-06-01,3.2,NaN
51075,1990-07-01,3.1,NaN
51075,1990-08-01,3.1,NaN
51075,1990-09-01,3,NaN
51075,1990-10-01,2.9,NaN
51075,1990-11-01,3.4,NaN
51075,1990-12-01,3.2,NaN
51075,1991-01-01,4.7,NaN
51075,1991-02-01,5,NaN
51075,1991-03-01,5,2.03
51075,1991-04-01,4.5,1.97
51075,1991-05-01,5.6,2.17
51075,1991-06-01,5.5,2.33
51075,1991-07-01,5.1,2.40
51075,1991-08-01,5.6,2.40
51075,1991-09-01,5,2.23
51075,1991-10-01,4.4,2.00
51075,1991-11-01,4.9,1.67
51075,1991-12-01,5.2,1.67
51075,1992-01-01,6.2,1.67
51075,1992-02-01,5.8,1.43
51075,1992-03-01,6.2,1.30
51075,1992-04-01,5,0.90
51075,1992-05-01,5.6,0.83
51075,1992-06-01,5.8,0.70
51075,1992-07-01,5.7,0.93
51075,1992-08-01,5.5,0.90
51075,1992-09-01,5.9,0.93
51075,1992-10-01,6,1.03
51075,1992-11-01,5.8,1.13
51075,1992-12-01,5,0.77
51075,1993-01-01,6.1,0.20
51075,1993-02-01,5.2,0.00
51075,1993-03-01,3.8,0.00
51075,1993-04-01,3.9,0.00
51075,1993-05-01,4.4,0.00
51075,1993-06-01,4.9,0.37
51075,1993-07-01,4.1,0.43
51075,1993-08-01,3.9,0.27
51075,1993-09-01,4,0.00
51075,1993-10-01,3.9,0.00
51075,1993-11-01,3.3,0.00
51075,1993-12-01,3.7,0.00
51075,1994-01-01,4.7,0.27
51075,1994-02-01,4,0.50
51075,1994-03-01,4.1,0.63
51075,1994-04-01,3.8,0.33
51075,1994-05-01,3.8,0.27
51075,1994-06-01,3.4,0.03
51075,1994-07-01,3.3,0.00
51075,1994-08-01,3.2,0.00
51075,1994-09-01,3.1,0.00
51075,1994-10-01,3.8,0.17
51075,1994-11-01,3.3,0.20
51075,1994-12-01,3.5,0.33
51075,1995-01-01,3.6,0.27
51075,1995-02-01,3,0.17
51075,1995-03-01,3.2,0.07
51075,1995-04-01,2.3,0.00
51075,1995-05-01,2.4,0.00
51075,1995-06-01,3,0.00
51075,1995-07-01,2.8,0.17
51075,1995-08-01,2.9,0.33
51075,1995-09-01,2.7,0.23
51075,1995-10-01,2.7,0.20
51075,1995-11-01,2.6,0.10
51075,1995-12-01,2.5,0.03
51075,1996-01-01,3,0.13
51075,1996-02-01,3,0.27
51075,1996-03-01,2.7,0.33
51075,1996-04-01,1.9,0.00
51075,1996-05-01,2.1,0.00
51075,1996-06-01,2,0.00
51075,1996-07-01,1.9,0.00
51075,1996-08-01,1.9,0.00
51075,1996-09-01,1.9,0.00
51075,1996-10-01,2.1,0.07
51075,1996-11-01,2.2,0.17
51075,1996-12-01,2.4,0.33
51075,1997-01-01,3,0.63
51075,1997-02-01,3.2,0.97
51075,1997-03-01,2.8,1.10
51075,1997-04-01,2,0.77
51075,1997-05-01,2,0.37
51075,1997-06-01,2,0.10
51075,1997-07-01,1.9,0.07
51075,1997-08-01,2.2,0.13
51075,1997-09-01,2.4,0.27
51075,1997-10-01,2,0.23
51075,1997-11-01,1.8,0.10
