"date","value","deseasonalized_value"
1990-01-01,5.9,5.73011656746032
1990-02-01,5.7,5.83594990079365
1990-03-01,5.4,5.56975942460318
1990-04-01,5.5,5.70023561507937
1990-05-01,5.4,5.49594990079365
1990-06-01,5.3,4.98190228174603
1990-07-01,6.1,5.40210730820106
1990-08-01,6.2,5.73208416005291
1990-09-01,6.3,6.30964037698413
1990-10-01,6.1,6.3208308531746
1990-11-01,6.3,6.65190228174603
1990-12-01,6.4,6.86952132936508
1991-01-01,7.2,7.03011656746032
1991-02-01,7.5,7.63594990079365
1991-03-01,7.5,7.66975942460317
1991-04-01,7.3,7.50023561507937
1991-05-01,7.9,7.99594990079365
1991-06-01,8.3,7.98190228174603
1991-07-01,8.6,7.90210730820106
1991-08-01,8.5,8.03208416005291
1991-09-01,8.5,8.50964037698413
1991-10-01,8.3,8.5208308531746
1991-11-01,8.3,8.65190228174603
1991-12-01,8.3,8.76952132936508
1992-01-01,9.4,9.23011656746032
1992-02-01,9.4,9.53594990079365
1992-03-01,9.2,9.36975942460317
1992-04-01,8.8,9.00023561507937
1992-05-01,9.5,9.59594990079365
1992-06-01,10.3,9.98190228174603
1992-07-01,10.8,10.1021073082011
1992-08-01,10.5,10.0320841600529
1992-09-01,10.5,10.5096403769841
1992-10-01,10,10.2208308531746
1992-11-01,10.2,10.551902281746
1992-12-01,10,10.4695213293651
1993-01-01,10.8,10.6301165674603
1993-02-01,10.7,10.8359499007937
1993-03-01,10.4,10.5697594246032
1993-04-01,9.9,10.1002356150794
1993-05-01,9.8,9.89594990079365
1993-06-01,10.2,9.88190228174603
1993-07-01,10.5,9.80210730820106
1993-08-01,10,9.53208416005291
1993-09-01,9.9,9.90964037698413
1993-10-01,9.9,10.1208308531746
1993-11-01,9.5,9.85190228174603
1993-12-01,9.2,9.66952132936508
1994-01-01,10.5,10.3301165674603
1994-02-01,10,10.1359499007937
1994-03-01,9.9,10.0697594246032
1994-04-01,9.6,9.80023561507936
1994-05-01,9.2,9.29594990079365
1994-06-01,9.5,9.18190228174603
1994-07-01,9.9,9.20210730820106
1994-08-01,9.6,9.13208416005291
1994-09-01,8.9,8.90964037698413
1994-10-01,8.4,8.6208308531746
1994-11-01,8,8.35190228174603
1994-12-01,7.5,7.96952132936508
1995-01-01,8.4,8.23011656746032
1995-02-01,7.8,7.93594990079365
1995-03-01,7.7,7.86975942460318
1995-04-01,7.7,7.90023561507937
1995-05-01,7.6,7.69594990079365
1995-06-01,8,7.68190228174603
1995-07-01,8.8,8.10210730820106
1995-08-01,8.5,8.03208416005291
1995-09-01,8.3,8.30964037698413
1995-10-01,8.1,8.3208308531746
1995-11-01,8.2,8.55190228174603
1995-12-01,7.9,8.36952132936508
1996-01-01,9.1,8.93011656746032
1996-02-01,8.7,8.83594990079365
1996-03-01,8.6,8.76975942460317
1996-04-01,8.4,8.60023561507936
1996-05-01,8.4,8.49594990079365
1996-06-01,8.2,7.88190228174603
1996-07-01,8.9,8.20210730820106
1996-08-01,8,7.53208416005291
1996-09-01,7.8,7.80964037698413
1996-10-01,7.6,7.8208308531746
1996-11-01,7.6,7.95190228174603
1996-12-01,7.2,7.66952132936508
1997-01-01,8,7.83011656746032
1997-02-01,7.6,7.73594990079365
1997-03-01,7.4,7.56975942460318
1997-04-01,6.9,7.10023561507937
1997-05-01,6.6,6.69594990079365
1997-06-01,7,6.68190228174603
1997-07-01,7.3,6.60210730820106
1997-08-01,7,6.53208416005291
1997-09-01,6.8,6.80964037698413
1997-10-01,6.3,6.5208308531746
1997-11-01,6,6.35190228174603
1997-12-01,6,6.46952132936508
1998-01-01,6.6,6.43011656746032
1998-02-01,6.3,6.43594990079365
1998-03-01,6.7,6.86975942460318
1998-04-01,6.1,6.30023561507937
1998-05-01,6.2,6.29594990079365
1998-06-01,6.7,6.38190228174603
1998-07-01,7.1,6.40210730820106
1998-08-01,7,6.53208416005291
1998-09-01,7,7.00964037698413
1998-10-01,6.9,7.1208308531746
1998-11-01,6.4,6.75190228174603
1998-12-01,6,6.46952132936508
1999-01-01,6.6,6.43011656746032
1999-02-01,6.3,6.43594990079365
1999-03-01,5.9,6.06975942460318
1999-04-01,5.7,5.90023561507937
1999-05-01,5.2,5.29594990079365
1999-06-01,5.9,5.58190228174603
1999-07-01,6.4,5.70210730820106
1999-08-01,6.1,5.63208416005291
1999-09-01,6.1,6.10964037698413
1999-10-01,5.8,6.0208308531746
1999-11-01,5.6,5.95190228174603
1999-12-01,5.3,5.76952132936508
2000-01-01,5.9,5.73011656746032
2000-02-01,5.6,5.73594990079365
2000-03-01,5.5,5.66975942460317
2000-04-01,5.2,5.40023561507937
2000-05-01,5.5,5.59594990079365
2000-06-01,5.5,5.18190228174603
2000-07-01,6,5.30210730820106
2000-08-01,5.9,5.43208416005291
2000-09-01,5.4,5.40964037698413
2000-10-01,5.1,5.3208308531746
2000-11-01,4.8,5.15190228174603
2000-12-01,4.6,5.06952132936508
2001-01-01,5.4,5.23011656746032
2001-02-01,4.8,4.93594990079365
2001-03-01,5.1,5.26975942460317
2001-04-01,5,5.20023561507937
2001-05-01,4.9,4.99594990079365
2001-06-01,5.6,5.28190228174603
2001-07-01,6.1,5.40210730820106
2001-08-01,6.3,5.83208416005291
2001-09-01,6.1,6.10964037698413
2001-10-01,6.4,6.6208308531746
2001-11-01,6.4,6.75190228174603
2001-12-01,6.4,6.86952132936508
2002-01-01,7.2,7.03011656746032
2002-02-01,6.8,6.93594990079365
2002-03-01,6.9,7.06975942460318
2002-04-01,6.8,7.00023561507937
2002-05-01,6.6,6.69594990079365
2002-06-01,7.1,6.78190228174603
2002-07-01,7.3,6.60210730820106
2002-08-01,7.1,6.63208416005291
2002-09-01,6.7,6.70964037698413
2002-10-01,6.4,6.6208308531746
2002-11-01,6.5,6.85190228174603
2002-12-01,6.5,6.96952132936508
2003-01-01,7.1,6.93011656746032
2003-02-01,6.9,7.03594990079365
2003-03-01,6.7,6.86975942460318
2003-04-01,6.6,6.80023561507937
2003-05-01,6.7,6.79594990079365
2003-06-01,7.5,7.18190228174603
2003-07-01,7.7,7.00210730820106
2003-08-01,7.4,6.93208416005291
2003-09-01,7.2,7.20964037698413
2003-10-01,7,7.2208308531746
2003-11-01,6.9,7.25190228174603
2003-12-01,6.4,6.86952132936508
2004-01-01,7,6.83011656746032
2004-02-01,6.6,6.73594990079365
2004-03-01,6.9,7.06975942460318
2004-04-01,6.5,6.70023561507937
2004-05-01,6.5,6.59594990079365
2004-06-01,6.9,6.58190228174603
2004-07-01,7,6.30210730820106
