"date","value","deseasonalized_value"
2014-12-01,2.2,2.56344907407407
2015-01-01,2.3,2.46553240740741
2015-02-01,2.3,2.51928240740741
2015-03-01,1.9,2.03344907407407
2015-04-01,2.1,2.08469907407407
2015-05-01,2.1,2.10414351851852
2015-06-01,2.4,2.01219907407407
2015-07-01,2.8,2.14011574074074
2015-08-01,2.3,1.79969907407407
2015-09-01,2,2.14178240740741
2015-10-01,2.1,2.33303240740741
2015-11-01,2.1,2.40261574074074
2015-12-01,2,2.36344907407407
2016-01-01,2.1,2.26553240740741
2016-02-01,2,2.21928240740741
2016-03-01,2.3,2.43344907407407
2016-04-01,1.8,1.78469907407407
2016-05-01,1.9,1.90414351851852
2016-06-01,2.3,1.91219907407407
2016-07-01,2.9,2.24011574074074
2016-08-01,2.7,2.19969907407407
2016-09-01,2.3,2.44178240740741
2016-10-01,2,2.23303240740741
2016-11-01,1.7,2.00261574074074
2016-12-01,2,2.36344907407407
2017-01-01,2.1,2.26553240740741
2017-02-01,1.9,2.11928240740741
2017-03-01,1.9,2.03344907407407
2017-04-01,1.6,1.58469907407407
2017-05-01,1.9,1.90414351851852
2017-06-01,2.3,1.91219907407407
2017-07-01,2.5,1.84011574074074
2017-08-01,2.8,2.29969907407407
2017-09-01,1.9,2.04178240740741
2017-10-01,1.7,1.93303240740741
2017-11-01,1.7,2.00261574074074
2017-12-01,1.7,2.06344907407407
2018-01-01,2,2.16553240740741
2018-02-01,2,2.21928240740741
2018-03-01,1.9,2.03344907407407
2018-04-01,1.5,1.48469907407407
2018-05-01,1.6,1.60414351851852
2018-06-01,2.3,1.91219907407407
2018-07-01,2.6,1.94011574074074
2018-08-01,2.7,2.19969907407407
2018-09-01,1.9,2.04178240740741
2018-10-01,1.7,1.93303240740741
2018-11-01,1.7,2.00261574074074
2018-12-01,1.9,2.26344907407407
2019-01-01,2,2.16553240740741
2019-02-01,1.7,1.91928240740741
2019-03-01,1.7,1.83344907407407
2019-04-01,1.5,1.48469907407407
2019-05-01,1.7,1.70414351851852
2019-06-01,2.1,1.71219907407407
2019-07-01,2.5,1.84011574074074
2019-08-01,2.3,1.79969907407407
2019-09-01,1.6,1.74178240740741
2019-10-01,1.8,2.03303240740741
2019-11-01,1.7,2.00261574074074
2019-12-01,1.6,1.96344907407407
2020-01-01,1.7,1.86553240740741
2020-02-01,1.6,1.81928240740741
2020-03-01,2.3,2.43344907407407
2020-04-01,6.2,6.18469907407407
2020-05-01,5.3,5.30414351851852
2020-06-01,5.2,4.81219907407407
2020-07-01,5.4,4.74011574074074
2020-08-01,4.5,3.99969907407407
2020-09-01,3.5,3.64178240740741
2020-10-01,3.2,3.43303240740741
2020-11-01,3.1,3.40261574074074
2020-12-01,3,3.36344907407407
2021-01-01,3.3,3.46553240740741
2021-02-01,3.2,3.41928240740741
2021-03-01,3.2,3.33344907407407
2021-04-01,2.4,2.38469907407407
2021-05-01,2.3,2.30414351851852
2021-06-01,2.8,2.41219907407407
2021-07-01,2.8,2.14011574074074
2021-08-01,2.3,1.79969907407407
2021-09-01,2,2.14178240740741
2021-10-01,1.6,1.83303240740741
2021-11-01,1.4,1.70261574074074
2021-12-01,1,1.36344907407407
2022-01-01,1.2,1.36553240740741
2022-02-01,1.7,1.91928240740741
2022-03-01,1.6,1.73344907407407
2022-04-01,1.5,1.48469907407407
2022-05-01,1.5,1.50414351851852
2022-06-01,2,1.61219907407407
2022-07-01,2.3,1.64011574074074
2022-08-01,2,1.49969907407407
2022-09-01,1.4,1.54178240740741
2022-10-01,1.6,1.83303240740741
2022-11-01,1.7,2.00261574074074
2022-12-01,1.4,1.76344907407407
2023-01-01,1.6,1.76553240740741
2023-02-01,1.6,1.81928240740741
2023-03-01,1.5,1.63344907407407
2023-04-01,1.4,1.38469907407407
2023-05-01,1.7,1.70414351851852
2023-06-01,2,1.61219907407407
2023-07-01,2.2,1.54011574074074
2023-08-01,2.5,1.99969907407407
2023-09-01,1.9,2.04178240740741
2023-10-01,1.9,2.13303240740741
2023-11-01,2,2.30261574074074
2023-12-01,1.8,2.16344907407407
2024-01-01,2,2.16553240740741
2024-02-01,1.7,1.91928240740741
2024-03-01,1.8,1.93344907407407
2024-04-01,1.9,1.88469907407407
2024-05-01,1.7,1.70414351851852
2024-06-01,2.3,1.91219907407407
2024-07-01,2.4,1.74011574074074
2024-08-01,2.7,2.19969907407407
2024-09-01,1.9,2.04178240740741
2024-10-01,1.9,2.13303240740741
2024-11-01,1.7,2.00261574074074
2024-12-01,1.8,2.16344907407407
2025-01-01,2.2,2.36553240740741
2025-02-01,2.3,2.51928240740741
2025-03-01,2.4,2.53344907407407
2025-04-01,1.9,1.88469907407407
2025-05-01,2.2,2.20414351851852
2025-06-01,2.5,2.11219907407407
2025-07-01,3.2,2.54011574074074
2025-08-01,2.8,2.29969907407407
2025-09-01,2.5,2.64178240740741
