"date","value","deseasonalized_value"
2000-01-01,1.6,1.70425587606838
2000-02-01,1.6,1.76375587606838
2000-03-01,1.7,1.91008920940171
2000-04-01,1.2,1.40092254273504
2000-05-01,1,1.17292254273504
2000-06-01,1.6,1.31692254273504
2000-07-01,2.3,1.61344177350427
2000-08-01,2.2,1.69405074786325
2000-09-01,2.1,2.09757638888889
2000-10-01,1.6,1.75863408119658
2000-11-01,1.4,1.5817110042735
2000-12-01,1.3,1.58571741452991
2001-01-01,1.4,1.50425587606838
2001-02-01,1.7,1.86375587606838
2001-03-01,1.7,1.91008920940171
2001-04-01,1.5,1.70092254273504
2001-05-01,1.7,1.87292254273504
2001-06-01,2.1,1.81692254273504
2001-07-01,2.7,2.01344177350427
2001-08-01,2.7,2.19405074786325
2001-09-01,2.5,2.49757638888889
2001-10-01,2.5,2.65863408119658
2001-11-01,2.6,2.7817110042735
2001-12-01,2.2,2.48571741452991
2002-01-01,2.6,2.70425587606838
2002-02-01,2.5,2.66375587606838
2002-03-01,2,2.21008920940171
2002-04-01,2.4,2.60092254273504
2002-05-01,2.6,2.77292254273504
2002-06-01,3.2,2.91692254273504
2002-07-01,3.7,3.01344177350427
2002-08-01,3.8,3.29405074786325
2002-09-01,3.4,3.39757638888889
2002-10-01,2.8,2.95863408119658
2002-11-01,2.7,2.8817110042735
2002-12-01,2.8,3.08571741452991
2003-01-01,2.7,2.80425587606838
2003-02-01,2.3,2.46375587606838
2003-03-01,2.5,2.71008920940171
2003-04-01,3.1,3.30092254273504
2003-05-01,3,3.17292254273504
2003-06-01,3.6,3.31692254273504
2003-07-01,3.3,2.61344177350427
2003-08-01,3.3,2.79405074786325
2003-09-01,3.2,3.19757638888889
2003-10-01,2.2,2.35863408119658
2003-11-01,2.6,2.7817110042735
2003-12-01,2.6,2.88571741452991
2004-01-01,2.7,2.80425587606838
2004-02-01,2.9,3.06375587606838
2004-03-01,2.4,2.61008920940171
2004-04-01,2.3,2.50092254273504
2004-05-01,2.7,2.87292254273504
2004-06-01,2.7,2.41692254273504
2004-07-01,2.9,2.21344177350427
2004-08-01,3,2.49405074786325
2004-09-01,2.5,2.49757638888889
2004-10-01,2.1,2.25863408119658
2004-11-01,2.2,2.3817110042735
2004-12-01,1.9,2.18571741452991
2005-01-01,2.1,2.20425587606838
2005-02-01,2.1,2.26375587606838
2005-03-01,2,2.21008920940171
2005-04-01,2,2.20092254273504
2005-05-01,1.7,1.87292254273504
2005-06-01,2.1,1.81692254273504
2005-07-01,2.8,2.11344177350427
2005-08-01,2.6,2.09405074786325
2005-09-01,2.2,2.19757638888889
2005-10-01,2.1,2.25863408119658
2005-11-01,1.6,1.7817110042735
2005-12-01,1.7,1.98571741452991
2006-01-01,1.5,1.60425587606838
2006-02-01,1.8,1.96375587606838
2006-03-01,1.6,1.81008920940171
2006-04-01,1.7,1.90092254273504
2006-05-01,1.6,1.77292254273504
2006-06-01,1.6,1.31692254273504
2006-07-01,2.3,1.61344177350427
2006-08-01,2,1.49405074786325
2006-09-01,2.1,2.09757638888889
2006-10-01,1.7,1.85863408119658
2006-11-01,1.6,1.7817110042735
2006-12-01,1.5,1.78571741452991
2007-01-01,1.7,1.80425587606838
2007-02-01,1.7,1.86375587606838
2007-03-01,1.8,2.01008920940171
2007-04-01,1.3,1.50092254273504
2007-05-01,1.6,1.77292254273504
2007-06-01,2,1.71692254273504
2007-07-01,2.3,1.61344177350427
2007-08-01,2.6,2.09405074786325
2007-09-01,1.9,1.89757638888889
2007-10-01,1.7,1.85863408119658
2007-11-01,1.7,1.8817110042735
2007-12-01,1.6,1.88571741452991
2008-01-01,1.8,1.90425587606838
2008-02-01,1.7,1.86375587606838
2008-03-01,1.6,1.81008920940171
2008-04-01,1.6,1.80092254273504
2008-05-01,2.2,2.37292254273504
2008-06-01,2.5,2.21692254273504
2008-07-01,2.7,2.01344177350427
2008-08-01,2.7,2.19405074786325
2008-09-01,2.4,2.39757638888889
2008-10-01,2.9,3.05863408119658
2008-11-01,3,3.1817110042735
2008-12-01,3.4,3.68571741452991
2009-01-01,3.5,3.60425587606838
2009-02-01,3.5,3.66375587606838
2009-03-01,3.6,3.81008920940171
2009-04-01,3.6,3.80092254273504
2009-05-01,3.3,3.47292254273504
2009-06-01,4.1,3.81692254273504
2009-07-01,5,4.31344177350427
2009-08-01,4.5,3.99405074786325
2009-09-01,4.2,4.19757638888889
2009-10-01,3.9,4.05863408119658
2009-11-01,4.2,4.3817110042735
2009-12-01,3.9,4.18571741452991
2010-01-01,4.4,4.50425587606838
2010-02-01,4.2,4.36375587606838
2010-03-01,3.9,4.11008920940171
2010-04-01,3.5,3.70092254273504
2010-05-01,3.3,3.47292254273504
2010-06-01,4,3.71692254273504
2010-07-01,4.9,4.21344177350427
2010-08-01,4.9,4.39405074786325
2010-09-01,4.4,4.39757638888889
2010-10-01,3.8,3.95863408119658
2010-11-01,3.9,4.0817110042735
2010-12-01,3.5,3.78571741452991
2011-01-01,3.7,3.80425587606838
2011-02-01,3.4,3.56375587606838
2011-03-01,3.6,3.81008920940171
2011-04-01,3.1,3.30092254273504
2011-05-01,3.8,3.97292254273504
2011-06-01,3.7,3.41692254273504
2011-07-01,3.6,2.91344177350427
2011-08-01,3.9,3.39405074786325
2011-09-01,3.6,3.59757638888889
2011-10-01,3.6,3.75863408119658
2011-11-01,3.8,3.9817110042735
2011-12-01,3.6,3.88571741452991
2012-01-01,3.9,4.00425587606838
2012-02-01,3.7,3.86375587606838
2012-03-01,3.5,3.71008920940171
2012-04-01,3.2,3.40092254273504
2012-05-01,2.9,3.07292254273504
2012-06-01,3.5,3.21692254273504
2012-07-01,4.3,3.61344177350427
2012-08-01,4.2,3.69405074786325
2012-09-01,3.3,3.29757638888889
2012-10-01,3.3,3.45863408119658
2012-11-01,3.3,3.4817110042735
2012-12-01,3.4,3.68571741452991
2013-01-01,3.5,3.60425587606838
2013-02-01,3.8,3.96375587606838
2013-03-01,3.2,3.41008920940171
2013-04-01,3,3.20092254273504
2013-05-01,3.4,3.57292254273504
2013-06-01,4.1,3.81692254273504
2013-07-01,4.1,3.41344177350427
2013-08-01,3.3,2.79405074786325
2013-09-01,3.1,3.09757638888889
2013-10-01,3.3,3.45863408119658
2013-11-01,3.1,3.2817110042735
2013-12-01,2.8,3.08571741452991
2014-01-01,3,3.10425587606838
2014-02-01,2.7,2.86375587606838
2014-03-01,3,3.21008920940171
2014-04-01,2.7,2.90092254273504
2014-05-01,2.7,2.87292254273504
2014-06-01,3,2.71692254273504
2014-07-01,3.2,2.51344177350427
2014-08-01,3.3,2.79405074786325
2014-09-01,2.7,2.69757638888889
2014-10-01,2.7,2.85863408119658
2014-11-01,2.6,2.7817110042735
2014-12-01,2.5,2.78571741452991
2015-01-01,2.7,2.80425587606838
2015-02-01,2.5,2.66375587606838
2015-03-01,1.9,2.11008920940171
2015-04-01,2.1,2.30092254273504
2015-05-01,2.1,2.27292254273504
2015-06-01,2.6,2.31692254273504
2015-07-01,3.3,2.61344177350427
2015-08-01,2.6,2.09405074786325
2015-09-01,2.2,2.19757638888889
2015-10-01,2.4,2.55863408119658
2015-11-01,2.5,2.6817110042735
2015-12-01,2.3,2.58571741452991
2016-01-01,2.4,2.50425587606838
2016-02-01,2.2,2.36375587606838
2016-03-01,2.5,2.71008920940171
2016-04-01,1.8,2.00092254273504
2016-05-01,1.9,2.07292254273504
2016-06-01,2.6,2.31692254273504
2016-07-01,3.2,2.51344177350427
