"date","value","deseasonalized_value"
1990-01-01,7.2,7.46434055335097
1990-02-01,7.1,7.47029293430335
1990-03-01,7.3,7.30719769620811
1990-04-01,7.6,7.58100722001764
1990-05-01,7.4,7.3404119819224
1990-06-01,7.3,7.07886436287478
1990-07-01,7.6,7.2751738866843
1990-08-01,7.7,7.43153962742504
1990-09-01,8,7.85303102954145
1990-10-01,7.7,7.75005483906526
1990-11-01,7.9,8.11255483906526
1990-12-01,8.1,8.23553102954145
1991-01-01,7.7,7.96434055335097
1991-02-01,7.8,8.17029293430335
1991-03-01,8.2,8.20719769620811
1991-04-01,8.1,8.08100722001764
1991-05-01,8.5,8.4404119819224
1991-06-01,8.4,8.17886436287478
1991-07-01,8.6,8.2751738866843
1991-08-01,8.6,8.33153962742504
1991-09-01,8.7,8.55303102954145
1991-10-01,8.6,8.65005483906526
1991-11-01,8.5,8.71255483906526
1991-12-01,9,9.13553102954145
1992-01-01,8.9,9.16434055335097
1992-02-01,9.1,9.47029293430335
1992-03-01,9.3,9.30719769620811
1992-04-01,9,8.98100722001764
1992-05-01,8.9,8.8404119819224
1992-06-01,9.3,9.07886436287478
1992-07-01,9.2,8.8751738866843
1992-08-01,9.1,8.83153962742504
1992-09-01,9.1,8.95303102954145
1992-10-01,8.4,8.45005483906526
1992-11-01,8.4,8.61255483906526
1992-12-01,8.4,8.53553102954145
1993-01-01,8.4,8.66434055335097
1993-02-01,8.3,8.67029293430335
1993-03-01,8.4,8.40719769620811
1993-04-01,8.2,8.18100722001764
1993-05-01,8.2,8.1404119819224
1993-06-01,8.5,8.27886436287478
1993-07-01,8.7,8.3751738866843
1993-08-01,8.5,8.23153962742504
1993-09-01,8.5,8.35303102954145
1993-10-01,8.6,8.65005483906526
1993-11-01,8.2,8.41255483906525
1993-12-01,8.3,8.43553102954145
1994-01-01,8.8,9.06434055335097
1994-02-01,8.5,8.87029293430335
1994-03-01,9,9.00719769620811
1994-04-01,8.9,8.88100722001764
1994-05-01,8.4,8.3404119819224
1994-06-01,8.7,8.47886436287478
1994-07-01,8.7,8.3751738866843
1994-08-01,8.6,8.33153962742504
1994-09-01,8.6,8.45303102954145
1994-10-01,8.2,8.25005483906526
1994-11-01,7.8,8.01255483906526
1994-12-01,7.6,7.73553102954145
1995-01-01,7.7,7.96434055335097
1995-02-01,7,7.37029293430335
1995-03-01,7.4,7.40719769620811
1995-04-01,7.8,7.78100722001764
1995-05-01,7.6,7.5404119819224
1995-06-01,7.7,7.47886436287478
1995-07-01,7.9,7.5751738866843
1995-08-01,7.9,7.63153962742504
1995-09-01,8.1,7.95303102954145
1995-10-01,7.9,7.95005483906526
1995-11-01,7.8,8.01255483906526
1995-12-01,7.8,7.93553102954145
1996-01-01,7.7,7.96434055335097
1996-02-01,7.6,7.97029293430335
1996-03-01,7.9,7.90719769620811
1996-04-01,7.7,7.68100722001764
1996-05-01,7.6,7.5404119819224
1996-06-01,7.3,7.07886436287478
1996-07-01,7.8,7.4751738866843
1996-08-01,7.1,6.83153962742504
1996-09-01,7.3,7.15303102954145
1996-10-01,7.1,7.15005483906526
1996-11-01,6.9,7.11255483906526
1996-12-01,6.9,7.03553102954145
1997-01-01,6.9,7.16434055335097
1997-02-01,6.6,6.97029293430335
1997-03-01,7,7.00719769620811
1997-04-01,6.8,6.78100722001764
1997-05-01,6.6,6.5404119819224
1997-06-01,6.7,6.47886436287478
1997-07-01,6.5,6.1751738866843
1997-08-01,6.4,6.13153962742504
1997-09-01,6.8,6.65303102954145
1997-10-01,6.5,6.55005483906526
