"date","value","deseasonalized_value"
1990-01-01,5.2,5.08458746693122
1990-02-01,5.4,5.39375413359788
1990-03-01,5.1,5.22232556216931
1990-04-01,5.2,5.36839699074074
1990-05-01,5.3,5.24720651455026
1990-06-01,5.8,5.3205398478836
1990-07-01,5.6,5.39952794312169
1990-08-01,5.9,5.65161127645503
1990-09-01,6.2,6.23390294312169
1990-10-01,5.6,5.73494460978836
1990-11-01,5.3,5.6106390542328
1990-12-01,5.3,5.63256365740741
1991-01-01,5.6,5.48458746693122
1991-02-01,5.9,5.89375413359788
1991-03-01,5.8,5.92232556216931
1991-04-01,5.5,5.66839699074074
1991-05-01,5.9,5.84720651455026
1991-06-01,6.3,5.8205398478836
1991-07-01,5.6,5.39952794312169
1991-08-01,5.3,5.05161127645503
1991-09-01,5.3,5.33390294312169
1991-10-01,5.3,5.43494460978836
1991-11-01,4.9,5.2106390542328
1991-12-01,4.9,5.23256365740741
1992-01-01,5.7,5.58458746693122
1992-02-01,8.2,8.19375413359788
1992-03-01,7.6,7.72232556216931
1992-04-01,7.4,7.56839699074074
1992-05-01,7.3,7.24720651455026
1992-06-01,8,7.5205398478836
1992-07-01,7.5,7.29952794312169
1992-08-01,7.2,6.95161127645503
1992-09-01,6.7,6.73390294312169
1992-10-01,6.5,6.63494460978836
1992-11-01,6.5,6.8106390542328
1992-12-01,6.3,6.63256365740741
1993-01-01,6.8,6.68458746693122
1993-02-01,6.6,6.59375413359788
1993-03-01,6.2,6.32232556216931
1993-04-01,5.9,6.06839699074074
1993-05-01,5.9,5.84720651455026
1993-06-01,6.7,6.2205398478836
1993-07-01,6.3,6.09952794312169
1993-08-01,6.4,6.15161127645503
1993-09-01,6.3,6.33390294312169
1993-10-01,6.2,6.33494460978836
1993-11-01,5.9,6.2106390542328
1993-12-01,5.8,6.13256365740741
1994-01-01,6.6,6.48458746693122
1994-02-01,6.2,6.19375413359788
1994-03-01,6,6.12232556216931
1994-04-01,5.6,5.76839699074074
1994-05-01,5.4,5.34720651455026
1994-06-01,6.2,5.7205398478836
1994-07-01,5.2,4.99952794312169
1994-08-01,5.6,5.35161127645503
1994-09-01,5.5,5.53390294312169
1994-10-01,5.2,5.33494460978836
1994-11-01,5,5.3106390542328
1994-12-01,4.8,5.13256365740741
1995-01-01,5.6,5.48458746693122
1995-02-01,5.2,5.19375413359788
1995-03-01,5.1,5.22232556216931
1995-04-01,5.4,5.56839699074074
1995-05-01,5.5,5.44720651455026
1995-06-01,6,5.5205398478836
1995-07-01,5.6,5.39952794312169
1995-08-01,5.7,5.45161127645503
1995-09-01,5.4,5.43390294312169
1995-10-01,4.9,5.03494460978836
1995-11-01,4.8,5.1106390542328
1995-12-01,4.8,5.13256365740741
1996-01-01,5.2,5.08458746693122
1996-02-01,4.9,4.89375413359788
1996-03-01,4.9,5.02232556216931
1996-04-01,4.6,4.76839699074074
1996-05-01,4.8,4.74720651455026
1996-06-01,5.1,4.6205398478836
1996-07-01,4.8,4.59952794312169
1996-08-01,4.8,4.55161127645503
1996-09-01,5.1,5.13390294312169
1996-10-01,5.3,5.43494460978836
1996-11-01,5.1,5.4106390542328
1996-12-01,5.1,5.43256365740741
1997-01-01,5.7,5.58458746693122
1997-02-01,5.1,5.09375413359788
1997-03-01,5,5.12232556216931
1997-04-01,4.4,4.56839699074074
1997-05-01,4.6,4.54720651455026
1997-06-01,5,4.5205398478836
1997-07-01,4.5,4.29952794312169
1997-08-01,4.5,4.25161127645503
1997-09-01,4.5,4.53390294312169
1997-10-01,4.1,4.23494460978836
1997-11-01,3.8,4.1106390542328
1997-12-01,3.9,4.23256365740741
1998-01-01,4.4,4.28458746693122
1998-02-01,4.1,4.09375413359788
1998-03-01,4.2,4.32232556216931
1998-04-01,3.7,3.86839699074074
1998-05-01,4,3.94720651455026
1998-06-01,4.6,4.1205398478836
1998-07-01,4.3,4.09952794312169
1998-08-01,4.2,3.95161127645503
1998-09-01,4,4.03390294312169
1998-10-01,3.9,4.03494460978836
1998-11-01,3.8,4.1106390542328
1998-12-01,3.6,3.93256365740741
1999-01-01,4.1,3.98458746693122
1999-02-01,4.1,4.09375413359788
1999-03-01,3.8,3.92232556216931
1999-04-01,3.6,3.76839699074074
1999-05-01,3.5,3.44720651455026
1999-06-01,4,3.5205398478836
1999-07-01,4,3.79952794312169
1999-08-01,4,3.75161127645503
1999-09-01,3.7,3.73390294312169
1999-10-01,3.4,3.53494460978836
1999-11-01,3.3,3.6106390542328
1999-12-01,3.2,3.53256365740741
2000-01-01,3.7,3.58458746693122
2000-02-01,3.6,3.59375413359788
2000-03-01,3.5,3.62232556216931
2000-04-01,3.1,3.26839699074074
2000-05-01,3.5,3.44720651455026
2000-06-01,3.8,3.3205398478836
2000-07-01,3.7,3.49952794312169
2000-08-01,3.8,3.55161127645503
2000-09-01,3.4,3.43390294312169
2000-10-01,3.2,3.33494460978836
2000-11-01,2.9,3.2106390542328
2000-12-01,2.9,3.23256365740741
2001-01-01,3.6,3.48458746693122
2001-02-01,3.5,3.49375413359788
2001-03-01,3.5,3.62232556216931
2001-04-01,3.3,3.46839699074074
2001-05-01,3.4,3.34720651455026
2001-06-01,4,3.5205398478836
2001-07-01,3.9,3.69952794312169
2001-08-01,4.5,4.25161127645503
2001-09-01,4.4,4.43390294312169
2001-10-01,4.8,4.93494460978836
2001-11-01,4.9,5.2106390542328
2001-12-01,5.1,5.43256365740741
2002-01-01,5.8,5.68458746693122
2002-02-01,5.6,5.59375413359788
2002-03-01,5.6,5.72232556216931
2002-04-01,5.5,5.66839699074074
2002-05-01,5.6,5.54720651455026
2002-06-01,6.1,5.6205398478836
2002-07-01,5.8,5.59952794312169
2002-08-01,5.9,5.65161127645503
2002-09-01,5.5,5.53390294312169
2002-10-01,5.5,5.63494460978836
2002-11-01,5.3,5.6106390542328
2002-12-01,5.3,5.63256365740741
2003-01-01,5.8,5.68458746693122
2003-02-01,5.5,5.49375413359788
2003-03-01,5.3,5.42232556216931
2003-04-01,5.1,5.26839699074074
2003-05-01,5.4,5.34720651455026
2003-06-01,6.1,5.6205398478836
2003-07-01,5.6,5.39952794312169
2003-08-01,5.6,5.35161127645503
2003-09-01,5.2,5.23390294312169
2003-10-01,5,5.13494460978836
2003-11-01,4.8,5.1106390542328
2003-12-01,4.5,4.83256365740741
2004-01-01,5.1,4.98458746693122
2004-02-01,4.7,4.69375413359788
2004-03-01,4.8,4.92232556216931
2004-04-01,4.6,4.76839699074074
2004-05-01,4.9,4.84720651455026
2004-06-01,5.6,5.1205398478836
2004-07-01,5.5,5.29952794312169
2004-08-01,5.4,5.15161127645503
2004-09-01,5.1,5.13390294312169
2004-10-01,5.3,5.43494460978836
2004-11-01,5.3,5.6106390542328
2004-12-01,5.4,5.73256365740741
2005-01-01,6,5.88458746693122
2005-02-01,6,5.99375413359788
2005-03-01,5.7,5.82232556216931
2005-04-01,5.4,5.56839699074074
2005-05-01,5.7,5.64720651455026
2005-06-01,6.1,5.6205398478836
2005-07-01,5.8,5.59952794312169
2005-08-01,5.7,5.45161127645503
2005-09-01,6,6.03390294312169
2005-10-01,5.7,5.83494460978836
2005-11-01,5.7,6.0106390542328
