"date","value","deseasonalized_value"
1990-01-01,7.6,7.40124944885361
1990-02-01,7.3,7.23493992504409
1990-03-01,7,7.12493992504409
1990-04-01,7.5,7.37267802028219
1990-05-01,7.1,7.06458278218695
1990-06-01,7.4,6.67351135361552
1990-07-01,7.5,7.07641148589065
1990-08-01,7.5,7.31333278218695
1990-09-01,7.5,7.69238370811287
1990-10-01,6.9,7.24597167107584
1990-11-01,7,7.50148754409171
1990-12-01,7,7.59851135361552
1991-01-01,7.9,7.70124944885362
1991-02-01,7.5,7.43493992504409
1991-03-01,7.7,7.82493992504409
1991-04-01,7.5,7.37267802028219
1991-05-01,7.7,7.66458278218695
1991-06-01,8.5,7.77351135361552
1991-07-01,8.1,7.67641148589065
1991-08-01,8.3,8.11333278218695
1991-09-01,8.4,8.59238370811287
1991-10-01,8.7,9.04597167107584
1991-11-01,9.2,9.70148754409171
1991-12-01,9.4,9.99851135361552
1992-01-01,9.9,9.70124944885362
1992-02-01,9.6,9.53493992504409
1992-03-01,9.3,9.42493992504409
1992-04-01,9.1,8.97267802028219
1992-05-01,9.4,9.36458278218695
1992-06-01,10,9.27351135361552
1992-07-01,9.2,8.77641148589065
1992-08-01,8.4,8.21333278218695
1992-09-01,8.1,8.29238370811287
1992-10-01,7.4,7.74597167107584
1992-11-01,7.9,8.40148754409171
1992-12-01,8.1,8.69851135361552
1993-01-01,8.9,8.70124944885362
1993-02-01,8.9,8.83493992504409
1993-03-01,8.9,9.02493992504409
1993-04-01,8.9,8.77267802028219
1993-05-01,9.2,9.16458278218695
1993-06-01,9.7,8.97351135361552
1993-07-01,8.8,8.37641148589065
1993-08-01,8.5,8.31333278218695
1993-09-01,8.6,8.79238370811287
1993-10-01,8.1,8.44597167107584
1993-11-01,7.4,7.90148754409171
1993-12-01,7.1,7.69851135361552
1994-01-01,8.4,8.20124944885362
1994-02-01,7.9,7.83493992504409
1994-03-01,7.4,7.52493992504409
1994-04-01,7,6.87267802028219
1994-05-01,6.5,6.46458278218695
1994-06-01,6.9,6.17351135361552
1994-07-01,6.6,6.17641148589065
1994-08-01,6.4,6.21333278218695
1994-09-01,6,6.19238370811287
1994-10-01,6.1,6.44597167107584
1994-11-01,5.6,6.10148754409171
1994-12-01,5.2,5.79851135361552
1995-01-01,6.4,6.20124944885362
1995-02-01,6.2,6.13493992504409
1995-03-01,6,6.12493992504409
1995-04-01,6.7,6.57267802028219
1995-05-01,6.3,6.26458278218695
1995-06-01,6.3,5.57351135361552
1995-07-01,6.3,5.87641148589065
1995-08-01,6.3,6.11333278218695
1995-09-01,5.9,6.09238370811287
1995-10-01,5.4,5.74597167107584
1995-11-01,5.2,5.70148754409171
1995-12-01,5.3,5.89851135361552
1996-01-01,6.5,6.30124944885362
1996-02-01,6.1,6.03493992504409
1996-03-01,6,6.12493992504409
1996-04-01,6.3,6.17267802028219
1996-05-01,6.4,6.36458278218695
1996-06-01,6.6,5.87351135361552
1996-07-01,6.6,6.17641148589065
1996-08-01,6.2,6.01333278218695
1996-09-01,5.8,5.99238370811287
1996-10-01,5.6,5.94597167107584
1996-11-01,5.4,5.90148754409171
1996-12-01,5.4,5.99851135361552
1997-01-01,6.3,6.10124944885361
1997-02-01,6.1,6.03493992504409
1997-03-01,5.9,6.02493992504409
1997-04-01,5.7,5.57267802028219
1997-05-01,5.2,5.16458278218695
1997-06-01,5.9,5.17351135361552
1997-07-01,5.8,5.37641148589065
1997-08-01,5.6,5.41333278218695
1997-09-01,5.7,5.89238370811287
1997-10-01,5.6,5.94597167107584
1997-11-01,5.6,6.10148754409171
1997-12-01,5.5,6.09851135361552
1998-01-01,6.2,6.00124944885362
1998-02-01,5.5,5.43493992504409
1998-03-01,5.5,5.62493992504409
1998-04-01,4.7,4.57267802028219
1998-05-01,4.8,4.76458278218695
1998-06-01,5.9,5.17351135361552
1998-07-01,5.5,5.07641148589065
1998-08-01,5.3,5.11333278218695
1998-09-01,5.5,5.69238370811287
1998-10-01,5.3,5.64597167107584
1998-11-01,5,5.50148754409171
1998-12-01,4.7,5.29851135361552
1999-01-01,5.2,5.00124944885362
1999-02-01,5.1,5.03493992504409
1999-03-01,4.7,4.82493992504409
1999-04-01,5.2,5.07267802028219
1999-05-01,5.3,5.26458278218695
1999-06-01,6.1,5.37351135361552
1999-07-01,5.9,5.47641148589065
1999-08-01,5.5,5.31333278218695
1999-09-01,5,5.19238370811287
1999-10-01,4.8,5.14597167107584
1999-11-01,4.7,5.20148754409171
1999-12-01,4.4,4.99851135361552
2000-01-01,5,4.80124944885362
2000-02-01,5.2,5.13493992504409
2000-03-01,5.1,5.22493992504409
2000-04-01,4.7,4.57267802028219
2000-05-01,4.9,4.86458278218695
2000-06-01,5.5,4.77351135361552
2000-07-01,5.3,4.87641148589065
2000-08-01,5.1,4.91333278218695
2000-09-01,4.6,4.79238370811287
2000-10-01,4.2,4.54597167107584
2000-11-01,4.8,5.30148754409171
