"date","value","deseasonalized_value"
1954-01-01,4.5,4.55480501061927
1954-02-01,4.9,4.95697637212162
1954-03-01,5,5.05885430639392
1954-04-01,5.5,5.39209961155824
1954-05-01,5.3,5.23174163033758
1954-06-01,5,4.93796061088755
1954-07-01,5.3,5.27158904817796
1954-08-01,5.6,5.59289186507936
1954-09-01,5.9,5.90979327353007
1954-10-01,5.1,5.12634256930472
1954-11-01,4.7,4.72305618432819
1954-12-01,4.4,4.44388951766152
1955-01-01,4.5,4.55480501061927
1955-02-01,4.1,4.15697637212162
1955-03-01,4,4.05885430639392
1955-04-01,4.3,4.19209961155824
1955-05-01,3.8,3.73174163033758
1955-06-01,3.7,3.63796061088755
1955-07-01,3.6,3.57158904817796
1955-08-01,3.6,3.59289186507936
1955-09-01,3.6,3.60979327353007
1955-10-01,3.7,3.72634256930472
1955-11-01,3.6,3.62305618432819
1955-12-01,3.7,3.74388951766153
1956-01-01,3.5,3.55480501061927
1956-02-01,3.6,3.65697637212162
1956-03-01,3.7,3.75885430639392
1956-04-01,3.6,3.49209961155824
1956-05-01,3.8,3.73174163033758
1956-06-01,3.7,3.63796061088755
1956-07-01,3.8,3.77158904817796
1956-08-01,3.4,3.39289186507936
1956-09-01,3.5,3.50979327353007
1956-10-01,3.4,3.42634256930472
1956-11-01,3.8,3.82305618432819
1956-12-01,3.8,3.84388951766152
1957-01-01,3.8,3.85480501061927
1957-02-01,3.6,3.65697637212162
1957-03-01,3.4,3.45885430639392
1957-04-01,3.5,3.39209961155824
1957-05-01,3.6,3.53174163033758
1957-06-01,3.7,3.63796061088755
1957-07-01,3.7,3.67158904817796
1957-08-01,3.7,3.69289186507936
1957-09-01,3.9,3.90979327353007
1957-10-01,4,4.02634256930472
1957-11-01,4.6,4.62305618432819
1957-12-01,4.7,4.74388951766152
1958-01-01,5.2,5.25480501061927
1958-02-01,5.7,5.75697637212162
1958-03-01,5.9,5.95885430639392
1958-04-01,6.7,6.59209961155824
1958-05-01,6.7,6.63174163033758
1958-06-01,6.6,6.53796061088755
