"date","value","deseasonalized_value"
2007-01-01,4.8,4.16402732389252
2007-02-01,4.8,4.35939769426289
2007-03-01,4.1,3.96944671387073
2007-04-01,4.1,3.96944671387073
2007-05-01,4.1,4.18121141975309
2007-06-01,3.9,3.86258396877269
2007-07-01,4.1,4.00708287944807
2007-08-01,4,4.06194399055919
2007-09-01,4.2,4.57351806463326
2007-10-01,4.1,4.5230551016703
2007-11-01,4.5,4.96472176833696
2007-12-01,4.7,4.76356436092956
2008-01-01,5.5,4.86402732389252
2008-02-01,5.6,5.15939769426289
2008-03-01,6.2,6.06944671387073
2008-04-01,4.8,4.66944671387073
2008-05-01,5.3,5.38121141975309
2008-06-01,5.6,5.56258396877269
2008-07-01,5.5,5.40708287944808
2008-08-01,6,6.06194399055919
2008-09-01,5.5,5.87351806463326
2008-10-01,5.9,6.3230551016703
2008-11-01,6.5,6.96472176833696
2008-12-01,7.6,7.66356436092956
2009-01-01,9.2,8.56402732389252
2009-02-01,10.3,9.85939769426289
2009-03-01,9.6,9.46944671387073
2009-04-01,8.5,8.36944671387073
2009-05-01,9.1,9.18121141975309
2009-06-01,9.7,9.66258396877269
2009-07-01,10,9.90708287944808
2009-08-01,10.1,10.1619439905592
2009-09-01,9.6,9.97351806463326
2009-10-01,9.7,10.1230551016703
2009-11-01,9.3,9.76472176833697
2009-12-01,11,11.0635643609296
2010-01-01,11.8,11.1640273238925
2010-02-01,11.5,11.0593976942629
2010-03-01,11,10.8694467138707
2010-04-01,8.8,8.66944671387073
2010-05-01,8.6,8.68121141975309
2010-06-01,8.7,8.66258396877269
2010-07-01,9.5,9.40708287944808
2010-08-01,9,9.06194399055919
2010-09-01,9.2,9.57351806463326
2010-10-01,9.2,9.6230551016703
2010-11-01,9.7,10.164721768337
2010-12-01,10.6,10.6635643609296
2011-01-01,10.6,9.96402732389252
2011-02-01,9.8,9.35939769426289
2011-03-01,9.6,9.46944671387073
2011-04-01,9.1,8.96944671387073
2011-05-01,8.4,8.48121141975309
